,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,manufacturing,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,palm_ingredients,brand_owner,traceability_code
914,Truffes - Lait fondant ultime - Lanvin - 250g,8000300357882,Bonbons de chocolat à la pâte de truffe,250 g,['Carton'],['Lanvin'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Truffes en chocolat']",,,['Carrefour'],['France'],"['Sucre', 'beurre de cacao', 'pâte de cacao', 'lait concentré sucré ', 'lait', 'sucre', ' 8 %', 'lait entier en poudre 6 %', 'humectant ', 'sorbitol', 'sirop de glucose', 'cacao', 'beurre pâtissier', 'lactose', 'petit-lait en poudre', 'émulsifiant ', 'lécithine de tournesol', 'stabilisant ', 'invertase', 'arôme']","['E420 - Sorbitol', 'E322i - Lécithine', 'E1103 - Invertase']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1983,-16%,475,-19%,1983 kj(475 kcal),-19%,"27,7",-36%,"16,6",-49%,"49,7",+23%,"46,2",+26%,"4,8",+1%,"0,13",-1%,"0,052",-1%,27.7 g,en quantité élevée,16.6 g,en quantité élevée,46.2 g,en quantité élevée,0.13 g,en faible quantité,22,-8%,E,-8%,,,,,,,,,,,,,
915,Mini Voglie Créme Cacao - Matilde vicenzi,8000350000950,,,,['Matilde vicenzi'],,['Fabriqué en Italie'],,,['France'],[],,,[],,?,,506,,2117 kj(506 kcal),,"28,6",,12,,"55,2",,28,,6,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,
916,Rouleaux Feuillet?s Fourr?s ? La Cr?me P?tissi?re - Matilde vicenzi,8000350001148,,,,['Matilde vicenzi'],,['Sans matière grasse hydrogénée'],,,['France'],"['crème de pâtisserie 40% ', 'sucre', 'huile de palme', 'huile de tournesol', 'petit-lait en poudre', 'amandes', 'lait écréme en poudre', 'émulsifiant: lécithine de tournesol', 'arôme naturel de vanille', 'arômes', 'farine de blé', 'margarine végétale ', 'huile de palme', 'huile de tournesol', 'eau', 'sucre', 'sel', 'beurre', 'arômes', "" Peut contenir des traces du soja et d'autre fruits à coque"", ' SANS GRAISSES HYDROGENEES', ' Conserver au frais et au sec', ""a l'abri de la lumiere"", ' Produit en Italie']",['E322i - Lécithine'],"['Gluten', 'Lait', 'Fruits à coque']","['Huile de palme', 'Non végétalien']",4,?,,547,,2289 kj(547 kcal),,33,,"12,8",,"54,5",,28,,"6,5",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,
917,Mini Voglie Assortiment - Matilde vicenzi,8000350001186,,,,['Matilde vicenzi'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Sans matière grasse hydrogénée'],,,"['France', 'Espagne']","['Farine de blé', 'sucre', 'huiles végétales ', 'huile de palme', 'huile de tournesol', 'sirop de glucose-fructose', 'œufs', 'poudre de cacao', 'purée de cerises', 'amidon modifié', 'beurre', 'agents lévants ', 'carbonate acide de sodium', ""carbonate d'ammonium"", 'crème de tartre', 'extrait de malte', 'noisettes', 'lait écrémé en poudre', 'sel', 'lactose', 'agent gélifiant: Pectine', 'acidifiant: acide citrique', 'arômes', ""poudre de blanc d'œuf"", 'poudre de jus de citron"" émulsifiant: lécithine de tournesol', "" Peut contenir des traces du soja et d'autre fruits à coque"", ' Sans graisses hydrogenees', ' CONSERVER AU FRAIS ET AU SEC', ""A L'ABRI DE LA LUMIERE""]","['E14XX - Amidons modifiés', 'E500ii - Carbonate acide de sodium', ""E503i - Carbonate d'ammonium"", 'E336 - Tartrates de potassium', 'E440 - Pectines', 'E330 - Acide citrique', 'E322i - Lécithine']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']","['Huile de palme', 'Non végétalien']",4,?,,478,+1%,2000 kj(478 kcal),+1%,"21,6",+4%,"8,6",-15%,"63,3",-1%,"28,5",-3%,"6,2",-5%,"0,37",-37%,"0,148",-37%,21.6 g,en quantité élevée,8.6 g,en quantité élevée,28.5 g,en quantité élevée,0.37 g,en quantité modérée,18,-9%,D,-9%,D,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,['Huile de palme'],,
918,"Amaretti Vicenzi, Trocken, Fest - Matilde Vicenzi",8000350002114,,,,['Matilde Vicenzi'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Amaretti']",['Fabriqué en Italie'],,,['France'],"['Sucre', ""amandes de noyaux d'abricot 20%"", ""blanc d'œuf"", 'lactose et protéines du lait', 'poudre à lever ', 'carbonate acide de sodium', 'arôme naturel', ' Peut contenir des traces de gluten et de fruits à coque']",['E500ii - Carbonate acide de sodium'],"['Œufs', 'Lait']",['Non végétalien'],4,?,,433,-4%,1812 kj(433 kcal),-4%,"10,2",-43%,1,-44%,77,+27%,76,+38%,"6,9",-20%,"0,125",+42%,"0,05",+42%,10.2 g,en quantité modérée,1 g,en faible quantité,76 g,en quantité élevée,0.125 g,en faible quantité,15,+4%,D,+4%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,
919,Ciambella Agrumes Et Amandes - Matilde vicenzi,8000350004637,,,,['Matilde vicenzi'],,['Fabriqué en Italie'],,,['France'],"['farine de blé', 'sucre', 'margarine végétale ', 'huile de palme', 'eau', 'œufs', 'fécule de pomme de terre', 'orange pâtes citron pâtes noisettes amandes 396', 'onfeZlO beurre', 'poudre à lever: diphosphate disodique', 'carbonate de sodium hydrogène ', ' miel', 'arômes', 'sel', ' Peut contenir des traces des produits laitiers', ' CONSERVER DANS UN ENDROIT FRAIS', 'ENDROIT SEC LOIN DES SOURCES DE LUMIÈRE', ' za']","['E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium']","['Œufs', 'Gluten']","['Huile de palme', 'Non végétalien']",4,?,,487,,2038 kj(487 kcal),,24,,"10,5",,"59,1",,"24,7",,"6,6",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,
920,Matilde Vicenzi Grisbi Coconut,8000350005238,,,,['Grisbi'],,['Sans matière grasse hydrogénée'],,,['France'],"['farine de blé', 'sucre', 'huiles végétales ', 'huile de palme', 'huile de tournesol', 'lait entier en poudre', 'sirop de glucose', 'œufs', 'cacao', 'amidon de maïs', 'amidon de blé', 'lait de noix de coco déshydraté 5% en crème ', 'lait de noix de coco', 'maltodextrines', 'caséinate de sodium', 'beurre', ""jaune d'oeuf en poudre"", 'émulsifiant: lécithine de tournesol', 'sel', ""poudres à lever: carbonates de sodium et carbonates d'ammonium"", 'arômes', ' Peut contenir des arachides', 'des fruits à coque et du soja', ' Sans graisses hydrogénées']","['E322i - Lécithine', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]","['Œufs', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,?,,544,,2276 kj(544 kcal),,"32,3",,"14,9",,"56,8",,"29,7",,"5,6",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,
921,Loacker Vanille,8000380000548,,,,['Loacker'],,"['Sans colorants', 'Sans conservateurs']",,,['France'],[],,,[],,?,,523,,2188 kj(523 kcal),,27,,23,,61,,31,,"7,8",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,
922,Loacker Wafers Coconut,8000380005925,,,,['Loacker'],,"['Sans colorants', 'Sans conservateurs']",,,['France'],[],,,[],,?,,517,,2163 kj(517 kcal),,"30,6",,"26,6",,"52,8",,"27,6",,"7,7",,"1,39",,"0,556",,,,,,,,,,,,,,,,,,,,,,,,,,
923,Loacker Gardena Biscuit -,8000380007257,,,,['Loacker'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Sans conservateurs', 'Pur beurre de cacao']",,,['France'],"['wheat flour', 'coconut oil', 'milk chocolate 179 ', 'sugar', 'cocoa mass', 'cocoa butter', 'whole milk powder', 'skimmed mill powder', 'emulsifier soy lecithins', 'glucose syrup', 'sugar', 'hazelnuts 90/ in the cream filling', 'whey powder ', 'milk', 'soyflour', 'skimmed milk pow der', 'fat-reduced cocoa', 'dextrose', 'barley malt extract', 'raising agente ', 'sodium hydrogen carbonate', 'disodium diphosphate', 'salt', 'emulsifiel soy lecithins', 'Bourbon vanilla pods', 'spices', ' May contain almonds Product of Italy', ' No colourings and no preservatives', ' Keep cool and dry']","['E322 - Lécithines', 'E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']","['Gluten', 'Lait', 'Fruits à coque']",['Non végétalien'],4,?,,526,+11%,2201 kj(526 kcal),+11%,29,+39%,20,+98%,56,-12%,30,+2%,"8,4",+29%,"0,275",-53%,"0,11",-53%,29 g,en quantité élevée,20 g,en quantité élevée,30 g,en quantité élevée,0.275 g,en faible quantité,23,+16%,E,+16%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,
924,Choco & Nuts 25GX4 - Loacker,8000380148325,,,,['Loacker'],,"['Sans colorants', 'Sans conservateurs']",,,['France'],"['chocolat au lait 26% ', 'sucre', 'beurre de cacao', 'pâte de cacao', 'lait entier en poudre', 'lait écrémé en poudre', 'émulsifiant lécithines de soja', 'huile de coprah', 'farine de froment', 'sirop de glucose', 'noisettes 8%', 'sucre', 'cacao maigre', 'dextrose', 'lactosérum en poudre ', 'lait', 'farine de soja', 'chocolat 5% dans la crème ', 'sucre', 'pâte de cacao', 'lait écrémé en poudre', ""extrait de malt d'orge"", 'poudres à lever ', 'carbonate acide de sodium', 'diphosphate disodique', 'émulsifiant lécithines de soja', 'sel', 'gousses de vanille Bourbon', 'épices', ' Peut contenir des amandes', "" Produit d'Italie"", ' Sans colorants et sans conservateurs', ' Tenir au frais et au sec']","['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],4,?,,542,,2268 kj(542 kcal),,33,,22,,50,,33,,"8,5",,"0,23",,"0,092",,,,,,,,,,,,,,,,,,,,,,,,,,
925,63G Tortina White Loacker - 63g,8000380155699,,63 g,"['étui carton', 'sachets plastique']",['Loacker'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Sans conservateurs'],['Italie'],['Auchan'],['France'],"['chocolat blanc 39% ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'lait écré - mé en poudre', 'émulsifiant lécithines de soja', 'noisettes 27% dans la crème', 'ucre', 'huile de coprah', 'lactosérum en poudre ', 'lait', 'farine de froment', 'lait écrémé en poudre', ""extrait de malt d'orge"", 'crème en poudre ', 'lait', 'cacao maigre', 'émulsifiant lécithines de soja', 'poudres à lever ', 'carbonate acide de sodium', 'diphosphate disodique', 'sel', 'farine de soja', 'gousses de vanille Bourbon', 'épices', ' Peut contenir des amandes']","['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],4,?,,560,+18%,2343 kj(560 kcal),+18%,35,+68%,20,+98%,51,-20%,45,+53%,"8,9",+37%,"0,275",-53%,"0,11",-53%,35 g,en quantité élevée,20 g,en quantité élevée,45 g,en quantité élevée,0.275 g,en faible quantité,26,+31%,E,+31%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,http://www.loacker.com/en_gran_pasticceria_tortina_white.html,,,
926,Napolitainer 4+1 - Loacker,8000380155828,,,,['Loacker'],,,,,['France'],[],,,[],,?,,519,,2171 kj(519 kcal),,27,,20,,59,,26,,"8,1",,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,,,,,,,
927,Quadratini - Loacker,8000380181117,,,,['Loacker'],,"['Sans colorants', 'Sans conservateurs']",,,['France'],"['@ Cubes de gaufrettes fourrées à la crème au chocolat noir extra ', '74% de crème', ' Ingrédients farine de froment', 'huile de coprah', 'sirop de glucose', 'sucre', 'cacao maigre', 'dextrose', 'chocolat noir 878 dans la creme ', 'pâte de cacao', 'sucre', 'farine de soja', 'lactosérum en poudre ', 'lait', 'lait écrémé en poudre', 'extrait de malt poudres à lever ', 'carbonate acide de sodium', 'diphosphate disodiqUe', 't noisettes', 'sel', 'émulsifiant lécithines de soja', 'gousses de vanille Bourbon', 'épices', ' Peut des amandes', "" Produit d'Au• triche"", 'Sans colorants et conservateurs', ' Tenir au frais et']","['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']","['Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],4,?,,504,,2109 kj(504 kcal),,25,,21,,59,,27,,"7,7",,"0,32",,"0,128",,,,,,,,,,,,,,,,,,,,,,,,,,
928,Loacker cocoa milk,8000380185122,,,,['Loacker'],,"['Sans colorants', 'Sans conservateurs']",,,['France'],[],,,[],,?,,528,,2209 kj(528 kcal),,29,,24,,57,,28,,"9,1",,"0,47",,"0,188",,,,,,,,,,,,,,,,,,,,,,,,,,
929,Bianco - Raffelli - 100cl,8000428023614,Boisson aromatisée à base de vin,100 cl,"['Bouteille', 'Verre']",['Raffelli'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins blancs', 'Vins aromatisés']",,['Italie'],['Netto'],['France'],"['Boisson aromatisée à base de vin ', 'sulfites']",,['Anhydride sulfureux et sulfites'],[],3,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,D,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,
930,Galbani Gorgonzola Dop Dolce Latte,8000430058420,,,,['Galbani'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages italiens', 'Gorgonzolas']",,,,['France'],[],,,[],,?,,316,-4%,1322 kj(316 kcal),-4%,26,-6%,18,-6%,"1,5",+158%,0,-100%,19,+5%,"1,426",-5%,"0,57",-5%,26 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,1.43 g,en quantité modérée,14,-3%,D,-3%,D,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,,,,
931,Mozz. fresca Loncha-25. gr. galvani Cubo-40 Ud - Galbani,8000430133196,,,,['Galbani'],,,,,['France'],[],,,[],,?,,209,,874 kj(209 kcal),,15,,10,,"0,5",,"0,1",,18,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,
932,Zymil - Parmalat - 150g,8000430166064,,150 g,['Plastica'],['Parmalat'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à la crème', 'it:formaggio fresco']","['en:gluten-free', 'Sans lactose', 'Sans conservateurs']",,,"['France', 'Italie']",[],,['Lait'],[],,?,,268,+81%,1121 kj(268 kcal),+79%,25,+136%,18,+159%,"2,7",-50%,"2,4",-50%,8,+19%,"0,8",+140%,"0,32",+140%,25 g,en quantité élevée,18 g,en quantité élevée,2.4 g,en faible quantité,0.8 g,en quantité modérée,12,+193%,D,+193%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,
933,Galbani Paesano - 40g,8000430386219,Fromages rapés deshydratés,40 g,"['02 PE-HD', '05 PP', 'Green dot']","['Galbani', 'Egidio Galbani']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages râpés']","['EAC', 'Fabriqué en Italie']",['Italy'],['ICA Supermarket'],"['France', 'Serbie', 'Suède']","['Fromages à pâte dure affinés', 'lait pasteurisé', 'lait cru', 'sel', 'présure', 'conservateur ', 'lysozyme - protéine issue de l´œuf', ',']",['E1105 - Lysozyme'],"['Œufs', 'Lait', 'Lysozyme', 'Lysozyme']","['Non végétalien', 'Non végétarien']",3,2078,+33%,?,,2078 kj(497 kcal),+33%,35,+21%,25,+29%,3,+210%,0,-100%,43,+57%,"2,5",+150%,1,+150%,35 g,en quantité élevée,25 g,en quantité élevée,0 g,en faible quantité,2.5 g,en quantité élevée,21,+63%,E,+63%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,['IT 03 267 CE']
934,Paesano - Galbani - 80g,8000430386516,Dehydrated Grated Cheeses,80g,"['2 HDPE', '5 PP']",['Galbani'],,,,,"['Belgique', 'France', 'Suède']","['fromages à pâte dure affinés ', 'lait pasteurisé', 'lait cru', 'sel', 'présure', 'conservateur : lysozyme - protéine issue de l’œuf']",,"['Œufs', 'Lait']",['Non végétalien'],,2078,,499,,2078 kj(499 kcal),,35,,25,,3,,0,,43,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Galbani Mini Cucina,8000430900194,,,,['Galbani'],,,,,['France'],[],,,[],,?,,290,,1213 kj(290 kcal),,22,,"15,3",,"1,3",,"0,7",,"21,8",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
936,Limoncello - Giarola - 70cl,8000453222235,,70 cl,,['Giarola'],,,,,['France'],[],,,[],,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,Ravioli - Victoria,8000483151611,,,,['Victoria'],"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli']",,,,['France'],[],,,[],,?,,71,-62%,297 kj(71 kcal),-62%,"0,8",-85%,"0,2",-90%,13,-48%,"2,3",-14%,"2,5",-66%,"0,87",-12%,"0,348",-12%,0.8 g,en faible quantité,0.2 g,en faible quantité,2.3 g,en faible quantité,0.87 g,en quantité modérée,2,-51%,B,-51%,,,,,,,,,,,,,
938,Savoiardi di Sardegna -,8000491000406,,,,,,['Sans conservateurs'],,,['France'],[],,,[],,?,,361,,1510 kj(361 kcal),,"7,2",,"2,2",,63,,37,,"9,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,8000500027844,8000500027844,,,,,,,,,['France'],[],,,[],,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,"Kinder Surprise ""World above the clouds"" - 80g",8000500082928,,80 g,,['Kinder'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat creux']",['en:Duty-free'],,,"['France', 'Slovaquie']",[],,,[],,2302,-1%,552,-0%,2302 kj(552 kcal),-0%,"34,2",+1%,"22,6",+4%,"52,3",-3%,"52,1",-2%,"8,1",+14%,"0,323",+38%,"0,129",+38%,34.2 g,en quantité élevée,22.6 g,en quantité élevée,52.1 g,en quantité élevée,0.323 g,en quantité modérée,27,+2%,E,+2%,,,,,,,,,,,,,
941,Kinder surprise,8000500089682,Confiserie recouverte de chocolat supérieur au lait,,,['Kinder'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat creux']",,,,['France'],"['chocolat supérieur au LAIT 47% ', 'sucre', 'LAIT en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiants : lécithines [SOJA] ', ' vanilline', 'LAIT écrémé en poudre', 'sucre', 'graisses végétales ', 'palme', 'karité', 'BEURRE concentré', 'émulsifiants : lécithines [SOJA] vanilline', ' Sur le total : produits laitiers 32 ', 'lait écrémé en poudre', 'lait en poudre : 28 %', 'beurre concentré - cacao 1 5 %', ' Le chocolat utilisé est un chocolat pur beurre de cacao']",['E322i - Lécithine'],"['Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,?,,552,-0%,2310 kj(552 kcal),0%,"34,2",+1%,"22,6",+4%,"52,3",-3%,"52,1",-2%,"8,1",+14%,"0,32",+37%,"0,128",+37%,34.2 g,en quantité élevée,22.6 g,en quantité élevée,52.1 g,en quantité élevée,0.32 g,en quantité modérée,27,+2%,E,+2%,,,,,,,,,,,,,
942,Bueno White - Kinder Ferrero,8000500126295,,,,['Kinder Ferrero'],"['Snacks', 'en:Barres', 'en:Barres chocolatées', 'en:Barres chocolatées biscuitées aux noisettes', 'en:Confiseries', 'en:Confiseries chocolatées', 'en:Snacks sucrés']",,,,['France'],[],,,[],,?,,572,+25%,2393 kj(572 kcal),+25%,"35,9",+57%,"16,8",+68%,53,+4%,"43,6",+11%,"8,8",+34%,"0,356",+34%,"0,142",+34%,35.9 g,en quantité élevée,16.8 g,en quantité élevée,43.6 g,en quantité élevée,0.356 g,en quantité modérée,27,+41%,E,+41%,,,,,,,,,,,,,
943,Kinder Bueno White,8000500128732,,,,['Kinder'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées biscuitées aux noisettes']",,,,['France'],"['O', '356 g 0,069 g *Apportoe référence pour un adulte-type ', '8 400 kJ/2']",,,"['Non végétalien', 'Non végétarien']",,?,,572,+0%,2393 kj(572 kcal),+1%,"35,9",-3%,"19,8",+14%,53,+6%,"43,6",+5%,"8,8",+2%,"0,36",+23%,"0,144",+23%,35.9 g,en quantité élevée,19.8 g,en quantité élevée,43.6 g,en quantité élevée,0.36 g,en quantité modérée,27,+1%,E,+1%,,,,,,,,,,,,,
944,Kinder Country - 10 barres,8000500163023,Barre céréalière enrobée de chocolat supérieur au lait,,"['Carton', 'Carton']","['Kinder', 'Ferrero', 'Kinder Country']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées au lait et aux céréales']",,,,['France'],[],,,[],,?,,561,+3%,2347 kj(561 kcal),+2%,"33,8",+5%,"21,9",+11%,"54,9",-1%,"49,1",+3%,"8,6",+3%,"0,3",-6%,"0,12",-6%,33.8 g,en quantité élevée,21.9 g,en quantité élevée,49.1 g,en quantité élevée,0.3 g,en quantité modérée,28,+4%,E,+4%,,,,,,,,,,,,,
945,Ferrero Collection - 269g,8000500178669,,269 g,['Plastique'],['Ferrero'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,,,['France'],[],,,[],,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Lapin chocolat au lait - Ferrero Rocher - 180g,8000500191248,,180 g,['Aluminium'],['Ferrero Rocher'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Chocolats au lait', 'Aliments de Pâques', 'Lapins en chocolat']",,,,['France'],"['chocolat au lait ', 'sucre', 'beurre de cacao', 'pâte de cacao', 'lait écrémé en poudre', 'beurre concentré', 'émulsifiants: lécithines ', 'soja', 'vanilline', 'éclats de noisettes 20%']",['E322 - Lécithines'],"['Lait', 'Soja']","['Sans huile de palme', 'Non végétalien']",4,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,
947,Tic Tac banane les Minions - 98g,8000500213162,Pastilles aromatisées à la banane,98 g,"['Plastique', 'Boîte']",['Tic Tac'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,['Carrefour'],['France'],"['Sucre', 'maltodextrine', 'épaississant : gomme arabique', 'amidon de riz', 'arômes', 'acidifiant : acide citrique', 'banane en poudre', 'colorant : E100', ""agent d'enrobage : cire de carnauba""]","[""E414 - Gomme d'acacia"", 'E330 - Acide citrique', 'E100 - Curcumine', 'E903 - Cire de carnauba']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,1592,+3%,375,+5%,1592 kj(375 kcal),+6%,"0,4",-78%,"0,4",-62%,"91,1",+9%,"90,6",+56%,"0,1",-95%,"0,005",-96%,"0,002",-96%,0.4 g,en faible quantité,0.4 g,en faible quantité,90.6 g,en quantité élevée,0.005 g,en faible quantité,14,-3%,D,-3%,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,
948,Bueno Dark - Kinder,8000500214169,,,,['Kinder'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées biscuitées aux noisettes']",,,,['France'],[],,,[],,?,,593,+4%,2481 kj(593 kcal),+4%,"40,6",+10%,"18,3",+5%,"46,1",-8%,"36,7",-12%,9,+4%,"0,24",-18%,"0,096",-18%,40.6 g,en quantité élevée,18.3 g,en quantité élevée,36.7 g,en quantité élevée,0.24 g,en faible quantité,26,-3%,E,-3%,,,,,,,,,,,,,
949,"Tic tac breeze goût eucalyptus - 18,7gr",8000500221426,Pastilles aromatisées à l'eucalyptus avec édulcorants avec crystaux de xylitol et de plantes,"18,7gr",['Plastique'],['Tic Tac'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']","['Peu ou pas de sucre', 'Sans sucre']",,,['France'],"['Édulcorants ', 'xylitol', 'sorbitol', 'glycosides de stéviol ', 'épaississant ', 'gomme arabique', 'maltodextrine', 'menthol', 'eucalyptol', 'extrait de plantes en poudre', 'arômes', ""huile essentielle d'eucalyptus"", 'colorant : E 141']","['E967 - Xylitol', 'E420 - Sorbitol', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', ""E414 - Gomme d'acacia"", 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines']",,[],4,?,,240,-33%,1004 kj(240 kcal),-33%,"0,4",-78%,"0,4",-62%,"96,5",+16%,0,-100%,"0,1",-95%,"0,02",-83%,"0,008",-83%,0.4 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.02 g,en faible quantité,2,-86%,B,-86%,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,
950,Kinder Surprise Infinimix,8000500222706,,,['boîte'],"['Kinder', 'Ferrero']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Chocolats au lait', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat creux']",,,,['France'],[],,,[],,2323,+0%,?,,2323 kj(555 kcal),+1%,"34,5",+2%,"22,8",+5%,"52,3",-3%,"52,1",-2%,"8,7",+23%,"0,323",+38%,"0,129",+38%,34.5 g,en quantité élevée,22.8 g,en quantité élevée,52.1 g,en quantité élevée,0.323 g,en quantité modérée,27,+2%,E,+2%,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,
