,name,bar_code,quantity,packaging,brand,labels,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,ingredients_origins,manufacturing,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,origin_detail,palm_ingredients,brand_owner,producer_info
1054,Yakiniku,6767547301499,,,,,,['France'],[],,,[],,?,115,481 kj(115 kcal),"2,6","0,5",15,"4,8","6,4","0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Curcuma En Poudre,3265960470172,,,,,"['EMB 76377', 'Isneauville (Seine-Maritime, France)']",['France'],[],,,[],,?,2,8 kj(2 kcal),"0,74","0,4",5,1,38,23,"9,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,Oeuf chocolat blanc,3701014050506,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Mitonné de volaille au poivre de Tiumit -,3701353301017,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Saint estephe,3292141827159,,,,,,['France'],[],,,[],,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Cerneaux de noix - Auchan - 500g,8435177066740,500 g,['Plastique'],['Auchan'],"['Nutriscore', 'Nutriscore A']",,['France'],['noix'],,['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,704,2946 kj(704 kcal),66,"6,1","8,8",3,17,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",,,,66 g,en quantité élevée,6.1 g,en quantité élevée,3 g,en faible quantité,0 g,en faible quantité,,+3%,+3%,+3%,+3%,-10%,-6%,+13%,-100%,-100%,-1,-139%,A,-139%,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,['Auchan'],,,,
1060,Ceci,8011515953035,,,,,,['France'],[],,,[],,?,378,1582 kj(378 kcal),6,"0,6",63,"10,7","20,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Mousse au chocolat à l'ancienne,3372900901730,,,,,,['France'],[],,,[],,?,348,1456 kj(348 kcal),26,15,19,18,8,"0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,8003905080056,8003905080056,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Sucette chocolat sweet bunny,5420043416012,,,,,,['France'],[],,,[],,?,564,2360 kj(564 kcal),"35,8","21,5","51,2","50,4","8,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Brochettes de poulet,4056489362869,,"['Barquette', 'Film en plastique']",,,"['FR 26.088.011 CE', 'Chatuzange-le-Goubet (Drôme, France)']",['France'],[],,,[],,?,94,393 kj(94 kcal),1,"0,3","1,3","1,3",19,"0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Tropezienne decongelée,2892075042645,,,,,,['France'],[],,,[],,?,260,1088 kj(260 kcal),"8,8","6,9","38,6","19,6","5,1","0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Coppa oro cioccolato,8005840008676,,,,,,['France'],[],,,[],,?,244,1021 kj(244 kcal),11,"9,1",32,29,"3,5","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Mini crousty knack - Auchan,3596710489046,,,['Auchan'],"['Point Vert', 'Nutriscore', 'Nutriscore D']",,['France'],[],,,[],,?,254,1063 kj(254 kcal),14,"3,7",23,"5,7","8,1","1,6","0,64",,,"['Viandes', 'Charcuteries', 'Saucisses']",,,,14 g,en quantité modérée,3.7 g,en quantité modérée,5.7 g,en quantité modérée,1.6 g,en quantité élevée,,-0%,-1%,-33%,-53%,+1508%,+658%,-46%,-18%,-18%,14,-20%,D,-20%,,,,,,,,['Auchan'],,,,
1068,Italian Herbs peanuts & hazelnuts,5060145050242,,,,,,['France'],[],,,[],,?,592,2477 kj(592 kcal),44,8,15,9,28,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Pate à tartiner chocolat miel,3760188545065,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Huîtres  fine de claires IGP,26089683,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Tarte aux fraises,,,,,,,['France'],[],,,[],,?,194,812 kj(194 kcal),7,"4,3",29,17,"3,1","0,2","0,08",D,,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartes aux fraises']",,,,7 g,en quantité modérée,4.3 g,en quantité modérée,17 g,en quantité élevée,0.2 g,en faible quantité,,-36%,-36%,-43%,-39%,-31%,-35%,-27%,-15%,-15%,8,-45%,C,-45%,86.3%,6.4%,2.9%,2.8%,1.6%,0.0%,45,,,,,
1072,Kazouza mangue,5285002562960,,,,,,['France'],[],,,[],,?,56,234 kj(56 kcal),0,0,14,14,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Natur' & bon,3336972009039,,,,,,['France'],[],,,[],,?,557,2330 kj(557 kcal),40,"3,7",30,23,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Chorizo,0211042000266,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,D,,"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",,,,,,,,,,,,,,,,,,,,,,,,,,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,,,,
1075,Lasagne Maison de Bœuf Black Angus - Table Kopins Kopines - 1,0209044065604,1,['Plastique'],['Table Kopins Kopines'],,,['France'],"['Boeuf Blanck Angus 50%', 'tomates', 'oignons', 'poireaux', 'carotte', 'céleri', 'ail', 'sel', 'poivre', "" Pâte : jaune d'oeuf"", 'farine Pesto : pignons de pain', 'basilic', ""huile d'olive"", 'ail Béchamel : lait', 'beurre', 'farine', 'emmental Allergènes: Oeuf', 'fruits à coque', 'gluten', 'cèleri', 'lait']",,"['Céleri', 'Gluten', 'Lait', 'Fruits à coque']",['Non végétalien'],4,?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Lasagnes à garnir']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,Filets de baudroie oriental grillés,6901248888297,,,,,,['France'],[],,,[],,?,310.7,1300 kj(310 kcal),"2,2",0,"24,2","7,2","47,5","6,75","2,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Velouté de potiron,3574315380104,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Poudre de moringa -  - 250g,0753215834327,250 g,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",,['France'],[],,,"['Végétalien', 'Végétarien']",,?,?,,?,,?,,?,,,,,['Moringa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Tarallini artigianali pizzaiola,8053259474537,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,11714668,11714668,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Donuts de poulet -,3067850001318,,,,['Halal'],,['France'],"['Filet de poulet 63%', 'farine de blé ', 'eau', 'huile de colza', 'farine de maïs', 'fibres de blé ', 'huile de tournesol', 'sel', 'stabilisants ', 'lactate de potassium', 'diacétate de sodium', ',épices ', 'y compris le céleri ', 'maltodextrine ', ' blé ', 'levure', 'glucose', 'amidon de pomme de terre', 'arômes naturels', ""régulateur d'acidité "", 'carbonates de sodium', 'sucre', ""extrait d'épices"", 'amidon modifié', 'stabilisant ', 'citrates de sodium', ' Informations en gras destinées aux personnes allergiques', ' Céréales contenant du gluten']","['E326 - Lactate de potassium', 'E262ii - Diacétate de sodium', 'E500 - Carbonates de sodium', 'E14XX - Amidons modifiés', 'E331 - Citrates de sodium']","['Céleri', 'Gluten']","['Non végétalien', 'Non végétarien']",4,?,207,866 kj(207 kcal),10,"1,2",10,"1,1",18,0,0,B,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,,10 g,en quantité modérée,1.2 g,en faible quantité,1.1 g,en faible quantité,0 g,en faible quantité,,-49%,-49%,-56%,-89%,-78%,-93%,+204%,-100%,-100%,-2,-110%,A,-110%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,
1082,Yaourts bio - Plaisirs du Lait - 4x 125g,3770004507085,4 x 125 g,,['Plaisirs du Lait'],"['Bio', 'Bio européen']",,['France'],[],,,[],,?,?,,?,,?,,?,,,B,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts aromatisés sucrés non allégés en matières grasses']",,,,,,,,,,,,,,,,,,,,,,,,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,
1083,Exquis by Frizou,3579070330609,,,,,,['France'],[],,,[],,?,99.2,415 kj(99 kcal),"0,1",0,"22,9","0,4","0,6","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,Tomme de chèvre,2200503032401,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Jus grenade avec graines de basilic,8936126164079,,,,,,['France'],[],,,[],,?,45,188 kj(45 kcal),0,0,"11,2",11,0,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,Filets de calmar grillés,6901248888983,,,,,,['France'],[],,,[],,?,310,1297 kj(310 kcal),"2,8",0,22,"6,6","48,2","5,17","2,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Miele di acacia - Selex,8003100890313,,,['Selex'],,,['France'],[],,,[],,?,314,1314 kj(314 kcal),0,0,78,78,"0,4",0,0,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,0 g,en faible quantité,0 g,en faible quantité,78 g,en quantité élevée,0 g,en faible quantité,,+9%,+9%,-100%,-100%,+1%,+10%,+15%,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,
1088,Bardane,3664359000424,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,water power ice multifruit,3760205594816,,,,,,['France'],[],,,[],,?,20,84 kj(20 kcal),0,0,"4,4","4,4",6,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Koska Halva Cekme M Pistasch,8690710140978,,,['Koska'],,,['France'],[],,,[],,?,467,1954 kj(467 kcal),"15,9",3,"70,9","48,3",9,0,0,,,"['Snacks', 'Snacks sucrés', 'Confiseries']",,,,15.9 g,en quantité modérée,3 g,en quantité modérée,48.3 g,en quantité élevée,0 g,en faible quantité,,+11%,+11%,+8%,-54%,+6%,-3%,+114%,-100%,-100%,17,-7%,D,-7%,,,,,,,,,,,,
1091,BuitonIGPizza alla seconda salame pizza surgelata - Buitoni,8000300387421,,,['Buitoni'],,,['France'],[],,,[],,?,250,1046 kj(250 kcal),"9,6","3,5",30,"2,2","9,3","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Petits pois myrtille génépi,3700422202262,,,,,,['France'],[],,,[],,?,390,1632 kj(390 kcal),"0,1",0,"97,1","90,2","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Recette au Jambon et légumes verts Ô P'tits Légumes - Madrange - 140g (4tranches),3180940089093,140 g (4 tranches),"['Frais', 'sous atmosphère protectrice', 'Carton', 'Plastique']",['Madrange'],"['Viande Française', 'Viande Porcine Française', 'Point Vert', 'Sans colorants', 'Nutriscore', 'Nutriscore A']","['FR 87.065.001 CE', 'Feytiat (Haute-Vienne, France)']",['France'],"['Jambon de porc ', '52%', 'petits pois ', '22%', 'eau', 'épinards hachés ', '5,0%', 'oignons ', '4,0%', 'arômes naturels', 'fibres de chicorée', 'sel', 'ail', 'fibres de pois', 'amidon de pois', 'bouillon déshydraté ', 'jus concentré de blette', 'carotte', 'acérola', 'fibres de psyllium', 'sucre de canne', 'herbes de Provence', 'poivre', 'ferments', '\r Porc français élevé sans antibiotique dès la fin du sevrage ', '42ème jour', '\rPetits pois', 'épinards hachés', 'oignons origine UE', '\rAil', 'herbes de Provence origine France']",,,"['Non végétalien', 'Non végétarien']",4,419,99,419 kj(99 kcal),"1,3","0,5","5,2","1,8",15,"1,5","0,6",C,SPECIALITE CHARCUTIERE A BASE DE JAMBON DE PORC ET DE LEGUMES,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Spécialité charcutière']","['France', 'Union européenne']",['France'],https://www.madrange.fr/nos-produits/recette-au-jambon-legumes-verts/,1.3 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en faible quantité,1.5 g,en quantité modérée,-17%,-25%,-23%,-73%,-73%,+677%,+203%,-29%,-20%,-20%,-1,-114%,A,-114%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,
1094,Balsam Riga Black Balsam Currant 30% Alc. 0.5L (case=12),4750021537288,,,,,,['France'],[],,,[],,?,0,0 kj(0 kcal),?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Les créations d'Amelie lapin,3120470010198,,,,,,['France'],[],,,[],,?,590,2469 kj(590 kcal),40,24,47,45,"6,9","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Le palet crémeux,6287154231670,,,,,,['France'],[],,,[],,?,270,1130 kj(270 kcal),22,15,0,0,18,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,Miel Sapin,7106589697891,,,,,,['France'],[],,,[],,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Purée De Piments Conimex Sambal Oelek,8714100419038,,,,,,['France'],[],,,[],,?,38,159 kj(38 kcal),"0,5","0,1","3,6","3,6","2,8","9,8","3,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,Jardinière de légumes,0015866017253,,,,,,['France'],[],,,[],,?,62,259 kj(62 kcal),"0,4","0,1","8,2","4,7","4,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Amalaki,3760089410837,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Mangue Premium by Air,3760133320136,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Tettucine d’italia,8010494000280,,,,,,['France'],[],,,[],,?,346,1448 kj(346 kcal),"0,5",0,"71,6",2,"12,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Mille Feuille,0261014019680,,,,,,['France'],[],,,[],,?,389,1628 kj(389 kcal),16,"9,3",40,29,"3,8","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Le sebadas,8007849000019,,,,,,['France'],[],,,[],,?,260,1088 kj(260 kcal),"8,5",3,33,"2,8",13,"0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Le CV du pic blanc,3548781000040,,,,,"['FR 81.206.009 CE', 'Penne (Tarn, France)']",['France'],[],,,[],,?,288,1205 kj(288 kcal),16,16,9,9,16,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Tenders panure aux corn-flakes,3596690781604,,,,"['Nutriscore', 'Nutriscore A']",,['France'],[],,,[],,?,230,962 kj(230 kcal),11,"1,6",16,"0,4",16,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Viande bovine - Entrecôte - La Limousine - 250g,0201000032675,250 g,['Plastique'],['La Limousine'],"['Point Vert', 'en:La limousine']","['FR 46.251.001 CE', 'Saint-Céré (Lot, France)']",['France'],"[""La Limousine Animaux élevés dans le respect du bien-être animal et de l'environnement"", ' Abattoir de St-Céré ', '46', ' Éric PAYROT Tél', ' 05 65 38 38 24 06 08 70 13 54']",,,[],,?,?,,?,,?,,?,,,,,"['Viandes', 'Bœuf', 'Vache']",['France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,La Cidraie,3192200000601,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,Choco Mix,2600123030113,,,,,,['France'],[],,,[],,?,563,2356 kj(563 kcal),"40,8","17,5","39,9","37,6","9,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Cassis - Clos d’albizzi,3424150031313,,,['Clos d’albizzi'],,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Poêlée méditerranéenne,2868075025063,,,,,,['France'],[],,,[],,?,200,837 kj(200 kcal),"0,3","0,01","3,5","2,3",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Sacs papillote,4008871209917,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Brie de Meaux AOP,0219741020936,,,,['AOP'],"['EMB 35068J', 'Châteaubourg (Ille-et-Vilaine, France)']",['France'],[],,,[],,?,272,1138 kj(272 kcal),21,"15,6","0,5","0,5",20,2,"0,8",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries', 'Brie de Meaux']",,,,21 g,en quantité élevée,15.6 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,,-3%,-3%,-3%,+2%,+5%,+98%,-3%,+12%,+12%,16,+5%,D,+5%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,
1114,Mousse au chocolat - Michel et Augustin,0822002771104,,,['Michel et Augustin'],['Sans conservateurs'],,['France'],[],,,[],,?,?,,?,,?,,?,,,D,,"['Desserts', 'Desserts au chocolat', 'Mousses au chocolat']",,,,,,,,,,,,,,,,,,,,,,,,,,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,,,,,
1115,Creme au cafe,3701002405936,,['Opercule en métal'],,,,['France'],[],,,[],,?,220,920 kj(220 kcal),15,11,16,16,"4,5","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,Sauté d’Agneau - Leclerc - 544g,0203000060283,544 g,['Plastique'],['Leclerc'],,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,"['Viandes', ""Viandes d'agneau""]",['France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Gourmandises de primtemps,3395328372326,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Waterzoï de volaille,3563800003475,,,,,,['France'],[],,,[],,?,135,565 kj(135 kcal),"7,8","2,5","4,1","4,1","12,1","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Comté,2871736028143,,,,,,['France'],[],,,[],,?,418,1749 kj(418 kcal),35,23,0,0,27,"0,9","0,36",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,,-0%,-0%,+1%,+1%,-100%,-100%,+0%,+7%,+7%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,
1120,Tradition gourmand Kiwis,3278692500628,,,,,"['EMB 33448B', ""Saint-Médard-d'Eyrans (Gironde, France)"", 'FR 33.448.002 CE', ""Saint-Médard-d'Eyrans (Gironde, France)""]",['France'],[],,,[],,?,105,439 kj(105 kcal),"4,1","2,6",14,13,"2,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Roti Orloff,0209737058715,,,,,,['France'],[],,,[],,?,197,824 kj(197 kcal),12,"5,7","1,3","0,6",21,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Lancette All?uovo 609 [pâtes Haute Qualité] [boîte De 250G] - De Cecco,8001250206091,,,['De Cecco'],,,['France'],[],,,[],,?,365,1527 kj(365 kcal),"3,9","1,2",66,"2,9",15,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Poulet cuit,2209701004234,,,,,,['France'],[],,,[],,?,191,799 kj(191 kcal),12,"3,4","0,7","0,7",20,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Tradition gourmande pêche,3278692500611,,,,,"['FR 33.448.002 CE', ""Saint-Médard-d'Eyrans (Gironde, France)""]",['France'],[],,,[],,?,104,435 kj(104 kcal),4,"2,6",14,13,"2,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Tomates grappe - Leclerc - 650g,0208003021255,650 g,['Papier'],['Leclerc'],,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",['France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Pulpe de tomates en dés bio - Cirrio,8001420119176,,,['Cirrio'],,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Harissa Naturelle extra,6191409601869,,,,,,['France'],[],,,[],,?,126,527 kj(126 kcal),"8,49","1,2","5,82","5,75","6,72","3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,2 filets poulet,2276746035554,,,,,,['France'],[],,,[],,?,95,397 kj(95 kcal),"0,6",0,"1,2",0,21,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,Valrhona Guanaja,3395328348987,,,,,,['France'],[],,,[],,?,569,2381 kj(569 kcal),42,25,34,30,"8,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Brochettes de gambas à la provençale -,3567891131840,,,,"['Nutriscore', 'Nutriscore C']",,['France'],[],,,[],,?,197,824 kj(197 kcal),16,"1,4","1,5","1,4",11,"1,47","0,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Planier Equinox,3770011447336,,,,,,['France'],[],,,[],,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Barre d’amande sucrée bio,8006167400228,,,,,,['France'],[],,,[],,?,551,2305 kj(551 kcal),"33,9","3,5","47,6",44,"13,9","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Riz au lait,7264618,,,,"['Nutriscore', 'Nutriscore C']",,['France'],[],,,[],,?,210,879 kj(210 kcal),8,"5,6",27,14,"7,4","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Chocolat au lait decoré - Hema,8718537943036,,,['Hema'],,,['France'],[],,,[],,?,580,2427 kj(580 kcal),38,23,53,3,"5,6","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,La creme forestiere,2470746015879,,,,,,['France'],[],,,[],,?,311,1301 kj(311 kcal),29,12,"2,4","0,5",10,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Hamburge dIGProsciutto cotto e mozzarella - Selex,8003100870612,,,['Selex'],,,['France'],[],,,[],,?,187,782 kj(187 kcal),11,"6,4",3,1,19,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Baguette la sublime,3289666260707,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Filet de poulet,0213400036146,,,,,,['France'],[],,,[],,?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,11","0,044",D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-21%,-20%,-55%,-46%,-100%,-100%,+1%,-85%,-85%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,
1139,Frutta secca in movi mento,8006940005046,,,,,,['France'],[],,,[],,?,585,2448 kj(585 kcal),"46,7","6,9","13,5","4,2","23,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,Melon déshydraté,5450540410732,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
