,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,quantity,packaging,labels,traceability_code,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,generic_name,link,manufacturing,palm_ingredients,producer_info,brand_owner,origin_detail
880,kiri8  1050 - kiri - 10,3073781097252,['Kiri'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']","['France', 'Maroc']","['Fromage blanc ', '4% de crème', 'eau', 'matière grasse laitière', 'protéines de lait', 'sels de fonte: E330', 'E331', 'E341', 'E452', 'sel', 'épaississant E407', "" 63% de matière grasse sur l'extrait sec"", "" Poids net à l'emballage:160g""]","['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],['Non végétalien'],4,4.5 g,en quantité modérée,3 g,en quantité modérée,0.2 g,en faible quantité,0.26 g,en faible quantité,196,-84%,296,-10%,196 kj(296 kcal),-86%,"4,5",-83%,3,-83%,"0,2",-83%,"0,2",-73%,"1,5",-93%,"0,26",-80%,"0,104",-80%,3,-78%,C,-78%,D,10,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
881,Feuille de chêne rouge - Bonduelle - 125g,3083680605410,['Bonduelle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Salades', 'Aliments à base de plantes frais', 'Légumes-feuilles', 'Légumes frais', 'Salades vertes']",['France'],['feuille de chêne rouge'],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,88,-60%,21,-64%,88 kj(21 kcal),-61%,"0,5",-81%,"0,1",-76%,"1,9",-46%,"0,5",-58%,"1,4",-38%,"0,1",-70%,"0,04",-70%,-6,,A,,B,125 g,"['Plastique', 'Green dot', 'Pensez au tri!', 'Sachet plastique à jeter']","['Fruits et Légumes de France', 'Sans conservateurs', 'Nutriscore', 'Nutriscore A', 'Déjà lavé']","['EMB 55312A', 'Maizey (Meuse, France)', 'EMB 44169H', 'Saint-Julien-de-Concelles (Loire-Atlantique, France)']",['Carrefour Market'],59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,['France'],Prête à l'emploi,,['France'],,,,
882,Melange de legume «printanière» - Cassegrain - 400g net total (265g égoutté),3083680709132,['Cassegrain'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve']",['France'],[],,,[],,0.6 g,en faible quantité,0.1 g,en faible quantité,4.1 g,en faible quantité,0.63 g,en quantité modérée,?,,57,+24%,238 kj(57 kcal),+26%,"0,6",+13%,"0,1",-13%,"7,8",+34%,"4,1",+68%,"3,1",+48%,"0,63",-19%,"0,252",-19%,-8,,A,,,400 g net total (265 g égoutté),"['Conserve', 'Boite  métal à ouverture facile']",['Point Vert'],,"['Super U', 'Magasins U']",,,,,,,,,Mélange légumes,,,,,,
883,Le Chou-Fleur Précuit Vapeur - Bonduelle - 1000g,3083681012354,['Bonduelle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Choux-fleurs']",['France'],"['Choux fleur', ' Traces possibles de CELERI']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.2 g,en faible quantité,0.1 g,en faible quantité,1.7 g,en faible quantité,0.02 g,en faible quantité,96,+2%,23,-12%,96 kj(23 kcal),-11%,"0,2",-56%,"0,1",+5%,"2,3",-7%,"1,7",+4%,"1,8",-11%,"0,02",-57%,"0,008",-57%,-8,,A,,B,1000 g,,"['Nutriscore', 'Nutriscore A']",,,62.1%,0.0%,0.0%,15.3%,21.9%,0.7%,98,,Choux fleurs en petites fleurettes surgelés,,,,,,
884,Le Petit Pois Extra Fondant Précuit Vapeur - Bonduelle - 750g,3083681032345,['Bonduelle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumineuses surgelées', 'Légumes surgelés', 'Petits pois', 'Petits pois surgelés']","['France', 'Suisse']","['Pois doux', ' Traces possibles de CELERI']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.6 g,en faible quantité,0.1 g,en faible quantité,5.6 g,en quantité modérée,0.01 g,en faible quantité,297,+0%,71,-15%,297 kj(71 kcal),-15%,"0,6",+2%,"0,1",-12%,"8,8",+7%,"5,6",+83%,"5,1",-3%,"0,01",-84%,"0,004",-84%,-12,,A,,B,750 g,"['Plastique', 'Surgelé']","['Nutriscore', 'Nutriscore A']",,['Monoprix'],53.1%,0.0%,14.8%,11.8%,14.0%,6.3%,94,,Petits pois doux surgelés,http://www.bonduelle.com/fr/nos-legumes/culture-petit-pois.html,,,,,
885,Pois Chiches façon Tajine - Bonduelle - 400g,3083681090543,['Bonduelle'],"['Plats préparés', 'Légumes préparés']",['France'],"['Eau', 'pois chiches secs trempés 30%', 'pois doux 10,8%', 'carottes 8,6%', 'poivrons rouges 4,6%', 'double concentré de tomates', 'amidon transformé de maïs', 'sel', ""mélange d'épices 0,3%"", 'sucre', 'extrait de levure', 'ail en poudre']",['E14XX - Amidons modifiés'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1 g,en faible quantité,0.1 g,en faible quantité,1.5 g,en faible quantité,0.46 g,en quantité modérée,276,-19%,66,-27%,276 kj(66 kcal),-26%,1,-78%,"0,1",-86%,"8,2",+19%,"1,5",-53%,"4,2",+104%,"0,46",-37%,"0,184",-37%,-3,-863%,A,-863%,,400 g,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,Mélange de légumes cuisiné à base de pois chiche,,,,,,
886,Miel l'Apiculteur - 500g,3088540202259,"[""Miel L'Apiculteur""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,82 g,en quantité élevée,0.001 g,en faible quantité,?,,288,-1%,1205 kj(288 kcal),-2%,0,-100%,0,-100%,82,+4%,82,+17%,"0,3",+7%,"0,001",-92%,0,-92%,,,,,B,500 g,['Plastique'],,,['Magasins U'],87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['France'],,,,,,,
887,Miel acacia de France - L'Apiculteur - 250g,3088540252612,"[""L'Apiculteur"", 'Yves Michaud']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', ""Miels d'acacia"", 'Miels liquides']",['France'],"[""Miel d'acacia de France""]",,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,A,250 g,"['Verre', 'Bocal']","['Point Vert', 'Fabriqué en France', 'Origine France']",,['Magasins U'],87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['France'],,,['France'],,,,
888,Miel de fleur bio - lune de miel - 375g,3088540376271,['lune de miel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],"[""Mélange de miels de fleurs originaires et non originaires de l'Union européenne issus de l'agriculture biologique""]",,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,A,375 g,"['Pot verre', 'Couvercle métal', 'Point vert']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,"['Magasins U', 'Leclerc']",87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,http://www.famillemichaud.com,"['Famille Michaud', 'Domaine Saint Georges', 'Chemin de Berdoulou', '64290', 'Gan', 'France']",,,,
889,Miel de Nos Terroirs - L'Apiculteur - 450g,3088544502263,"[""L'Apiculteur"", 'Yves Michaud']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],['Miel'],,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,0.5 g,en faible quantité,0.5 g,en faible quantité,80 g,en quantité élevée,0.025 g,en faible quantité,?,,320,+10%,1339 kj(320 kcal),+10%,"0,5",+359%,"0,5",+1251%,80,+4%,80,+15%,"0,5",+53%,"0,025",+54%,"0,01",+54%,,,,,B,450 g,"['Squeezer', 'Plastique']",['Point Vert'],,['Magasins U'],87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"['France', 'Espagne']",,,['France'],,,,
890,Blanc de Poulet - Rôti à la Broche - Fleury Michon - 180g,3095756197019,['Fleury Michon'],"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches']",['France'],"['Filet de poulet 93%', 'bouillons ', 'eau', 'os de poulet', 'épices', 'carotte', 'céleri', 'oignon', 'poireau', 'poudre de réglisse', 'sel', 'sel ', 'dextrose de maïs', 'concentrés de _céleri et carotte', 'ferments', 'antioxydant : ascorbate de sodium', 'colorant : caramel ordinaire']","['E301 - Ascorbate de sodium', 'E150a - Caramel E150a']",['Céleri'],"['Non végétalien', 'Non végétarien']",4,1.6 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,450,+2%,?,,450 kj(108 kcal),+1%,"1,6",-22%,"0,4",-34%,"0,5",-54%,"0,5",-41%,22,+6%,"1,8",-3%,"0,72",-3%,3,-33%,C,-33%,C,180 g,"['Frais', 'Plastique', 'Barquette', 'Atmosphère protectrice', 'Film en plastique', 'Barquette']","['Point Vert', 'Sans conservateurs', 'Nutriscore', 'Nutriscore C', 'Alimentation végétale minérale et vitamines']","['FR 85.051.003 CE', 'Chantonnay (Vendée, France)', 'FR 85.182.003 CE', 'Pouzauges (Vendée, France)']","['Auchan', 'Leclerc']",84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['France', 'Union européenne']","Filet de poulet cuit de qualité supérieure, traité en salaison, bruni et rôti au tournebroche.",http://www.fleurymichon.fr/produit/blanc-de-poulet-roti-la-broche-0,"['France', 'Vendée']",,,,
891,Le Supérieur -25% de Sel - Fleury Michon - 6+3tranches,3095758221019,['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Produits à teneur réduite en sel', 'Charcuteries à teneur réduite en sel', 'Jambons blancs à teneur réduite en sel']",['France'],"['Jambon de porc', 'bouillons ', 'eau', 'céleri', 'sauge', 'épices', 'laurier', 'oignon frit ', 'oignon', 'huile de tournesol', 'sel', 'dextrose de maïs', 'épices', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium,']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Céleri'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.3 g,en faible quantité,0.8 g,en faible quantité,0.8 g,en faible quantité,1.4 g,en quantité modérée,?,,112,0%,469 kj(112 kcal),-1%,"2,3",-20%,"0,8",-26%,"0,8",+25%,"0,8",+29%,22,+4%,"1,4",-1%,"0,56",-1%,2,-16%,B,-16%,C,6+3 tranches,"['Plastique', 'Barquette', 'Film en plastique']","['Peu ou pas de sel', 'Peu de sel', 'Allégé en sel', 'Moins 25% de sel', 'Qualité supérieure', 'Bleu Blanc Cœur']","['FR 85.182.003 CE', 'Pouzauges (Vendée, France)', 'FR 59.597.001 CE', 'Tilloy-lez-Cambrai (Nord, France)']",,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['France', 'Espagne']",,,,,,,
892,Muesli tradition - Joseph Favrichon - 500g,3111900350359,['Joseph Favrichon'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",['France'],[],,,[],,7.4 g,en quantité modérée,1.1 g,en faible quantité,13 g,en quantité élevée,0.01 g,en faible quantité,?,,376,-10%,1573 kj(376 kcal),-10%,"7,4",-44%,"1,1",-67%,62,+2%,13,-23%,"9,5",-4%,"0,01",-94%,"0,004",-94%,-3,-161%,A,-161%,B,500 g,"['Sachet', 'Plastique']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans sucre ajouté']",,['Bio14'],53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,
893,Festillant - hab et gaudia - 750ml,3113590006820,['hab et gaudia'],,['France'],"[""Vin désalcoolisé de l'UE "", '80%', ""*-30 % de sucre que d'autres boissons effer - moût de raisin"", 'saccharose', 'gaz carbonique', '| arômes naturels', 'conservateurs : sorbate de potassium', 'anhydride sulfureux <05g 429 429 0,59 <0,01 g | Ingredients: De-alcoholised wine from EU ', '80%', 'grape juice', 'sugar', 'carbon dioxide', 'natural flavours', 'preservatives: potassium sorbate', 'sulphur dioxide Produit en Allemagne - Produced in Germany en with care in a safe']","['E290 - Dioxyde de carbone', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,[],4,,,,,,,,,?,,18,,75 kj(18 kcal),,"0,5",,"0,1",,"4,2",,"4,2",,"0,5",,"0,01",,"0,004",,,,,,,750 ml,,,,['Magasins U'],,,,,,,,,,,,,,,
894,"Limonade des neiges - Ogeu - 1,5L",3119070064359,['Ogeu'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades', 'Boissons avec sucre ajouté']",['France'],"['cau minérale ', '92%', 'sucre ', '7390', 'C02', 'acidifiant : acide citrique', 'arômes naturels']",['E330 - Acide citrique'],,[],4,0 g,en faible quantité,0 g,en faible quantité,7.8 g,en quantité élevée,0 g,en faible quantité,?,,31,0%,130 kj(31 kcal),+3%,0,-100%,0,-100%,"7,8",+4%,"7,8",+7%,0,-100%,0,-100%,0,-100%,11,+8%,E,+8%,,"1,5 L","['Bouteille', 'Plastique']",['Sans conservateurs'],,,,,,,,,,,Boisson à l'eau minérale,,,,,,
895,Emmental râpé extra-fin - Entremont - 4x50g,3123930711253,['Entremont'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",['France'],"['lait ', 'Origine: France', 'sel', 'ferments lactiques']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,29 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,0.7 g,en quantité modérée,?,,369,-1%,1544 kj(369 kcal),-1%,29,+0%,19,-4%,"0,5",-45%,"0,5",+24%,27,-1%,"0,7",-8%,"0,28",-8%,12,+1%,D,+1%,C,4x50g,"['Sachet', 'Sachet en plastique']",,"['FR 74.010.061 CE', 'Annecy (Haute-Savoie, France)']",,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,
896,Oasis tropical - 33.0cl,3124480186577,['Oasis'],"['Boissons', 'Boissons avec sucre ajouté']",['France'],"['Eau de source 80%', 'jus de fruits à base de concentrés 12% ', 'orange 6,4 %', 'pomme 5,5 %', 'fruit de la passion 0,1 %', 'mangue 0,07 %', 'sucre', 'acidifiant : acide citrique', 'arômes', 'antioxydant : acide ascorbique', ""stabilisant : gomme d'acacia"", 'colorant : extrait de paprika']","['E330 - Acide citrique', 'E300 - Acide ascorbique', ""E414 - Gomme d'acacia"", 'E160c - Extrait de paprika']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,8.2 g,en quantité élevée,0 g,en faible quantité,?,,34,-60%,142 kj(34 kcal),-62%,0,-100%,0,-100%,"8,3",-58%,"8,2",-55%,"0,1",-81%,0,-100%,0,-100%,11,-8%,E,-8%,,33.0 cl,['Canette'],,,['Magasins U'],,,,,,,,,,,,,,,
897,Lait de Bretagne - Bridel - 1L,3155250003763,['Bridel'],"['Produits laitiers', 'Frais', 'Laits', 'Laits demi-écrémés', 'Laits frais', 'Laits pasteurisés', 'Laits de vache']",['France'],"['Lait pasteurisé demi-écrémé,']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,1.5 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.11 g,en faible quantité,?,,46,-19%,192 kj(46 kcal),-17%,"1,5",-37%,1,-31%,"4,8",+1%,"4,8",+8%,"3,2",-2%,"0,11",+11%,"0,044",+11%,0,-100%,B,-100%,B,1 L,"['Frais', 'Bouteille', 'Bouchon', 'Plastique']","['Point Vert', 'en:produced-in-bretagne', 'Garantie IPLC', 'Eco-Emballages']","['FR 35.131.001 CE', 'Hermitage (Ille-et-Vilaine, France)']",['Magasins U'],78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,"['France', 'Brretagne']",Lait pasteurisé demi-écrémé,http://www.enviedebienmanger.fr/des-marques-pour-moi/bridel/le-lait,"[""Société Laitière de l'Hermitage (Filiale Groupe Lactalis) - Place de la Gare - 35590 L'Hermitage"", 'Ille-et-Vilaine', 'Bretagne', 'France']",,,,
898,Le Carré Bridel (25 % MG) - Président - 200g,3155250332993,['Président'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Fromages pasteurisés', 'Fromages industriels']",['France'],['Fromage à pâte molle au lait pasteurisé'],,,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,25 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,1231,-5%,297,-5%,1231 kj(297 kcal),-5%,25,-3%,18,0%,~ 0,-100%,~ 0,-100%,18,+3%,"1,3",-5%,"0,52",-5%,13,-8%,D,-8%,C,200 g,"['Frais', 'Feuille papier à recycler']","['Point Vert', 'Eco-Emballages']","['FR 35.239.001 CE', 'Retiers (Ille-et-Vilaine, France)']","['Carrefour market', 'Magasins U']",84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"Fromage industriel de France, à pâte molle à croûte fleurie, au lait pasteurisé de vache",http://www.president.fr/les-plaisirs/fromages/pates-molles/le-carre-bridel/,"['Société Fromagère de Retiers (Filiale Groupe Lactalis) - Lieu dit Fromy - 35240 Retiers', 'Ille-et-Vilaine', 'Bretagne', 'France']",,,,
899,Rondelé au Bleu - Intense et Fondant - Président - 125g,3155250343302,"['Président', 'Rondelé']","['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages pasteurisés', 'Fromages de brebis', 'Fromages à tartiner', 'Fromages à la crème', 'Fromages industriels']","['Danemark', 'France']","['Fromage au lait de vache pasteurisé ', 'origine France', 'protéines de lait', 'fromages pasteurisés au lait de brebis ', 'Bleu 12 %', 'sel']",,['Lait'],['Non végétalien'],4,33 g,en quantité élevée,23 g,en quantité élevée,2 g,en faible quantité,1.5 g,en quantité modérée,?,,343,+10%,1435 kj(343 kcal),+11%,33,+27%,23,+28%,2,+40%,2,+80%,"9,5",-46%,"1,5",+9%,"0,6",+9%,15,+6%,D,+6%,B,125 g,"['Frais', 'Pot - opercule et couvercle plastique à jeter', 'Etui carton à recycler', 'Sous atmosphère protectrice', 'Plastique', 'Carton', 'Triman', 'Point vert', 'Pensez au tri!']",,"['FR 12.176.004 CE', 'Onet-le-Château (Aveyron, France)']","['Simply', 'Irma.dk', 'SuperU', 'Magasins U']",87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,['France'],Fromage au lait de mélange pasteurisé,http://www.president.fr/les-plaisirs/fromages/a-tartiner/rondele-de-president-4/,"['Société Fromagère de Rodez (Filiale Groupe Lactalis) - Rue de la Prade - ZI de Cantaranne - 12850 Onet-le-Château', 'Aveyron', 'Midi-Pyrénées', 'France']",,,,
900,Arôme Fleur d'oranger - Sainte Lucie - 250ml,3162050014011,['Sainte Lucie'],"['Additifs alimentaires', 'Arômes']",['France'],"['Eau', ""arôme fleur d'oranger""]",,,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,250 ml,"['Plastique', 'Bouteille']","['Sans colorants', 'Sans conservateurs']","['EMB 60282A', 'Gouvieux (Oise, France)']",,,,,,,,,,,,,,,,
901,Cuisinez tout à l'Indienne - Ducros - 50g,3166291167703,['Ducros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]",['France'],"['curcuma ', '25%', 'farine de blé', 'coriandre ', '11,3%', 'cumin', 'gingembre', 'poivre', 'moutarde', 'oignon', 'piment de Jamaïque', 'fenugrec', 'muscade', 'ail', 'piment fort', 'girofle,']",,"['Gluten', 'Moutarde']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,2.3 g,en quantité modérée,3.7 g,en faible quantité,0.3 g,en quantité modérée,?,,345,+53%,1443 kj(345 kcal),+51%,?,,"2,3",+214%,?,,"3,7",-67%,13,+74%,"0,3",-98%,"0,12",-98%,,,,,B,50 g,"['Flacon', 'Verre', 'Bouchon', 'Plastique']",,,['Magasins U'],57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,,Assaisonement à base d'épices et d'aromates,http://www.ducros.fr/produits/les-melanges/sachets-melanges/melange-malin-indien,,,,,
902,"Persil, opercule fraîcheur - Ducros - 5g",3166296205509,['Ducros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques']",['France'],['Persil'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,2.12 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,"2,12",+23%,0,-100%,"8,7",+38%,0,-100%,"8,7",+173%,0,-100%,0,-100%,,,,,,5 g,"['Bouchon en plastique', 'flacon verre', 'Flacon']",,,['Magasins U'],,,,,,,,,,,,,,,
903,Cannelle moulue - Ducros,3166296210138,['Ducros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cannelle', 'Cannelle en poudre']",['France'],['100% canelle moulue'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,B,,,,,,63.0%,0.0%,17.9%,13.1%,5.9%,0.0%,78,,,,,,,,
904,Nature - Lay's - 75g,3168930000662,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",['France'],"['Pommes de terre', 'huiles végétales 34% ', 'tournesol', 'colza', 'sel']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,34 g,en quantité élevée,4.2 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,?,,551,+4%,2305 kj(551 kcal),+4%,34,+4%,"4,2",+36%,53,+3%,"0,5",-64%,"6,3",+6%,"1,1",-15%,"0,44",-15%,10,-12%,C,-12%,B,75 g,"['Sachet', 'Plastique']","['Sans colorants artificiels', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",,,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,Chips de pommes de terre goût Nature,,,,,,
905,Bénénuts 3D's Bugles goût fromage format familial 2 x 150 g - Lay's - 300g,3168930007197,"[""Lay's"", 'BENENUTS', ""3D's Bugles""]","['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs soufflés', 'Biscuits apéritifs soufflés à base de maïs', 'Biscuits-aperitif-souffles-au-fromage']",['France'],"['Farine de maïs,huile de tournesol ', '31%', ',base aromatisante fromage [arômes', 'poudre de fromage ', 'LAIT', 'ORGE', 'ail et oignon en poudre', 'extrait de paprika', 'exhausteurs de goût ', 'glutamate monosodique', 'guanylate disodique', 'inosinate disodique', 'chlorure de potassium', 'poudre de PETIT-LAIT],sucre,sel']","['E160c - Extrait de paprika', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E508 - Chlorure de potassium', '', 'Risque modéré de sur-exposition']","['Gluten', 'Lait', 'Maïs']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,32 g,en quantité élevée,2.5 g,en quantité modérée,4 g,en faible quantité,1.98 g,en quantité élevée,2240,+9%,535,+5%,2240 kj(535 kcal),+6%,32,+17%,"2,5",-44%,56,-5%,4,-5%,"5,5",-11%,"1,98",-3%,"0,792",-3%,14,-15%,D,-15%,B,300 g,"['Sachet', 'Plastique']",['Point Vert'],,,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,Produit soufflé à base de maïs goût fromage,,,,,,
