,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,packaging,additives,nova_score,manufacturing,markets,allergens,ingredients_origins,link,origin_detail,brand_owner,palm_ingredients,producer_info
10,Sauce aux légumes (type ratatouille) - Alce nero,8009004808577,,['Alce nero'],['France'],[],[],?,283,1184 kj(283 kcal),"4,7","0,8","4,2",4,"1,1","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Knusperbraten,9002668515651,,,['France'],[],[],?,316,1322 kj(316 kcal),26,13,"0,5","0,5",20,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Mon p'tit gateau super fruits -,3517472466045,,,['France'],[],[],?,439,1837 kj(439 kcal),27,"3,1",39,18,"7,7","0,47","0,188",,"['Biscuits et gâteaux', 'Gâteaux']","['Nutriscore', 'Nutriscore C']",27 g,en quantité élevée,3.1 g,en quantité modérée,18 g,en quantité élevée,0.47 g,en quantité modérée,,+9%,+9%,+38%,-59%,-22%,-35%,+42%,-23%,-23%,8,-55%,C,-55%,,,,,,,,,,,,,,,,,,,,,
13,"Crème glacée Menthe chocolat - En Cuisine - 2,5L",3184830032718,"2,5 L",['En Cuisine'],['France'],[],[],?,839,3510 kj(839 kcal),"9,8","6,4",25,23,"2,2",,,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets']",,9.8 g,en quantité modérée,6.4 g,en quantité élevée,23 g,en quantité élevée,,,,+315%,+312%,+14%,+14%,-11%,-3%,-10%,,,,,,,,,,,,,,"['EMB 29181', 'Plouédern (Finistère, France)']",,"['surgelé', 'Carton']",,,['France'],['Promocash'],,,,,,,
14,2bslim Yonnaise Saus,8719274240037,,,['France'],[],[],?,19,79 kj(19 kcal),0,0,"1,9",0,"0,4","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Garofalo sauce aubergi parmesa - 185g,3700935390180,185 g,['Garofalo'],['France'],"['Pulpe et purée de tomate 59%', 'oignons', 'aubergines préfrites 8,5%', 'huile de tournesol', 'tomates semi-séchées', 'PARMIGIANO REGGIANO AOP ', 'LAIT', ' 4,2%', 'sucre', 'sel', 'ail', 'arômes naturels', 'jus de citron concentré', 'affermissant : chlorure de calcium']","['Sans huile de palme', 'Non végétalien']",482,116,482 kj(116 kcal),"7,9","1,4","6,9","6,1","2,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sauce tomate cuisinée aux aubergines préfrites et au Parmesan AOP, aromatisée.",['Bocal'],"['E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition']",4,,,['Lait'],,,,,,
16,Salade de museau de porc,3300842240341,,,['France'],[],[],?,777,3251 kj(777 kcal),17,"2,7","1,5","1,3","6,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Cranberries - 250g,3760190620422,250 g,,['France'],[],[],?,320,1339 kj(320 kcal),"1,37",0,"82,43",65,"0,1",0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",['Bio'],1.37 g,en faible quantité,0 g,en faible quantité,65 g,en quantité élevée,0 g,en faible quantité,,-5%,-5%,+94%,-100%,+4%,-2%,-64%,-100%,-100%,8,+11%,C,+11%,,,,,,,,,,,,,,,,,,,,,
18,Tomato ketchup - Walima,3760197942503,,['Walima'],['France'],[],[],?,109,456 kj(109 kcal),"0,1","0,1",25,"23,9",2,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Aceitunas rellenas de anchoa,8436007958310,,,['France'],[],[],?,615,2573 kj(615 kcal),14,"2,4","5,6","0,5","1,7","3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Pancetta au sel sec - Monoprix,3350033210455,,['Monoprix'],['France'],[],[],?,317,1326 kj(317 kcal),25,11,1,0,22,"3,575","1,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 11.262.047 CE', 'Narbonne (Aude, France)']",,,,,,,,,,,,,
21,Ananas,2868501018690,,,['France'],[],[],?,42,176 kj(42 kcal),"0,5","0,01",9,"7,1","0,7","0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Ananas']","['Sans additifs', 'Sans conservateurs']",0.5 g,en faible quantité,0.01 g,en faible quantité,7.1 g,en quantité modérée,0.01 g,en faible quantité,,-57%,-55%,+252%,-59%,-54%,-59%,+69%,-87%,-87%,-4,,A,,37.7%,0.0%,0.0%,33.4%,15.9%,13.1%,95,,,,,,,,,,,,,,
22,Arôme Vanille,3441110054786,,,['France'],[],[],?,268,1121 kj(268 kcal),"0,01","0,01","70,9",60,"0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 45008', 'Artenay (Loiret, France)']",,,,,,,,,,,,,
23,JALAPENO - Herr's,0072600004344,,"[""Herr's""]",['France'],[],[],?,150,628 kj(150 kcal),24,12,8,8,4,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Pâté pur porc au Piment d'Espelette,4444000000206,,,['France'],[],[],?,252,1054 kj(252 kcal),"18,7","6,9","5,8","3,7","15,6","1,42","0,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Crème fouettée,3155250729793,,,['France'],[],[],?,305,1276 kj(305 kcal),28,20,11,11,"2,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Lustucru sandwich poulet - 230g,3323790303821,230 g,"['Lustucru', 'Lustucru selection']",['France'],"['Pain de mie 51,3% ', 'farine de BLE et de BLE malté ', 'France', ' 28,7%', 'eau', ""huile d'olive extra vierge"", 'levure boulangère', 'sel', 'GLUTEN de BLE', 'agent de traitement de la farine : acide ascorbique', ""émulsifiant : mono - et diglycérides d'acides gras"", 'fibre de BLE', 'FROMAGE frais ', 'France', ' 15%', 'tomate ', 'France', ' 11,9%', 'dés de poulet rôti cuit traité en salaison 11,5% ', 'viande de poulet* 8,9%', 'France', 'eau', 'huile de tournesol', 'dextrose', 'amidon de pomme de terre', 'sel', 'arômes naturels', 'sucre brun', 'bacon cuit fumé rissolé 8,5% ', 'viande de porc**8% ', 'France', 'sel', 'dextrose', 'arôme de fumée', 'acidifiant : acide citrique', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', 'persil', 'fibre de BLE', 'acidifiants : acétates de sodium-citrate de sodium', "" * Viande de poulet transformée en France provenant d'animaux nés"", 'élevés et abattus enFrance', "" ** Viande de porc transformée en France provenant d'animaux nés,élevés et abattus en France"", ' % exprimés sur le produit total', "" Traces éventuelles d'oeuf"", 'moutarde', ""poissons et gluten contenus dans d'autres céréales"", ' Conditionné sous atmosphère protectrice']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",967,231,967 kj(231 kcal),"9,3","3,8",26,"2,1","9,6","1,3","0,52",B,"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet']","['Viande Française', 'Viande Porcine Française', 'Fabriqué en France']",9.3 g,en quantité modérée,3.8 g,en quantité modérée,2.1 g,en faible quantité,1.3 g,en quantité modérée,+3%,+4%,+3%,+11%,+162%,+1%,-36%,-5%,+7%,+7%,3,+11%,C,+11%,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,,"Sandwich au pain de mie garni de fromage frais, de tomate, de dés de poulet rôti cuit traité en salaison et de bacon cuit fumé rissolé.",['Barquette'],"['E300 - Acide ascorbique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium']",4,,,"['Gluten', 'Lait']",,,,,,
27,Riz rouge - Moulin des moines - 500g,3347430020619,500 g,['Moulin des moines'],['France'],['Riz rouge'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,362,1515 kj(362 kcal),"2,4","0,1","77,7","0,1","7,4",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",2.4 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,,,,+8%,+7%,+100%,-63%,+7%,-71%,+2%,,,,,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,['Plastique'],,1,,,,,,,,,
28,Figues moelleuses - Paquito - 250g,3250392890919,250 g,['Paquito'],['France'],"[""Figues sèches de Turquie issues de l'agriculture biologique"", ' Conditionné dans un atelier qui manipule des fruits contenant du sulfite']",[],?,262,1096 kj(262 kcal),"2,7","0,3",52,45,"2,7","0,21","0,084",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Figues']","['Bio', 'Bio européen', 'FR-BIO-01', 'Nutriscore', 'Nutriscore B', 'AB Agriculture Biologique']",2.7 g,en faible quantité,0.3 g,en faible quantité,45 g,en quantité élevée,0.21 g,en faible quantité,,+2%,+1%,+89%,+12%,-5%,+3%,-16%,+34%,+34%,1,-61%,B,-61%,85.7%,0.0%,0.0%,6.9%,5.6%,1.8%,86,"['EMB 47049B', 'Casseneuil (Lot-et-Garonne, France)']",,,,1,,,,['Turquie'],,,,,
29,Pera bio - Valfrutta,8001440320095,,['Valfrutta'],['France'],[],[],?,60,251 kj(60 kcal),0,0,"14,8","14,1","0,2",0,0,,,"['Bio', 'Bio européen', 'IT-BIO-009']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Jus de pomme - Trimm - 1L,20242527,1L,['Trimm'],"['France', 'Allemagne']","['Naturtrüber Apfelsaft', 'Antioxidationsmittel: Ascorbinsäure']","['Végétalien', 'Végétarien']",201,47,201 kj(47 kcal),"0,1","< 0,1",11,"10,5","0,1","< 0,01","0,004",B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']","['Végétarien', 'Végétalien', 'Sans OGM', 'en:Ohne Gentechnik']",0.1 g,en faible quantité,0.1 g,en faible quantité,10.5 g,en quantité élevée,0.01 g,en faible quantité,+6%,+2%,+5%,-39%,+212%,+1%,+2%,-53%,-8%,-8%,4,-3%,C,-3%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,['Pappe'],['E300 - Acide ascorbique'],1,,,,,,,,,
31,Cuajada artesana de leche de oveja sin gluten tarro - 200g,8437000629054,200 g,,['France'],[],[],?,93,389 kj(93 kcal),"6,1","4,4","4,7","4,7","4,8","0,11","0,044",,,['Sans additifs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Snacks végétales et lentilles,3261055950529,,,['France'],[],[],?,114,477 kj(114 kcal),"3,9","0,4",11,1,"7,1","0,89","0,356",,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Fabulous Muscat doux - feelness - 33cl,3760251401076,33cl,['Feelness'],['France'],"['NLY-ORGANIC - BIOLOGIQUE aromatisée et gazéifiée au jus de raisin biologiqu Boisson sans alcool rafraichissante 2', ' Infusion de pépins de raisin* ', 'eau', 'infusion f vépins de raisin', 'jus de raisin ', '19%', '*', 'siroD de arômes naturels', 'acidifiants : acide citrique ae', 'Concentrés* ', 'pomme""', 'carthae', 'bat: & sureau""', 'cassis*', 'dioxyde de carbone', ' *Ingré ents is TAgriculture Biologique', ' Produit pasteurisé a lgerement gazéifié', ' A servir entre +7°C et +9°C À mnserver à température ambiante avant ouverture Anrs']",[],?,41,172 kj(41 kcal),0,0,10,10,0,0,0,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Boissons sans alcool', 'Vins sans alcool']","['Bio', 'Point Vert']",,,,,,,,,,+8%,+3%,-100%,-100%,+16%,+36%,-100%,-100%,-100%,,,,,,,,,,,,,,['bouteille plastique'],"['E330 - Acide citrique', 'E290 - Dioxyde de carbone']",4,,,,,,,,,
34,"Saucisse barbecue - Au Fumé Vosgien - 0,390kg",3455570016222,"0,390 kg",['Au Fumé Vosgien'],['France'],"['Viande et gras de porc', 'glace', 'lard ', 'poitrine', 'eau', 'sel', 'épices', 'bœuf', ' EMMENTAL', 'sel', 'enzyme', 'ferments', 'sel', ' poivrons', 'épices et plantes aromatiques', 'e450', 'e451', 'plasma de porc', 'sirop de glucose', 'dextrose', 'aromes', 'e575', 'e301', 'e300', 'e250', 'boyau naturel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,1019,4263 kj(1019 kcal),"20,7","8,47","1,8","0,8","13,1","2,21","0,884",,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises']",['Point Vert'],20.7 g,en quantité élevée,8.47 g,en quantité élevée,0.8 g,en faible quantité,2.21 g,en quantité élevée,,+282%,+281%,-6%,+1%,+43%,+9%,-15%,+10%,+10%,27,+47%,E,+47%,,,,,,,,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E575 - Glucono-delta-lactone', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,['Lait'],,,,,,
35,Moutarde noix,3458536023074,,,['France'],[],[],?,379.9,1590 kj(379 kcal),"38,17","3,97","4,16","1,06","4,87","4,35","1,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Fromage au lait de chevre,3305510065882,,,['France'],[],[],?,279,1167 kj(279 kcal),22,16,"3,2","1,7",18,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Tartelettes caramel chocolat - Maison Taillefer,3564884024516,,['Maison Taillefer'],['France'],[],[],?,513,2146 kj(513 kcal),27,16,60,34,"5,8","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sorbet fraise - Auchan - 480g,3596710482283,480 g,"['Auchan', 'Auchan Bio']",['France'],[],[],?,116,485 kj(116 kcal),"0,5","0,1",28,23,"0,5","0,05","0,02",C,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la fraise']","['Bio', 'Nutriscore', 'Nutriscore C']",0.5 g,en faible quantité,0.1 g,en faible quantité,23 g,en quantité élevée,0.05 g,en faible quantité,,-1%,-0%,+113%,+48%,+3%,-1%,+18%,+123%,+123%,6,+21%,C,+21%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,['Surgelé'],,,,['Auchan'],,,,,,,
39,Boîte à oeufs fourrés au praliné - 72g,3474341100793,72 g,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Duru Lentils Red,8691440776307,,,['France'],[],[],?,347,1452 kj(347 kcal),"2,2","0,52","52,82","3,82","24,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Tierno,2350280008165,,,['France'],[],[],?,399,1669 kj(399 kcal),34,24,"1,3","0,5",22,"1,7","0,68",,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Ravioles - Label rouge,3760288490173,,['Label rouge'],['France'],[],[],?,287,1201 kj(287 kcal),13,"8,5",27,"1,4",13,"1,4","0,56",C,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioles', 'Ravioles du Dauphiné']",,13 g,en quantité modérée,8.5 g,en quantité élevée,1.4 g,en faible quantité,1.4 g,en quantité modérée,,+2%,+2%,+12%,+12%,-9%,-5%,0%,-5%,-5%,17,+5%,D,+5%,72.9%,12.7%,5.5%,4.6%,2.4%,1.7%,66,,,,,,,,,,,,,,
43,Lustucru sandwich jambon emmental - 230g,3323790303814,230 g,"['Lustucru', 'Lustucru selection']",['France'],"['Pain de mie 51,3% ', 'farine de BLE et de BLE malté ', 'France', ' 28,7%', 'eau', ""huile d'olive extra vierge"", 'levure boulangère', 'sel', 'GLUTEN de BLE,agent de traitement de la farine : acide ascorbique', ""émulsifiant : mono - et diglycérides d'acides gras"", 'fibre de BLE', 'jambon cuit standard 22 % ', 'jambon de porc* 14,5% ', 'France', 'eau', 'dextrose', 'sel', 'LACTOSE', 'arômes naturels', 'émulsifiant : diphosphates', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', 'acidifiants : citrate de sodium-acétate de sodium', 'FROMAGE frais ', 'France', ' 15,5%', 'EMMENTAL ', 'France', ' 9,5%', 'persil', 'fibre de BLE', 'sel', 'ail', "" * Viande de porc transformée en France provenant d'animaux nés"", 'élevés etabattus en France', ' % exprimés sur le produit total', "" Traces éventuelles d'oeuf"", 'moutarde', ""poissons et gluten contenus dans d'autres céréales"", ' Conditionné sous atmosphère protectrice']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",1078,257,1078 kj(257 kcal),11,"5,2",27,2,12,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sandwich au pain de mie garni de jambon cuit standard, de fromage frais et d'emmental.","['Film en plastique', 'Barquette', 'Barquette']","['E300 - Acide ascorbique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium']",4,,,"['Gluten', 'Lait']",,,,,,
44,Gaufre au cacao,9002859109867,,,['France'],[],[],?,505,2113 kj(505 kcal),26,23,61,26,"6,2","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,barre Raw - 35g,8034055780527,35 g,,['France'],[],[],?,407,1703 kj(407 kcal),14,"2,3",62,52,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Poire kiwi - 120g,8422791009789,120 g,,['France'],[],[],?,56,234 kj(56 kcal),"0,5","0,5","12,1",10,"0,5",,,,,"['Bio', 'Bio européen', 'ES-ECO-001-AN']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Quinoa super Grain of The Andes - 16oz,0041498208677,16 oz,,['France'],[],[],?,333.33333333333,1395 kj(333 kcal),"5,556","1,111","66,667",0,"13,333",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Jeunes pousses BIO 100g+30% - Bonduelle - 130g,3083681115901,130 g,['Bonduelle'],['France'],"['Jeunes pousses de laitue verte BIO', 'jeunes pousses de laitue rouge BIO']","['Sans huile de palme', 'Végétalien', 'Végétarien']",82,20,82 kj(20 kcal),"0,3","0,1","1,9","0,8","1,4","0,05","0,02",,['Salades'],"['Bio', 'Fruits et Légumes de France', 'Nutriscore', 'Nutriscore A']",0.3 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en faible quantité,0.05 g,en faible quantité,-85%,-86%,-86%,-96%,-92%,-80%,-63%,-72%,-94%,-94%,-2,-329%,A,-329%,,,,,,,,"['EMB 44169H', 'Saint-Julien-de-Concelles (Loire-Atlantique, France)', 'EMB 69277C', 'Genas (Rhône, France)', 'EMB 55312A', 'Maizey (Meuse, France)']",Mélange de salades prêt à l'emploi,"['Sachet', 'sous vide']",,1,['France'],,,['France'],,,,,
