,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,quantity,markets,packaging,brand_owner,generic_name,ingredients_origins,manufacturing,link,palm_ingredients,producer_info,origin_detail
490,Nems aux crevettes,8934717265181,C,,"['Produits de la mer', 'Plats préparés', 'Crustacés', 'Crevettes', 'Nems', 'Nem aux crevettes']",['France'],[],,,[],,4.8 g,en quantité modérée,1.2 g,en faible quantité,3.6 g,en faible quantité,1.4 g,en quantité modérée,?,,171,-12%,715 kj(171 kcal),-13%,"4,8",-44%,"1,2",+4%,25,+6%,"3,6",+35%,"5,5",-24%,"1,4",+10%,"0,56",+10%,6,+71%,C,+71%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,,,,,,,,,,
491,Ratafia de Bourgogne 18% vol. 70,3104946024049,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Purée de tomates,8008192026312,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Sauces', 'Sauces tomate', 'Purées de tomates']",['France'],[],,,[],,0.2 g,en faible quantité,0 g,en faible quantité,4.8 g,en faible quantité,0.3 g,en quantité modérée,?,,29,-44%,121 kj(29 kcal),-41%,"0,2",-82%,0,-100%,"4,8",-17%,"4,8",+7%,"1,5",-5%,"0,3",-33%,"0,12",-33%,-3,,A,,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,,,,,,,,,,,,,
493,Riz Thaï demi-complet,3760239180672,,,,['France'],[],,,[],,,,,,,,,,?,,360,,1506 kj(360 kcal),,"2,2",,"0,7",,73,,"0,6",,"8,9",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
494,Mélange de Fruits Rouges - Carrefour - 650g,3560071033804,,['Carrefour'],['nl:diepvries fruit'],"['Belgique', 'France']","['Framboises 25%', 'groseilles 25%', 'myrtilles sauvages 20%', 'mûres sauvages 15%', 'cassis 15%']",,,[],1,,,,,5.2 g,en quantité modérée,,,158,,37,,158 kj(37 kcal),,?,,,,"5,4",,"5,2",,1,,,,,,,,,,,,,,,,,,,650 g,['Carrefour'],['Zak'],,Mélange de fruits rouges surgelés,,,,,"Conditionné en Belgique par Crop's Fruits NV - Oostrozebeeksestraat 148 - 8710 Ooigem, pour Interdis.",Ce mélange de fruits rouges est conditionné en Belgique à partir de fruits de diverses origines afin de vous assurer un approvisionnement toute l'année.
495,Tendre noix sans antibiotique - Herta,7613036825719,,['Herta'],,['France'],[],,,[],,,,,,,,,,?,,108,,452 kj(108 kcal),,"2,9",,"1,1",,"0,5",,"0,5",,20,,"1,4",,"0,56",,,,,,,,,,,,,"['en:gluten-free', 'Fabriqué en France']",,,,,,,,,,,,
496,Camembert à cuire au four,3800013538586,,,,['France'],[],,,[],,,,,,,,,,?,,298,,1247 kj(298 kcal),,22,,15,,4,,"0,5",,21,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
497,Bo loempias - Bofrost - 6Stück = 720g,69016073,,['Bofrost'],['Plats préparés'],['Allemagne'],"['Weizenmehl', 'Wasser', 'Hähnchenbrustfilet gegart', 'Mungobohnenkeimlinge', 'Porree', 'Zwiebeln', 'Karotten', 'Stärke ', 'Weizen', 'Reis', 'pflanzliche Öle ', 'Palm', 'Raps', 'Erbsen', 'Speisesalz', 'Eipulver', 'Zucker', 'Traubenzucker ', 'Dextrose', 'Gewürze ', 'Ingwer', 'Knoblauch', 'weißer Pfeffer', 'Chilipulver', 'Paprika']",,"['Œufs', 'Gluten']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,5.6 g,en quantité modérée,2.7 g,en quantité modérée,2.8 g,en faible quantité,1.3 g,en quantité modérée,?,,149,-7%,623 kj(149 kcal),-7%,"5,6",-22%,"2,7",+18%,"16,1",+20%,"2,8",+35%,"7,8",+12%,"1,3",+38%,"0,52",+38%,3,-24%,C,-24%,,,,,,,,,,6 Stück = 720 g,,,,,,,,,,
498,Eclair panache,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,jambon cuit,2228585018045,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['EMB 12063C', 'Cavalerie (Aveyron, France)', 'FR 12.063.025 CE', 'Cavalerie (Aveyron, France)']",,,,,,,,,,,
500,Matière grasse à tartiner 35% - 365,5400601200321,,['365'],,"['Belgique', 'France']","['Eau', 'huiles et graisses végétales ', 'tournesol', 'palme', 'en proportion variable', 'amidon modifié', 'colour ', 'carotenes', 'vitamins ', 'vitamin A', 'vitamin D', 'émulsifiant ', 'E471', 'lécithines', 'sel ', '0,2%', 'acidifiant ', 'acide citrique', 'conservateur ', 'E202', 'arômes', 'arômes ', 'LAIT', 'colorant ', 'caroténoides', 'vitamines ', 'vitamine A', 'vitamine D', 'Teneur en matière grasse: 35 %', 'Précautions: pour tartiner', 'Ne convient pas pour cuire et rôtir', 'Ne pas congeler', 'DE Streichfett 35% v,H', 'Zutaten: Wasser', 'pflanzliche Öle und Fette ', 'Sonnenblumen', 'Palm', 'in veränderlichen Gewichtsanteilen', 'modifizierte Stärke', 'Emulgator ', 'E471', 'Lecithine', 'Salz ', '0,2%', 'Säuerungsmittel ', 'Zitronensäure', 'Konservierungsstoff ', 'E202', 'Aroma', 'Aroma ', 'MILCH', 'Farbstoff ', 'Carotine', 'Vitamine ', 'Vitamin A', 'Vitamin D', ',Gesamtfettgehalt: 35%', 'Total fat content: 35 %', 'Precautions: for spreading', 'Not suitable for cooking ', 'frying', 'Do not freeze', 'NL Product met 35% vet', 'Ingrediënten: water', 'plantaardige oliën en vetten ', 'zonnebloem', 'palm', 'in wisselende verhoudingen', 'gemodificeerd zetmeel', 'emulgator ', 'E471', 'lecithinen', 'zout ', '0,2%', 'voedingszuur ', 'citroenzuur', 'conserveermiddel ', 'E202', ""aroma's"", ""aroma's "", 'MELK', 'kleurstof ', 'caroteen', 'vitamines ', 'vitamine A', 'vitamine D', 'Totaal vetgehalte: 35 %,']","['E14XX - Amidons modifiés', 'E160 - Caroténoïdes', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322 - Lécithines', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine']",['Lait'],"['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,323,,1351 kj(323 kcal),,35,,"7,5",,"1,9",,0,,"0,5",,"0,22",,"0,088",,,,,,,,,,,,,['Ne pas congeler'],,,['Delhaize'],,,,,,,,,
501,Filets de poulet - La Nouvelle Agriculture,0213311059692,D,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],,,[],,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,?,,104,-21%,435 kj(104 kcal),-20%,"1,3",-55%,"0,4",-46%,0,-100%,0,-100%,23,+1%,"0,11",-85%,"0,044",-85%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
502,Thé vert saveur fruits du verger - La Vie Claire - 100g,3266191018249,B,['La Vie Claire'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE']",,100 g,,,,,,,,,,
503,Confit de gésiers de canard du sud-ouest - Maison Occitane,3443705054614,,['Maison Occitane'],"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de canard']",['France'],[],,,[],,2.5 g,en faible quantité,0.9 g,en faible quantité,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,152,-18%,636 kj(152 kcal),-18%,"2,5",-60%,"0,9",-56%,"0,5",+97%,"0,5",+186%,32,+11%,"1,9",+31%,"0,76",+31%,4,-35%,C,-35%,,,,,,,,,,,,,,,,,,,,
504,Pain nordique,8716309092142,,,,['France'],[],,,[],,,,,,,,,,?,,260,,1088 kj(260 kcal),,12,,2,,7,,2,,22,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
505,Boeuf - Faux Filet,2695335028348,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,
506,3259353102009,3259353102009,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Pain paris - Ogiberri,8437010427466,,['Ogiberri'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Fabriqué en Espagne'],,,,,,,,,,,,
508,Pain d'Epice Figue,3517471222024,B,,"['Biscuits et gâteaux', ""Pains d'épices""]",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,,,,,
509,Passion chocobox - SOCADO,8000017195555,,['SOCADO'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Papillotes en chocolat']",['France'],[],,,[],,31 g,en quantité élevée,19 g,en quantité élevée,57 g,en quantité élevée,0.17 g,en faible quantité,?,,542,+2%,2268 kj(542 kcal),+2%,31,-5%,19,+14%,61,+18%,57,+17%,"3,9",-36%,"0,17",+71%,"0,068",+71%,26,+4%,E,+4%,,,,,,,,,,,,['boite carton'],,,,['Italie'],,,,
510,Comté - Marks & Spencer - 200g,00999694,D,"['Marks & Spencer', 'Marks And Spencer']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['France'],"['Comté cheese', ' Contains Milk']",,,[],,34.6 g,en quantité élevée,22.5 g,en quantité élevée,0 g,en faible quantité,0.83 g,en quantité modérée,?,,418,-0%,1749 kj(418 kcal),-0%,"34,6",-0%,"22,5",-1%,0,-100%,0,-100%,"26,7",-1%,"0,83",-1%,"0,332",-1%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Contient du lait'],"['FR 39.434.001 CE', 'Poligny (Jura, France)']",200 g,,,,,,,,,,
511,Confiserie Bio,6420295003052,,,,['France'],[],,,[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,3,,"2,3",,"77,4",,"61,9",,"3,2",,"0,8",,"0,32",,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
512,Dunkers,7622300219895,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']","['France', 'États-Unis']","['Dairylea CHEESE Dip: Skimmed MILK ', 'Water', 'Skimmed MILK Powder', 'CHEESE', 'Concentrated Whey ', 'from MILK', 'MILK Protein', 'Milk Fat', 'Inulin', 'Emulsifying Salt ', 'Polyphosphate', 'Modified Starch', 'Calcium Phosphate', 'Acidity Regulator ', 'Lactic Acid', ' White Breadsticks: WHEAT Flour', 'Coconut Oil', 'WHEAT Dextrin ', '5', '5%', 'BARLEY Malt Extract', 'Yeast', 'WHEAT Germ ', '1%', 'Salt']","['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E1400 - Dextrines']","['Gluten', 'Lait']",['Non végétalien'],4,7.3 g,en quantité modérée,5.2 g,en quantité élevée,6.1 g,en quantité modérée,1.3 g,en quantité modérée,?,,236,-28%,987 kj(236 kcal),-28%,"7,3",-73%,"5,2",-71%,31,+2462%,"6,1",+722%,10,-51%,"1,3",0%,"0,52",0%,6,-56%,C,-56%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
513,Pumpkin pie spice,05226414,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Tarte citron meringuée,,C,,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Tartes au citron', 'Biscuit sec nappé aux fruits', 'Tartes au citron meringuées']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,,,,,,,,,,,,,
515,Croissant beurre,0206288016409,,,,['France'],[],,,[],,,,,,,,,,?,,383,,1602 kj(383 kcal),,21,,14,,40,,"6,9",,"6,8",,"0,91",,"0,364",,,,,,,,,,,,,,,,,,,,,,,,,
516,Fuseau du mineur,2225883045650,,,,['France'],[],,,[],,,,,,,,,,?,,371,,1552 kj(371 kcal),,"26,2",,"10,5",,3,,"0,7",,"30,9",,"4,5",,"1,8",,,,,,,,,,,,,['Sans colorants'],"['FR 55.567.001 CE', 'Ville-sur-Cousances (Meuse, France)']",,,,,,,,,,,
517,Farfalle - Gondola - 500g,8004350690319,C,['Gondola'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Farfalles', 'Farfalles de blé dur']",['France'],"['Semoule de blé dur', 'eau', ' Contient du gluten']",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.2 g,en faible quantité,0.3 g,en faible quantité,0.3 g,en faible quantité,0.0002 g,en faible quantité,?,,350,-1%,1464 kj(350 kcal),-1%,"1,2",-25%,"0,3",-10%,"3,2",-95%,"0,3",-91%,12,-1%,0,-98%,0,-98%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,500 g,,,,,,,,,,
518,Omega 3 - BiotechUSA,5999076225958,,['BiotechUSA'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Very Berry Crush - Whittard,5022032116257,,['Whittard'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Betteraves biologique,27061374,,,,['France'],[],,,[],,,,,,,,,,?,,44,,184 kj(44 kcal),,"0,5",,"0,1",,"7,2",,"6,7",,2,,"0,14",,"0,056",,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
521,Vin pétillant méthode traditionnelle,3760101350158,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Superbock Biere Pack 4x6,5601164900714,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Poulet français citron,3338910005042,,,,['France'],[],,,[],,,,,,,,,,?,,326,,1364 kj(326 kcal),,"1,3",,"0,4",,"2,7",,"2,1",,"13,7",,"2,21",,"0,884",,,,,,,,,,,,,,"['EMB 62194A', 'Calonne-Ricouart (Pas-de-Calais, France)']",,,,,,,,,,,
524,Pain campagne,3289668360504,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de campagne']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Sandwich au poulet -,8717774629055,C,,"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet']",['France'],[],,,[],,8 g,en quantité modérée,3 g,en quantité modérée,2 g,en faible quantité,1.04 g,en quantité modérée,920,-2%,?,,920 kj(220 kcal),-2%,8,-5%,3,+107%,25,-3%,2,-39%,11,+9%,"1,04",-14%,"0,416",-14%,3,+11%,C,+11%,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,,,,,,,,,,,,,
526,Raudong,0883298618900,,,,['France'],[],,,[],,,,,,,,,,?,,310,,1297 kj(310 kcal),,25,,"0,5",,66,,4,,11,,"1,75",,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,
527,Gel energie - Apurna,3288111359201,,['Apurna'],,['France'],[],,,[],,,,,,,,,,?,,83,,347 kj(83 kcal),,0,,0,,"20,7",,14,,0,,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,
528,Ristreto decafeinato - Nespresso,7630039635251,,['Nespresso'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Organic deli cold cuts,4260430651739,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,180,,753 kj(180 kcal),,16,,"1,5",,"2,2",,"0,7",,"3,5",,"2,2",,"0,88",,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,
530,Miel crémeux Dubreuil,0778143002914,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,80 g,en quantité élevée,0 g,en faible quantité,?,,300,+3%,1255 kj(300 kcal),+3%,0,-100%,0,-100%,85,+11%,80,+15%,0,-100%,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
531,Galettes Bretonnes,3760035035060,,,,['France'],[],,,[],,,,,,,,,,?,,480,,2008 kj(480 kcal),,"19,7",,13,,"70,1",,"27,3",,"6,3",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,
532,Ramo Golosso - Paluani,8002540001785,,['Paluani'],,['France'],[],,,[],,,,,,,,,,?,,387,,1619 kj(387 kcal),,16,,"3,9",,54,,27,,"5,9",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
533,Tripes a la mode caen,3760002120508,E,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Spécialités à base de tripes', 'Tripes à la mode de Caen']",['France'],[],,,[],,5.8 g,en quantité modérée,2.96 g,en quantité modérée,0.4 g,en faible quantité,0.95 g,en quantité modérée,?,,110,-12%,460 kj(110 kcal),-5%,"5,8",+78%,"2,96",+97%,"0,4",-22%,"0,4",+17%,"14,3",-20%,"0,95",-19%,"0,38",-19%,2,+29%,B,+29%,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,,,,,,,,,,,,,
534,All Bran -,5053827103725,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",['France'],[],,,[],,3.5 g,en quantité modérée,0.7 g,en faible quantité,18 g,en quantité élevée,0.38 g,en quantité modérée,?,,334,-16%,1397 kj(334 kcal),-16%,"3,5",-60%,"0,7",-68%,48,-28%,18,+8%,14,+50%,"0,38",+6%,"0,152",+6%,3,-44%,C,-44%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,Céréales au son de blé,,,,,,
535,Meringues Framboise - Biscuiterie Beaujolaise,3760134260158,,['Biscuiterie Beaujolaise'],,['France'],[],,,[],,,,,,,,,,?,,400,,1674 kj(400 kcal),,1,,0,,94,,85,,"3,7",,"0,14",,"0,056",,,,,,,,,,,,,,,,,"['Sachet', 'Plastique']",,,,,,,,
536,recette onctueuse,3664746308034,,,,['France'],[],,,[],,,,,,,,,,?,,394,,1648 kj(394 kcal),,"5,1",,"3,6",,"73,7",,71,,9,,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,,,,
537,Salade de crevettes - Tout feu tout frais - 200g,3760039503855,,"['Tout feu tout frais', 'Brédial']","['Plats préparés', 'Salades', 'Salades composées']",['France'],"['Surimi [eau', 'surimi ', '38%', ' ', 'POISSON', 'sucer', 'amidons ', 'GLUTEN', ""blanc d'ŒUF en poudre réhydraté"", 'huile de colza', 'sel', 'arôme naturel ', 'CRUSTACES', 'colorant : extrait de paprika]', 'CREVETTE 16% ', 'Inde', 'sauce coleslaw [huile de colza', 'eau', 'vinaigre', 'sucre', 'fromage blanc ', '10%', ' ', 'LAIT', 'MOUTARDE ', 'eau', 'graines de MOUTARDE', 'vinaigre', 'sel', 'conservateur : SULFITE acide de sodium', ""jaune d'ŒUF"", ""vinaigre d'alcool"", 'sel', 'saccharose', 'épaississants : gomme guar ', '412', ' - gomme xanthane ', 'E415', ' - amidon modifié de pommes de terre ', 'E1414', ']', 'carotte', 'poivrons', 'mandarine', 'raisin sec ', 'raisin sultanine', 'huile de coton', 'persil']","['E160c - Extrait de paprika', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E14XX - Amidons modifiés', 'E1414 - Phosphate de diamidon acétylé']","['Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,17 g,en quantité modérée,1.3 g,en faible quantité,1.9 g,en faible quantité,0.68 g,en quantité modérée,?,,215,+41%,900 kj(215 kcal),+42%,17,+90%,"1,3",-4%,"9,2",-9%,"1,9",-16%,"5,4",-2%,"0,68",-23%,"0,272",-23%,0,-100%,B,-100%,,,,,,,,"['Sans conservateur artificiel', 'Sans colorants', 'Sans sulfites']","['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",200g,,"['Frais', 'Barquette', 'Plastique']",,"Salade surimi, crevettes (16%), sauce coleslaw",,['Bretagne'],https://www.toutfeu-toutfrais.com/salade-de-crevettes-xml-469_473-539570.html,,,
538,ísey Skyr Protein Drink Erdbeeren Bananen,5690527925105,D,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Skyr']",['France'],[],,,[],,0.1 g,en faible quantité,0.06 g,en faible quantité,5.3 g,en quantité modérée,0.07 g,en faible quantité,?,,54,-21%,226 kj(54 kcal),-21%,"0,1",-73%,"0,06",-67%,"5,7",-12%,"5,3",-9%,"7,6",-19%,"0,07",-34%,"0,028",-34%,-3,,A,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
539,"Salada a l'Indienne - Chou blanc, poulet curry - Tout feu tout frais - 200g",3700520502035,,"['Tout feu tout frais', 'Brédial']","['Plats préparés', 'Salades', 'Salades composées', 'Salades de légumes']",['France'],"['Chou blanc 36%', 'sauce curry 26% ', 'sauce coleslaw [eau', 'fromage blanc à graines 23', '6% ', 'LAIT demi écrémé pasteurisé ferments lactiques', 'huile de vinaigre', 'MOUTARDE ', 'eau', 'graines de MOUTARDE', 'vinaigre', 'sel', 'jaune de maïs', 'épaississant : gomme xanthane]', 'mayonnaise [huile de colza', 'jaune MOUTARDE de Dijon ', 'eau', 'graines de MOUTARDE', 'vinaigre', 'sel', 'vinaigre', 'ketchup [eau', 'concentré de tomate', 'sucre ', 'betterave', 'vinaigre balsamique moût de raisins', 'vinaigre', 'sel', 'amidon de maïs', 'farine de lin', 'cumin', 'coria', 'poivre', 'oignon', 'cannelle]', 'curry 1%', 'carotte râpée', 'tomate', 'pomme', 'poulet']",['E415 - Gomme xanthane'],"['Œufs', 'Lait', 'Moutarde']","['Non végétalien', 'Végétarien']",4,8.9 g,en quantité modérée,0.7 g,en faible quantité,3.7 g,en faible quantité,0.3 g,en quantité modérée,?,,117,-13%,490 kj(117 kcal),-11%,"8,9",+35%,"0,7",-30%,"6,1",-33%,"3,7",+64%,"1,7",-76%,"0,3",-62%,"0,12",-62%,-3,,A,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Sans arômes artificiels', 'Sans additifs', 'Sans conservateur artificiel', 'Sans colorants', 'Sans sulfites']","['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",200g,,"['Frais', 'Barquette', 'Plastique']",,"Salade chou blanc, poulet curry mayonnaise",,['Bretagne'],https://www.toutfeu-toutfrais.com/salade-lindienne-xml-469_473-7262.html,,,
540,Déli' Pocket,3700209900978,,,,['France'],[],,,[],,,,,,,,,,?,,244,,1021 kj(244 kcal),,"8,5",,4,,"31,2",,"4,8",,"9,9",,"1,35",,"0,54",,,,,,,,,,,,,,,,,,,,,,,,,
541,Yaourt Citron - La Ferme Normande,3384075000071,C,['La Ferme Normande'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de vache', 'Yaourts au citron']",['France'],"['Lait entier du jour pastervise de Normandie', 'Sucre', 'Proteines de la Jus de citron: 5%', 'Cubes de zeste de ditron: 2%', 'Sirop de glucose-fructose 00 ', 'base ble', 'Arome naturef de ciron', 'Conservateur E202', ""Correcteur d'acidité: E330"", 'Forments', "" Allergenes: ait peut contenir des traces de soja lécithine,d'amande et de noisette""]","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E322i - Lécithine']",['Gluten'],[],3,2.6 g,en faible quantité,1.4 g,en faible quantité,17 g,en quantité élevée,0.11 g,en faible quantité,?,,113,+7%,473 kj(113 kcal),+7%,"2,6",-37%,"1,4",-47%,18,+34%,17,+35%,"4,3",+24%,"0,11",-8%,"0,044",-8%,3,-17%,C,-17%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,,,,,,,
542,3054080001393,3054080001393,,,"['Non alimentaire', 'Open Beauty Facts']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
