,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,categories,additives,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,palm_ingredients,generic_name,link,manufacturing,traceability_code,ingredients_origins,brand_owner,origin_detail,producer_info
143,Impact Whey Protein (25g) - Myprotein - 100g,5055534320396,100g,['Myprotein'],['France'],"['yarans NGREDIENTS: Concentré de Protéine de Whey ', 'Lait] ', '91 %', 'Emulsifiant ', 'Lécithine de Seja r en Poudre Aromatisant', 'Colorant [Caramel', 'Edulcorant ', 'Sucralosel', 'ALLERGENES resalergenes voir ingrédients en gras DOSAGE SUGGERE: Les proteines contribuent àla misence et au maintien de la masse musculaire donc', ""afin de tirer partiau miieux de ce produit us recommandons d'ajouter1 grandes mesure [25g"", "" à 150-250ml d'eau ou de lat dansun shaier Myprotein 30 minutes avant et/ou après votre séance d'entraine ment"", ' Commealternative Commer à tout moment de la journee pour augmenter votre apport quotidien en proteines', ' NFORMATIONS IMPORTANTES:']",['Non végétalien'],4,?,404,1690 kj(404 kcal),"7,6","4,8","5,6","5,2",80,"0,24","0,096",,['Sachet'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']","['E322i - Lécithine', 'E150 - Caramel']",['Lait'],7.6 g,en quantité modérée,4.8 g,en quantité modérée,5.2 g,en quantité modérée,0.24 g,en faible quantité,,+9%,+9%,+75%,+176%,-20%,+68%,+13%,-68%,-68%,10,+126%,C,+126%,,,,,,,,,,,,,,,,,,
144,Impact WHEY ISOLATE - Myprotein,5055534320570,,['Myprotein'],['France'],['WYPROTEIN YOUR CHOCOLATE PEANUT BUTTER FLAVOUR IMPACT WH EY'],[],,?,345,1443 kj(345 kcal),10,"0,2","2,9","2,9",81,"0,5","0,2",,,['Boissons'],,,10 g,en quantité modérée,0.2 g,en faible quantité,2.9 g,en quantité modérée,0.5 g,en quantité modérée,,+516%,+499%,+2782%,+69%,-74%,-69%,+16231%,+1105%,+1105%,14,+83%,E,+83%,,,,,,,,['en:gluten-free'],,,,,,,,,,
145,"Impact Whey Isolate, Chocolate Peanut Butter - Myprotein",5055534320587,,['Myprotein'],['France'],['MYPROTEIN CHOCOLATE PEANUT BUTTER FLAVOUR IMPACT WHEY ISOLATE'],[],,?,345,1443 kj(345 kcal),10,"0,2","2,9",0,81,"0,5","0,2",D,,"['Produits laitiers', 'Laits']",,,10 g,en quantité modérée,0.2 g,en faible quantité,0 g,en faible quantité,0.5 g,en quantité modérée,,+423%,+427%,+385%,-83%,-52%,-100%,+2182%,+303%,+303%,1,+74%,B,+74%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,
146,BCAA 4:1:1 - MyProtein - 250g,5055534320693,250 g,['MyProtein'],['France'],"['L leucine ', '66%', 'L isoleucine ', '17%', 'L valine ', '17%']",[],4,?,0,0 kj(0 kcal),0,0,0,0,0,,,,['Sachet refrmable'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding']",['E641 - L-leucine'],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,,['en:gluten-free'],['MyProtein'],,Poudre prête à mélanger d'acides aminés à chaîne ramifiée 4:1:1,,,,,,,
147,BCAA - Myprotein,5055534320709,,['Myprotein'],"['France', 'Espagne']","['Composition ngredients Ingrédient•farine de ble  ', '26%', 'sucre', 'huile de colza non hydrogénée', 'Œufs de poules élevés en plein air', 'sirop de glucose-fructose', 'eau', 'beurre de cacao', 'stabilisants : glycérol et sorbitols', 'NOlSETTE', 'sirop de sucre inverti', 'cacao maigre en poudre ', ' émulsifiants: Lécithines ', 'SOJA', "" mono et diglycérides d 'acides gras"", 'huile de Noisette', ""poudre à lever : carbonates d'ammonium"", 'arômes ', 'sel', "" Traces éventuelles de LAIT et d'autres FRUITS A COQUES""]",[],4,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Acides aminés ramifiés']","['E422 - Glycérol', 'E420 - Sorbitol', 'E322i - Lécithine', ""E503 - Carbonates d'ammonium""]","['Lait', 'Soja']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-2,,A,,,,,,,,,"['Plein air', 'Œufs de poules élevées en plein air']",,,,,,,,,,
148,"Impact Whey Isolate , Rocky Road - Myprotein",5055534320747,,['Myprotein'],['France'],"['Isolata Protéine de Whey ', 'Lait', ' ', '91%', 'Emulsifiant ', 'Lécithine Soja', 'Cacao en Poudre', 'Attrne', 'Edulcorant ', 'Sucralose', ' ALLERGÈNES: Pour les allergènes', 'voir ingrédients en gras', 'Peut aussi contenir: œuf', ' DOSAGE SUGGÉRÉ: Les protéines contribuent à la croissance et au maintien de la masse musculaire donc', 'afin de tirer parti au mieux de ce produit', ""nous recommandons d'ajouter I gran&s mesure "", '25g', "" à 150-250ml d'eau ou de lait dans un shaker Myprotein 30 minutes avant et/ou après votre séance d'entraînement"", ' Comme alternative', 'consommer à tout morhent de la journée pour augmenter votre apport qt', 'ntdien en protéines', ' INFORMATIONS IMPORTANTES: A consener dans un endroit frais et sec', ""à l'abri& la lumière directe du sobil"", "" Ce produit est destiné à être utilisé en complément d'un de vè actif et d'une alimentation équilibrée"", ' Convient aux végétariens']","['Non végétalien', 'Végétarien']",4,?,359,1502 kj(359 kcal),"0,9","0,6","5,3","4,2",81,"0,5","0,2",D,,"['Produits laitiers', 'Laits']","['E322i - Lécithine', 'E955 - Sucralose']","['Œufs', 'Lait', 'Soja']",0.9 g,en faible quantité,0.6 g,en faible quantité,4.2 g,en faible quantité,0.5 g,en quantité modérée,,+444%,+448%,-56%,-50%,-12%,-23%,+2182%,+303%,+303%,-2,-448%,A,-448%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,['Végétarien'],,,,,,,,,,
149,MyProtein - impact weight gainer,5055534321423,,['Myprotein'],['France'],[],[],,?,357,1494 kj(357 kcal),"5,9","1,1",44,"3,8",28,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,THERMOPURE - Myprotein,5055534324776,,['Myprotein'],['France'],[],[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Protein pancake mix - Myprotein - 500g,5055534325704,500g,"['Myprotein', 'Myprotein']","['France', 'Italie']","['Seetener Emulsifier ', 'Sq Lect cereals ingred\\ents inbld SUGGESTED USE To make protein packed Emubll add 21arge scoops to 100-150ml milk or water and mix together', 'Heat a Emustnante', ' amount of oillbuttgr redUcetoamediumheatand addtheztothapanandcook Full directions and recipe onthehproten unasaténaf isintendedtabeued Sirop de EmulsifÊnt', 'N72c', ' de Edulcorant ', 'Sucralose', 'Emulsifiant ', 'Lécithine de ""a', ' del Pour ', 'es allergènes', 'y compris les céréales contenant du gluten', 'voir ingrédients en Solda', 'Emu DOSAGE SIJ3GÊR? Pour faire vos propres pancakes riches en protéines', ""ajouter smp!ement 2 Emus meures à IT-19ml de bit ou d'eau et Faire chauffer une poêb sur feu Yfetqcet7unepetitequantité ou de beurra puis réduire à feu moyen et ajouter la pâte dans checcntent jap±eetfarecuire Voustrouverezdesirstructionscomptètes et des idées derecettessurlesite riccfidipro Rscaldare INFORMAIONS IMPORTANTES""]",[],4,?,372,1556 kj(372 kcal),"6,3","2,4",11,"3,3",67,"2,35","0,94",,['boîte'],,"['E955 - Sucralose', 'E322i - Lécithine']",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"Impact Whey Isolate, Natural Banana, 1KG - Myprotein - 1kg",5055534325858,1 kg,['Myprotein'],['France'],"['Isolat de Protéine de Whey ', 'Lait', ' ', '96%', 'Emulsifiant [Lécithine de Soja', 'Naturel', 'Colorant ', 'Curcumin', 'Edulcorant ', 'Sucralose']",['Non végétalien'],4,?,368,1540 kj(368 kcal),"0,6","0,4","4,9","4,9",85,"0,5","0,2",,,,"['E322i - Lécithine', 'E100 - Curcumine', 'E955 - Sucralose']","['Lait', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,My Protein Impact Whey Choc Orange 1000G,5055534326107,,['My protein'],['France'],"['INGREOIENTS: Concentré de Protéine de Whey ', 'Lait', ' ', '91%', 'Emulsifiant ', 'Lécithine de en Poudre', 'Arômq Edulcorant ', 'Sucrabse', ' ALLERGÈNES: Pour les allergènes voir en grat DOSAGE SUGG ÉRÉ: Les protéines contribuent à la croissance et au maintÈn de la masse donc', 'afin de tirer parti au mèux de ce produit', ""nous recommandons d'ajouter 1 grandes mesure "", '25g', "" à d'eau ou de lat dans un shaker Mypmtein 30 minutes avant et/w après votre séance d'entraînement Comme alternative"", 'consommerà tout moment de la journée pour augmenter votre apport quotdien en protéines INFORMATIONS IMPORTANTES: A conserver dans un endroit frais et sec', 'à ', ""abri de la lumière directe du soleil Ce pnduit est destiné à être utilisé en complément d'un mode de vie acttf et d'une alimentation équilib rée"", ' ConvÀ1t aux véqétariens']",['Non végétalien'],4,?,392,1640 kj(392 kcal),"7,4","4,9","7,6","3,7",73,"0,25","0,1",,,,['E322i - Lécithine'],['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"Myprotein Pancake Mix, Neutral",5055534326688,,['Myprotein'],['France'],"['Préparation en poudre pour pancake enrichie en protéines', ' Sans Arôme', ' Aliments dietétiques pour les athlètes  Portion: 2 grandes mesures']",[],,?,372,1556 kj(372 kcal),"6,3","2,4",11,"3,3",67,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans arômes ajoutés'],,,,,,,,,,
155,BCAA 4:1:1 - MyProtein,5055534327074,,['MyProtein'],['France'],[],[],,?,18,75 kj(18 kcal),0,0,0,0,"4,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,protein pancake mix - myprotein - 1Kg,5055534336267,1Kg,['Myprotein'],['France'],[],[],,?,374,1565 kj(374 kcal),"6,1","2,2",15,"7,3",64,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"Impact Whey Protein, Chocolate Banana - MyProtein",5055534337271,,['MyProtein'],['France'],[],[],,?,395,1653 kj(395 kcal),8,"5,3","6,3","5,6",73,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Impact whey protein - MyProtein,5055534337301,,['MyProtein'],['France'],[],[],,?,406,1699 kj(406 kcal),"7,7","5,1","6,6","6,6",77,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"Impact Whey Protein, Rocky Road - MyProtein",5055534337318,,['MyProtein'],"['France', 'Espagne']",[],[],,?,400,1674 kj(400 kcal),"7,4","4,9","5,5","4,8",77,"0,25","0,1",,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']",,,7.4 g,en quantité modérée,4.9 g,en quantité modérée,4.8 g,en faible quantité,0.25 g,en faible quantité,,+8%,+8%,+71%,+182%,-22%,+55%,+9%,-67%,-67%,5,+13%,C,+13%,,,,,,,,,,,,,,,,,,
160,White Chocolate Flavour - Myprotein - 2.5kg,5055534338254,2.5 kg,['Myprotein'],['France'],"['Concentré de Protéine de Whey ', 'lait', ' 96%', 'Emulsifiant ', 'Lécithine de Soja', 'Arôme', 'Édulcorant ', 'Sucralose']",['Non végétalien'],4,?,409,1711 kj(409 kcal),"7,1","4,7","8,3","5,7",78,"0,25","0,1",,['Frais et sec'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']","['E322i - Lécithine', 'E955 - Sucralose']","['Lait', 'Soja']",7.1 g,en quantité modérée,4.7 g,en quantité modérée,5.7 g,en quantité modérée,0.25 g,en faible quantité,,+10%,+10%,+64%,+170%,+18%,+84%,+10%,-67%,-67%,11,+149%,D,+149%,,,,,,,,,,,Proteine aux chocolats blanc,,,,,,,
161,Impact Whey Protein - MyProtein,5055534338261,,['MyProtein'],['France'],[],[],,?,409,1711 kj(409 kcal),"7,1","4,7","8,3","5,7",78,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Protein Waffeln Wafers, Schokolade - Myprotein",5055534338308,,['Myprotein'],['France'],"['Protein Blend ', 'Milk Protein', 'Hydrolysed Gelatine', 'Fortified Wheat Flour ', 'Wheat Flour', 'Calcium Carbonate', 'Iron', 'Niacin', 'Thiamin', 'Palm Oil', 'Cocoa Mass', 'Sugar', 'Fructose', 'Emulsifier ', 'Soya Lecithins', 'Cocoa Powder', 'Cocoa Butter', 'Pea Protein', 'Soya Flour', 'Milk Fat', 'Flavourings', 'Sunflower Oil', 'Salt', 'Raising Agent ', 'Sodium Bicarbonate', 'Cornflour', 'Sweetener ', 'Sucralose', ' Contains: Liquorice', ' ALLERGENS For allergens', 'including cereals containing gluten', 'see ingredients listed in bold', ' Also', 'may contain traces of nuts']","['Huile de palme', 'Non végétalien']",4,?,466,1950 kj(466 kcal),"21,5","14,3",31,"13,1","35,8","0,51","0,204",,,,"['E428 - Gélatine', 'E322 - Lécithines', 'E500ii - Carbonate acide de sodium', 'E955 - Sucralose']","['Gluten', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Pur beurre de cacao', ""À l'huile de tournesol""]",,,,,,,,,,
163,Protein Pasta - MyProtein,5055534338384,,['MyProtein'],['France'],[],[],,?,343,1435 kj(343 kcal),"1,9","0,5",21,"1,2",60,"2,33","0,932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"Impact Whey Protein, Salted Caramel - Myprotein",5055534339985,,['Myprotein'],['France'],"['Concentré de Protéine de Whey ', 'Lait', ' ', '96%', 'émulsifiant ', 'lécithine de soja', 'arôme', 'colorant ', 'E150c', 'édulcorant ', 'sucralose']",['Non végétalien'],4,?,410,1715 kj(410 kcal),"7,2","4,8","7,1","7,1",79,"0,75","0,3",,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']","['E322i - Lécithine', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E955 - Sucralose']","['Lait', 'Soja']",7.2 g,en quantité modérée,4.8 g,en quantité modérée,7.1 g,en quantité modérée,0.75 g,en quantité modérée,,+10%,+11%,+66%,+176%,+1%,+129%,+12%,+0%,+0%,13,+194%,D,+194%,,,,,,,,,,,,,,,,,,
165,Impact Whey Isolate Chocolat - MyProtein - 1g,5055534341827,1 g,['MyProtein'],['France'],[],[],,?,360,1506 kj(360 kcal),"1,2","0,8","4,8","3,2",80,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"Mybar Zero, Lemon Cheesecake - Myprotein",5055534342862,,['Myprotein'],['France'],"['Barre Riche en Protéines', ' Saveur gateau au fromage citronné avec édulcorant', ' INGRÉDIENTS', ' Protéine de lait', 'isomalto-oligosaccharide', 'Agent de charge ', 'polydextrose', 'oligofructose', 'huile de tournesol', 'Amandes ', '5', '6%', 'Arômes', 'Sel', 'Acide ', 'acide citric', 'Édulcorant ', 'glycosides de stéviol', 'Couleur ', 'bêta-carotène', ' ALLERGÈNES: Pour les allergènes', 'voir ingrédients en gras', ' Peut aussi contenir cacahuètes', ' INFORMATIONS IMPORTANTES: Attentton: ne convient pas aux végétariens']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,?,198,828 kj(198 kcal),"6,2","0,7","2,6","2,4",20,"0,37","0,148",,,,"['E1200 - Polydextrose', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E160ai - Bêta-carotène']","['Lait', 'Fruits à coque', 'Arachides']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Non végétarien'],,,,,,,,,,
167,"Flavdrops, Haselnuss,schokolade,vanille - Myprotein",5055534346112,,['Myprotein'],['France'],"['Porteur ', 'Propylène glycol', 'couleur naturelle ', 'betterave', 'carmine [fraise & arômes de framboise uniquement]', 'arôme né édulcorant ', 'sucralose', 'eau']","['Non végétalien', 'Non végétarien']",4,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,"['E1520 - Propylène glycol', 'E955 - Sucralose']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,BCAA Raspberry Lemonade - MyProtein - 250g,5055534351482,250 g,['MyProtein'],"['France', 'Allemagne']","['Leucine', 'Isoleucine', 'Valine 2to1to1', 'Natural Flavour', 'Sucralose', 'Acesulfame Potassium', 'E129', 'E133']","['Végétalien', 'Végétarien']",4,?,0,0 kj(0 kcal),0,0,0,0,0,,,,['Plastic'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Acides aminés ramifiés']","['E955 - Sucralose', 'E950 - Acésulfame K', 'E129 - Rouge allura AC', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,['United Kingdom'],,,,,
169,My pre - Myprotein  - 500g,5055534352274,500g,['Myprotein'],['France'],[],[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Impact Whey Protein Chocolate Mint Stevia Flaviour - MyProtein,5055534352878,,['MyProtein'],['France'],[],[],,?,391,1636 kj(391 kcal),"7,6",5,6,"4,3",73,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Rolled Oats - Unflavoured - 1KG - Myprotein - 1kg,5055534353042,1 kg,['Myprotein'],['France'],"['I I per I per : f I Energia / Evgeticc / Energ aa / Energi / Energi / Fedt I ccnt satftq/davcn gesàtt gte / de les Cu ales setupadas / di cui saturi/ tÊ t varav néttêt / heraf nettet / drati / Hiilihydraatteja / Kchydrater/ Kulhydrater tf I do,tnucker / de / di Cu Zuccheri /jc ista sckereita I va-av scckezrter / heraf sukkerarter I Fit I tua / Fib er / Fibre 1/ i I arcteioas I I Prcteiinia / Orctein / Prctei n SF I Suciea/SaItlSat g • Ucns/Ê-SLcane/Ê-Gir', 'anl tl-G / E-Glucani / E-Glukaani / E-Glukan / E-GIuVan [100%', ' UlN3RE01ENTl Fiacchl di Avann [100%', ' ALLERSENS Frralèr', 'ens', ' ncluding cereals containng glute""l', 'see Ingreejents in bold May']",[],,?,366,1531 kj(366 kcal),"8,4","1,3",56,1,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Rolled Oats - Unflavoured - 2.5KG - Myprotein,5055534353059,,['Myprotein'],['France'],"[""Flocons d'avoine""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",,?,366,1531 kj(366 kcal),"8,4","1,3",56,1,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"Oatein,Chocolate Chip Flavour",5055839528091,,['Oatein'],['France'],"['oatsC320Zo', 'cR011ed Oats,JumbO Oats,loasled Oats Milk Protein', 'Glycerine', 'Sugar', 'Veqetah Maltodextli[', 'Glutamine Peptide ', 'Wheat', 'Chocolate Flavour Coating ', '75%', ' ', 'Sugar', ""Vege'able Oil "", 'Palm1,Cocoopowder', 'Emulsltier [Soy Lecithin', 'Flr', 'ouring', 'Soy Proteln', 'Dark Chocolate Chips ', '37570', ' ', 'Cocoo Mass', 'Sugar', 'Emulsifier [Soy Lecithinl', 'Flavoutinq', 'White Chocolate Chips ', '3', '75%', ' ', 'Sugar', 'Cocoo Butter', 'Mllk Powder', 'Emulsifier [Soy Leclthin]', 'Flavouring', 'Vegetable Oil ', 'Palm', 'Flavouring', 'Sweetener ', 'Sucralose', ' Allergy Information For allergens', 'including cereals containing gluten', 'see Ingredients in bold AISO may contain nuts and peonulst']",['Huile de palme'],4,?,310,1297 kj(310 kcal),"8,6","4,3","37,7","8,5","18,7","0,19","0,076",,,,"['E422 - Glycérol', 'E322i - Lécithine', 'E955 - Sucralose']","['Gluten', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Myprotein Impact Whey Protein Chocolate Brownie,5055936800182,,['Myprotein'],['France'],[],[],,?,390,1632 kj(390 kcal),"7,5","4,9","7,9","3,6",71,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"Impact Whey Isolate, Chocolate Brownie, 2.5KG - Myprotein",5055936800434,,['Myprotein'],['France'],[],[],,?,353,1477 kj(353 kcal),1,1,"6,6","2,3",77,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,My Fettuccine - Myprotein,5055936802803,,['Myprotein'],['France'],"['Water', 'Konjac Flour ', '3', '6%', 'Firming Agent E526']",[],4,?,7,29 kj(7 kcal),"0,1","0,1","0,1","0,1","0,1","0,1","0,04",,,,['E425 - Extrait de racine de Konjac'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Myprotein My Noodles Zero Sugar - 145g,5055936802827,145 g,['Myprotein'],['France'],[],[],,?,7,29 kj(7 kcal),"0,1","0,1","0,1","0,1","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"My Rice, White Rice Made From Konjac Flour - Myprotein",5055936802834,,['Myprotein'],['France'],"['Water ,konjac flour ', '3', '6%', 'firming E526']",[],4,?,7,29 kj(7 kcal),"0,1","0,1","0,1","0,1","0,1","0,1","0,04",,,,['E425 - Extrait de racine de Konjac'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"My Fettuccine, Konjac Flour, 6 x - MYPROTEIN",5055936803077,,['MYPROTEIN'],['France'],"['Water', 'Konjac Flour ', '3', '6%', 'firming Agent: E526']",[],4,?,7,29 kj(7 kcal),"0,1","0,1","0,1","0,1","0,1","0,1","0,04",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Produits sans gluten', 'Pâtes alimentaires sans gluten']","['E425 - Extrait de racine de Konjac', 'E526 - Hydroxyde de calcium']",,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,,-98%,-98%,-95%,-80%,-100%,-90%,-99%,+344%,+344%,-3,,A,,,,,,,,,,,,,,,,,,,
180,"My Lasagne, Konjac Flour, 6 x 100G - Myprotein",5055936803084,,['Myprotein'],['France'],"['NUTRITIONAL INFORMATION Serving Sizc: I Sachet Servings Per Container 6 PerrccŒ Energy Fat of which saturates Carbohydrate of which sugars Fibre Protein Salt INGREDIENTS Water', 'Konjac Flour ', '3', '6%', 'Firming Agent: E526 BEST UEFORE END/BATCH NO']",[],4,?,7,29 kj(7 kcal),"0,1","0,1","0,1","0,1","0,1","0,1","0,04",,,,"['E425 - Extrait de racine de Konjac', 'E526 - Hydroxyde de calcium']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Mysyrup - Blueberry - Myprotein,5055936803831,,['Myprotein'],['France'],"['Eau', 'Epaississants ', 'Carboxyméthylcellulose', 'Gomme de Xanthane', 'Colorant ', 'Anthocyanines', ""Régulateur d'Acidité "", 'Acide Lactique', 'Arômes Naturels', 'Edulcorant ', 'Sucralose', 'Conservateur ', 'Sorbate de Potassium']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,4,17 kj(4 kcal),0,0,"0,6","0,1",0,"0,34","0,136",,,,"['E466 - Carboxyméthylcellulose', 'E415 - Gomme xanthane', 'E163 - Anthocyanes', 'E270 - Acide lactique', 'E955 - Sucralose', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,My Syrup saveur Chocolat - Myprotein - 400ml ℮,5055936803947,400 ml ℮,['Myprotein'],['France'],"['Eau', 'épaississants ', 'carboxyméthylcellulose', 'gomme de xanthane', 'colorant ', ""caramel procédé sulfite d'ammonium"", ""régulateur d'acidité "", 'acide lactique', 'poudre de cacao', 'arômes naturels', 'sel', 'édulcorant ', 'sucralose', 'conservateur ', 'sorbate de potassium']","['Végétalien', 'Végétarien']",4,?,8,33 kj(8 kcal),0,0,"0,5","0,1",0,"0,55","0,22",B,"['Plastique', 'Squeezer', 'Dispenser']","['Boissons', 'Sirops', 'Boissons édulcorées', 'Sirops aromatisés', 'en:Chocolate syrups']","['E466 - Carboxyméthylcellulose', 'E415 - Gomme xanthane', 'E150 - Caramel', 'E270 - Acide lactique', 'E955 - Sucralose', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Anhydride sulfureux et sulfites'],,,,,,,,,,-47%,-44%,-100%,-100%,-81%,-96%,-100%,+1476%,+1476%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,"['Peu ou pas de matière grasse', 'Peu ou pas de sucre', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Sans matière grasse', 'Sans sucre', 'en:Vegetarian Society']",['Myprotein'],,Sirop à Dessert Saveur Chocolat avec Edulcorant.,https://www.myprotein.com/sports-nutrition/sugar-free-syrup/11087103.html,,,,,,
183,Pancake Protéiné - MyProtein,5055936805521,,['MyProtein'],['France'],[],[],,?,382,1598 kj(382 kcal),"6,4","2,2","11,8","4,2","68,6","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"Cashewbutter, Mit Vanille - Myprotein",5055936807631,,['Myprotein'],['France'],"['Noix de cajou grillés [98%]', 'aromatisant à la vanille']",[],2,?,622,2602 kj(622 kcal),51,10,19,"5,5",20,0,0,,,['Matières grasses'],,,51 g,en quantité élevée,10 g,en quantité élevée,5.5 g,en quantité modérée,0 g,en faible quantité,,-23%,-22%,-42%,-56%,+8382%,+3295%,+11199%,-100%,-100%,-4,-135%,A,-135%,,,,,,,,,,,,,,,,,,
185,"Protein Crisps, Sweet Chilli Und Sour Cream, 25G X - MyProtein",5055936807860,,['MyProtein'],['France'],[],[],,?,400,1674 kj(400 kcal),12,"1,2",20,5,45,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
