,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,brand,labels,traceability_code,markets,allergens,nova_score,additives,eco_score,packaging,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,manufacturing,generic_name,link,palm_ingredients,origin_detail,producer_info
937,Nescafé Coffee Original 750 G,7613035298989,['France'],[],[],?,118,494 kj(118 kcal),"0,2","0,1","3,1",0,"7,8",0,0,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",,,,,,,,,,-8%,-19%,-93%,-96%,-87%,-100%,+69%,-100%,-100%,,,,,,,,,,,,E,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,,,,,,,
938,Pure sensitive - Nana,7322541166377,['France'],[],[],?,?,,?,,?,,?,,,,['Protection hygienique'],,,,,,,,,,,,,,,,,,,,,,,['Nana'],,,,,,,,,,,,,,,,,,,,,,
939,"Cacahuètes grillées à sec - Menguy's - 522,6g (+34%offerts)",3490941207458,['France'],"['CACAHUÈTES', 'arômes naturels', 'sel', ""gélifiant : gomme d'acacia"", 'colorant : extraits de paprika']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",2459,594,2459 kj(594 kcal),"47,1","6,3","10,6","5,6","26,9","1,5","0,6","522,6 g (+34%offerts)","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Cacahuètes grillées']",47.1 g,en quantité élevée,6.3 g,en quantité élevée,5.6 g,en quantité modérée,1.5 g,en quantité modérée,-3%,-2%,-3%,-4%,-12%,-12%,+7%,+4%,+52%,+52%,5,-17%,C,-17%,"[""Menguy's""]",,,,['Arachides'],4,"[""E414 - Gomme d'acacia"", 'E160c - Extrait de paprika']",D,['Plastique'],91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,,,,,
940,Dattes Medjool bio,3191220018948,['France'],[],[],?,284,1188 kj(284 kcal),"0,3","0,2",71,"65,5",2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:PS-BIO-149']",,,,,,,,,,,,,,,,,,,,,
941,"Ecrasé de céleri, pomme de terre et noisette - Picard - 450g",3270160870820,['France'],"['Céleri-rave 40%', 'pomme de terre 30%', 'purée de pomme de terre 9%', 'pomme 7,2%', 'crème fraîche liquide ', 'lait', ' 5,9%', 'beurre ', 'lait', 'noisette hachée grillée 2%', 'échalote', 'sel', 'poivre', 'muscade', 'curcuma']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",436,105,436 kj(105 kcal),"6,6","3,9","8,8","1,6","1,4","0,44","0,176",450 g,,,,,,,,,,,,,,,,,,,,,,,,['Picard'],"['Lacto-végétarien', 'Ovo-végétarien', 'Ovo-lacto-végétarien']",,['PICARD'],"['Céleri', 'Lait']",,,,['Surgelé'],,,,,,,,,,"Ecrasé de céleri-rave et de pomme de terre cuisiné avec de la pomme, de la crème et de la noisette, surgelé.",,,,
942,Mon goûter fondant à la noisette -,1596644356287,['France'],"['Sucre', 'farine de blé 36% ', 'origine France', 'graisse et huile de palme', 'pate de noisettes 5%', 'cacao maigre en poudre', 'émulsifiant lécithines ', 'tournesol', 'lait écrémé en poudre poudres à lever carbonates de sodium', 'diphosphates ', ' arôme', 'sel ceufs Traces éventuelles de soja', ""de graines de sésame et d'autres fruits a coque"", ' La pâte de noisettes ne provient pas de France']",['Huile de palme'],?,494,2067 kj(494 kcal),23,9,64,38,"6,2","0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']","['EMB 41059G', 'Contres (Loir-et-Cher, France)']",,['Gluten'],4,"['E322i - Lécithine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,['Huile de palme'],,
943,Pomme nature,3608580038191,['France'],[],[],?,66,276 kj(66 kcal),"0,2",0,15,15,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Boison énergie,4260566950010,['France'],[],[],?,45,188 kj(45 kcal),0,0,11,11,0,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,Tarte citron bio,3770011298563,['France'],[],[],?,327,1368 kj(327 kcal),"17,04","14,71","32,56","22,77","1,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,
946,Nero sfoglie sottilissime arancia sfoglie di,8000300394146,['France'],[],[],?,521,2180 kj(521 kcal),31,20,51,48,"5,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,3564706634039,3564706634039,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,BIO graines de tournesol,3363299037049,['France'],[],[],?,598,2502 kj(598 kcal),"52,1","8,6","3,3","3,2","21,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,
949,Confiture extra Églantines au Muscat,3264950130508,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'églantines""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
950,Tablette d'or petit déjeuner,3564706632462,['France'],[],[],?,66,276 kj(66 kcal),"1,6","0,9","9,5","9,4","3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,
951,JETgum - Lidl,4056489191599,['France'],[],[],?,146,611 kj(146 kcal),0,0,61,0,0,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,['Lidl'],,,,,,,,,,,,,,,,,,,,,,
952,Huile d’olive vierge extra,3760301420378,['France'],[],[],?,810,3389 kj(810 kcal),"91,6","12,8",0,0,0,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",91.6 g,en quantité élevée,12.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-6%,-5%,-4%,-9%,,,,-100%,-100%,6,-2%,C,-2%,,,,,,,,D,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,
953,Actilife Seniors,7613312141847,['France'],[],[],?,1,4 kj(1 kcal),"0,5","0,1","0,98","0,8","0,58",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Jambon cuit superieur bio,3700133915536,['France'],[],[],?,110,460 kj(110 kcal),2,"0,7",1,1,22,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,
955,"Emmental - Terres d'Or - 1,4kg",2998960014916,['France'],"['Lait de vache* ', 'origine UE', 'sel', 'ferments lactiques', 'coagulant', "" *Issue de l'Agriculture Biologique"", ' FR 71', '047', '001 CE SACHET']",['Non végétalien'],1566,?,1566 kj(374 kcal),20,20,0,0,?,"0,7","0,28","1,4 kg","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",20 g,en quantité modérée,20 g,en quantité élevée,0 g,en faible quantité,0.7 g,en quantité modérée,+25%,,+14%,-25%,+12%,-100%,-100%,,-46%,-46%,,,,,"[""Terres d'Or""]",['Bio'],"['FR 71.047.001 CE', 'Bourbon-Lancy (Saône-et-Loire, France)']",,['Lait'],3,,D,"['blister sous vide', 'Sachet en plastique']",84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,
956,Traditional pralines,5411333996901,['France'],[],[],?,534,2234 kj(534 kcal),32,18,56,53,"4,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Chorizo délice du forez,3268750006506,['France'],[],[],?,334,1397 kj(334 kcal),"26,9","26,9","1,8","1,8","21,2","3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 42165A', 'Panissières (Loire, France)', 'FR 42.165.006 CE', 'Panissières (Loire, France)']",,,,,,,,,,,,,,,,,,,,
958,Churros pommes de terre,3338310001989,['France'],[],[],?,334,1397 kj(334 kcal),19,5,27,"5,4","5,6","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,,,,,,
959,Casino avenir,3222475213069,['France'],[],[],?,200,837 kj(200 kcal),0,0,1,1,20,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Birne,4334011026695,['France'],[],[],?,12,50 kj(12 kcal),"0,5","0,1",28,"2,8","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,Muesli croustillant,20247560,['France'],[],[],?,428,1791 kj(428 kcal),16,"5,8",60,30,"7,6","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,Montana Jambonet GR. 200,80292319,['France'],[],[],?,193,808 kj(193 kcal),14,6,4,"0,2",11,"3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Deluxe,8719033449565,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,Kalamata olives - Ifantis,5201310005142,['France'],[],[],?,27.3,114 kj(27 kcal),"3,7","3,1","3,1",1,"6,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,['Ifantis'],,,,,,,,,,,,,,,,,,,,,,
965,Riz au lait à la vanille de Madagascar - NaturéO,3701091701032,['France'],[],[],?,130,544 kj(130 kcal),"3,1","2,1","21,9","11,5","3,6","0,18","0,072",,"['Desserts', 'Puddings', 'Riz au lait']",3.1 g,en quantité modérée,2.1 g,en quantité modérée,11.5 g,en quantité modérée,0.18 g,en faible quantité,,-10%,-9%,-17%,-8%,-3%,-15%,+5%,+40%,+40%,3,-26%,C,-26%,['NaturéO'],"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Nutriscore', 'Nutriscore C']",,,,,,B,,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,,,,,
966,Truffes fantaisies - Mathez,3481292400254,['France'],[],[],?,639,2674 kj(639 kcal),53,40,35,32,"4,2",,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Truffes en chocolat']",53 g,en quantité élevée,40 g,en quantité élevée,32 g,en quantité élevée,,,,+9%,+10%,+22%,+22%,-13%,-13%,-11%,,,,,,,['Mathez'],['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,
967,Yaourt de brebis myrtille - Naturalia - 2x 125g,3700036907102,['France'],"['Lait de brebis demi-écrémé non homogénéisé', 'myrtilles 9,8%', 'sucre de canne équitable', 'groseilles', 'agar-agar', 'ferments lactiques ', 'lait']",['Non végétalien'],287,68.6,287 kj(68 kcal),"2,8",2,15,15,"4,5","0,08","0,032",2 x 125 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']",2.8 g,en faible quantité,2 g,en quantité modérée,15 g,en quantité élevée,0.08 g,en faible quantité,-34%,-35%,-35%,-45%,-40%,+58%,+86%,-7%,-25%,-25%,2,-23%,B,-23%,['Naturalia'],"['Bio', 'Bio européen', 'FR-BIO-01']",,,['Lait'],4,['E406 - Agar-agar'],,,,,,,,,,,,,,,,
968,2 cuisses canette farcies aux cèpes et cuites,3230890075346,['France'],"['Cuisse de canettes semi-desossée 73% minimum ', 'origine: France', 'farce 12% minimum ', 'viande de dinde ', 'origine: France', 'cèpes 1,4% minimum', 'gras de porc', 'eau', 'chapelure ', 'farine de BLE', 'sel', 'foies de poulet', 'persillade ', 'huile de tournesol', 'persil', 'eau', 'ail', 'sel', 'jus de citron concentré', 'vieil Armagnac', 'bolets', ""poudre de blanc d'OEUF"", 'sel', ' eau', 'sucre caramélisé']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,224,937 kj(224 kcal),17,"6,4","1,7",0,0,15,6,,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille']",17 g,en quantité modérée,6.4 g,en quantité élevée,0 g,en faible quantité,15 g,en quantité élevée,,+29%,+31%,+96%,+130%,-83%,-100%,-100%,+1520%,+1520%,18,+392%,D,+392%,,,"['FR 85.065.001 CE', 'Chavagnes-en-Paillers (Vendée, France)']",,"['Œufs', 'Gluten']",3,,C,,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,,,,,
969,Yaourt,3023290047569,['France'],[],[],?,150,628 kj(150 kcal),"7,2","4,7","18,8","16,4","2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Fiori di tonno,8057018221363,['France'],[],[],?,96,402 kj(96 kcal),"0,5","0,2",0,0,24,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,Haribo l'atelier des fêtes - 40g,3103220047859,['France'],"['Sirop de glucos Suce', ' gélatine', ' dextrose', ' acidifiant: acide citrique', 'arône', ' concentrés de fruit', ' et de plantes: carthame', 'spiraline', 'pomme', 'carotte', ' colorants: lutéine', 'antho - cyanes', "" agents d'enrobage: cire d'abeille blanche et jaute"", 'cire de carnauba']","['Non végétalien', 'Non végétarien']",?,335,1402 kj(335 kcal),"0,5","0,1",77,48,"5,8",,,40g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",0.5 g,en faible quantité,0.1 g,en faible quantité,48 g,en quantité élevée,,,,-3%,-3%,+25%,-40%,-4%,-17%,+58%,,,,,,,['Haribo'],,,,,4,"['E428 - Gélatine', 'E330 - Acide citrique', 'E161b - Lutéine', ""E901 - Cire d'abeille"", 'E903 - Cire de carnauba']",E,['Plastique'],90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
972,Bio croissance,3256228439796,['France'],[],[],?,62,259 kj(62 kcal),"3,2",1,7,"4,6","1,4","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,
973,WASABI - Yamachu - 45g,4712542000405,['France'],[],[],1238,296,1238 kj(296 kcal),12,"0,89","3,7",0,"2,5","7,75","3,1",45g,"['Epicerie', 'Condiments', 'Sauces', 'Pâtes au wasabi']",12 g,en quantité modérée,0.89 g,en faible quantité,0 g,en faible quantité,7.75 g,en quantité élevée,,+24%,+23%,+42%,-54%,-89%,-100%,-5%,+60%,+60%,13,+7%,D,+7%,['Yamachu'],,,,,,,,['Tube'],,,,,,,,,,,,,,
974,Beurre 100% végétal,15911582,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Bouchée aux ris de veau - Bigard - 300g,3273230240691,['France'],"['Eau', 'farine de blé', 'ris de veau 14,1% ', 'ris de veau', 'protéines de lait', 'lactose', 'beurre 13,9%', 'champignons de Paris 11,3%', 'crème', 'oignons', 'échalotes', 'vin blanc ', 'conservateurs: sulfites', 'fond de veau ', 'os', 'viande et graisse de veau', 'eau', 'sel', 'jus de légumes concentré ', 'oignon', 'carotte', 'ail', 'poireau', 'plantes aromatiques', 'huile de tournesol', 'épices', 'sel', 'dorure ', 'euf', 'sucre', 'sel', 'trompettes de la mort', 'jus de truffes ', 'jus de truffes ', 'Tuber Melanosporum', 'eau', 'sel', 'sucre', 'épaississants : carraghénanes', 'gomme de caroube', 'arôme naturel de poivre', 'muscade', 'ail']","['Non végétalien', 'Non végétarien']",?,291,1218 kj(291 kcal),19,13,23,"1,8","6,6","1,2","0,48",300g,,,,,,,,,,,,,,,,,,,,,,,,['Bigard'],,"['EMB 29233B', 'Quimperlé (Finistère, France)']",,"['Gluten', 'Lait']",4,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube']",,"['Surgelé', 'Film en plastique', 'Etui en carton', 'Sachet en plastique']",,,,,,,,,,,,,,
976,Vin,3660989153882,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Caramello koala,9300617044901,['France'],"['full cream milk', 'sugar', 'cocoa butter', 'glucose syrup', 'milk solids', 'cocoa mass', 'sweetened condensed milk ', 'milk', 'sugar', 'golden syrup', 'invert sugar', 'vegetable fat', 'emulsifiers ', 'soy lecithin', '476', 'salt', 'acidity regulator ', '331', 'flavours', ' milk chocolate contains cocoa solids 27%', 'milk solids minimum 24%', ' nut serv serv ener pro fat car the equivalent and a hale soi']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,1500,6276 kj(1500 kcal),"26,286","16,571","59,714","53,429",6,"0,321","0,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Soja']",4,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E331 - Citrates de sodium']",,,,,,,,,,,,,,,,
978,"Xanthan Gum, E415 - Myprotein",5055534304600,['France'],[],[],?,372,1556 kj(372 kcal),0,0,5,5,5,"3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,['Myprotein'],,,,,,,,,,,,,,,,,,,,,,
979,Penne zitoni,8005121000306,['France'],[],[],?,255,1067 kj(255 kcal),"1,7",0,72,"3,9",3,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']",1.7 g,en faible quantité,0 g,en faible quantité,3.9 g,en faible quantité,,,,-28%,-28%,+1%,-100%,+3%,+34%,-75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,Bouchées  végétales,3605100027499,['France'],[],[],?,149,623 kj(149 kcal),"5,7","0,66","8,5","0,5",16,"0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,500ml,08541086,['France'],[],[],?,?,,?,,?,,?,,,500 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Biscotti senza olio dIGPalma olio extravergine di oliva,8001122004114,['France'],[],[],?,435,1820 kj(435 kcal),18,"3,2","68,6","0,34","2,4","0,5","0,2",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",18 g,en quantité modérée,3.2 g,en quantité modérée,0.34 g,en faible quantité,0.5 g,en quantité modérée,,-8%,-9%,-13%,-68%,+7%,-99%,-63%,-15%,-15%,9,-55%,C,-55%,,,,,,,,C,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
983,Miellat de sapin du jura,3760258990061,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Chocolat Madagascar,3770013887352,['France'],[],[],?,366,1531 kj(366 kcal),13,"7,4",33,16,16,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,
985,Oursons guimauves ruby - Lidl,4056489277408,['France'],[],[],?,405,1695 kj(405 kcal),"10,9","6,5",73,"65,1","3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,['Lidl'],,,,,,,,['Film en plastique'],,,,,,,,,,,,,,
986,Panna Chef Parmalat Promo GR200,8002580015797,['France'],[],[],?,219,916 kj(219 kcal),"21,5","14,4","3,8","3,8","2,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,['Chef'],,,,,,,,,,,,,,,,,,,,,,
987,Elfes en chocolat,20223700,['France'],[],[],?,541,2264 kj(541 kcal),"31,1","19,4","57,1","56,4","7,2","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Primoda,5941047833792,['France'],"['Sugar', 'vegetable fats ', 'palm', 'shea', 'powder', 'peanut paste 10%', 'cocoa mass', 'cocoa butter', 'whey powder ', 'from milk', 'whole milk powder', 'milk fat', 'cream milk', 'salt', 'banana powder 0', '1% ', 'banana pulp', 'maltodextrin', 'emulsifiers ', 'soy lecithin', 'polyglycerol polyricinolet ', 'curcumin', 'flavoings Milk chocolate contains vegetable fats in addition to cocoa butter', ' Milk chocolate contains: May contain traces of nuts', 'gluten', 'eggs', 'coconut', ' HR/BIH', ' Mliječna čoh im kikirikijem ', '25%', ' Sastojci: šećer', 'biljne masti ', 'palm ', 'kakao maslac', 'sirutka u prahu ', 'mliječna', 'integraino mli prahu 0,1% ', 'komiadići banane', 'maltodekstrin', 'emulgaton Cokalada sadrži biljne masti kao dodatak kakao maslacu', ' Miječna Pegizvod može sadržavati: orašasto voče', 'усьс солено фъстъчено масло', ' ""Одено сухо мляко', 'фЬстьчена паста 10%', 'какаова маса', 'какао нина от мляко', 'пудра от сметана ', 'от мляко', 'СoЛ', 'рецитин', 'полиглицерол полирицинолеат', 'а MA3HMHM OCeeH KakaoBOTO Macno', ' pasta o bu ', 'mlije kun Apyrw pacri сухо вещество от мляко', 'минимум 14%', ' Може да nto@dara', 'ba']",[],?,568,2377 kj(568 kcal),37,2,50,49,"7,7","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,['Pur beurre de cacao'],,,['Soja'],4,['E100 - Curcumine'],,,,,,,,,,,,,,,,
989,3760236920127,3760236920127,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,Kinder delice coconut gateau saveur noix de coco enrobe de cacao t10 pack de 10 pieces - 370g,8000500347652,['France'],"['Sucre', 'graisses végétales ', 'palme', 'karité', 'sal', 'sirop de glucose-fructose', 'humectant ', 'glycerol', 'farine de FROMENT 6,5%', 'LAIT en poudre réhydraté 6%', 'lait de coco en poudre ', 'lait de coco en poudre 85%', 'maltodextrine 10%', 'protéines de LAIT ', 'caséinates de sodium', ' 5%', 'LAIT écrémé en poudre 4,5%', 'noix de coco rapée', 'cacao maigre 3%', 'ŒUF 2,5%', 'dextrose', 'LACTOSERUM en poudre', 'jus de poire concentré', 'amidon de FROMENT', 'LAIT entier en poudre 0,5%', 'émulsifiants ', ""mono et diglycérides d'acides gras"", 'lécithines [SOJA]', ' ', ' poudres à lever ', ""carbonate d'ammonium"", 'carbonate acide de sodium', 'arômes', 'jus de citron concentré', 'beurre de cacao', 'sel', 'pâte de cacao', 'BEURRE concentré']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",1920,459,1920 kj(459 kcal),"23,9","16,6","55,3","39,1","4,8","0,301","0,12",370 g,,,,,,,,,,,,,,,,,,,,,,,,['Kinder'],,,,"['Œufs', 'Gluten', 'Lait', 'Soja']",4,"['E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', ""E503i - Carbonate d'ammonium"", 'E500ii - Carbonate acide de sodium']",,['Wrapper'],,,,,,,,,,Petit gâteau saveur noix de coco enrobé de cacao,,,,
991,Ddelacre biarritz lot 2x175g (350g) noel - Delacre - 350g,3116430212900,['France'],"['Chocolat ', '39%', 'sucre', 'pâte de cacao', 'BEURRE de cacao', 'cacao maigre en poudre', ':actose', 'BEURRE pâtissier', 'émulsifiant : LECITHINE de SOJA', ' - farine de BLE - sucre - graisse végétale ', 'palme', 'colza', ' - NOIX de coco ', '1%', "" - LACTOSE et protéines de LAIT - blanc d'OEUF en poudre - sel - émulsifiant : LECITHINE de SOJA - ârome"", ' peut contenir des traces de fruits a coque']","['Huile de palme', 'Non végétalien']",2167,519,2167 kj(519 kcal),"28,5",16,"58,5","38,2","4,9","0,2","0,08",350 g,,,,,,,,,,,,,,,,,,,,,,,,['Delacre'],,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,['E322i - Lécithine'],,['Wrapper'],,,,,,,,,,Biscuits au chocolat noir,,['Huile de palme'],,
992,Kinder chocolat - chocolat au lait avec fourrage au lait 36 barres - 450g,8000500360491,['France'],"['Chocolat supérieur au LAIT 40% ', 'sucre', 'LAIT en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiants : lécithines [SOJA] ', ' vanilline', 'sucre', 'LAIT écrémé en poudre', 'huile de palme', 'BEURRE concentré', 'émulsifiants : lécithines [SOJA] ', ' vanilline']","['Huile de palme', 'Non végétalien']",2360,566,2360 kj(566 kcal),35,"22,6","53,5","53,3","8,7","0,313","0,125",450 g,,,,,,,,,,,,,,,,,,,,,,,,['Kinder'],,,,"['Lait', 'Soja']",4,['E322i - Lécithine'],,,,,,,,,,,,KINDER CHOCOLAT : Chocolat supérieur au lait avec fourrage au lait,,['Huile de palme'],,
993,Jus de poire canelle,5225666374332,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
