,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,markets,traceability_code,additives,nova_score,ingredients_origins,generic_name,allergens,brand_owner,palm_ingredients,link,manufacturing
488,Tortilla Chocolat,0204647014431,['France'],[],[],?,452,20,58,"8,3",1891 kj(452 kcal),12,23,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Olives noires entières à la grecque,2609831008995,['France'],[],[],?,346,"35,2","1,1","1,9",1448 kj(346 kcal),"3,7","0,6",8,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Confiture artisanale abricot - Les Petits Cagniotes - 350g,3700796300571,['France'],"['Abricot 50%', 'sucre', ' Eventuellement', ""pectine de fruit si le fruit n'en contient pas assez""]",[],?,232,"0,2","56,9","0,6",971 kj(232 kcal),0,"55,2",0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",0.2 g,en faible quantité,0 g,en faible quantité,55.2 g,en quantité élevée,0 g,en faible quantité,,+6%,+6%,-12%,-100%,+7%,+9%,+20%,-100%,-100%,11,+22%,D,+22%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,350 g,,['Les Petits Cagniotes'],['Sans colorants'],,,,3,,,,,,https://lespetitscagniotes.com/confiture-d-abricot,
491,Cube amandes gala - Voisin,3327370608887,['France'],[],[],?,616,"12,7","18,7","15,4",2577 kj(616 kcal),"12,7","17,7","0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Voisin'],,,,,,,,,,,,
492,Baguette four,0250765004267,['France'],[],[],?,312,"1,7",63,10,1305 kj(312 kcal),"0,4","1,8","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Pralines patissieres,3275070999951,['France'],[],[],?,414,"6,6","86,9","2,5",1732 kj(414 kcal),5,"81,7","0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,"Compagnia, Café Pur Et Fruité, 250g - 250g",8001684905843,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,,,,
495,Triangles amandes x2,0202176013123,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Mangue séchée,8938502113305,['France'],[],[],?,355,"0,5",85,"0,175",1485 kj(355 kcal),"0,15",62,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Miel de fleurs d'été,3760224260068,['France'],[],[],?,?,?,?,?,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,
498,Saucisson,2462771041398,['France'],[],[],?,358,"26,1","3,1",29,1498 kj(358 kcal),"9,9","2,3","4,2","1,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Pain aux Figues,0208044011741,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Pain aux Figues,0208044011741,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Préparation fruits grottes.,5410986947407,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
502,Frische Eier,20831134,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,C,"[""Produits d'élevages"", 'Œufs', 'Œufs frais']",,,,,,,,,,,,,,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,['Pappe'],,,,,,,,,,,,,
503,Riz,5391260047108,['France'],[],[],?,355,1,78,"7,5",1485 kj(355 kcal),"0,4","0,4","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Meringuette assortie x25,2030509001794,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Sesamzaad ongepeld,8718215063506,['France'],[],[],?,635,50,23,18,2657 kj(635 kcal),7,"0,3","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Chile picante,7441007500132,['France'],[],[],?,320,0,32,6,1339 kj(320 kcal),0,20,"7,74","3,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Crêpes nature,0205401026240,['France'],[],[],?,242,7,38,"6,4",1013 kj(242 kcal),"3,8",18,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Lard paysan d'Alsace,0252873041653,['France'],[],[],?,512,40,"1,9",35,2142 kj(512 kcal),13,"0,5","7,6","3,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Pomme de terre,3250392308308,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 80285', 'Essertaux (Somme, France)']",,,,,,,,,
510,Aloe Vera honey tea,31567565,['France'],[],[],?,242,0,"55,2","0,2",1013 kj(242 kcal),0,"51,46","0,085","0,034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Palette demi sel,2461795027036,['France'],[],[],?,203,15,"0,7",16,849 kj(203 kcal),6,0,"3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.082.005 CE', 'Epesses (Vendée, France)']",,,,,,,,,
512,Miel de bosque,8437000780441,['France'],[],[],?,342,"1,2","82,3","0,6",1431 kj(342 kcal),"0,1","64,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,4 yaourts nature écrémé - Ferme des Jarouilles,3760142021079,['France'],"['Lait écrémé* et ferments lactiques sélectionnés', "" *produit issu de l'agriculture biologique""]",[],?,?,?,?,?,,,,,,B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts au lait de vache']",,,,,,,,,,,,,,,,,,,,,,,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,,['Ferme des Jarouilles'],"['Bio', 'Bio européen', 'Bio-Cohérence']",,,,,,,['Lait'],,,,
514,Panettone Pur Beurre,53625236,['France'],[],[],?,362,16,50,"6,4",1515 kj(362 kcal),"8,4",25,"0,39","0,156",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",16 g,en quantité modérée,8.4 g,en quantité élevée,25 g,en quantité élevée,0.39 g,en quantité modérée,,-3%,-3%,+7%,-7%,-3%,-3%,-6%,-12%,-12%,18,-3%,D,-3%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,,
515,Jus de pomme citron vert,3270109201234,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,
516,Jus de légume bio - Monoprix Bio,3350031780356,['France'],[],[],?,19,0,4,"0,7",79 kj(19 kcal),0,"3,1","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix Bio'],['Bio'],,,,,,,,,,,
517,"Filet de poulet jaune fermier - Saint charmîn - 0,377kg",2860487035951,['France'],[],[],?,?,?,?,?,,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Poulets fermiers', 'Poulets fermiers jaunes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,377 kg",,['Saint charmîn'],,,,,,,,,,,,
518,Ananas,7443018400012,['France'],[],[],?,6,0,0,0,25 kj(6 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Retour des îles,3760029943920,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Domaine Les Fouques - 750ml,3441380000025,['France'],[],[],?,?,?,?,?,,,,,,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes de Provence']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,750 ml,,['Domaine Les Fouques'],"['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter', 'FR-BIO-01']",,,,,['France'],,,,,,
521,Chocolat au lait,2010085110790,['France'],[],[],?,537,"31,1","58,1","6,1",2247 kj(537 kcal),"19,1","54,7","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Miel de bruyere -  - 500g,3412020001610,['France'],[],[],?,?,?,?,?,,,,,,A,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de bruyère']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,500 g,['Pot en verre'],,,,,,,['France'],,,,,,
523,Dragees amande - Alain Ducasse,3700829002311,['France'],[],[],?,565,39,33,17,2364 kj(565 kcal),13,32,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Alain Ducasse'],,,,,,,,,,,,
524,Herba F1,3561864220944,['France'],[],[],?,375,"8,8",35,35,1569 kj(375 kcal),"1,9",33,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Grego Natural Açucarado - Continente,5601312503354,['France'],[],[],?,143,"8,8",13,3,598 kj(143 kcal),"6,1",12,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Continente'],,,,,,,,,,,,
526,Pruneaux au Vin rouge,3462641000394,['France'],[],[],?,163,"0,3","22,6",1,682 kj(163 kcal),0,"15,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Jarret demi-sel,3321250020318,['France'],[],[],?,140,6,"0,6",21,586 kj(140 kcal),"2,4",0,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"Andouillettes ""La Dûchesse Anne",2618709038446,['France'],[],[],?,210,15,0,19,879 kj(210 kcal),"7,6",0,"1,7","0,68",C,"['Surgelés', 'Pommes de terre préfrites surgelées', 'Pommes duchesses surgelées']",15 g,en quantité modérée,7.6 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,+21%,+23%,+108%,+384%,-100%,-100%,+538%,+107%,+107%,16,+366%,D,+366%,60.4%,2.0%,8.4%,7.0%,10.0%,12.2%,68,,,,,,,,,,,,,,,
529,Cabanettes épeautre,3760255760384,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Miel,3509670002521,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Cocoa drink,5997176738781,['France'],[],[],?,367,"1,9",82,"0,63",1536 kj(367 kcal),"1,1",80,"0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Purée noisettes - Perl'Amande,3267110001120,['France'],[],[],?,691,62,"5,7","15,7",2891 kj(691 kcal),"4,2","4,3","0,01","0,004",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",62 g,en quantité élevée,4.2 g,en quantité modérée,4.3 g,en faible quantité,0.01 g,en faible quantité,,+9%,+9%,+15%,-6%,-33%,-13%,-28%,-40%,-40%,12,+212%,D,+212%,,,,,,,,,,"[""Perl'Amande""]",['en:gluten-free'],,,,,,,,,,,
533,English Teashop Green Tea Bio,0680275031055,['France'],[],[],?,?,?,?,?,,,,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,['Bio'],,,,,,,,,,,
534,Pasta Soybean,5901549275353,['France'],[],[],?,324,4,20,"41,6",1356 kj(324 kcal),1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Sahne Meerrettich,4106480013403,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,,,,,
536,BASILIC,3547130050712,['France'],[],[],?,336,38,"2,7","1,5",1406 kj(336 kcal),6,"2,7","2,3","0,92",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Basilic']",38 g,en quantité élevée,6 g,en quantité élevée,2.7 g,en faible quantité,2.3 g,en quantité élevée,,+387%,+227%,+848%,+569%,-17%,+359%,-58%,+628%,+628%,,,,,63.0%,0.0%,17.1%,8.8%,8.2%,2.9%,94,,,,,,,,,,,,,,,
537,Poulet fermier plein air,0262018115972,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,
538,Emmental,2259799023426,['France'],[],[],?,369,29,0,27,1544 kj(369 kcal),21,0,"0,6","0,24",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",29 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,0.6 g,en quantité modérée,,-2%,-2%,-1%,+7%,-100%,-100%,-2%,-8%,-8%,11,-4%,D,-4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
539,Chips nature - U,3256240046750,['France'],[],[],?,526,34,"46,9","5,9",2201 kj(526 kcal),"2,8","0,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['U'],,,,,,,,,,,,
540,Thé noir breakfast,3259920080044,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Pois chiches à l'Orientale,3760072045053,['France'],[],[],?,121,"3,6","17,9","5,7",506 kj(121 kcal),"0,5","3,8","2,17","0,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
542,Long Jing Imperial - Palais des Thés,2700197001016,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,,,,
543,Figue - Confitures de Lili,3524478011018,['France'],[],[],?,255,0,62,"0,8",1067 kj(255 kcal),0,59,"0,02","0,008",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0.02 g,en faible quantité,,+10%,+10%,-100%,-100%,+12%,+11%,+9%,+8%,+8%,12,+27%,D,+27%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,['Confitures de Lili'],,,,,,,,,,,,
544,Nouilles vietnamiennes Ho Fan,0087303857791,['France'],[],[],?,343,"0,1","72,3","12,9",1435 kj(343 kcal),0,"1,75","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Poitrine fumée,2238769022300,['France'],[],[],?,202,15,"0,9",16,845 kj(202 kcal),"5,2","0,9","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 60.341.011 CE', 'Lagny-le-Sec (Oise, France)']",,,,,,,,,
546,Triple whey vanilla,4260206490159,['France'],[],[],?,382,"3,1","5,3","83,1",1598 kj(382 kcal),"2,2","4,3","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Comté,2200815043690,['France'],[],[],?,430,35,1,27,1799 kj(430 kcal),23,1,"0,8","0,32",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,,+8%,+9%,+7%,+6%,+116%,+260%,+7%,-18%,-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
548,Senfkörner - Hartkorn,40526416,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,"['Epicerie', 'Condiments']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dose'],['Hartkorn'],,,,,,,,,,,,
549,Glaçage miroir or,3491954051489,['France'],[],[],?,252,0,63,0,1054 kj(252 kcal),0,63,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Classic nut cracker - Haldiram's,8904063207432,['France'],[],[],?,634,50,26,20,2653 kj(634 kcal),"10,5","0,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Haldiram's""]",,,,,,,,,,,,
551,Curry Hot Fire - Hartkorn,4052600001112,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices"", 'Curry']",,,,,,,,,,,,,,,,,,,,,,,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,,['Dose'],['Hartkorn'],,,,,,,,,,,,
552,Petits sables vanille noisette - Biscuiterie de Saint-Julien,3346983000208,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Biscuiterie de Saint-Julien'],,,,,,,,,,,,
553,The,3700286556853,['France'],[],[],?,?,?,?,?,,,,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,
554,Curry Hot Burner - Hartkorn,4052600001105,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices"", 'Curry']",,,,,,,,,,,,,,,,,,,,,,,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,,['Dose'],['Hartkorn'],,,,,,,,,,,,
555,Noix de coco râpée,3760023451827,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Filets de poulet fermier d'Auvergne - Carrefour,0287458033785,['France'],[],[],?,?,?,?,?,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Carrefour'],,['Carrefour'],,,,,,,,,,
557,Trio chou Jambon supérieur et Comté,2283992020333,['France'],[],[],?,177,16,"2,2","5,2",741 kj(177 kcal),"3,5","2,1","1,4","0,56",,"['Plats préparés', 'Salades', 'Salades composées', 'Salades au chou jambon comté']",16 g,en quantité modérée,3.5 g,en quantité modérée,2.1 g,en faible quantité,1.4 g,en quantité modérée,,+16%,+17%,+79%,+159%,-78%,-7%,-6%,+59%,+59%,11,+624%,D,+624%,,,,,,,,,,,,,,,,,,,,,,
558,Filet Tranché de dinde,2850393036142,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,2 escalopes de dinde extra fine - Auchan,2600491021454,['France'],[],[],?,105,"0,5","0,5",25,439 kj(105 kcal),"0,5","0,5","0,1","0,04",D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",0.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,,-13%,-13%,-62%,+24%,-83%,-35%,+9%,-82%,-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,['Auchan'],,['Auchan'],,,,,,,,,,
560,Confit de cerise au piment d'Espelette - Au Faisan Doré,3700422252182,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Au Faisan Doré'],,,,,,,,,,,,
561,Piccadilly Blend - Whittard,5022032122791,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Whittard'],,,,,,,,,,,,
562,Sirop orange sanguine,0612511051787,['France'],[],[],?,?,?,?,?,,,,,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', ""Sirops d'orange""]",,,,,,,,,,,,,,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,
563,Pomme d'amour,0207500019352,['France'],[],[],?,0,0,0,0,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Bananes - Auchan,2600480009258,['France'],[],[],?,?,?,?,?,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,['Auchan'],"['Bio', 'Bio européen', 'FR-BIO-10']",['Auchan'],,,,,,,,,,
565,Esse di Burano,8002749010281,['France'],[],[],?,459,"18,1",65,"7,3",1920 kj(459 kcal),"10,5","26,3","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Savennieres Chateau d'Epuré 2006,3362720170188,['France'],[],[],?,?,?,?,?,,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,['France'],,,,,,
567,Boisson,9501100006325,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Charcuterie,2281533038441,['France'],[],[],?,185,"8,2","0,7","26,9",774 kj(185 kcal),"3,3","0,7","4,41","1,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Viande de boeuf sechee,3530770002012,['France'],[],[],?,333,"5,2","39,3","29,5",1393 kj(333 kcal),"1,8","35,3","2,5",1,,"['Viandes', 'Viandes séchées', 'Viande de bœuf séchée']",5.2 g,en quantité modérée,1.8 g,en quantité modérée,35.3 g,en quantité élevée,2.5 g,en quantité élevée,,+25%,+25%,+23%,+20%,+179%,+236%,-25%,-32%,-32%,22,+51%,E,+51%,,,,,,,,,,,,,,,,,,,,,,
570,Reibekuchen,4040744488456,['France'],[],[],?,180,"10,4","18,6",3,753 kj(180 kcal),"1,1","2,5","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,
571,Grau Schlemmertöpfchen Forelle & Huhn mit Lachsöl,4027671067664,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dose'],,,,,,,,,,,,,
572,Cornichons fins au vinaigre,3760211821456,['France'],[],[],?,18,"0,24","2,63","1,43",75 kj(18 kcal),"0,1","0,18","0,9","0,36",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons au vinaigre']",0.24 g,en faible quantité,0.1 g,en faible quantité,0.18 g,en faible quantité,0.9 g,en quantité modérée,,-10%,-5%,-18%,+78%,+34%,-85%,+31%,-50%,-50%,-2,-198%,A,-198%,,,,,,,,,,,['Bio'],,,,,,,,,,,
573,Lakritz salziger Mix,7310350128303,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Poulet jaune fermier du Gers,0200450032990,['France'],[],[],?,?,?,?,?,,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Poulets fermiers', 'Poulets fermiers jaunes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Grau Schlemmertöpfchen Lachs mit Pastinaken - 200g,4027671067237,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,['Dose'],,,,,,,,,,,,,
576,Pate de gingembre,9557519301483,['France'],[],[],?,29,0,7,0,121 kj(29 kcal),0,1,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
