,name,bar_code,brand,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,nova_score,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,packaging,palm_ingredients,ingredients_origins,traceability_code,markets,manufacturing,link,producer_info
594,Poivrons et oignons grillés - Amigos,3351700070327,['Amigos'],,['France'],"['poivrons ', '80%', 'oignons ', '20%', 'sel', 'acidifiant : acide citrique ', 'E330', 'stabilisant : chlorure de calcium ', 'E509']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,37,155 kj(37 kcal),"0,2",0,"7,8","4,7","0,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E330 - Acide citrique'],,,,,,,,,
595,Classic Food Ranch Salad Sauce - Classic Foods Of America,3351700070891,['Classic Foods Of America'],,['France'],"['HUILE VÉGÉTALE [HUILE DE COLZA]', 'EAU', 'SUCRE', 'VINAIGRE', ""JAUNES SEL EXTRAIT D'AIL co"", '1 0%', 'EXTRAIT DE PERSIL ', '0', '1 0%', 'JUS DE CITRON CONCENTRÉ co', 'l ARÔME MOUTARDE 5%', 'STABILISANTS : AMIDON DE MAÏS', 'FARINE DE DE Id', 'GOMME ?202', 'ANTIOXYDANT : EXTRAIT DE ROMARIN/ ?392J']",['Moutarde'],[],?,392,1640 kj(392 kcal),"40,5","4,6","6,2","5,4","0,6","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E392 - Extrait de romarin'],,,,,,,,,
596,Sauce alfredo,3351700071744,,['Fabriqué en France'],['France'],[],,[],?,257,1075 kj(257 kcal),"23,93","12,46","2,55","1,55","7,75","1,09","0,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.159.003 CE', 'Pleucadeuc (Morbihan, France)']",,,,
597,Chomichurri Steak Sauce,3351700072000,,,['France'],[],,[],?,1112,4653 kj(1112 kcal),"26,7","3,3",0,0,0,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,NY bagels nature -,3351700165153,,,['France'],[],,[],?,270,1130 kj(270 kcal),1,0,57,7,9,1,"0,4",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains Bagel']",,0 g,en faible quantité,7 g,en quantité modérée,1 g,en quantité modérée,,-1%,-2%,-72%,-100%,+18%,+28%,-8%,+14%,+14%,54.4%,24.1%,13.6%,6.9%,1.0%,0.0%,94,1 g,en faible quantité,3,+43%,C,+43%,,,,,,,,,,
599,Pâte à bois - blanc,3351840860864,,,['France'],[],,[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Pâte à bois - blanc,3351840860864,,,['France'],[],,[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Tripous,3352180000163,,,['France'],[],,[],?,125,523 kj(125 kcal),"5,9","2,1","0,5","0,5",18,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Tripes LA NAUCELLOISE,3352180000262,,,['France'],[],,[],?,95,397 kj(95 kcal),"3,2","1,6","0,5","0,5",16,"1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Tripes à la catalane LA NAUCELLOISE,3352180000286,['La Naucelloise'],,['France'],[],,[],?,99,414 kj(99 kcal),"2,6","1,2","2,2","0,4","16,7","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Pâté de campagne pur porc LA NAUCELLOISE,3352180000347,,,['France'],[],,[],?,381,1594 kj(381 kcal),"35,7",15,"0,5","0,5","14,5","1,8","0,72",,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,15 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,,+23%,+23%,+32%,+49%,-79%,-46%,+2%,+8%,+8%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,35.7 g,en quantité élevée,21,+11%,E,+11%,,,,,,,,,,
605,Jambonneau au genievre - La Naucelloise,3352180000460,['La Naucelloise'],,['France'],[],,[],?,143,598 kj(143 kcal),7,"2,6","1,2","0,5",19,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Soupe au fromage LA NAUCELLOISE,3352180000576,,,['France'],[],,[],?,117,490 kj(117 kcal),"5,4","3,4",12,"1,8","5,3","1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 12.169.002 CE', 'Naucelle (Aveyron, France)']",,,,
607,Tripous charles savy,3352180000941,,,['France'],[],,[],?,125,523 kj(125 kcal),"5,9","2,1","0,5","0,5",18,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,vin rouge Syrah cuvée Veredus pays-d'oc -  - 3l,3352260089408,,,['France'],[],,[],?,?,,?,,?,,?,,,3 l,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', ""Pays d'Oc""]",,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,['France'],,,,,
609,3352260101605,3352260101605,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Famille Fabre - 75cl,3352260127803,['Famille Fabre'],,['France'],['contient des sulfites'],['Anhydride sulfureux et sulfites'],[],?,?,,?,,?,,?,,,75 cl,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",3,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,"['Bouteille', 'Verre']",,['France'],,,['France'],,
611,Nectar Papaye Passion - ROTUI - 1l,3352271120046,"['ROTUI', 'jus de fruits de Moorea']",,"['France', 'Polynésie française']","['Eau', 'purée de papaye', 'jus concentré de fruits de la passion', 'sucre', 'acidifiant : acide citrique', 'antioxydant : vitamine C']",,[],?,47,197 kj(47 kcal),"0,1",0,"11,5","10,4","0,3","0,01","0,004",1 l,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']",3,0 g,en faible quantité,10.4 g,en quantité élevée,0.01 g,en faible quantité,,+2%,+3%,-41%,-100%,+8%,+7%,-23%,+1%,+1%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,0.1 g,en faible quantité,4,+5%,C,+5%,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",jus de papaye,['Carton'],,,,"['Carrefour', 'toa city']","['Moorea', 'polynésie francaise']",http://rotui@rotui.pf,
612,Rotui Orange - 1l,3352271259333,"['ROTUI', 'MANUTEA']",,"['France', 'Polynésie française']","[""Jus concentré d'orange"", 'antioxydant : vitamine C']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,45,188 kj(45 kcal),"0,04",0,"10,8","8,6","0,4","0,01","0,004",1 l,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]",1,0 g,en faible quantité,8.6 g,en quantité élevée,0.01 g,en faible quantité,,+5%,+3%,-79%,-100%,+12%,-6%,-36%,+21%,+21%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,0.04 g,en faible quantité,3,0%,C,0%,['E300 - Acide ascorbique'],jus à base d'orange,"['Pack', 'cartonné']",,['Thaillande'],,['Carrefour'],['Moorea'],,
613,Thé Mangue,3352278910084,,['Sans conservateurs'],['France'],[],,[],?,25,105 kj(25 kcal),0,0,"6,3",6,0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Thé Passion 1L - Vaiti,3352278910091,['Vaiti'],,['France'],"['eau', 'sucre', 'arôme thé noir', 'jus concentré de fruit de ta passion ', '0,1%', 'acidifiant : acide citrique', 'arôme de fruit de la passion', 'coloraot&', 'caramel ', 'El 50A', ""antioxydant : Â'itamitteC""]",,[],?,24,100 kj(24 kcal),0,0,"6,06","5,95",0,"0,01","0,004",,,"['Boissons', 'Boissons avec sucre ajouté']",4,0 g,en faible quantité,5.95 g,en quantité modérée,0.01 g,en faible quantité,,-72%,-73%,-100%,-100%,-69%,-67%,-100%,-73%,-73%,,,,,,,,0 g,en faible quantité,8,-33%,D,-33%,['E330 - Acide citrique'],,,,,,,,,
615,Kiwi Hayward,3352280000452,,,['France'],[],,[],?,83,347 kj(83 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Chicorée Café - Le Lion,3352330599004,['Le Lion'],,['France'],[],,[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,E,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons instantanées', 'Chicorée soluble']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,78.8%,9.8%,6.8%,3.1%,1.4%,0.0%,25,0 g,en faible quantité,,,,,,,,,,,,,,
617,Maïs à popcorn - Les Gourmands,3352390002056,['Les Gourmands'],['Sans conservateurs'],['France'],"['100 Vo maïs b0ttcrfly', ' Origine : France', ' conserver dans un endroit frai s', 'sec et sombre']",,[],?,335,1402 kj(335 kcal),"3,4","0,62","70,9","1,4","10,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Noisettes crues,3352390002063,,['Sans conservateurs'],['France'],[],,[],?,683,2858 kj(683 kcal),63,"5,2","5,62","3,31","19,3","0,01","0,004",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes', 'en:raw-hazelnuts']",,5.2 g,en quantité élevée,3.31 g,en faible quantité,0.01 g,en faible quantité,,+3%,+4%,+3%,+7%,-31%,-2%,+24%,+25%,+25%,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,63 g,en quantité élevée,3,,C,,,,,,,,,,,
619,Pignon de pin - Les gourmands,3352390002094,['Les gourmands'],['Sans conservateurs'],['France'],['pignon de pin'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,656,2745 kj(656 kcal),0,0,5,3,"17,3",0,0,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pignons de pin']",1,0 g,en faible quantité,3 g,en faible quantité,0 g,en faible quantité,,-4%,-3%,-100%,-100%,-45%,-20%,-1%,-100%,-100%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,0 g,en faible quantité,3,-71%,C,-71%,,,,,,,,,,
620,Raisins golden,3352390002117,,,['France'],[],,[],?,335,1402 kj(335 kcal),"0,5","0,1","74,2","62,5","3,3","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Abricots moelleux - Festifruits - 150g,3352390002131,['Festifruits'],,['France'],[],,[],?,246,1029 kj(246 kcal),"0,3",0,"55,8",32,"2,1","0,02","0,008",150 g,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,0 g,en faible quantité,32 g,en quantité élevée,0.02 g,en faible quantité,,-6%,-6%,-38%,-100%,-4%,-29%,-32%,-43%,-43%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,0.3 g,en faible quantité,4,+16%,C,+16%,,,,,,,,,,
622,Cube noix de coco - Les Crosquans,3352390002162,['Les Crosquans'],,['France'],['Noix de coco sirop de glucose dextrose amidon de blé'],,[],?,423,1770 kj(423 kcal),19,14,57,35,4,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Gingembre confit - Festifruits,3352390002209,['Festifruits'],,['France'],[],,[],?,353,1477 kj(353 kcal),"0,1",0,87,72,"0,1",0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Snacks', 'Condiments', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Epices', 'Gingembre', 'Fruits confits', 'Gingembre confit']",,0 g,en faible quantité,72 g,en quantité élevée,0 g,en faible quantité,,+4%,+4%,-60%,-100%,+7%,-0%,-85%,-100%,-100%,61.7%,0.0%,0.0%,28.7%,9.6%,0.0%,97,0.1 g,en faible quantité,,,,,,,,,,,,,,
624,Les croquants,3352390002278,,,['France'],[],,[],?,377,1577 kj(377 kcal),"7,9","0,7","72,3","7,7",4,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,"Citrons confits, pot - Festifruits",3352392000074,['Festifruits'],,['France'],[],,[],?,26,109 kj(26 kcal),"0,3","0,08","2,4","2,2","0,9","4,9","1,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,Citrons confits - Festifruits,3352392000098,['Festifruits'],,['France'],[],,[],?,39,163 kj(39 kcal),"0,7","0,3","7,1","2,2","0,9","8,14","3,256",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Fruits confits', 'Citron confit']",,0.3 g,en faible quantité,2.2 g,en faible quantité,8.14 g,en quantité élevée,,-47%,-45%,+169%,+335%,-49%,-76%,+15%,+61%,+61%,,,,,,,,0.7 g,en faible quantité,5,-2%,C,-2%,,,,,,,,,,
627,Bâtons De Réglisse,3352394000089,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Graines de fenouil - Saveurs et Épices - 130g,3352394000652,"['Saveurs et Épices', 'Apiha']",['Point Vert'],['France'],['Graines de fenouil'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,130 g,D,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Graines', 'Boissons chaudes', 'Boissons à base de végétaux', 'Epices', 'Infusions', 'Fenouils', 'Graines de fenouil', 'Boissons sans sucre ajouté']",1,,,,,,,,,,,,,,,,,42.7%,0.0%,35.4%,15.3%,6.5%,0.0%,51,,,,,,,,,"['Pot', 'Plastique']",,,,,['Import'],,
629,Anis Graines Vert - Festifruits - 200g,3352394000676,['Festifruits'],['Point Vert'],['France'],"[""Graines d'anis vert""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,200 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Anis vert']",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Plastique', 'Pot']",,,,,,,
630,Herbes de provence - Saveurs et epices - 100grammes,3352394000713,['Saveurs et epices'],,['France'],[],,[],?,?,,?,,?,,?,,,100 grammes,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Plantes aromatiques sèches moulues', 'Mélanges de plantes aromatiques', 'Herbes de Provence']",,,,,,,,,,,,,,,,,,43.6%,0.0%,30.6%,8.2%,17.6%,0.0%,93,,,,,,,,,,,,,,,,
631,Herbes de Provence - Saveurs et Épices - 275g,3352394006654,"['Saveurs et Épices', 'Festifruits']",['Point Vert'],['France'],"['Romarin', 'basilic', 'thym', 'sarriette']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,275 g,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Plantes aromatiques sèches moulues', 'Mélanges de plantes aromatiques', 'Herbes de Provence', 'Aliments à base de plantes séchés']",1,,,,,,,,,,,,,,,,,43.6%,0.0%,30.6%,8.2%,17.6%,0.0%,93,,,,,,,,Herbes de Provence,"['Plastique', 'Boîte']",,,,,,,
632,Gingembre moulu - Saveurs Epices - 50g,3352394007118,['Saveurs Epices'],['Entreprise adaptée'],['France'],['Gingembre moulu'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,50 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bocal', 'Plastique']",,,,,,,
633,Abricots moelleux - Saveurs De Festefruits,3352395000026,['Saveurs De Festefruits'],,['France'],"['Abricot ', 'eau', 'antioxydant E220', 'conservateur E202', 'Contient des sulfites']",['Anhydride sulfureux et sulfites'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,246,1029 kj(246 kcal),"0,3","0,01","55,8",32,"2,1","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,,
634,Pruneaux Agen - Festifruits,3352395000316,['Festifruits'],,['France'],[],,[],?,192,803 kj(192 kcal),"0,3","0,1",43,38,"1,5","0,1","0,04",,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",,0.1 g,en faible quantité,38 g,en quantité élevée,0.1 g,en faible quantité,,-20%,-20%,-17%,-12%,-19%,+5%,-20%,+625%,+625%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,0.3 g,en faible quantité,5,+128%,C,+128%,,,,,,"['EMB 47052E', 'Casteljaloux (Lot-et-Garonne, France)']",,,,
635,Pruneaux d'agen,3352395000415,,,['France'],[],,[],?,192,803 kj(192 kcal),"0,3","0,1","43,2","38,1","1,5",,,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",,0.1 g,en faible quantité,38.1 g,en quantité élevée,,,,-20%,-20%,-17%,-12%,-19%,+5%,-20%,,,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,0.3 g,en faible quantité,,,,,,,,,,,,,,
636,Dattes Deglet Nour Branchées,3352395002501,,,['France'],[],,[],?,316,1322 kj(316 kcal),"0,1","0,1","72,7","67,9","2,3","0,1","0,04",,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",,0.1 g,en faible quantité,67.9 g,en quantité élevée,0.1 g,en faible quantité,,+6%,+6%,-65%,+102%,+6%,+15%,+6%,+361%,+361%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,0.1 g,en faible quantité,7,+43%,C,+43%,,,,,,,,,,
637,Figues - Festifruits,3352395002587,['Festifruits'],,['France'],"['figues LERIDA n05 Origine : Turquie A conscrvcr dans un endroit frais', 'sec et sombre', ' Poids net', ' Aprés ouverture conserver dans le réfrigérateur ct rapidement', ' Le sucre du fruit [Rut faire apparaître']",,[],?,257,1075 kj(257 kcal),"1,4","0,2","52,5","50,4","2,8","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Mélange Fruits Exotiques,3352395002891,,,['France'],[],,[],?,354,1481 kj(354 kcal),"4,6","3,3","76,4","19,7","1,8","0,11","0,044",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs']",,3.3 g,en quantité modérée,19.7 g,en quantité élevée,0.11 g,en faible quantité,,-20%,-20%,-78%,-36%,+54%,-50%,-80%,-11%,-11%,,,,,,,,4.6 g,en quantité modérée,5,-35%,C,-35%,,,,,,,,,,
639,Noix coques,3352395100825,,,['France'],[],,[],?,698,2920 kj(698 kcal),"63,8","5,73","10,8",3,"14,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Noix de cajou grillees et salees - Festifruits,3352395110114,['Festifruits'],['Sans conservateurs'],['France'],"['Noix de cajou', ""huile d'arachide"", 'Contient do fruits à et arachido', ' A d2ns un ct']",['Fruits à coque'],[],?,543,2272 kj(543 kcal),"47,3","9,5","24,7","5,3","23,3","0,7","0,28",,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",3,9.5 g,en quantité élevée,5.3 g,en quantité modérée,0.7 g,en quantité modérée,,-9%,-9%,+3%,+12%,-4%,-18%,+25%,+12%,+12%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,47.3 g,en quantité élevée,9,+19%,C,+19%,,,,,,,,,,
641,Cranberries Entières - Saveurs de Festifruits - 250g,3352395110282,"['Saveurs de Festifruits', 'Festifruits']","['Point Vert', 'Sans conservateurs']",['France'],"['Cranberries', 'sucre', 'huile de tournesol']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,335,1402 kj(335 kcal),"1,04","0,1","85,96",65,"0,36","0,01","0,004",250 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",3,0.1 g,en faible quantité,65 g,en quantité élevée,0.01 g,en faible quantité,,-1%,-1%,+47%,-60%,+8%,-2%,+29%,-56%,-56%,,,,,,,,1.04 g,en faible quantité,9,+25%,C,+25%,,,,,,,,,,
642,Mélange plaisir,3352395110305,,,['France'],[],,[],?,377,1577 kj(377 kcal),"7,9","0,7","72,3","7,7",4,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Pignons de pin,3352395110398,,,['France'],[],,[],?,656,2745 kj(656 kcal),"62,5","9,6",5,3,"17,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Mélange exotique,3352395110916,,,['France'],[],,[],?,354,1481 kj(354 kcal),"4,6","3,3","76,4","19,7","1,8","0,11","0,044",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs']",,3.3 g,en quantité modérée,19.7 g,en quantité élevée,0.11 g,en faible quantité,,-20%,-20%,-78%,-36%,+54%,-50%,-80%,-11%,-11%,,,,,,,,4.6 g,en quantité modérée,5,-35%,C,-35%,,,,,,,,,,
645,Melange Salé Sipangu,3352395111043,,,['France'],[],,[],?,424,1774 kj(424 kcal),11,"1,9",71,15,9,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Muscade moulue - Saveurs et Epices - 50g,3352396200203,['Saveurs et Epices'],,['France'],['noix de muscade'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,50 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Muscade']",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Boîte', 'Plastique']",,,,,,,
647,Gingembre confit - Festifruits,3352396200418,['Festifruits'],,['France'],[],,[],?,0,0 kj(0 kcal),0,0,10,10,0,0,0,,,"['Snacks', 'Snacks sucrés']",,0 g,en faible quantité,10 g,en quantité modérée,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-83%,-72%,-100%,-100%,-100%,,,,,,,,0 g,en faible quantité,2,-89%,B,-89%,,,,,,,,,,
648,Mélange spaghetti - Festifruits - 60g,3352396200517,['Festifruits'],"['Peu ou pas de sel', 'Sans sel ajouté']",['France'],"['Basilic', 'tomates granulés', 'poivrons rouges', 'poivrons verts', 'ail']",,[],1020,204,,"9,27",,"21,2",,"4,19",,,60 g,,"['Epicerie', 'Condiments', 'Assaisonnements']",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Plastique', 'boîte']",,,,,['France'],,
649,Épices Colombo,3352396200609,,,['France'],[],,[],?,339,1418 kj(339 kcal),17,"0,8",22,17,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Curcuma - Festifruits,3352396200890,['Festifruits'],,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,CURRY IMPÉRATOR - Festifruits,3352396200906,['Festifruits'],,['France'],[],,[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Gingembre moulu,3352396200951,,,['France'],[],,[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Gingembre', 'Gingembre en poudre', 'en:Gingembre moulu']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,,,,,,,,37.8%,0.0%,31.7%,20.0%,10.4%,0.0%,93,0 g,en faible quantité,,,,,,,,,,,,,,
653,Basilic,3352396300125,,,['France'],[],,[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
