,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,generic_name,quantity,packaging,brand,categories,ingredients_origins,manufacturing,traceability_code,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,labels,producer_info,brand_owner,palm_ingredients,link,origin_detail
941,Galettes sablées nature - BPA - 250g,3339740006612,['France'],"['Farine de BLE 38 %', 'sucre 23%', ' BEURRE 23%', 'ŒUF 12%', 'sel', 'poudre à lever', 'caramel ', 'sucre', 'eau']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1973,471,1973 kj(471 kcal),22,15,60,25,"7,3",C,Biscuit au beurre,250g,['Boite plastique'],['BPA'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Biscuits sablés']",,['France (49)'],,,"['Œufs', 'Gluten', 'Lait']",3,22 g,en quantité élevée,15 g,en quantité élevée,25 g,en quantité élevée,0.87 g,en quantité modérée,+6%,+5%,+5%,+35%,+144%,-10%,-21%,-1%,"0,87",+85%,"0,348",+85%,22,+30%,E,+30%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,['Produit en Anjou'],,,,http://www.bpa.fr/spip.php?article58,
942,Amande malko - Medicis Paris,3340390003173,['France'],"['sucre', 'AMANDES 22%', 'pâte de cacao', 'beurre de cacao', 'LAIT entier en poudre', 'pâte de NOISETTES', 'gomme arabique', 'émulsifiant ', 'lécithine de SOJA', 'vanilline', ""agents d'enrobage "", 'sirop de glucose', '*04', ' % chocolat au lait : 26%* % : 43%', "" Peut contenir des traces d'albumine dteut et Ingredients : sugar"", 'ALMONDS 22%', 'cocoa mass', 'butter', 'whole MILK powder', 'HAZELNUTS paste', 'arabic gum', 'emulsifier ', 'SOYA lecithtn', 'vanillin', 'glazing agents ', 'glucose syrup', 'ES04', ' % milk chocolate: 26%', '% gianduja: 43%', ' May Cantain traces of egg albumin and peanut']",['Non végétalien'],?,572,2393 kj(572 kcal),"37,6",14,"47,3","38,6","11,13",,,,,['Medicis Paris'],,,,,,"['Lait', 'Fruits à coque', 'Soja']",4,,,,,,,,,,,,,,,,,"0,075",,"0,03",,,,,,,,,,,,,"[""E414 - Gomme d'acacia"", 'E322i - Lécithine']",,,,,,
943,Finucchietti Biggi x12 - Finuchjetti - 400gr,3343450400127,['France'],"['Sel', 'grains d’anis', 'levure de panification', 'farine']",[],?,40,167 kj(40 kcal),2,0,30,0,0,,,400gr,['Plastique'],['Finuchjetti'],,,['Appietto'],,['Carrefour'],,,,,,,,,,,,,,,,,,,2,,"0,8",,,,,,,,,,,,,,,,,,,
944,Gateau breton pur beurre - Le Floch - 450g,3343920000703,['France'],"['Farine de blé', 'beurre frais 32 %', 'sucre', ""jaune d'œuf frais"", 'sel de Guérande', 'poudre à lever ', 'pyrophosphate de soude', 'bicarbonate de soude']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,491,2054 kj(491 kcal),"29,2",19,"50,5","25,9","5,2",,Gâteau Breton Pur Beurre,450 g,['Plastique'],['Le Floch'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux bretons']",,"['France', 'Bretagne', 'Vannes']",,,"['Œufs', 'Gluten', 'Lait']",4,29.2 g,en quantité élevée,19 g,en quantité élevée,25.9 g,en quantité élevée,0.8 g,en quantité modérée,,+25%,+24%,+55%,+64%,-0%,-3%,-2%,"0,8",+16%,"0,32",+16%,24,+23%,E,+23%,,,,,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium']","['en:produced-in-bretagne', 'Pur beurre']",,,,,
945,Cola -  - 33cl,3344440010586,['France'],"['eau gazéifiée', 'sucre', 'colorant : caramel ', 'E150d', 'arômes naturels ', 'extraits végétaux', 'acidifiant : E338', 'caféine']",['Sans huile de palme'],?,29,121 kj(29 kcal),0,0,"7,1","7,1",0,,,33 cl,['boite metal'],,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Sodas au cola']",,,"['42198', 'EMB 42198', 'Saint-Alban-les-Eaux (Loire, France)']",['Auchan'],,4,0 g,en faible quantité,0 g,en faible quantité,7.1 g,en quantité élevée,0.025 g,en faible quantité,,+38%,+36%,-100%,-100%,+32%,+35%,-100%,"0,025",+131%,"0,01",+131%,10,+36%,E,+36%,,,,,,,,"[""E150d - Caramel au sulfite d'ammonium"", 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition']",,,,,,
946,Riz Créole - Craf,3346432000018,['France'],"['RIP LONG', "" BASMATI DE' GAMME OE ftfz COMPLET"", ' RISOTTOI R0N0', ' 3 ET BASMATI BIO', ' VALEURSNOTRITIONNELLE 4ÒOGj bp NON cu VALFUR ÉN$c Q b0N4 AisseKq']",[],?,348,1456 kj(348 kcal),"0,5","0,1","79,5","0,5","7,1",,,,,['Craf'],,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
947,Farine Riz Blanche SG - Moulin des Moines - 2.5kg,3347430004985,['France'],[],[],?,352,1473 kj(352 kcal),"1,2","0,4","78,4","0,2","6,3",B,,2.5 kg,,['Moulin des Moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de riz']",,,,,,,1.2 g,en faible quantité,0.4 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,,-1%,-0%,-31%,-8%,+2%,-63%,-8%,0,-100%,0,-100%,0,,B,,79.1%,0.8%,5.1%,13.0%,2.0%,0.0%,66,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,
948,"Son D'avoine Alimentaire - 2, 5 kg - Naturaline - 2500g",3347430006613,['France'],['avoine*'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,360,1506 kj(360 kcal),"6,6","1,1","54,6","1,3","15,1",,,2500 g,['Sachet'],['Naturaline'],,,,,,['Avoine'],,,,,,,,,,,,,,,,,,"0,25",,"0,1",,,,,,,,,,,,,,"['Peu ou pas de sel', 'Peu de sel', 'Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'FR-BIO-01']",,,,,
949,Crunchy épeautre choco - Moulin Des Moines,3347430011617,['France'],"["" flocons dépeautroi 25%t flocons d'avolno? sucre de canne tour chocplat nolr 10 % "", 'sucre pâte de cacao* s beurre de cacao? de cacao dans le chocolat', 'sirop de blé* e hulle de colza* riz graines de tournesol* sésame*', 'miel*', 'farine de blé*']",['Non végétalien'],?,423,1770 kj(423 kcal),"16,46","3,95","59,68","19,07","8,83",,,,,['Moulin Des Moines'],,,,,,['Gluten'],,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,
950,Couscous Clair Moyen - Moulin des moines - 500g,3347435193554,['France'],['blé dur'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,350,1464 kj(350 kcal),"1,5","0,39","70,2","2,2","11,9",A,,500 g,['Sachet'],['Moulin des moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales', 'Semoules de blé', 'Semoules de blé dur', 'Semoules de blé dur pour couscous']",,,,,['Gluten'],1,1.5 g,en faible quantité,0.39 g,en faible quantité,2.2 g,en faible quantité,0 g,en faible quantité,,-2%,-2%,-25%,+2%,+0%,-17%,-2%,0,-100%,0,-100%,-5,,A,,69.1%,16.2%,7.3%,3.3%,4.1%,0.0%,80,,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,
951,Graines De Chanvre non décortiquées - Moulin des moines,3347435633357,['France'],"['Pionnier bio GRAINES DE CHANVRE NON DÉCORTIQUÉES Excellent dens les mueslis', 'pain', 'biscuits bt que les gr$lnes soient entiéres ou moulu0$', 'Ve/evrs nutìitionne//es moyennes pour']",[],?,567,2372 kj(567 kcal),"47,2","5,2","10,2","0,2","30,6",,,,['Sachet'],['Moulin des moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines']",,,,,,,47.2 g,en quantité élevée,5.2 g,en quantité élevée,0.2 g,en faible quantité,0 g,en faible quantité,,+87%,+88%,+602%,+498%,-75%,-85%,+155%,0,-100%,0,-100%,7,,C,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Point Vert']",,,,,
952,Spaghettines de petit épeautre - Moulin des moines - 250g,3347439034365,['France'],"['Semoule complète de petit épeautre*', '*bio']",[],?,345,1443 kj(345 kcal),3,"0,4",62,"2,5",13,,Spécialité céréalière de petit épeautre bio,250 g,"['Plastique', 'Sec']",['Moulin des moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti', 'Pâtes de petit épeautre', 'Spaghettis de petit épeautre']",,,,['Biocoop Caluire'],['Gluten'],,3 g,en quantité modérée,0.4 g,en faible quantité,2.5 g,en faible quantité,0 g,en faible quantité,,-1%,-1%,+48%,-10%,-6%,-5%,+8%,0,-100%,0,-100%,-6,,A,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,https://www.naturline.fr/boutique/Pates-specialites/Specialites-petit-epeautre,
953,Galettes De Riz Complet - 100G - Moulin Des Moines,3347439934313,['France'],"['riz complet*', "" *Produit issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,403,1686 kj(403 kcal),1,"0,3","90,2","0,8","7,8",B,,,,['Moulin des moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', 'Galettes de riz complet soufflé']",,,,,,1,1 g,en faible quantité,0.3 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,,+2%,+1%,-76%,-78%,+14%,-68%,-2%,0,-100%,0,-100%,0,-100%,B,-100%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'Point Vert']",,,,,
954,Endive - Les Nouveaux Producteurs Du Nord - 1kg,3347762001911,['France'],['ENDIVES'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,17,71 kj(17 kcal),"0,2","0,1","2,4","1,7",1,,Endive,1 kg,['Plastique'],['Les Nouveaux Producteurs Du Nord'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais']",['France'],['FRANCE'],['311266003'],,,1,0.2 g,en faible quantité,0.1 g,en faible quantité,1.7 g,en faible quantité,0 g,en faible quantité,,-47%,-46%,-75%,-20%,-41%,+10%,-37%,0,-100%,0,-100%,-5,,A,,,,,,,,,,['FRANCE ENDIVE LEGUME'],,,,,
955,FRULOS,3348261001013,['France'],[],[],?,90,377 kj(90 kcal),"2,2","1,3","12,7","12,6","3,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
956,"Veritables merguez JEAN FLOC'H, 10 pieces",3348580040670,['France'],[],[],?,299,1251 kj(299 kcal),26,12,"2,2","1,6",14,E,,,,"[""Jean Floc'h""]","['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",,,"['EMB 56010', 'Baud (Morbihan, France)']",,,,26 g,en quantité élevée,12 g,en quantité élevée,1.6 g,en faible quantité,2.4 g,en quantité élevée,,+14%,+14%,+21%,+31%,+4%,+39%,-2%,"2,4",+26%,"0,96",+26%,23,+22%,E,+22%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,,['Sans conservateurs'],,,,,
957,Boudins noirs antillais - Monoprix - 120g,3350030147907,['France'],[],[],?,156,653 kj(156 kcal),"8,5","3,6","8,1","3,1",11,D,,120g,"['Film en plastique', 'Barquette', 'Etui en carton']",['Monoprix'],"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudins noirs aux oignons', 'Boudin noir sauté']",,,"['EMB 72331A', 'Sceaux-sur-Huisne (Sarthe, France)', 'FR 72.331.001 CE', 'Sceaux-sur-Huisne (Sarthe, France)']",['Monoprix'],,,8.5 g,en quantité modérée,3.6 g,en quantité modérée,3.1 g,en faible quantité,1.3 g,en quantité modérée,,-39%,-38%,-61%,-57%,+167%,+53%,-5%,"1,3",-2%,"0,52",-2%,4,-75%,C,-75%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,
958,"Lasagnes Bolognaise, Surgelées - Monoprix - 600g (2personnes)",3350030162382,['France'],[],[],487,115,487 kj(115 kcal),4,2,15,"2,9","5,6",B,Lasagnes bolognaise,600 g (2 personnes),"['Surgelé', 'Film plastique à jeter', 'Etui et barquette carton vidée à recycler']","['Monoprix', 'Monoprix Exploitation', 'Groupe Casino']","['Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Lasagnes préparées', 'Plats au bœuf', 'Plats préparés surgelés', 'Plats préparés à réchauffer au micro-ondes', 'Lasagnes à la bolognaise', 'Lasagnes surgelées']","['France', 'Viande de bœuf']","['Marie Surgelés - MS (Filiale Groupe Lambert Dodard Chancereul - LDC) - Zone Economique de Coquine - Le Pont de Barroux - 79600 Airvault', 'Deux-Sèvres', 'Poitou-Charentes', 'France']","['FR 79.005.001 CE', 'Airvault (Deux-Sèvres, France)', 'EMB 79005A', 'Airvault (Deux-Sèvres, France)']",['Monoprix'],"['Gluten', 'Lait']",,4 g,en quantité modérée,2 g,en quantité modérée,2.9 g,en faible quantité,0.775 g,en quantité modérée,-6%,-11%,-9%,-30%,-22%,+18%,+16%,-5%,"0,775",+9%,"0,31",+9%,1,-42%,B,-42%,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,,"['Triman', 'Info-Tri Point Vert']",,,,https://www.monoprix.fr/lasagnes-bolognaise-monoprix-1361859-p,
959,Fromage frais aux fruits - Monoprix,3350030198800,['France'],"['Lait écrémé pasteurisé - sucre 8,9% - crème pasteurisée - fruits 6% ', 'fraise ou framboise ou abricot ou pêche ou banane', ' - protéines de lait - amidon de maïs concentré de carotte pourpre - arômes naturels - épaississants : gomme guar', 'gomme xanthane concentré de carotte et de potiron lactiques ', 'contient lait', ' - jus concentré de sureau vitamine D']",['Non végétalien'],?,96,402 kj(96 kcal),"2,3","1,6",12,12,"6,7",C,,,,['Monoprix'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs']",,,"['FR 72.329.001 CE', ""Savigné-l'Évêque (Sarthe, France)""]",['Monoprix'],['Lait'],4,2.3 g,en faible quantité,1.6 g,en quantité modérée,12 g,en quantité modérée,0.075 g,en faible quantité,,+5%,+6%,-43%,-39%,+84%,+99%,+4%,"0,075",-30%,"0,03",-30%,0,-100%,B,-100%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,"['E412 - Gomme de guar', 'E415 - Gomme xanthane']",,,,,,
960,Ravioli jambon aux oeufs frais - Monoprix,3350030202033,['France'],[],[],?,267,1117 kj(267 kcal),"5,5","1,7",42,"2,7",11,,,,,['Monoprix'],['Raviolis ua jambon'],,,,['Monoprix'],,,5.5 g,en quantité modérée,1.7 g,en quantité modérée,2.7 g,en faible quantité,0.7 g,en quantité modérée,,,,,,,,,"0,7",,"0,28",,2,,B,,,,,,,,,,,,,,,
961,"Mandarine, Catégorie 1 - Monoprix",3350030212971,['France'],"['sous atmosphère protect ', ""à de la Chamr et de l'h BASE DE POMMES DE CUIT AU FOUR NATURE NGRÊDIENTS :fiocons de pommes de ter amidon"", 'huile de tournesol', 'sucre', 'anulsifiant ', 'lécithine de tournesd', ' dextrose', 'sel', ""régulateur d'acidité "", 'ac dtrique', 'extrait de curcuma']",[],?,12,50 kj(12 kcal),0,0,17,12,5,,,,,['Monoprix'],,,,,['Monoprix'],,4,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,"['E322i - Lécithine', 'E100 - Curcumine']",,,,,,
962,Conchiglie tricolore extrudées au bronze - Monoprix - 500g,3350031631283,"['Colombie', 'France']",[],[],?,355,1485 kj(355 kcal),"1,4","0,3",72,"3,5",12,,,500 g,,['Monoprix'],,,,,['Monoprix'],,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
963,Fraises - monoprix - 200g,3350031650284,['France'],"['Sucre-sirop de glucose - eau - gélatine de porc - acidifiant : acide citrique - arôme - colorants : extrait de paprika', 'anthocyanes - amidon de blé', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1443,340,1443 kj(340 kcal),0,0,82,76,"2,9",E,,200 g,"['Sachet', 'Plastique', 'Sachet en plastique']",['Monoprix'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Fraises gélifiées']",,,"['EMB 19007', 'Altillac (Corrèze, France)']",['Monoprix'],,4,0 g,en faible quantité,0 g,en faible quantité,76 g,en quantité élevée,0.01 g,en faible quantité,+0%,-2%,-1%,-100%,-100%,-1%,+8%,-2%,"0,01",-79%,"0,004",-79%,14,+1%,D,+1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['E428 - Gélatine', 'E330 - Acide citrique', 'E160c - Extrait de paprika', 'E163 - Anthocyanes']",,,,,,
964,mini torsades au beurre - Monoprix Gourmet - 75g,3350031659232,['France'],"[""Farine de blé - beurre - gruyère suisse 10% - lait écrémé en poudre - sel - levure - farine de malt d'orge - sucre""]",['Non végétalien'],2047,12,2047 kj(12 kcal),"0,6","0,4","1,2",0,"0,4",B,,75g,['Carton'],"['Monoprix Gourmet', 'Monoprix']","['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,,,['Monoprix'],"['Gluten', 'Lait']",3,0.6 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.04 g,en faible quantité,+2%,-97%,+4%,-97%,-93%,-98%,-100%,-96%,"0,04",-98%,"0,016",-98%,6,-61%,C,-61%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,
965,Éthiopie pur arabica intense et parfumé - Monoprix Gourmet - 250g,3350031873942,['France'],['Café moulu pur arabica'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,,Café moulu pur arabica d'Éthiopie,250 g,['Sachet plastique métalisé'],"['Monoprix Gourmet', 'Monoprix']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Cafés moulus']",['Éthiopie'],,"['EMB 060888', 'Nice (Alpes-Maritimes, France)']",['Monoprix'],,1,,,,,,,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,0,-100%,0,-100%,,,,,,,,,,,,,"['Commerce équitable', 'Max Havelaar']",,,,,
966,Haricots verts très fins surgelés Bio - Monoprix bio ! - 600g (3portions de 200g),3350031944147,['France'],"[""100% haricots verts très fins issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,35,146 kj(35 kcal),"0,2",0,"9,4","4,2","3,4",B,Haricots verts très fins surgelés issus de l'agriculture biologique,600 g (3 portions de 200 g),"['Surgelé', 'Sachet plastique', 'Sachet en plastique']","['Monoprix bio !', 'Monoprix']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumineuses surgelées', 'Légumes surgelés', 'Haricots verts', 'Haricots verts surgelés']",,"['Hesbaye Frost SA - Rue Emile Lejeune 20', '4250 Geer', 'Province de Liège', 'Région wallonne', 'Belgique']",,['Monoprix'],,1,0.2 g,en faible quantité,0 g,en faible quantité,4.2 g,en faible quantité,0.04 g,en faible quantité,,0%,+2%,-33%,-100%,+119%,+175%,+76%,"0,04",+91%,"0,016",+91%,-11,,A,,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE', 'Point Vert', 'AB Agriculture Biologique', 'Eco-Emballages']",,,,,
967,Mélange de légumes surgelés - Monoprix Bio - 600g,3350033006669,['France'],[],[],?,?,,?,,?,,?,,,600g,,"['Monoprix Bio', 'Monoprix']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', ""Mélanges d'aliments à base de plantes surgelés"", 'Mélanges de légumes surgelés']",,,,['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01']",,,,,
968,Petits pois doux - Monoprix Bio - 600g,3350033006676,['France'],['100% petits pois'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,78,326 kj(78 kcal),"0,9","0,2",9,"2,6","5,9",B,,600 g,['Sac'],['Monoprix Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumineuses surgelées', 'Légumes surgelés', 'Petits pois', 'Petits pois surgelés']",,,,['Monoprix'],,1,0.9 g,en faible quantité,0.2 g,en faible quantité,2.6 g,en faible quantité,0 g,en faible quantité,,-7%,-6%,+54%,+77%,+10%,-15%,+12%,0,-100%,0,-100%,-13,,A,,53.1%,0.0%,14.8%,11.8%,14.0%,6.3%,94,,['Bio'],,,,,
969,Poivrons grillés - Monoprix Gourmet - 280g,3350033109384,['France'],"[""poivrons grillés 53% - huile de tournesol - vinaigre de vin sel correcteur d'acidité : acide citrique""]",[],?,63,264 kj(63 kcal),"3,7","0,3","5,3","3,9","1,1",,Poivrons grillés,280g,"['Conserve', 'Verre']","['Monoprix Gourmet', 'Monoprix']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve']",,"['Lozzo Atestino (PD)', 'Italie']",,['Monoprix'],,3,3.7 g,en quantité modérée,0.3 g,en faible quantité,3.9 g,en faible quantité,1.4 g,en quantité modérée,,+37%,+40%,+599%,+161%,-9%,+60%,-48%,"1,4",+80%,"0,56",+80%,-1,,A,,,,,,,,,['E330 - Acide citrique'],,,,,,
970,Croustillant au Chocolat Noir - Monoprix - 160g (2 * 80g),3350033156326,['France'],"['Sucre', 'farine de blé', ""blanc d'œuf"", 'chocolat noir 7,8% ', 'pâte de cacao', 'sucre', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'lait entier', 'noisettes 6,8%', 'amandes 6,8%', ""jaune d'œuf"", 'beurre', 'œufs entiers', 'poudre de cacao 1,2%', 'huile de tournesol', 'beurre concentré', 'lactose', 'protéines de lait', ""farine de malt d'orge"", 'émulsifiants : lécithine de soja', 'lécithine de tournesol', 'sel', 'poudre à lever : carbonates de sodium', 'arôme naturel de vanille']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",1718,411,1718 kj(411 kcal),21,7,46,39,"7,8",D,"Dessert pâtissier au chocolat noir, aux noisettes et aux amandes",160 g (2 * 80 g),"['Pot', 'Opercule', 'Métal', 'Etui', 'Carton', 'Caisette', 'Papier', 'Frais']",['Monoprix'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits au chocolat noir']",,['France'],"['EMB 33056F', 'Blanquefort (Gironde, France)']",['Monoprix'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,21 g,en quantité élevée,7 g,en quantité élevée,39 g,en quantité élevée,0.25 g,en faible quantité,-17%,-17%,-17%,-13%,-47%,-25%,+24%,+15%,"0,25",-50%,"0,1",-50%,17,-18%,D,-18%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"['E322i - Lécithine', 'E500 - Carbonates de sodium']",['Point Vert'],,,,,
971,Mangue en morceaux - Monoprix - 450g,3350033419582,['France'],['100% mangue en morceaux'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",292,69,292 kj(69 kcal),"0,5",0,15,13,"0,5",,,450 g,"['Sachet', 'Plastique', 'Surgelé']",['Monoprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Fruits et produits dérivés', 'Aliments à base de plantes surgelés', 'Fruits', 'Fruits tropicaux', 'Fruits surgelés', 'Mangues surgelées']",,,"['EMB 26010A', 'Anneyron (Drôme, France)']",['Monoprix'],,1,0.5 g,en faible quantité,0 g,en faible quantité,13 g,en quantité élevée,0 g,en faible quantité,+43%,+30%,+33%,+31%,-100%,+72%,+70%,-48%,0,-100%,0,-100%,-4,,A,,,,,,,,,,,,,,,
972,Mogettes de vendée - Monoprix Gourmet,3350033462298,['France'],"['Mogettes ', 'de Vendée', ' 100%']",[],?,180,753 kj(180 kcal),"1,1","0,2",23,"1,4",14,,,,,['Monoprix Gourmet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes et dérivés', 'Légumes secs', 'Haricots', 'Haricots blancs', 'Légumes français', 'en:White kidney beans', 'Mogette de Vendée']",,,,,,1,1.1 g,en faible quantité,0.2 g,en faible quantité,1.4 g,en faible quantité,0 g,en faible quantité,,+18%,+17%,+4%,-9%,+24%,+17%,+39%,0,-100%,0,-100%,-13,,A,,,,,,,,,,['Label Rouge'],,,,,
973,Sauce Pour Apéritif - Amigos,3351700061776,['France'],"['Pcur un apéritit enscletllœ unc Salsa dip itrniscs des Tcrtillas chips', 'quelques crudites et le tctlr est jctlé !']",[],?,38,159 kj(38 kcal),"0,2","0,1",7,5,"1,2",,,,,['Amigos'],,,,,,,,,,,,,,,,,,,,,,,,"1,575",,"0,63",,,,,,,,,,,,,,,,,,,
