,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,markets,palm_ingredients,brand_owner,producer_info,origin_detail
223,Knacks - Bonjour Campagne,3483190002400,,,,,"['Bonjour Campagne', 'Herta']",,"['Bio', 'Viande Française', 'Viande Porcine Française', 'Sans colorants']",,,,,['France'],[],,[],,,,,,,,,,?,,269,,1125 kj(269 kcal),,"23,14",,"9,14",,2,,2,,"12,57",,"1,75",,"0,7",,,,,,,,,,,,,,['Magasins U'],,,,
224,Steaks de Tofu aux épinards et à l'emmental Bio - Les Artisans du Bio - 180g,3483460013181,,Steaks de Tofu aux épinards et à l'emmental Bio,180 g,"['Frais', 'Conditionné sous atmosphère protectrice', 'Plastique', 'Carton']",['Les Artisans du Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', 'Frais', 'Plats préparés frais', 'Substituts de viande', 'Plats préparés à réchauffer au micro-ondes', 'Steaks végétaux']","['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique']",,"['France', 'Provence', 'Vaucluse', 'Carpentras']",,http://www.lesartisansdubio.fr/steak-aux-epinards-producteur-bio-vaucluse,['France'],"['Tofu* 56 % ', 'eau', 'soja*', 'gélifiants : chlorure de calcium', 'chlorure de magnésium ', 'nigari', 'épinard* 18 %', 'oignon*', 'flocons de riz*', 'emmental* 5 %', 'huile de tournesol*', 'sel*', 'ail*', 'poivre*', ""\r *Ingrédients d'origine agricole obtenus selon les règles de production biologique""]","['Lait', 'Soja']",['Non végétalien'],4,11 g,en quantité modérée,3.5 g,en quantité modérée,1.5 g,en faible quantité,1.8 g,en quantité élevée,?,,184,-10%,770 kj(184 kcal),-9%,11,+23%,"3,5",+140%,"7,9",-53%,"1,5",-36%,"12,9",+23%,"1,8",+71%,"0,72",+71%,12,+8659%,D,+8659%,,,,,,,,,['Franprix'],,,,
225,Galettes haricots rouges + poivrons - Tossolia - 180g (2x 90g),3483461230181,,,180 g (2 x 90 g),"['Barquette', 'Plastique', 'Carton']",['Tossolia'],"['Snacks', 'Snacks salés', 'Plats préparés', 'Légumes préparés', 'Galettes de légumes']","['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique', 'Fabrication artisanale']",,"['Haute-Provence', 'France']",,,['France'],"['haricots rouges cuits 26 %', ""flocons d'avoine sans gluten"", 'poivrons 16 %', 'riz', 'eau', ""huile d'olive"", 'concentré de tomate', 'sel', 'paprika 0,4 %']","['Céleri', 'Lait', 'Moutarde', 'Fruits à coque', 'Graines de sésame', 'Soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,11.7 g,en quantité modérée,1.7 g,en quantité modérée,2.3 g,en faible quantité,1.1 g,en quantité modérée,?,,250,+58%,1046 kj(250 kcal),+63%,"11,7",+64%,"1,7",+63%,"25,1",+89%,"2,3",-18%,"6,7",+20%,"1,1",+20%,"0,44",+20%,-1,,A,,,,,,,,,,,,,,
226,Guatemala Expresso - Café Michel - 250g,3483981002329,E,,250 g,"['Sachet', 'Plastique']",['Café Michel'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']","['Bio', 'Bio européen', 'FR-BIO-01', 'Producteurs Paysans']",,,,,['France'],['Café moulu équitable et biologique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,['Bio14'],,,,
227,Breizhcola zéro - Breizh cola - 330ml,3484700001173,,"Boisson gazéifiée à l’arôme naturel de cola avec autres arômes naturels, avec édulcorants.",330 ml,"['Bouteille', 'Plastique']","['Breizh cola', 'Phare Ouest', 'Brasserie Lancelot']","['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light', 'Boissons sans sucre ajouté']","['Contient une source de phénylalanine', 'en:produced-in-bretagne', 'Enthält eine Phenylalaninquelle', 'Grüner Punkt']",,"['France', 'Bretagne']",,http://www.breizhcola.fr/breizh-cola-zero/,['France'],"['Eau gazéifiée', 'colorant : caramel E150d ', ' acidifiants : acide phosphorique ', 'acide citrique et citrate de sodium ', ' édulcorants : aspartame et acésulfame K', 'caféine', 'arôme naturel de cola avec autres arômes naturels', '\rContient une source de phénylalanine']",,['Sans huile de palme'],4,0.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.04 g,en faible quantité,3,+50%,1,0%,3 kj(1 kcal),+50%,"< 0,5",+1900%,"< 0,5",+7799%,"< 0,5",+511%,"< 0,5",+922%,"< 0,5",+1371%,"0,04",+158%,"0,016",+158%,2,+104%,C,+104%,,,,,,,,"[""E150d - Caramel au sulfite d'ammonium"", 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E951 - Aspartame', 'E950 - Acésulfame K']",['Festival Les Escales'],,,,
228,Breizh Cola Stévia - 1.5l,3484700003610,,Boisson gazéifiée à l'arôme naturel de cola avec autres arômes naturels avec sucre et édulcorant,1.5 l,"['Bouteille', 'Plastique']",['Breizh Cola'],"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']","['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre', 'en:produced-in-bretagne']",,"['Bretagne', 'Morbihan', 'France', 'Le Roc Saint André']",,http://www.breizhcola.fr/breizh-cola-stevia/,['France'],"['Eau gazéifiée', 'sucre', 'colorant : caramel E150d', 'acidifiant : acide lactique', 'acide gluconique', 'acide citrique', 'édulcorant : glycosides de stéviol ', 'extrait de stévia rebaudiana', 'arôme naturel de cola avec autres arômes naturels', 'caféine']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.5 g,en faible quantité,5.1 g,en quantité modérée,0.01 g,en faible quantité,?,,21,+2000%,88 kj(21 kcal),+4300%,"0,5",+1900%,"0,5",+7799%,"5,2",+6249%,"5,1",+10329%,"0,5",+1371%,"0,01",-35%,"0,004",-35%,7,+616%,D,+616%,,,,,,,,"[""E150d - Caramel au sulfite d'ammonium"", 'E270 - Acide lactique', 'E330 - Acide citrique', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']","['Carrefour', 'Magasins U']",,,,
229,Triple - Duchesse Anne - 1,3484703000005,C,,1,,['Duchesse Anne'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bière triple']",,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,
230,Breizh lim' - Breizh cola - 1.5l,3484705000034,,,1.5 l,['bouteille en plastique'],['Breizh cola'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Boissons sans alcool', 'Limonades', 'Boissons avec sucre ajouté']",,,,,,['France'],"['Eau gazéifiée', 'sucre', 'acidifiant : acide citrique ', "" arômes naturels d'agrumes "", 'arôme naturel de citron-citron vert', ""arôme naturel d'orange"", 'conservateur benzoate de sodium']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.5 g,en faible quantité,8.6 g,en quantité élevée,0.01 g,en faible quantité,?,,35,+13%,146 kj(35 kcal),+16%,"< 0,5",+514%,"< 0,5",+2546%,"8,6",+15%,"8,6",+18%,"< 0,5",+390%,"0,01",-25%,"0,004",-25%,11,+8%,E,+8%,,,,,,,,"['E330 - Acide citrique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",['Magasins U'],,,,
231,Délice de Pomme - Breizh'Pom - 360g (4x 90g),3486062000016,B,Compote de pomme,360 g (4 x 90 g),"['Carton', 'Plastique', 'Gourde']","[""Breizh'Pom""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes nature', 'Compotes à boire']",['en:produced-in-bretagne'],,"['France', 'Bretagne', 'Ille et Vilaine', 'Chateaubourg']",,http://www.breizhpom.bzh/,['France'],"['Purée de pomme 93%', 'sucre', 'antioxydant : acide ascorbique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.3 g,en faible quantité,0.1 g,en faible quantité,17 g,en quantité élevée,0.01 g,en faible quantité,354,+33%,?,,354 kj(85 kcal),+33%,"0,3",+1%,"0,1",+46%,19,+34%,17,+28%,"0,3",+2%,"0,01",+51%,"0,004",+51%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,['E300 - Acide ascorbique'],"['Carrefour', 'Magasins U']",,,,
232,Immuno+ Propolis - 20 Ampoules - Ladrôme - La Drome,3486330042298,,,,,['La Drome'],,['Bio'],,,,,['France'],"[""jus d'échinacée pressée* "", 'Echinacea purpurea', 'sirop de maïs-betterave non raffiné*', ""extrait hydro-alcoolique d'échinacée* "", 'Echinacea purpur', 'ea', 'eau', 'extrait hydro-alcoolique de propolis* ', 'gelée royale*', 'acide ascorbique ', 'vitamine C naturelle', 'acérola* ', 'Malpighia punicifolia', ' ', '*', "" Ingrédients issus de l'Agriculture Biologique""]",,[],,,,,,,,,,?,,107,,448 kj(107 kcal),,1,,1,,"25,3",,1,,"0,9",,0,,0,,,,,,,,,,,,,,,,,,
233,Sauce Rougail - Chaleur Créole - 380g,3486411000292,,Sauve Rougail,380 g,"['Bocal', 'Verre']",['Chaleur Créole'],"['Epicerie', 'Sauces', 'Sauces Rougail']",['Point Vert'],,,,,['France'],"['Tomates ', 'tomates', 'jus de tomates', 'eau', 'oignons émincés', ""huile d'olive vierge extra"", 'sel', 'sucre', 'amidon de maïs modifié', 'piments verts', 'piments rouges', 'huile de tournesol', 'thym', 'poivre', 'moutarde ', 'eau', 'graine de moutarde', 'vinaigre', 'sel', 'sulfites', 'ail', 'gingembre', 'jus de citron concentré', 'piment de Cayenne', 'curcuma']","['Moutarde', 'Anhydride sulfureux et sulfites']",['Sans huile de palme'],3,2.3 g,en faible quantité,0.3 g,en faible quantité,4.8 g,en faible quantité,0.7 g,en quantité modérée,?,,48,-80%,201 kj(48 kcal),-80%,"2,3",-87%,"0,3",-86%,"4,8",-52%,"4,8",-26%,"1,1",-59%,"0,7",-71%,"0,28",-71%,4,-66%,C,-66%,,,,,,,,,['Monoprix'],,,,
234,Miel de France Montagne - Provenance Nature - 250g,3490090010275,A,,250 g,"['Verre', 'métal', 'Pot']",['Provenance Nature'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels français', 'Produits de montagne', 'Miels de montagne', 'Miels liquides']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique', 'Agriculture France']",['France'],['France'],,,['France'],['Miel de montagne'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,0 g,en faible quantité,0 g,en faible quantité,79 g,en quantité élevée,0.01 g,en faible quantité,?,,327,+3%,1368 kj(327 kcal),+3%,0,-100%,0,-100%,81,+1%,79,+4%,"0,4",+31%,"0,01",-31%,"0,004",-31%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,
235,"Supreme de courgettes - Ferme d'Anchin - 98,5cl",3490211000154,,,"98,5cl",,"[""Ferme d'Anchin""]",,,,,,,['France'],[],,[],,,,,,,,,,?,,26,,109 kj(26 kcal),,"1,1",,"0,7",,3,,"0,8",,"0,7",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,
236,Huile de Tournesol Corbeille d'Or,3490950112019,,,,,"[""Corbeille D'or""]",['Matières grasses'],,,,,,['France'],['Huile de tournesol 100%'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,100 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+12%,3766 kj(900 kcal),+12%,100,+13%,11,-52%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,-3%,D,-3%,,,,,,,,,,,,,
237,Mayonnaise,3490950124012,D,,,,,"['Epicerie', 'Sauces', 'Mayonnaises']",,,,,,['France'],[],,[],,80 g,en quantité élevée,9.5 g,en quantité élevée,1.6 g,en faible quantité,1.3 g,en quantité modérée,?,,733,+20%,3067 kj(733 kcal),+20%,80,+21%,"9,5",+54%,2,-26%,"1,6",+10%,1,-19%,"1,3",-2%,"0,52",-2%,23,+28%,E,+28%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,
238,Croque Baby Fromage - Cité Marine,3492500013722,,,,,['Cité Marine'],,,,,,,['France'],"[""Préparation à base de colin d'Alaska 70% : colin d'Alaska 35%"", 'eau', 'fromage fondu 11% ', 'fromages', 'eau', 'beurre', 'poudre de lactosérum', 'protéines de lait', 'sels de fonte : E331-E339-E452', 'sel', 'gélifants : E407-E401', 'base pomme de terre déshydratée ', 'pomme de terre', 'sel', ""blanc d'œuf en poudre"", 'aromate', 'épaississant : E461', ' Enrobage 30% : chapelure ', 'farine de blé', 'levure', 'sel', 'épices : curcuma', 'paprika', 'enrobant ', 'eau', 'farine de blé', 'huiles végétales ', 'tournesol', 'colza', ' t%exprimés sur la totalité du produit', '] Traces possibles de soja', 'céleri', 'mollusques', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques', ' ', '*', ' Malgré tout le soin apporté à la préparation de nos produits', ""la présence exceptionnelle dlarêtes n'est jamais exclue"", ' e matière grasse :']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,222,,929 kj(222 kcal),,"9,4",,"2,4",,"20,9",,"1,6",,"9,7",,"1,4",,"0,56",,,,,,,,,,,,,"['E331 - Citrates de sodium', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E401 - Alginate de sodium', 'E461 - Méthylcellulose']",,,,,
239,Poissonnette panee 10x100G - Cité Marine,3492500033577,,,,,['Cité Marine'],,,,,"['FR 56.094.004 CE', 'Kervignac (Morbihan, France)']",,['France'],"['Préparation à base de produits de la mer 70% : POISSONS 39%', 'CALAMAR', 'eau', 'sorbitol', 'sucre', 'polyphosphates : E45? d10EUF en poudre', 'amidons et amidons modifiés ', 'BLE', 'sel', 'fibre de pomme de terre', 'féaJje de pomme de terrey dextrose', 'GLUTEN', 'arômcs', 'maltodextrine de pomme de terre', 'POISSON déshydraté', 'acidifiant : E330 ', 'CELERI', 'farine ', 'BLEY mais', 'riz', 'poudres à lever : E450i-E503ii', 'huiles végétales ', 'tournesol', 'colza', 'pomme de terre', 'épaississants : E412-E415 - E461 - E407a', 'flocons ', 'PLE', 'avoine', 'riz', ""' levure"", 'colorants : E160c - El Wii', 'épices et aromates', ""poudre d'oignon"", 'poudre dOEUF entier', 'LACTOSE et protéines de LAIT', ' ', '% exprimés sur la préparation', ' Enrobage 30% : chapelure ', 'farine de BLEY levure', 'sel', 'curcumas colorant : extrait de enrobant ', 'eau', 'farine de BLE', 'huiles végétales ', 'tournesol', 'colza', "" CONSEILS D'UTILISATION : sans ajout de matière grasse"", '- au four sec à 1800C', ""' 8 à 10 minutes"", ' à la poêle', 'feu moyen: 3 à 4 minutes de chaquecôté', 'A conserver entre 00 et +40C,']","['Céleri', 'Poisson', 'Gluten', 'Lait', 'Mollusques', 'Avoine']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,197,,824 kj(197 kcal),,"7,3",,"0,8",,"21,4",,"0,6",,"10,7",,"0,9",,"0,36",,,,,,,,,,,,,"['E420 - Sorbitol', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E450i - Pyrophosphate de sodium acide', ""E503ii - Carbonate acide d'ammonium"", 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E461 - Méthylcellulose', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika']",,,,,
240,Accras de morue à la créole - Cité Marine - 200g,3492500046935,E,,200g,,['Cité Marine'],"['Snacks', 'Snacks salés', 'Produits de la mer', 'Apéritif', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Acras de morue', 'en:preparations-made-from-fish-meat']",,,,"['FR 56.094.004 CE', 'Kervignac (Morbihan, France)', 'FR 14.738.042 CE', 'Verson (Calvados, France)']",,['France'],"['Morue 50%', 'huiles végétales ', 'tournesol', 'colza', 'farine de blé', 'oeuf', 'poivrons rouges', 'oignons préfrits ', 'oignons,huile de tournesol', 'fécule de pomme de terre', 'eau', 'flocons de pomme de terre', ""huile d'olive vierge extra"", 'persil', 'ail', 'agents levants ', 'poudre à lever: E450i', 'E500i', 'amidon de froment', 'farine de froment', ""blanc d'ceuf en poudre"", ""épice et extrait d'épice 0"", '4%', ' ', '% exprimés sur la totalité du produit', '] Traces possibles de lait', 'céleri', 'soja', 'crustacés', 'mollusques']","['Œufs', 'Poisson', 'Gluten']","['Non végétalien', 'Non végétarien']",4,12.4 g,en quantité modérée,1.28 g,en faible quantité,2.48 g,en faible quantité,1.96 g,en quantité élevée,?,,224,+2%,937 kj(224 kcal),+2%,"12,4",+34%,"1,28",-2%,"15,9",-23%,"2,48",+0%,12,+14%,"1,96",+9%,"0,784",+9%,10,+44%,C,+44%,87.7%,2.6%,1.3%,5.3%,0.6%,2.4%,22,"['E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium']",,,,,
241,Hachés au saumon - Cité Marine - 2x100g,3492500051403,,"Préparation à base de saumon, cuite à coeur, réfrigérée",2x100 g,"['Plastique', 'Frais']",['Cité Marine'],"['Plats préparés', 'Plats préparés au poisson']",,,['France'],"['FR 56.094.004 CE', 'Kervignac (Morbihan, France)']",,['France'],"['Saumon Atlantique 75%', 'huiles végétales ', 'tournesol', 'colza', 'oignons préfrits ', 'oignons', 'huile de tournesol', 'crème', 'protéines de blé texturées ', 'gluten de blé', 'amidon de blé', 'eau', 'flocons de pomme de terre', 'échalotes', 'ciboulette', ""blanc d'oeuf en poudre"", 'sel', 'arôme naturel de poivre']","['Œufs', 'Gluten', 'Lait', 'Saumon Atlantique']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,14.1 g,en quantité modérée,2.71 g,en quantité modérée,0.2 g,en faible quantité,0.53 g,en quantité modérée,896,+41%,?,,896 kj(214 kcal),+24%,"14,1",+36%,"2,71",0%,"2,2",-74%,"0,2",-87%,"18,7",+100%,"0,53",-49%,"0,212",-49%,-1,-121%,A,-121%,,,,,,,,,['Auchan'],,,,
242,Steak Blé et Oignon - Mon Repas Végétal - 400g,3492500058457,,"Préparation à base de protéines végétales et d'oignon, cuite, surgelée.",400 g,"['Carton', 'Surgelé', 'Boîte']",['Mon Repas Végétal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Surgelés', 'Plats préparés', 'Substituts de viande', 'Plats préparés surgelés', 'Steaks végétaux']","['100% végétal', 'Riche en protéines', 'Sans colorants artificiels', 'Sans conservateurs', 'en:palm-oil-free']",,"['Kervignac', 'France']","['FR 56.094.004 CE', 'Kervignac (Morbihan, France)']",,['France'],"['Eau', 'protéines de blé texturées déshydratées 29 % ', 'protéines de blé', 'farine de blé', 'oignons 8 %', 'huile de colza', 'fibres de blé ', 'fibres de blé et de psyllium', 'arôme naturel', ""extrait de malt d'orge"", 'épaississant: E461', 'sel', 'oignon en poudre 0,5 %', 'colorant: betterave poudre ', 'acidifiant: E330']",['Gluten'],['Sans huile de palme'],4,5.5 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en faible quantité,1.05 g,en quantité modérée,?,,179,-13%,749 kj(179 kcal),-12%,"5,5",-38%,"0,5",-66%,"4,1",-76%,"1,2",-49%,"26,3",+150%,"1,05",0%,"0,42",0%,-3,-2290%,A,-2290%,,,,,,,,"['E461 - Méthylcellulose', 'E330 - Acide citrique']",['Casino'],,,,
243,4 Nems Poulets sauce Nuoc Mam - Le Cantonnais - 280g (4 * 70g),3492593331000,C,,280 g (4 * 70 g),"['Frais', 'Plastique']",['Le Cantonnais'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Réfrigérés', 'Plats au poulet', 'Nems', 'Plats préparés réfrigérés', 'Nems au poulet']",,['Espagne'],"['Pinsaguel', 'France']",,http://www.lecantonnais.com/gallery?lightbox=i101sck,['France'],"['Filets de poulet ', '29,4%', 'galette de riz ', 'riz', 'tapioca', 'eau', 'sel', 'oignons', 'carottes', 'vermicelle de pois', 'eau', 'champignons noirs', 'œufs', 'sucre', 'sel', 'poivre', ' Huile de friture : huile de tournesol', ' Sauce Nuoc Mam : Eau', 'sucre', 'sauce poisson anchois', 'sel', ""vinaigre d'alcool"", 'sel', 'conservateur : E211 ', 'colorant : E150c']","['Œufs', 'Poisson']","['Non végétalien', 'Non végétarien']",4,2.9 g,en faible quantité,0.5 g,en faible quantité,3 g,en faible quantité,1.3 g,en quantité modérée,714,-12%,?,,714 kj(171 kcal),-14%,"2,9",-63%,"0,5",-61%,"26,5",+16%,3,+14%,"8,2",+14%,"1,3",+3%,"0,52",+3%,2,-53%,B,-53%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,"['E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,,,,
244,Porc au Caramel et Riz Parfumé - Le Cantonnais - 300g,3492594444402,,Porc au Caramel et Riz Parfumé,300 g,"['Carton', 'Barquette', 'Plastique', 'Frais']",['Le Cantonnais'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Réfrigérés', 'Plats préparés à réchauffer au micro-ondes', 'Plats préparés réfrigérés']","['Point Vert', 'Fabriqué en France', 'Fabrication traditionnelle', 'Ingrédients sélectionnés']",['Porc : Espagne'],['France'],"['FR 31.420.023 CE', 'Pinsaguel (Haute-Garonne, France)']",,['France'],"['Riz parfumé cuit ', '50%', ' ', 'eau', 'riz', 'arôme naturel', '\r Viande de porc ', '22%', 'eau', 'oignons', 'sauce soja aux champignons ', 'eau', 'sel', 'extrait de soja', 'farine de blé', 'sucre', 'champignons', 'colorant : E150a', 'exhausteurs de goût : E635', 'glutamate', 'conservateur : E202', 'sauce arôme huître ', 'eau', 'sucre', 'sel', 'exhausteur de goût : glutamate', 'amidon modifié', 'farine de blé', 'extrait de levure', 'colorant : E150c', 'arôme', 'huile de tournesol', 'fécule de pomme de terre', 'sucre', 'sel', 'exhausteur de goût : glutamate', 'arôme naturel', 'ail']","['Gluten', 'Mollusques', 'Soja']","['Non végétalien', 'Non végétarien']",4,1.5 g,en faible quantité,0.3 g,en faible quantité,0.7 g,en faible quantité,0.67 g,en quantité modérée,541,-28%,?,,541 kj(129 kcal),-29%,"1,5",-83%,"0,3",-90%,"19,7",+34%,"0,7",-63%,"8,8",+6%,"0,67",-42%,"0,268",-42%,-2,-134%,A,-134%,,,,,,,,"['E150a - Caramel E150a', ""E635 - 5'-ribonucléotide disodique"", 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']","['Carrefour City', 'Carrefour']",,,,
245,"Céréal bar Chocolate banana - BREAK'N BOOST - 20,8g",3494690060142,,Barre céréalière au chocolat et à la banane,"20,8 g","['Sachet', 'Plastique']","[""BREAK'N BOOST""]","['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",,,,,,['France'],"['Céréales 39 % ', ""flocons d'avoine 20 %"", 'farine de blé', 'sirop de glucose', 'pépites de chocolat au lait 12 % ', 'sucre', 'poudre de lait entier', 'beurre de cacao', 'pâte de cacao', 'lactose', 'émulsifiant : lécithine de soja', 'arôme naturel', 'banane 5,9 % ', 'banane', 'huile de coco', 'sucre', 'huile de tournesol', 'banane en flocon 2,5 %', 'stabilisant : sorbitols', 'dextrose', 'sucre', 'sel', 'caramel aromatique ', 'sirop de glucose', 'sucre', 'eau', 'antioxydant : extrait riche en tocophérols', 'émulsifiant : lécithine de soja', 'arômes']","['Gluten', 'Lait', 'Avoine', 'Soja']",['Non végétalien'],4,11.6 g,en quantité modérée,5.6 g,en quantité élevée,32.5 g,en quantité élevée,0.36 g,en quantité modérée,?,,413,-2%,1728 kj(413 kcal),-3%,"11,6",-27%,"5,6",-6%,"68,9",+14%,"32,5",+19%,"5,8",-22%,"0,36",-8%,"0,144",-8%,13,-2%,D,-2%,,,,,,,,"['E322i - Lécithine', 'E420 - Sorbitol', 'E306 - Extrait riche en tocophérols']",,,,,
246,Pain platine coupé - MENISSEZ frait - 500g,3495563160167,,,500 g,['saché plastique'],['MENISSEZ frait'],['4'],,,,,,['France'],"['farine de blé', 'eau', 'levure', 'sel', 'farine de blé malté', 'émulsifiant e471', 'antioxydant acide ascorbique,']",['Gluten'],"[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4,1.2 g,en faible quantité,0.5 g,en faible quantité,2.3 g,en faible quantité,1.52 g,en quantité élevée,?,,262,,1096 kj(262 kcal),,"1,2",,"0,5",,"53,6",,"2,3",,"7,8",,"1,52",,"0,608",,5,,C,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique']",,,,,
