,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,traceability_code,ingredients_origins,packaging,markets,additives,allergens,nova_score,generic_name,link,manufacturing,brand_owner,palm_ingredients
424,Noix de coco -,3052351070512,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Noix de coco']",['France'],['noix de coco 100%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",33.5 g,en quantité élevée,29.7 g,en quantité élevée,6.23 g,en quantité modérée,0.5 g,en quantité modérée,?,,365,-28%,1527 kj(365 kcal),-28%,"33,5",-30%,"29,7",-26%,"7,15",-23%,"6,23",+18%,"4,2",-19%,"< 0,5",+458%,"0,2",+458%,10,+53%,C,+53%,70.3%,0.0%,8.0%,9.7%,8.6%,3.4%,54,,,,"['FR 06.084.001 CE', 'Mouans-Sartoux (Alpes-Maritimes, France)']",,,,,,1,,,,,
425,Edam,0200951018103,,,['France'],[],[],,,,,,,,,?,,403,,1686 kj(403 kcal),,30,,20,,0,,0,,33,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Beaufort AOP - Auchan - 200g,0206539032400,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Auchan'],200g,,,,['Auchan'],,,,,,,,
427,Terrine de lapin - Carrefour,0219178020608,D,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de lapin']",['France'],[],[],27 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,322,+17%,1347 kj(322 kcal),+17%,27,+19%,11,+30%,"0,5",-70%,"0,5",-32%,20,+30%,"1,4",-7%,"0,56",-7%,20,+18%,E,+18%,77.1%,15.8%,3.3%,2.4%,1.1%,0.3%,38,,['Carrefour'],,,,,['Carrefour'],,,,,,,,
428,Framboise,8712566358946,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"[""Fabriqué dans l'UE""]",,,,,,,,,,,,,,
429,Cannonata,8015575480012,,,['France'],[],[],,,,,,,,,?,,392,,1640 kj(392 kcal),,39,,"4,9",,"9,5",,"2,7",,"8,9",,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Tartinade de Poivrons aux graines de colza,3760111550029,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Munster,2996476007187,,,['France'],[],[],,,,,,,,,?,,330,,1381 kj(330 kcal),,27,,19,,1,,1,,20,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,
432,E.Leclerc - 10,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Pur beurre'],['E.Leclerc'],10,,,['boite plastifiée'],,,,,,,,,
433,Terrine de foies de volaille,3296410002209,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de foie', 'Terrines de foie de volaille']",['France'],[],[],25 g,en quantité élevée,9.6 g,en quantité élevée,0.9 g,en faible quantité,2 g,en quantité élevée,?,,290,-4%,1213 kj(290 kcal),-4%,25,-7%,"9,6",-8%,1,-33%,"0,9",+63%,15,+9%,2,+33%,"0,8",+33%,20,+10%,E,+10%,,,,,,,,,,,,,,,,,,,,,,
434,eau de source - ondine - 1.5L,3410280033839,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Ondine'],1.5L,,,,,,,,,,,,
435,75cL,3760113400254,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,75 cL,,,['Bouteille'],,,,,,,,,
436,Atum artesanal,5600214569048,,,['France'],[],[],,,,,,,,,?,,98,,410 kj(98 kcal),,1,,"0,63",,1,,1,,"14,5",,"1,23",,"0,492",,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Orichiette,8019634000494,,,['France'],[],[],,,,,,,,,?,,277,,1159 kj(277 kcal),,"0,8",,"0,2",,"57,2",,1,,9,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,
438,2096937014232,2096937014232,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Muesli Tradition Raisin Nousette Amande,00716935,,,['France'],[],[],,,,,,,,,?,,365,,1527 kj(365 kcal),,"7,7",,"1,2",,"59,3",,"9,9",,"9,2",,"0,01",,"0,004",,,,,,,,,,,,,"['Bio', 'Sans sucre ajouté']",,,,,,,,,,,,,,
440,White grape Juice,8410635024029,,,['France'],[],[],,,,,,,,,?,,68,,285 kj(68 kcal),,0,,0,,16,,16,,"0,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,saucisson sec de l'île de beauté - monte Conti - 250g,0239602030706,,"['Viandes', 'Charcuteries']",['France'],"['EA Ets', "" FONTANA 20290 BORGO OT 11023218 sauCTssON SEC DE L'ILE DE ngredients Viande de porc"", 'sel', 'poiure Sucresdextrse', 'ce erment', 'conservateur nitrate de potassium', 'Boyau natura et soumis a dessication', 'Comservation', '+18 C maximum iande de porc origine France aleurs nutritionnelles pour 100g Energie318 Kca Matieres grasses 20,8g dont satures 8', '95g Glucides Proteines 32', '6gSel 4', '95g a concommer de prefer ance avant Le 03', '1118 Prix/kg 18', '306']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['monte Conti'],250g,,,['Sec'],['Casino'],,,,,,['Borgo'],,
442,Isia,3039820514319,,,['France'],[],[],,,,,,,,,?,,293,,1226 kj(293 kcal),,1,,0,,37,,3,,21,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Kartoffel-eintopf - Hipp,4062300259867,,,['France'],[],[],,,,,,,,,?,,300,,1255 kj(300 kcal),,"2,6",,"0,2",,"9,2",,"2,7",,"2,5",,"0,2",,"0,08",,,,,,,,,,,,,['en:gluten-free'],['Hipp'],,,,,,,,,,,,,
444,Tang Orange,04366401,,,"['France', 'États-Unis']","['Water', 'citric acid', 'sodium citrate', 'sucralose ', 'sweetener', 'gum arabic', 'contains less than 2% of natural and artificial flavor', 'sucrose acetate isobutyrate', 'yellow 5', 'yellow 6', 'sodium benzoate and potassium sorbate ', 'preservatives']",[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,,,0,,0,,0,,"3,75",,"1,5",,,,,,,,,,,,,,['Tang'],,,,,,"['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E955 - Sucralose', ""E414 - Gomme d'acacia"", 'E444 - Acétate isobutyrate de saccharose', 'E102 - Tartrazine', 'E110 - Jaune orangé S', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,4,,,,Aussie Woolie Imports Inc,
445,Filets de poulet fermier,0208948067639,C,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-09']",,,,,,,,,,,,,,
446,Heinz 220ML Sweet Chili Sauce Maustekastike,87157291,,,['France'],[],[],,,,,,,,,?,,185,,774 kj(185 kcal),,"0,1",,"0,1",,46,,41,,"0,3",,"1,4",,"0,56",,,,,,,,,,,,,,['Heinz'],,,,,,,,,,,,,
447,Moelleux chocolat,0250553019350,D,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Moelleux au chocolat']",['France'],[],[],29 g,en quantité élevée,17 g,en quantité élevée,36 g,en quantité élevée,0.11 g,en faible quantité,?,,466,+9%,1950 kj(466 kcal),+10%,29,+18%,17,+75%,45,+4%,36,+14%,"5,8",-5%,"0,11",-70%,"0,044",-70%,22,+14%,E,+14%,83.9%,9.8%,1.9%,2.9%,1.1%,0.3%,36,,,,,,,,,,,,,,,
448,Boule de pain,0207657010509,,,['France'],[],[],,,,,,,,,?,,259,,1084 kj(259 kcal),,"0,8",,"0,2",,51,,"0,2",,10,,"1,6",,"0,64",,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,
449,0771098009939,0771098009939,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Maamoul,6281041270117,,,['France'],[],[],,,,,,,,,?,,140,,586 kj(140 kcal),,6,,4,,4,,2,,2,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Bande flan nature,0203151017716,B,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Flans gélifiés', 'Flans pâtissiers']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,71.0%,14.6%,7.1%,3.5%,3.7%,0.0%,81,,,,,,,,,,,,,,,
452,TOMME DE BLEU BREBIS,3760196070238,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Produits de montagne', 'Fromages de montagne', 'Fromages de brebis', 'Tommes', 'Tomme de brebis']",['France'],[],[],31.3 g,en quantité élevée,18.9 g,en quantité élevée,0.5 g,en faible quantité,0.93 g,en quantité modérée,?,,372,-5%,1556 kj(372 kcal),-5%,"31,3",-6%,"18,9",-12%,"2,3",+64%,"0,5",+128%,"20,8",-7%,"0,93",-46%,"0,372",-46%,13,-21%,D,-21%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,
453,Huile d'Olive Vierge Extra -,3760283110014,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de France"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", ""Huile d'olive de Corse""]",['France'],"[""Huile d'olive de catégorie supérieure"", 'obtenue directement des olives et uniquement par procédés mécaniques']",[],100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,981,+18%,4105 kj(981 kcal),+18%,100,+8%,15,+13%,0,,0,,0,,0,-100%,0,-100%,6,0%,C,0%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['AOP'],,,,,['Métal'],,,,,Huile d'olive de Corse - Huile d'Olive Vierge Extra,,"['France', 'Corse']",,
454,Terrine au Saint-Nectaire,3594695000577,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,4104534767623,4104534767623,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Arachides grillées enrobées de sucre cuit,2600117024807,,['Pralines aux cacahuètes'],['France'],[],[],28 g,en quantité élevée,19 g,en quantité élevée,44 g,en quantité élevée,0 g,en faible quantité,?,,532,0%,2226 kj(532 kcal),-0%,28,0%,19,0%,55,0%,44,0%,15,0%,0,,0,,25,0%,E,0%,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,
457,"Butterfly Garnelen, Knoblauch",20173463,,,['France'],[],[],,,,,,,,,?,,435,,1820 kj(435 kcal),,23,,"4,2",,50,,31,,"5,8",,"0,95",,"0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Croutons Natures,3185202430231,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",['France'],[],[],14.2 g,en quantité modérée,2.8 g,en quantité modérée,4.8 g,en faible quantité,2.6 g,en quantité élevée,?,,453,-4%,1895 kj(453 kcal),-4%,"14,2",-31%,"2,8",-7%,"69,9",+19%,"4,8",+30%,"9,9",+5%,"2,6",+33%,"1,04",+33%,18,+23%,D,+23%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,,"['EMB 14514', ""Pont-l'Évêque (Calvados, France)""]",,,,,,,,,,,
459,Confit de canard du Gers,3473024311457,,,['France'],[],[],,,,,,,,,?,,308,,1289 kj(308 kcal),,"23,6",,"8,2",,"0,2",,0,,"23,7",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
460,margaux - 1'5litres,3430430005561,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,['Margaux'],1'5 litres,['33 RÉCOLTANT'],['Raisin'],['Bouteille'],['Carrefour'],,,,,,['Bordeaux'],,
461,Miel de la  Champagne,3482490000079,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Palets Solognots - Albert Ménès,3162900007439,,,['France'],[],[],,,,,,,,,?,,497,,2079 kj(497 kcal),,25,,16,,64,,37,,"5,5",,"0,15",,"0,06",,,,,,,,,,,,,,['Albert Ménès'],,,,,,,,,,,,,
463,MENTOS juice Burst,80776352,,,['France'],[],[],,,,,,,,,?,,943,,3946 kj(943 kcal),,"0,3",,"0,3",,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Comté,2671339024609,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,?,,418,+5%,1749 kj(418 kcal),+6%,35,+7%,23,+6%,0,-100%,0,-100%,27,+7%,"0,9",-8%,"0,36",-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
465,Huile d'olive vierge extra à l'ail,8435421408210,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],98.5 g,en quantité élevée,12.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,886,+3%,3707 kj(886 kcal),+4%,"98,5",+3%,"12,8",-9%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,
466,Eclair X 4,0223608040678,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Saint nectaire laitier,2860478016730,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-nectaire']",['France'],[],[],27 g,en quantité élevée,18 g,en quantité élevée,1 g,en faible quantité,1.8 g,en quantité élevée,?,,340,0%,1423 kj(340 kcal),+0%,27,-2%,18,-5%,2,+96%,1,+241%,"1,8",-92%,"1,8",+21%,"0,72",+21%,20,+33%,E,+33%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
468,Saucisse sèche au bleu de chevre,2442631052740,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['FR 43.241.004 CE', 'Solignac-sur-Loire (Haute-Loire, France)']",,,,,,,,,,,
469,les collines roses - froton - 750ml,3280110160000,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",['France'],['pas de liste disponible sur le produit'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,['Froton'],750 ml,,,['Bouteille'],,,,,,,,,
470,8436554200030,8436554200030,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,belgian chocolates - Hamlet,5400265037103,,,['France'],[],[],,,,,,,,,?,,526,,2201 kj(526 kcal),,36,,18,,45,,44,,"5,5",,"0,12",,"0,048",,,,,,,,,,,,,['en:gluten-free'],['Hamlet'],,,,,,,,,,,,,
472,Boisson citron menthe,6133018000862,,,['France'],[],[],,,,,,,,,?,,48,,201 kj(48 kcal),,0,,0,,"12,1",,0,,0,,0,,0,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,
473,Party mix,7613036064415,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,tomapulp - Panzani - 700g,6048379005053,A,"['Epicerie', 'Sauces', 'Sauces tomate']",['France'],['100% tomates fraîches'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,['Sans conservateurs'],['Panzani'],700 g,,,['Verre'],['Leclerc'],,,1,,,,,
475,Thé blanc pêche abricot -,3700324425196,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés blancs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['Bio'],,,,,,,,,,,,,,
476,Amandes grillées à sec et salées,2609882058451,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes', 'Amandes grillées']",['France'],[],[],52.5 g,en quantité élevée,4 g,en quantité modérée,4.9 g,en faible quantité,2 g,en quantité élevée,?,,662,+6%,2770 kj(662 kcal),+6%,"52,5",+0%,4,-9%,21,+64%,"4,9",-13%,21,-4%,2,+137%,"0,8",+137%,10,+134%,C,+134%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,,,
477,Sauce soja sucree,17924283,B,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja', 'Sauces au soja sucrées']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,,,,,,,,,,,,,,
478,Leclerc,6999999259633,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,
479,Souris d'agneau - Tendre & Plus,2224658060027,,"['Viandes', ""Viandes d'agneau"", ""Souris d'agneau""]",['France'],[],[],4.9 g,en quantité modérée,1.9 g,en quantité modérée,0.9 g,en faible quantité,1.3 g,en quantité modérée,?,,123,-14%,515 kj(123 kcal),-14%,"4,9",-23%,"1,9",-22%,"1,7",+21%,"0,9",+17%,18,-6%,"1,3",+18%,"0,52",+18%,2,-14%,B,-14%,,,,,,,,,['Tendre & Plus'],,,,['Parts'],,,,,,,,,
480,Thé de plante Minceur,8934602003591,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Combebelle,3283632397619,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Pomme cerise,3760048424806,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Sans sucre ajouté', 'Sans conservateurs', 'AB Agriculture Biologique']",,,,,,,,,,,,,,
483,Girolles -,3111952021573,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes séchées', 'Aliments à base de plantes frais', 'Champignons', 'Champignons séchés', 'Girolles']",['France'],[],[],5 g,en quantité modérée,1 g,en faible quantité,11 g,en quantité modérée,0.2 g,en faible quantité,?,,1,,4 kj(1 kcal),-99%,5,+103%,1,+158%,"17,6",+209%,11,+2699%,19,+120%,"0,2",-16%,"0,08",-16%,-8,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,,,,,,,,,,
484,Comte RDF,0200422020932,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
485,Llonganissa de Pagès,8424440001472,,,['France'],[],[],,,,,,,,,?,,365,,1527 kj(365 kcal),,"24,72",,"8,09",,"6,2",,"0,5",,"29,45",,"1,36",,"0,544",,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Tarte à l'Ancienne Myrtille - Croq Alpes - 210g,3501560101185,C,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Biscuit sec nappé aux fruits', 'Tartes aux myrtilles']",['France'],"['Pâte : Farine de blé', 'sucre', 'beurre', 'œuf', 'eau', ' Fourrage myrtille : sucre', 'purée de fruits', 'myrtilie 34 % Sirop de glucose', 'gélifiant : pectine', 'acidifiant : acide citrique', ""régulateur d'acidité"", ' citrate de sodium', 'orthophosphate de calcium', 'arôme', 'colorant', 'conservateur : sorbate de potassium']",['Non végétalien'],10.4 g,en quantité modérée,6.6 g,en quantité élevée,37.4 g,en quantité élevée,5.7 g,en quantité élevée,?,,371,+18%,1552 kj(371 kcal),+18%,"10,4",+1%,"6,6",+25%,64,+29%,"37,4",+36%,"4,3",+4%,"5,7",+1965%,"2,28",+1965%,28,+104%,E,+104%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,"[""À l'ancienne"", 'Fabrication artisanale']",['Croq Alpes'],210 g,,,['Plastique'],,"['E440 - Pectines', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait']",4,Tarte à l'Ancienne Myrtille,,,,
487,Donuts,0208259010508,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,,
488,Sauce moutarde,5039303002393,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],[],2.8 g,en faible quantité,0.1 g,en faible quantité,34.9 g,en quantité élevée,2.2 g,en quantité élevée,?,,208,+22%,870 kj(208 kcal),+23%,"2,8",-74%,"0,1",-88%,"40,3",+484%,"34,9",+804%,"3,9",-41%,"2,2",-53%,"0,88",-53%,18,+55%,D,+55%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,,
489,Confiture extra abricot bergeron - Alain millat - 230gr,3556000230086,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",['France'],[],[],0.13 g,en faible quantité,0.01 g,en faible quantité,49 g,en quantité élevée,0 g,en faible quantité,?,,207,-5%,866 kj(207 kcal),-6%,"0,13",-42%,"0,01",-77%,"49,6",-7%,49,-3%,"0,6",+20%,0,-100%,0,-100%,7,-22%,C,-22%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,['Alain millat'],230 gr,,,,,,,,,,,,
490,Jambon fumé à l'ancienne,2602660028530,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",['France'],[],[],3.3 g,en quantité modérée,1.7 g,en quantité modérée,0.5 g,en faible quantité,2.1 g,en quantité élevée,?,,123,-19%,515 kj(123 kcal),-19%,"3,3",-46%,"1,7",-29%,"0,5",+1%,"0,5",+3%,23,+3%,"2,1",+8%,"0,84",+8%,11,+13%,D,+13%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,,,
491,Confit de Canard de Gascogne,3382563622408,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,farine de ble ferme du clos doré - 3kg,3770001276151,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,3 kg,,,,,,,,,,,,
493,MAXX deep ridged paprika,5900259062482,,,['France'],[],[],,,,,,,,,?,,518,,2167 kj(518 kcal),,30,,10,,53,,"2,8",,"6,2",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Bolero,3800048221590,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['en:gluten-free'],['Bolero'],,,,,,,,,,,,,
495,1292,1292,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Paccheri lisci,8014193020921,,,['France'],[],[],,,,,,,,,?,,1493,,6247 kj(1493 kcal),,"1,5",,"0,3",,70,,"3,1",,13,,"0,004",,"0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,
