,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,traceability_code,link,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,manufacturing,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,palm_ingredients,brand_owner,origin_detail,producer_info
10,Coupelles pomme allégée - U - 16x 100g,3256227449949,B,16 x 100 g,,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']",['Transformé en France'],,,,['Magasins U'],['France'],"['Purée de pommes ', 'France', ' 96%', 'sucre ', 'France', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",292,+9%,69,+3%,"0,6",+83%,15,+3%,"0,5",+20%,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,['E300 - Acide ascorbique'],3,292 kj(69 kcal),"0,2",14,"0,01","0,004",,,0.6 g,en faible quantité,0.2 g,en faible quantité,14 g,en quantité élevée,0.01 g,en faible quantité,+5%,+136%,+5%,+1%,+1%,-3,,A,,,,,,
11,Cacahuetes grillees salees - Carrefour,3560071084059,D,,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Snacks', 'Légumineuses', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Fruits à coque salés', 'Cacahuètes grillées', 'Cacahuètes salées']",,,,,['Carrefour'],"['Belgique', 'France']",[],[],?,,615,+1%,50,+3%,"9,6",-23%,26,+2%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,2573 kj(615 kcal),6,5,"0,8","0,32",,,50 g,en quantité élevée,6 g,en quantité élevée,5 g,en quantité modérée,0.8 g,en quantité modérée,+2%,-17%,-5%,-32%,-32%,6,-0%,C,-0%,,,,,
12,Carottes bio - Bio Village - 215g,3564707140607,A,215 g,"['Bocal', 'Verre']","['Bio Village', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Carottes', 'Carottes en conserve']","['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'Agriculture UE', 'Agriculture UE/Non UE', 'Point Vert']",,,,"['E. Leclerc', 'Leclerc']",['France'],"['Carottes*', 'eau', 'sucre*', 'sel', 'antioxydant: acide ascorbique', ""*Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",83,-42%,?,,"0,5",+29%,"3,6",-36%,"0,5",-60%,23.7%,34.6%,15.8%,8.2%,11.2%,6.5%,87,['E300 - Acide ascorbique'],3,83 kj(20 kcal),"0,2","3,5","0,4","0,16",['Belgique'],,0.5 g,en faible quantité,0.2 g,en faible quantité,3.5 g,en faible quantité,0.4 g,en quantité modérée,-46%,+137%,+7%,-30%,-30%,-6,,A,,,,,,
13,Pur jus clémentine orange raisin - U - 1l,3256227248368,D,1 l,['Bouteille'],['U'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits', 'Jus de fruits pur jus', 'Jus multifruits pur jus']",['Transformé en France'],,,,['Magasins U'],['France'],"['Jus de clémentine 70%', ""jus d'orange 15% "", 'jus de raisin blanc 15%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",203,+2%,48,0%,"0,5",+160%,11,-1%,"0,6",+40%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,1,203 kj(48 kcal),"0,1",11,"0,01","0,004",,,0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,+2%,+252%,+6%,+25%,+25%,5,+11%,C,+11%,,,,,
14,Bleu à pâte persillée au lait de vache pasteurisé 27% de MG - U - 220g,3256227108204,B,220 g,['Frais'],"['U', 'U Bio']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages pasteurisés']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Lait Français', 'Transformé en France']",,"['FR 15.162.001 CE', 'Riom-ès-Montagnes (Cantal, France)']",,"['Magasins U', 'Super U']",['France'],"['Lait de vache pasteurisé* ', 'origine : france', 'sel', 'présure', 'chlorure de calcium', ""ferments lactiques et d'affinage"", "" *ingrédient issu de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1342,-9%,324,-9%,27,-11%,"0,5",-33%,20,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,3,1342 kj(324 kcal),19,"0,5","1,8","0,72",,['Lait'],27 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,-10%,-11%,+146%,-37%,-37%,16,-14%,D,-14%,,,,,
15,cafe,5400141033014,E,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']",,,,,,"['Belgique', 'France']",[],[],?,,1,-67%,0,-100%,"0,3",-21%,"0,2",-51%,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,4 kj(1 kcal),0,0,0,0,,,,,,,,,,,-71%,-100%,-100%,-100%,-100%,,,,,,,,,
16,biscotte germe de ble bio - Franprix,3263852511910,,,,['Franprix'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-026-VAS', 'en:Es-eco-026']",,,,,['France'],[],[],?,,389,,"4,8",,74,,10,,,,,,,,,,,1628 kj(389 kcal),"0,5",5,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,
17,Brioches burger - U - x4308g,3256227434389,,x4 308 g,['Plastique'],['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Buns (petits pains)']","['Transformé en France', 'Farine de blé français']",,,,['Magasins U'],['France'],"['Farine de ble 62%', 'eau', 'sucre', 'oeufs entiers frais 4%', 'huile de colza', 'poudre de lait entier', 'sel', 'levure', ""émulsifiants : mono - et diglycérides d'acides gras et esters monoacétyltartriques et diacétyltartriques des mono - et diglycérides d'acides gras"", 'arôme naturel ', 'contient alcool', 'protéines de lait', 'gluten de ble', 'levure désactivée', 'conservateur : propionate de calcium', ' traces éventuelles de graines de sésame']",['Non végétalien'],1284,+29%,304,+15%,"6,9",+43%,51,+15%,"8,5",-6%,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E282 - Propionate de calcium']",4,1284 kj(304 kcal),"3,2","8,9","1,2","0,48",,"['Œufs', 'Gluten', 'Lait']",6.9 g,en quantité modérée,3.2 g,en quantité modérée,8.9 g,en quantité modérée,1.2 g,en quantité modérée,+19%,+298%,+134%,+8%,+8%,10,+315%,C,+315%,,,,,
18,Nestle Fitness Cereal Bars Red Berries X6,5900020030566,,,,,,,,,,,['France'],[],[],?,,403,,"11,3",,"64,6",,"6,2",,,,,,,,,,,1686 kj(403 kcal),"7,7","27,6","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,
19,"Bonbons tic tac goût menthe - Ferrero - 99,8g (99.8g)",8000500319895,E,"99,8 g (99.8 g)",['Blister'],"['Ferrero', 'TIC TAC']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,,['France'],"['Sucre', 'maltodextrine', 'fructose', 'épaississant: gomme arabique', ' amidon de riz', 'arômes', 'huile essentielle de menthe', ""agent d'enrobage: cire de carnauba""]",['Sans huile de palme'],1685,+9%,397,+12%,"0,5",-73%,"97,5",+17%,"0,1",-95%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"[""E414 - Gomme d'acacia"", 'E903 - Cire de carnauba']",4,1685 kj(397 kcal),"0,5","94,5","0,028","0,011",,,0.5 g,en faible quantité,0.5 g,en faible quantité,94.5 g,en quantité élevée,0.028 g,en faible quantité,+12%,-53%,+63%,-77%,-77%,15,+4%,D,+4%,TIC TAC MENTHE : Pastilles à la menthe aromatisées,,,,
20,Kakao drink - Frischli - 0.5l,4045500011213,,0.5l,,['Frischli'],,"['Agriculture durable', 'en:UTZ Certified']",,['DE NI-21111 EG'],,,"['France', 'Allemagne']",[],[],?,,56,,"0,2",,"9,7",,"3,7",,,,,,,,,,,234 kj(56 kcal),"0,1","9,6","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,
21,Tranches d'ananas - Sun Queen - 140g,7613312104859,A,140g,"['dose(n)', 'dose/büchse']",['Sun Queen'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Ananas']",,,,,,"['France', 'Allemagne', 'Suisse']",[],[],?,,63,-35%,0,-100%,13,-34%,"0,5",+21%,37.7%,0.0%,0.0%,33.4%,15.9%,13.1%,95,,,264 kj(63 kcal),0,"0,5","0,01","0,004",,,0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,-32%,-100%,-97%,-87%,-87%,-5,,A,,,,,,
22,Zendium Dentifrice Extra Fraîcheur Mode d'action naturel antibactérien - 75ml,8710447263150,,75 ml,['Tube'],['Zendium'],"['Non alimentaire', 'Open Beauty Facts', 'Dentifrices']",['Point Vert'],,['FSC-C124716'],,['grandes surfaces'],['France'],"['Aqua', 'Hydrated Silica', 'Xylitol', 'Sorbitol', 'Glycerin', 'Hydrogenated Starch Hydrolysate', 'Steareth-30', 'Aroma', 'Xanthan gum', 'Chondrus Crispus', 'Disodium phosphate', 'Sodium Fluoride', 'Amyloglucosidase', 'Zinc Gluconate', 'Sodium Saccharin', 'Citric acid', 'Sodium benzoate', 'Glucose Oxidase', 'Potassium Thiocyanate', 'Lysozyme', 'Colostrum', 'Lactoferrin', 'Lactoperoxidase', 'CI 77891']","['Non végétalien', 'Non végétarien']",?,,?,,?,,?,,?,,,,,,,,,"['E967 - Xylitol', 'E420 - Sorbitol', 'E422 - Glycérol', 'E415 - Gomme xanthane', 'E339ii - Phosphate disodique', 'E330 - Acide citrique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E1102 - Glucose oxydase', 'E1105 - Lysozyme']",,,,,,,,,,,,,,,,,,,,,,,,,,Dentifrice,,,,
23,Néctar pera y piña sin azúcares añadidos brik - Juver,8410707159451,,,,['Juver'],,['Sans sucre ajouté'],,,,,['France'],[],[],?,,25,,"0,1",,"5,5",,"0,2",,,,,,,,,,,105 kj(25 kcal),0,"4,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,
24,Lait de coco - Bonneterre - 3x 20cl,3396411235566,A,3 x 20 cl,['Etui en carton'],['Bonneterre'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,['FSC-C104639'],,,['France'],"['Noix de coco* ', '59%', 'eau', 'épaississant : gomme guar""', "" *Ingrédients issus de l'Agriculture Biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",701,+6%,170,+8%,17,+9%,"2,6",-6%,"1,3",+2%,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,['E412 - Gomme de guar'],4,701 kj(170 kcal),15,"1,6","0,08","0,032",,,17 g,en quantité élevée,15 g,en quantité élevée,1.6 g,en faible quantité,0.08 g,en faible quantité,+7%,+10%,-5%,+10%,+10%,11,+16%,D,+16%,,,,,
25,Piacersi fiocchi di latte - Conad,8003170045026,,,,['Conad'],,['en:gluten-free'],,,,,"['France', 'Italie']",[],[],?,,83,,3,,1,,13,,,,,,,,,,,347 kj(83 kcal),2,1,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,
26,Knorr Marmite BIO Saveur Boeuf 104g 4 Portions - 104g,8711200438624,,104 g,"['Opercule en plastique', 'Boîte en carton', 'boite']","['Knorr', 'Unilever']","['Epicerie', 'Sauces', 'Bouillons', ""Sauces à base d'extrait de levure"", 'Marmite BIO']","['Bio', 'Bio européen', 'Point Vert']",,,,,['France'],"['Eau', 'sel', 'graisse de palme¹', 'sucre de canne¹', 'carotte¹ réhydratée', 'arômes naturels', 'chlorure de potassium', 'poireau¹ réhydraté', 'sucre caramélisé¹', 'gélifiants : gomme xanthane et farine de graines de caroube', 'viande de bœuf¹ en poudre : 0,6%', 'maltodextrine¹', 'extrait de levure', 'aromates¹ ', 'livèche¹', 'persil¹', "" ¹Ingrédients issus de l'Agriculture Biologique""]","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,,108,-19%,"7,4",+66%,"7,5",-56%,"2,7",-42%,,,,,,,,"['E415 - Gomme xanthane', 'E410 - Gomme de caroube']",4,452 kj(108 kcal),"3,7","5,7","15,1","6,04",,,7.4 g,en quantité modérée,3.7 g,en quantité modérée,5.7 g,en quantité modérée,15.1 g,en quantité élevée,-22%,+81%,+19%,-29%,-29%,15,+101%,D,+101%,Assaisonnement fondant saveur bœuf.,['Huile de palme'],,,
27,Kaba - Vanille - 400g,3664346307628,,400g,,['Vanille'],['Boissons'],,,,,,"['France', 'Allemagne']","['Traubenzucker 66 %', 'Zucker', 'Maltodextrin', 'Vanillearoma', 'Farbstoffe ', 'Beta-Carotin', 'Riboflavin', 'Niacin', 'Vitamin B6', 'Vitamin B1', 'Vitamin B12', 'Folsäure,']","[""Pourrait contenir de l'huile de palme""]",?,,0,-100%,0,-100%,93,+723%,0,-100%,,,,,,,,"['E160ai - Bêta-carotène', 'E101i - Riboflavine']",4,0 kj(0 kcal),0,89,0,0,,,0 g,en faible quantité,0 g,en faible quantité,89 g,en quantité élevée,0 g,en faible quantité,-100%,-100%,+843%,-100%,-100%,10,+31%,E,+31%,,,,,
28,Lustucru box serpentini extra fromage - 360g,3240931544885,B,360 g,"['Carton', 'Plastique', 'Barquette']","['Lustucru', 'Lustucru selection']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Frais', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Plats préparés frais', 'Pâtes instantanées', 'Plats préparés à réchauffer au micro-ondes', 'Pâtes instantanées au fromage', 'Box']","['Point Vert', 'Nutriscore', 'Nutriscore B', 'Triman', 'Comté AOP']",['France'],,,['LECLERC'],['France'],"['Eau', 'pâte alimentaire ', 'GLUTEN', ' 27%', 'CREME légère UHT ', 'stabilisant : carraghénanes', ' 7', '5%', 'EMMENTAL ', 'LAIT', 'sel', 'ferments lactiques', 'coagulant', ' 6%', 'huile de colza', 'COMTE AOP', 'amidon transformé', 'sel', 'arômes naturels ', 'LAIT', 'ail', 'épaississant : gomme xanthane', 'émulsifiant : lécithine de SOJA', 'conservateurs : sorbate de potassium-acétate de sodium', 'poivre', "" Sachet d'emmental râpé : "", 'EMMENTAL Français râpé ', 'LAIT', 'sel', 'ferments lactiques', 'coagulant', ' 4', ""2% Peut contenir des traces d'oeufs"", 'poisson', 'crustacés', 'sésame et fruits à coque', ' Conditionné sous atmosphère protectrice']",['Non végétalien'],745,+19%,177,+17%,7,+13%,21,+22%,"7,1",+18%,73.8%,12.9%,4.4%,4.7%,2.4%,1.8%,67,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E322i - Lécithine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,745 kj(177 kcal),"3,6","1,1","0,66","0,264",['France'],"['Œufs', 'Gluten', 'Lait', 'Soja']",7 g,en quantité modérée,3.6 g,en quantité modérée,1.1 g,en faible quantité,0.66 g,en quantité modérée,+17%,+33%,-35%,-10%,-10%,2,-21%,B,-21%,"Serpentini cuits agrémentés d'une sauce cuisinée à la crème légère, et à l'emmental aromatisé, et accompagnés d'un sachet d'emmental râpé.",,,,
29,Ice Twist - Carrefour,3560071198541,,,,['Carrefour'],,,,,,['Carrefour'],['France'],[],[],?,,87,,0,,21,,0,,,,,,,,,,,364 kj(87 kcal),0,21,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,
30,Pâte à pizza sans gluten,3531151111354,,,,,,"['Bio', 'en:gluten-free']",,,,,['France'],[],[],?,,241,,"5,9",,45,,"1,9",,,,,,,,,,,1008 kj(241 kcal),"0,8","0,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,
31,Babybel bio - 200g,3073781108842,B,200 g,['Frais'],['Babybel'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pour enfants']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],,,,['France'],"['LAIT pasteurisé bio ', 'origine : France', 'sel', 'ferments LACTIQUES', 'enzyme coagulante microbienne']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1403,,339,+20%,"28,5",+30%,"0,01",-100%,"20,5",+15%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,3,1403 kj(339 kcal),19,"0,01","1,6","0,64",,['Lait'],28.5 g,en quantité élevée,19 g,en quantité élevée,0.01 g,en faible quantité,1.6 g,en quantité élevée,+19%,+32%,-99%,+5%,+5%,16,+10%,D,+10%,Fromage,,,,
