,name,bar_code,eco_score,quantity,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,brand,allergens,nova_score,ingredients_origins,manufacturing,additives,markets,link,palm_ingredients,producer_info,brand_owner
1130,Berberechos al natural,8436033870570,,,,,,['France'],[],[],,,,,,,,,?,,65,,272 kj(65 kcal),,1,,"0,3",,0,,0,,14,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
1131,Picos - Dontapas - 150g,8436033873182,B,150g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Gressins', 'es:Picos de pan']",,,"['France', 'Espagne']","['farine de blé', 'eau', ""huile d'olive extra vierge "", '8%', 'levure', 'sel', 'émulsifiant ', 'E-472e', 'antiagglomérant ', 'E-170', ' et antioxydant ', 'E-300']","[""Pourrait contenir de l'huile de palme""]",2.1 g,en faible quantité,0.2 g,en faible quantité,2.1 g,en faible quantité,2.5 g,en quantité élevée,?,,372,-3%,1556 kj(372 kcal),-3%,"2,1",-49%,"0,2",-71%,76,+5%,"2,1",-3%,12,+13%,"2,5",+18%,1,+18%,14,+13%,D,+13%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,['Dontapas'],['Gluten'],4,,,"[""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E170 - Carbonates de calcium', 'E300 - Acide ascorbique']",,,,,
1132,Esparragos blancos - Dontapas - 330g / 205g égoutté,8436033877050,B,330 g / 205 g égoutté,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Asperges', 'Asperges en conserve', 'Asperges blanches en conserve']","['en:extra-class', 'Point Vert', 'Fabriqué en Espagne', 'IGP', 'Asperges de Navarre']",,['France'],"['Asperges ', '60 %', 'eau', 'sel et acidifiant ', 'E330']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.1 g,en faible quantité,0 g,en faible quantité,1.5 g,en faible quantité,1 g,en quantité modérée,?,,18,0%,75 kj(18 kcal),+6%,"0,1",-56%,0,-100%,"1,8",-4%,"1,5",+14%,"1,8",+33%,1,+23%,"0,4",+23%,2,,B,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,"['Bocal', 'Verre', 'métal']",['Dontapas'],,3,['Espagne'],['Espagne'],['E330 - Acide citrique'],['Auchan'],,,,
1133,Plátanos con sal - el dorado,8436038770707,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits tropicaux', 'Bananes', 'Fruits secs', 'Bananes séchées']",,,"['France', 'Espagne']",[],[],15.4 g,en quantité modérée,4.4 g,en quantité modérée,3.4 g,en faible quantité,1.27 g,en quantité modérée,?,,445,-8%,1862 kj(445 kcal),-8%,"15,4",-39%,"4,4",-77%,75,+24%,"3,4",-84%,"1,5",-19%,"1,27",+933%,"0,508",+933%,9,-24%,C,-24%,59.6%,25.6%,2.0%,11.4%,1.4%,0.0%,29,,,['el dorado'],,,,,,,,,,
1134,Gouda - Miraflores,8436039432161,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas']",['en:gluten-free'],,['France'],[],[],30.4 g,en quantité élevée,20.5 g,en quantité élevée,0.2 g,en faible quantité,2.1 g,en quantité élevée,?,,368,-1%,1540 kj(368 kcal),-1%,"30,4",-0%,"20,5",-0%,"0,2",+7%,"0,2",+23%,23,-4%,"2,1",+11%,"0,84",+11%,18,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['Miraflores'],,,,,,,,,,
1135,Mozzarella fresca sin lactosa -,8436039434776,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",,,"['France', 'Espagne']",[],[],15 g,en quantité modérée,7 g,en quantité élevée,0.8 g,en faible quantité,1 g,en quantité modérée,?,,203,-22%,849 kj(203 kcal),-21%,15,-28%,7,-50%,1,-3%,"0,8",+6%,16,-5%,1,+48%,"0,4",+48%,7,-31%,C,-31%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
1136,Graines courge,8436041491798,,,,['Bio'],,['France'],[],[],,,,,,,,,?,,747,,3125 kj(747 kcal),,"43,2",,20,,"24,6",,0,,"33,9",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
1137,Nougat - Soft Nougat España - 100g,8436046951471,E,100 g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats', 'Nougats blancs', 'Nougats Espagnols']",['Fabriqué en Espagne'],,['France'],"['Sucre', 'fruits secs ', '20%', ' ', 'amandes', 'pistaches', 'sirop de glucose-fructose', 'miel', ""albumine d'œuf"", 'hostie ', 'fécule de pomme de terre', 'huile de tournesol', 'arôme et sel']",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,"['Sachet', 'Plastique']",['Soft Nougat España'],"['Œufs', 'Fruits à coque']",4,,['Espagne'],,,,,,
1138,Eau de coco,8436048723069,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Eaux de coco']",,,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,5 g,en quantité modérée,0.075 g,en faible quantité,?,,21,+11%,88 kj(21 kcal),+6%,0,-100%,0,-100%,"5,2",+14%,5,+39%,10,+8672%,"0,075",+15%,"0,03",+15%,2,-19%,C,-19%,,,,,,,,,,,,,,,,,,,,
1139,Spiruline en poudre,8436539321422,E,,"['Compléments alimentaires', 'Spiruline']",,,['France'],[],[],0.9 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,3.4 g,en quantité élevée,?,,337,+34%,1410 kj(337 kcal),+33%,"0,9",-75%,"0,5",-61%,11,+7%,"0,5",-28%,68,+37%,"3,4",+196%,"1,36",+196%,14,+186%,D,+186%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,,
1140,Naturgreen Agave Syrup,8436542190633,,,,"['Bio', 'en:gluten-free']",,['France'],[],[],,,,,,,,,?,,309,,1293 kj(309 kcal),,0,,0,,"77,2",,"77,2",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1141,Espirulina - Naturgreen,8436542190725,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Algues et dérivés']",['Sans lactose'],,"['France', 'Espagne']",[],[],3.2 g,en quantité modérée,1.1 g,en faible quantité,4.5 g,en faible quantité,0.1 g,en faible quantité,?,,356,+87%,1490 kj(356 kcal),+88%,"3,2",-54%,"1,1",+16%,"18,7",+57%,"4,5",+288%,"62,6",+530%,"0,1",-95%,"0,04",-95%,0,-100%,B,-100%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,['Naturgreen'],,,,,,,,,,
1142,FUSILLI DE RIZ ET QUINUA REAL SANS GLUTEN,8436545620267,,,,"['Bio', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'en:BO-BIO-123']",,['France'],"['Farine de riz* ', '75%', 'farine de quinoa royal* ', '25%', "" *de l'agriculture biologique"", ' Agriculture non UE', ' SANS GLUTEN', "" Modo d'utilisation: faire cuire les pâtes au goût"", ' Durée approximative FR de cuisson: 10 à 13 minutes']",[],,,,,,,,,?,,364,,1523 kj(364 kcal),,"1,1",,0,,"78,1",,0,,"8,5",,"0,03",,"0,012",,,,,,,,,,,,,,,['Quinua Real'],['Gluten'],,,,,,,,,
1143,Jambon serrano - Elandaluz,8436547210169,E,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,,['France'],"['tngrédicnts: uambon ', 'de tcurs ', 'E250,E252', ' et antioxydant ', 'E301', ' 160g de viande par 100g de produit fini', ' Orig:ne de la viande: UE', ' u tnformation nutritionnelle•', ' Énergie 1029 Kj ', '248 Kcc0 / Matières grasses 12g', 'dont Actd:s Gras Saturés 3', 'lg / Glucides Og,dont SuŒes 09/ Proté:nes 38', 'lg / Sel 4,2g', "" Vat,curs moyen - rerc3 par d'un produit 100g"", ' nwvcr au réfrigérateur entre 0 et PC', ' ccnnr:mer dans 5 jours une fe:s ouvcrt', ' A de preference 8 3054']","[""Pourrait contenir de l'huile de palme""]",5.5 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,5 g,en quantité élevée,?,,182,-24%,761 kj(182 kcal),-24%,"5,5",-56%,"2,2",-53%,1,+39%,0,-100%,"30,6",+1%,5,+7%,2,+7%,14,-15%,D,-15%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,['Elandaluz'],,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,,,,
1144,Tomate triturée avec ail et oignons - La Case,8436549529870,,,,,,['France'],"['DistriMascareignes 23', 'rue de Bordeaux 97420 LE PORT +262 ', 'o', "" 262 55 27 55 PRODUIT D'ESPAGNE TRITURÉE AVEC AIL ET Tomate oignon "", '10%', 'ails sel ', '0,8%', ' et acidifiant: E-330 ', 'acide citrique', ' Lotl']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,18,,75 kj(18 kcal),,"0,5",,0,,3,,"2,9",,"0,9",,"0,5",,"0,2",,,,,,,,,,,,,,,['La Case'],,,,,['E330 - Acide citrique'],,,,,
1145,Salsa fresca ali oli - Casa Mas,8436564910431,,,"['Epicerie', 'Sauces']","['Sans colorants', 'Sans conservateurs']",,"['France', 'Espagne']",[],[],89 g,en quantité élevée,11 g,en quantité élevée,0.9 g,en faible quantité,0.74 g,en quantité modérée,?,,811,+241%,3393 kj(811 kcal),+244%,89,+392%,11,+409%,1,-90%,"0,9",-86%,14,+420%,"0,74",-69%,"0,296",-69%,23,+98%,E,+98%,,,,,,,,,,['Casa Mas'],,,,,,,,,,
1146,Saucisson sanglier - Biok,8437000120001,,,,,,['France'],[],[],,,,,,,,,?,,440,,1841 kj(440 kcal),,36,,13,,"4,5",,"2,7",,25,,"5,2",,"2,08",,,,,,,,,,,,,,,['Biok'],,,,,,,,,,
1147,Yogur De Oveja Desnatado 420 GR - Cantero de Letur - 420g,8437000140344,B,420 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']",,,"['France', 'Espagne']",[],[],0.1 g,en faible quantité,0.1 g,en faible quantité,2.6 g,en faible quantité,0.1 g,en faible quantité,?,,36,-50%,151 kj(36 kcal),-49%,"0,1",-97%,"0,1",-96%,"2,6",-47%,"2,6",-41%,"6,1",+48%,"0,1",-17%,"0,04",-17%,-3,-630%,A,-630%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,,['Cantero de Letur'],,,,,,,,,,
1148,Fuet Extra - Leader Price,8437000554059,,,['ca:Fuet'],,,['France'],"['FUET EXTRA GRÈDIENTS: LACTOSE', 'sel', 'LAII écrémé en fiextrose', 'conservateurs ', 'E-262i', 'E-252', 'E-250', 'arôme ', 'dénvés de CÈLERI et SOJA', 'E-301', 'cobrant ', 'E-120', ' et boyaux e porc naturel']","['Non végétalien', 'Non végétarien']",34 g,en quantité élevée,12 g,en quantité élevée,3.5 g,en faible quantité,4.9 g,en quantité élevée,?,,38,-91%,159 kj(38 kcal),-91%,34,-4%,12,-8%,4,-4%,"3,5",+51%,29,+8%,"4,9",+23%,"1,96",+23%,20,-19%,E,-19%,,,,,,,,,,['Leader Price'],"['Lait', 'Soja']",4,,,"['E262i - Acétate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E120 - Acide carminique']",['Leader Price'],,,,
1149,Patatas fritas,8437000757092,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",,,['France'],[],[],43.3 g,en quantité élevée,32.9 g,en quantité élevée,0.48 g,en faible quantité,0.89 g,en quantité modérée,?,,597,+12%,2498 kj(597 kcal),+13%,"43,3",+33%,"32,93",+966%,"44,3",-14%,"0,48",-66%,"7,03",+18%,"0,89",-32%,"0,356",-32%,20,+77%,E,+77%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,,,,,
1150,Salmorejo,8437001130856,,,,,,['France'],[],[],,,,,,,,,?,,98,,410 kj(98 kcal),,"7,4",,"1,2",,"6,1",,"3,2",,12,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,
1151,Sardines a l'huile d'olive - Kaskarot,8437001683963,D,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",,,['France'],"[""PRODUITS DÉ LA MER Port de Saint-jéan-de-luz CIBOURE - Sazdine&à/ ChaleJo&ue Le mer INGRÉDIEUTS: Sardines huile d'olive et sel"", ' de tdatiereSyaises dcflacLes gras saurés 3,3 g 8']",[],18 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,0.3 g,en quantité modérée,?,,251,+2%,1050 kj(251 kcal),+2%,18,+2%,"3,3",-14%,0,-100%,0,-100%,22,+3%,"0,3",-67%,"0,12",-67%,2,-64%,B,-64%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,['Kaskarot'],,,,,,,,,,
1152,Patatas Fritas con aceite de oliva,8437002219024,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",,,['France'],[],[],38.7 g,en quantité élevée,4.7 g,en quantité modérée,0.3 g,en faible quantité,0.42 g,en quantité modérée,?,,550,+4%,2301 kj(550 kcal),+4%,"38,7",+19%,"4,7",+52%,"43,6",-15%,"0,3",-79%,"6,8",+14%,"0,42",-68%,"0,168",-68%,11,-3%,D,-3%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,,,,,
1153,Obleas Yonata,8437003616013,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,"['France', 'Espagne']",[],[],2.1 g,en faible quantité,0.4 g,en faible quantité,15.8 g,en quantité élevée,0 g,en faible quantité,?,,395,-17%,1653 kj(395 kcal),-17%,"2,1",-90%,"0,4",-96%,"81,6",+28%,"15,8",-46%,"10,1",+55%,0,-100%,0,-100%,2,-90%,B,-90%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,['Yonata'],,,,,,,,,,
1154,Chorizo Sarta piquant - Juan Flores - 250g,8437004011084,D,250 g,"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",,['ES 10.13541/NA CE'],['France'],[],[],35.8 g,en quantité élevée,15.4 g,en quantité élevée,0.38 g,en faible quantité,3.77 g,en quantité élevée,?,,425.70001220703,+5%,1781 kj(425 kcal),+4%,"35,8",+5%,"15,35",+19%,"0,38",-87%,"0,38",-79%,"26,44",+15%,"3,77",+1%,"1,508",+1%,25,+5%,E,+5%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,['Plastique'],['Juan Flores'],,,,"['Arbizu', 'Navarre', 'Espagne']",,,,,,
1155,Carquinyols,8437005439115,,,,,,['France'],[],[],,,,,,,,,?,,415,,1736 kj(415 kcal),,"6,4",,"0,84",,"81,7",,"43,2",,"7,6",,"0,54",,"0,216",,,,,,,,,,,,,,,,,,,,,,,,,
1156,Castello stevia,8437005602144,,,,"['Sans gluten', 'Point Vert']",,['France'],[],[],,,,,,,,,?,,399,,1669 kj(399 kcal),,0,,0,,"99,7",,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1157,Black bull - Top Candy - 10g,8437005936690,,10g,,"['Sans gluten', 'Fabriqué en Espagne']",,['France'],"['Dextrose', 'sucre', 'sirop de glucose', 'émulsifiant ', 'E-470B', 'acidifiant', 'E-330', ' arôme', ' SANS GLUTEN']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,1608,,379,,1608 kj(379 kcal),,"1,4",,"0,5",,92,,89,,"< 0,5",,"0,08",,"0,032",,,,,,,,,,,,,,['Plastic'],['Top Candy'],,4,,,"[""E470b - Sels de magnésium d'acides gras"", 'E330 - Acide citrique']",,,,,
1158,Patatas fritas artesanas,8437006077019,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']","['Sans colorants', 'Sans conservateurs']",,['France'],[],[],34 g,en quantité élevée,3.98 g,en quantité modérée,0.5 g,en faible quantité,1.06 g,en quantité modérée,?,,553,+4%,2314 kj(553 kcal),+4%,34,+4%,"3,98",+29%,"57,3",+11%,"0,5",-64%,"4,4",-26%,"1,06",-18%,"0,424",-18%,13,+15%,D,+15%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,,,,,
1159,Romantics,8437006671057,,,,,,['France'],[],[],,,,,,,,,?,,48,,201 kj(48 kcal),,"0,1",,0,,"10,9",,"9,3",,"0,6",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Olives farcies aux anchois,8437006911078,,,,,,['France'],[],[],,,,,,,,,?,,149,,623 kj(149 kcal),,16,,3,,0,,0,,"1,3",,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,
1161,Rostedmallows -,8437007491814,,,,,,['France'],['RO STED MALLOLS * AMERICAN STYLE IM'],[],,,,,,,,,?,,348,,1456 kj(348 kcal),,0,,0,,82,,70,,5,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1162,Pastel de mantequilla - Mildred,8437008582016,,,"['Biscuits et gâteaux', 'Gâteaux']",,,"['France', 'Espagne']",[],[],12 g,en quantité modérée,7.2 g,en quantité élevée,35 g,en quantité élevée,0.63 g,en quantité modérée,?,,366,-9%,1531 kj(366 kcal),-9%,12,-38%,"7,2",-6%,60,+21%,35,+25%,"5,6",+3%,"0,63",+4%,"0,252",+4%,20,+12%,E,+12%,,,,,,,,,,['Mildred'],,,,,,,,,,
1163,Magdalenas clasicas Sgluten Slactose - Mdalen,8437008666402,,,['es:Reposteria'],['Sans lactose'],,"['France', 'Espagne']","['MAGDALENAS láricas Mhalen SIN SIN SIN lactosaaluten Proteina leahe yica ES-011-001 INGREDIENTES: ACEITE DE GIRASOL', 'AZÚCAR', 'ALMIDÓN DE MAÍZ', 'HUEVO', 'HARINA DE GARBANZOS', 'HUMEC TANTE ', 'sorbitol', 'glicerina', 'ACIDULANTE ', 'ácido citrico', 'GASIFICANTE ', 'difosfato disodico', 'carbonato de sodio', 'CONSER - VANTE ', 'sorbato potásico', 'ESTABILIZANTE ', 'goma xantana', ' Y AROMAS', 'INFORMACIÓN NUTRICIONAL GRASAS SATURADAS HIDRATOS AZÚCARES PROTEINAS SAL CARBONO VALOR ENERGÉTICO ', '1894,4 KJ', ' 453,']",['Non végétalien'],25.7 g,en quantité élevée,4.3 g,en quantité modérée,28 g,en quantité élevée,0.1 g,en faible quantité,?,,453,,1895 kj(453 kcal),,"25,7",,"4,3",,52,,28,,"3,5",,"0,1",,"0,04",,15,,D,,,,,,,,,,,['Mdalen'],['Œufs'],4,,,"['E420 - Sorbitol', 'E422 - Glycérol', 'E330 - Acide citrique', 'E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",,,,,
1164,Pan de molde uno - 450g,8437011972682,,450g,"[""en:Aliments d'origine végétale"", 'en:Aliments et boissons à base de végétaux', 'en:Céréales et pommes de terre', 'en:Pains', 'en:Pains de mie']",,,"['France', 'Portugal']",[],[],3 g,en quantité modérée,0.5 g,en faible quantité,3.1 g,en faible quantité,1.4 g,en quantité modérée,?,,269,-2%,1125 kj(269 kcal),-2%,3,-13%,"0,5",-10%,"49,6",+1%,"3,1",-33%,10,+13%,"1,4",+23%,"0,56",+23%,4,+26%,C,+26%,,,,,,,,,,['Uno'],,,,,,,,,,
1165,Noix jambon nature - El Andaluz,8437013039406,,,,,,['France'],"['ae pot-c ', ' 99%', 'Sel', "" A' 't'oxyciants E 326 et E301"", 'C', 'ex-tr-ose et Conservateurs E250 et E252 cie porc Peut contentr - des ces de FRUITS Â COQUE Ongtne de la vtande: UE vidide par 100g de produit fini Produit à desgccabon Conservatton de préférence: < 18 oc A consommer 04%7/2018 Lot']",[],,,,,,,,,?,,810,,3389 kj(810 kcal),,"8,7",,"3,4",,1,,1,,"33,4",,"4,6",,"1,84",,,,,,,,,,,,,,,['El Andaluz'],['Fruits à coque'],,,,"['E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,,,,
1166,Agrofresc cuidat veggie,8437013814737,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Jus et nectars', 'Boissons aux légumes', 'Jus de légumes']",,,"['France', 'Espagne']","['Zumo de manzana ', '80%', ',zumo de pepino ', '7', '5%', ',zumo de espinacas ', '7', '5%', 'zumo de limon ', '2%', 'zumo de lechuga ', '1', '5%', 'zumo de kale ', '1', '5%']",[],0 g,en faible quantité,0 g,en faible quantité,9.3 g,en quantité élevée,0.025 g,en faible quantité,?,,43,+65%,180 kj(43 kcal),+67%,0,-100%,0,-100%,10,+88%,"9,3",+99%,"0,5",-26%,"0,025",-92%,"0,01",-92%,3,,C,,,,,,,,,,,['Agrofresc'],,1,,,,,,,,
1167,Huile d olive,8437014015027,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",,,['France'],[],[],100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+5%,3766 kj(900 kcal),+5%,100,+5%,14,0%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
1168,Salvado de avena - Haricaman - 500g,8437014376173,B,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Son', 'Sons de céréales', ""Sons d'avoine""]",['en:gluten-free'],['ES 20.23123/TO CE'],"['France', 'Espagne']",['Salvado de avena procedente de agricultura ecológica'],[],7.4 g,en quantité modérée,1.3 g,en faible quantité,1.2 g,en faible quantité,0.04 g,en faible quantité,?,,355,0%,1485 kj(355 kcal),-0%,"7,4",+6%,"1,3",+4%,48,-5%,"1,2",-35%,16,+10%,"0,04",+37%,"0,016",+37%,-5,,A,,67.3%,0.9%,10.6%,9.2%,12.0%,0.0%,95,Salvado de avena,['Bolsa de plástico'],['Haricaman'],,,,"['Añover de Tajo', 'Toledo']",,['Mercadona'],,,,
1169,Riz complet - Avi Trias,8437014901030,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz complet']",,,['France'],[],[],2.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.3 g,en quantité modérée,?,,349,+5%,1460 kj(349 kcal),+4%,"2,5",-5%,"0,5",-10%,72,+7%,"0,5",-25%,"8,2",+11%,"0,3",+798%,"0,12",+798%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,['Avi Trias'],,,,,,,,,,
1170,Guindillas -,8437015771120,,,,,,['France'],"['Ingredientes: Guindillas de lbarra vinagre de vino', 'sal', 'acidulante È-330', 'antioxidante E-300', 'conservante sulfitc sódico']",[],,,,,,,,,?,,22,,92 kj(22 kcal),,0,,0,,0,,0,,"0,9",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,
1171,Sardinas en aceite de girasol,8437016582015,D,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol""]",,,['France'],[],[],22.1 g,en quantité élevée,6 g,en quantité élevée,0 g,en faible quantité,0.8 g,en quantité modérée,?,,247,+13%,1033 kj(247 kcal),+14%,"22,1",+59%,6,+83%,"0,6",-2%,0,-100%,"11,4",-47%,"0,8",-12%,"0,32",-12%,11,+198%,D,+198%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,,,,,,,,
1172,Atun en aceite de girasol - eliges,8480012007198,,,,,,['France'],[],[],,,,,,,,,?,,196,,820 kj(196 kcal),,10,,"1,5",,"1,5",,"1,5",,25,,8,,"3,2",,,,,,,,,,,,,,,['Eliges'],,,,,,,,,,
1173,Ice tea - Spar,8480013233008,,,['Boissons'],,,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,5.4 g,en quantité modérée,0.06 g,en faible quantité,?,,222,+296%,929 kj(222 kcal),+285%,0,-100%,0,-100%,54,+378%,"5,4",-43%,"0,01",-98%,"0,06",+45%,"0,024",+45%,14,+83%,E,+83%,,,,,,,,,,['Spar'],,,,,,['Spar'],,,,
1174,Naranja sin gas - Spar,8480013234005,,,,,,['France'],[],[],,,,,,,,,?,,30.2,,126 kj(30 kcal),,"0,1",,"0,1",,"7,11",,"7,11",,"0,1",,"0,05",,"0,02",,,,,,,,,,,,,,,['Spar'],,,,,,['Spar'],,,,
