,name,bar_code,eco_score,quantity,brand,categories,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,labels,ingredients_origins,manufacturing,nova_score,additives,palm_ingredients,allergens,generic_name,link,producer_info,origin_detail,brand_owner
134,Gros biscuits cuillers aux œufs frais - Carrefour - 1.125kg,3184830063620,C,1.125 kg,['Carrefour'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']","['EMB 01072D', 'Ceyzériat (Ain, France)']",['France'],"['Sucre', 'farine de blé', 'oeufs frais 32%', ""jaune d'oeufs frais 2%"", 'stabilisant : glycérol', 'lait écrémé en poudre', 'sirop de sucre inverti', ""blanc d'_oeuf_s en poudre"", 'agent moussant : citrate de triéthyle', 'arôme', 'sel', 'acidifiant : tartrates de potassium', 'épaississant : gomme xanthane']",['Non végétalien'],4 g,en quantité modérée,1.7 g,en quantité modérée,46 g,en quantité élevée,0.48 g,en quantité modérée,1513,-19%,357,-20%,1513 kj(357 kcal),-20%,4,-75%,"1,7",-72%,72,+8%,46,+45%,"8,2",+11%,"0,48",+2%,"0,192",+2%,16,-5%,D,-5%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['Carrefour'],['Fabriqué en France'],,,4,"['E422 - Glycérol', 'E1505 - Citrate de triéthyle', 'E336 - Tartrates de potassium', 'E415 - Gomme xanthane']",,"['Œufs', 'Gluten', 'Lait']",Gros biscuits cuillers aux œufs frais,,Fabriqué en France par EMB 01072 D pour Interdis,,
135,Pizza lardons fumes chevre - Carrefour - 180g,3245390177209,D,180 g,['Carrefour'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas chèvre-lardons']","['EMB 49331H', 'Segré (Maine-et-Loire, France)']",['France'],"['Farine de blé', 'purée de tomates mi-réduites 24%', 'lardons fumés cuits 16% ', 'poitrine de porc', 'eau', 'sel', 'dextrose', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', 'fromage de chèvre 7,7%', 'emmental 6,5%', 'eau', 'poudre à lever : carbonates de sodium', 'huile de colza', 'sel', 'levure', 'basilic déshydraté 0,1%', 'origan déshydraté', ""huile d'olive vierge"", ""fécule de pomme de terre pulpe d'ail"", ""Ce produit contient des lardons fumés fabriqués à partir de viande de porc d'origine UE"", 'Peut contenir des traces de crustacés', 'mollusques', 'œufs', 'poissons et fruits à coque', ""Mise en œuvre d'ingrédients décongelés"", 'ne pas congeler']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.7%,10.7%,2.8%,3.3%,1.6%,6.0%,49,,['Carrefour'],"['Ne pas congeler', 'Fabriqué en France', 'Décongelé']",,,4,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",,"['Gluten', 'Lait']","Pâte à pizza cuite 42% garnie de lardons fumés cuits, de fromage de chèvre et d'emmental.",,Fabriqué en France par EMB 49331 H pour Interdis,Ce produit contient des lardons fumés fabriqués à partir de viande de porc d'origine UE.,
136,Sandwich maxi Jambon emmental crudités Pain de mie complet - Carrefour - 200g,3245390192288,D,200 g,['Carrefour'],"['Sandwichs', 'Sandwichs garnis de charcuteries', 'Sandwichs au fromage', 'Sandwichs au jambon', ""Sandwichs à l'emmental"", 'Sandwichs Jambon Fromage', 'en:raw-vegetable-sandwiches']","['EMB 49331H', 'Segré (Maine-et-Loire, France)']",['France'],"['Pain de mie complet 50% ', 'farine complète de blé 31%', 'eau', 'huile de colza', 'gluten de blé', 'sucre', 'sel', 'dextrose', 'levure', 'farine de blé', ""émulsifiant : mono - et diglycérides d'acides gras"", 'agent de traitement de la farine : acide ascorbique', 'jambon cuit standard 20% ', 'jambon de porc 12,1%', 'eau', 'acidifiant : lactate de sodium', 'dextrose', 'sel', 'protéines de sang de porc', 'arômes', 'émulsifiants : triphosphates et diphosphates', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', 'mayonnaise allégée en matières grasses 10% [eau', 'huile de colza 3,0%', ""vinaigre d'alcool"", ""jaune d'' 0,4%"", 'amidon modifié de maïs ou de pomme de terre', 'sucre', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'sel', 'lait écrémé reconstitué', 'acidifiant : acide citrique', 'épaississant : gomme xanthane]', 'tomates 7,5%', 'emmental 7,5%', 'salade 5%', ' Peut contenir des traces de crustacés', 'poisson', 'sésame et soja', ""Ce produit est fabriqué à partir de jambon de porc d'origine UE""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",8.1 g,en quantité modérée,2.1 g,en quantité modérée,3.6 g,en faible quantité,1.7 g,en quantité élevée,891,-14%,212,-16%,891 kj(212 kcal),-14%,"8,1",-24%,"2,1",-38%,24,-6%,"3,6",+11%,"9,7",-13%,"1,7",+15%,"0,68",+15%,8,-13%,C,-13%,75.0%,14.2%,6.0%,2.8%,1.5%,0.4%,47,,['Carrefour'],,,,4,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique', 'E325 - Lactate de sodium', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E415 - Gomme xanthane']",,"['Gluten', 'Lait', 'Moutarde']","Sandwich au pain de mie complet garni de jambon cuit standard, de crudités (12,5%) et d'emmental",,Fabriqué par EMB 49331 H pour Interdis,,
137,BUS tan (ticket) -,3479597531971,,,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,1,,1,,1,,1,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Speck - Gran Brianza,8008161400334,E,,['Gran Brianza'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons crus fumés', 'Specks', 'en:raw-cured-ham']",['IT 1125-L CE'],['France'],"['Viande de porc', 'Sel', 'Dextrose', 'Epices', 'extraits d Epices', ' Agents Conservateurs: E252 D']","['Non végétalien', 'Non végétarien']",9 g,en quantité modérée,9 g,en quantité élevée,9 g,en quantité modérée,9 g,en quantité élevée,?,,1254,+337%,5247 kj(1254 kcal),+337%,9,-52%,9,+26%,9,+1229%,9,+2636%,31,+8%,9,+106%,"3,6",+106%,29,+49%,E,+49%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,['en:gluten-free'],,,4,,,,,,,,
139,Café moulu - Carrefour - 250g,3270190117971,E,250 g,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']","['EMB 59350F', 'Lille (Nord, France)']",['France'],['100% café moulu'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,['Carrefour'],,,,1,,,,Café moulu conditionné sous vide.,,Torréfié et conditionné en France par EMB 59350F ou 59368F pour Interdis.,,
140,Eau d'Auvergne - Carrefour - 75cl,3270190171041,,75 cl,['Carrefour'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,Eau de source de montagne source Grand Barbier Source captée à 1270m,,Embouteillée par SMDA - Le Genestoux - 63240 Le Mont Dore France pour CMI - TSA 91431 - 91343 MASSY Cedex - France,,
141,Eau Calcique Magnésienne - Carrefour - 50cl,3270190178118,,50 cl,['Carrefour'],"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux minérales naturelles']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,0,-100%,A,-100%,,,,,,,,,['Carrefour'],"['Point Vert', 'Matières grasses']",,,,,,,Eau Minérale naturelle source Vauban,,Embouteillée en France par SEMSA 59732 Saint Amand les Eaux pour Interdis,,
142,Crème Saveur Coco Sur lit de Caramel - Carrefour - 400g (4x 100g[KG],3270190205777,,400 g (4 x 100 g[KG],['Carrefour'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts lactés aux œufs']","['FR 47.185.001 CE', 'Montayral (Lot-et-Garonne, France)', 'EMB 47185', 'Montayral (Lot-et-Garonne, France)']",['France'],"['Lait entier 56%', 'sucre', 'crème 10,8%', 'œufs entiers extra-frais 9,2%', 'caramel 8% ', 'sucre', 'eau', 'amidon modifié de pomme de terre', 'épaississants : gomme xanthane et pectines', 'noix de coco râpée 2%', 'poudre de lait écrémé', 'amidon modifié de maïs', 'amidon de riz', 'arôme', 'épaississant : gomme xanthane', ' Peut contenir des traces de blé']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",7.3 g,en quantité modérée,5.2 g,en quantité élevée,18 g,en quantité élevée,0.12 g,en faible quantité,743,+18%,177,+20%,743 kj(177 kcal),+19%,"7,3",+35%,"5,2",+69%,24,+19%,18,0%,"3,9",-8%,"0,12",-18%,"0,048",-18%,8,+40%,C,+40%,,,,,,,,,['Carrefour'],['Fabriqué en France'],,,4,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E440 - Pectines']",,"['Œufs', 'Lait']",Crème aux œufs à la noix de coco et aromatisée sur lit de caramel,,Fabriqué en France par EMB 47185 pour Interdis.,"Cette crème saveur coco est fabriquée dans le Lot et Garonne (47), à partir de lait et de crème origine France, d'œufs extra-frais origine Union Européenne, de noix de coco râpée d'Afrique ou d'Asie et de caramel de diverses origines.",
143,Poulet entier blanc fermier Sud-Ouest - Carrefour,3270190874539,D,,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Poulets entiers', 'Poulets fermiers']","['EMB 03236', 'Saint-Germain-des-Fossés (Allier, France)', 'FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Carrefour'],"['Viande Française', 'Label Rouge', 'Volaille-francaise']",,,,,,,Poulet fermier blanc Sud Ouest sans tarses. Origine France. Prêt à cuire. Éviscéré sans abats. Produit frais. Classe A.,,Fabriqué pour Interdis – TSA 91431 – 91343 Massy Cedex - France,Origine France,
144,Maïs doux - Carrefour - 150g,3560070047499,B,150 g,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Graines', 'Aliments à base de plantes en conserve', 'Céréales et dérivés', 'Légumes et dérivés', 'Légumes en conserve', 'Céréales en grains', 'Maïs', 'Céréales en conserve', 'Maïs doux', 'Maïs en conserve']","['EMB 59009B', ""Villeneuve-d'Ascq (Nord, France)""]",['France'],"['Maïs doux en grains sans OGM*', 'eau', 'sucre', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1.5 g,en faible quantité,0.2 g,en faible quantité,3.4 g,en faible quantité,0.45 g,en quantité modérée,449,+12%,107,+15%,449 kj(107 kcal),+16%,"1,5",-7%,"0,2",-30%,19,+28%,"3,4",-24%,"2,8",0%,"0,45",+7%,"0,18",+7%,-7,,A,,46.7%,26.8%,12.8%,6.4%,3.5%,3.8%,81,,['Carrefour'],['Sans OGM'],,,3,,,,Maïs doux en grains sous vide,,Fabriqué en UE par EMB 59009B pour Interdis,Ce maïs est cultivé et fabriqué en France ou en Hongrie.,
145,Panaché - Carrefour - 20x 25cl,3560070152681,C,20 x 25 cl,['Carrefour'],"['Boissons', 'Boissons alcoolisées', 'Panaché']","['EMB 62765', 'Saint-Omer (Pas-de-Calais, France)']",['France'],"['Limonade 71% ', 'eau gazéifiée', 'sucre', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique', 'arôme', ' Bière 29% ', 'eau', ""malt d'orge"", 'maïs', 'extraits de houblon', 'antioxydant : acide ascorbique', 'colorant : caramel ammoniacal']",['Sans huile de palme'],,,,,,,,,134,-8%,32,+3%,134 kj(32 kcal),-3%,?,,,,"6,5",-8%,6,-1%,?,,"0,03",+186%,"0,012",+186%,,,,,16.9%,14.1%,42.2%,17.6%,7.2%,2.0%,57,,['Carrefour'],['Fabriqué en France'],,,4,"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,['Gluten'],Panaché,,Fabriqué en France par EMB 62765 pour Interdis,,
146,The saveur citron - Carrefour - 50g,3560070230556,B,50 g,['Carrefour'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés aromatisés']",,"['France', 'Italie']","['Thé noir', 'arôme naturel', 'jus de citron concentré en poudre 2%']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Carrefour'],,,,4,,,,Thé noir aromatisé saveur citron,,"Fabriqué en Inde et importé par EVERTON S.P.A., regione Bessiche 70, 15070 Tagliolo Monferrato (AL) pour Interdis",,
147,CRÈME LÉGÈRE - Carrefour - 1l,3560070234219,C,1 l,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crème de lait semi-épaisse', 'Crèmes UHT', 'Crèmes légères', 'Crèmes liquides']","['FR 45.273.001 CE', ""Saint-Denis-de-l'Hôtel (Loiret, France)"", 'EMB 45273', ""Saint-Denis-de-l'Hôtel (Loiret, France)""]",['France'],"['Crème légère', 'amidon modifié de maïs', ""émulsifiant : esters lactiques des mono - et diglycérides d'acides gras"", 'stabilisants : cellulose microcristalline - gomme cellulosique - pectine - carraghénanes - gomme xanthane']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",15 g,en quantité modérée,11 g,en quantité élevée,4.1 g,en faible quantité,0.1 g,en faible quantité,701,-15%,169,-28%,701 kj(169 kcal),-26%,15,-33%,11,-26%,"5,8",+32%,"4,1",+13%,"2,8",+12%,"0,1",+1%,"0,04",+1%,12,+8%,D,+8%,68.3%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,['Carrefour'],"['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Allégé en matière grasse', 'Moins 15% de matière grasse']",,,4,"['E14XX - Amidons modifiés', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E460i - Cellulose microcristalline', 'E466 - Carboxyméthylcellulose', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",,['Lait'],Crème légère liquide stérilisée UHT à 15% de matière grasse.,,Fabriqué en France par EMB 45273 pour Interdis.,Cette crème légère est fabriquée en France à partir de lait origine France.,
148,Pointes d'asperges vertes - Carrefour - 800g,3560070240883,C,800 g,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Asperges', 'Asperges en conserve']","['EMB 53130L', 'Laval (Mayenne, France)']",['France'],"[""Pointes d'asperges vertes"", 'eau', 'sel']",[],,,,,,,0.5 g,en quantité modérée,72,+3%,17,-11%,72 kj(17 kcal),-5%,?,,,,"1,6",-15%,,,"1,9",+19%,"0,5",-38%,"0,2",-38%,,,,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,['Carrefour'],,,,3,,,,Pointe d'asperges vertes moyennes,,Fabriqué au Pérou et importé par EMB 53130L pour Interdis,,
149,Crevettes sauvages - Carrefour - 400g,3560070274055,,400 g,['Carrefour'],,,['France'],"[""Crevette* pêchées aux chaluts dans l'Océan Indien Ouest - FAO n°51"", 'antioxydant: disulfite de sodium', "" *Pour connaitre l'espèce de crevette se référer au pavé de marquage sur le côté de l'étui""]",[],,,,,,,,,384,,90,,384 kj(90 kcal),,?,,,,?,,,,23,,"0,78",,"0,312",,,,,,,,,,,,,,['Carrefour'],,,,,"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']",,"['Crustacés', 'Anhydride sulfureux et sulfites']",Crevettes entières crues surgelées,,Importé par UNIMA DISTRIBUTION 11bis rue Balzac 75008 PARIS pour Interdis,,
150,Langoustines - Carrefour - 500g,3560070275762,E,500 g,['Carrefour'],"['Produits de la mer', 'Crustacés', 'Langoustines']","['NL 6010 EG', 'NL 6613 EG']",['France'],"['Langoustine ', 'Nephrops norvegicus', 'antioxydant : sulfite acide de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",0.5 g,en faible quantité,,,,,0.9 g,en quantité modérée,346,,82,,346 kj(82 kcal),+10%,"0,5",-19%,,,"0,5",+47%,,,19,+19%,"0,9",+22%,"0,36",+22%,,,,,88.4%,0.0%,2.5%,6.2%,1.2%,1.6%,18,,['Carrefour'],,,,1,"['E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition']",,"['Crustacés', 'Anhydride sulfureux et sulfites']",Langoustines entières crues surgelées,,"Fabriqué par Lenger Langoustines, Konigsweg 9, 8861 KN Harlingen - Pays-Bas pour Interdis","Langoustine (Nephrops norvegicus), pêchée aux chaluts en Atlantique Nord-Est en mer du Nord.",
151,Frites Épaisses - Carrefour - 1kg,3560070276110,B,1 kg,['Carrefour'],"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']",,['France'],"['Pommes de terre 95,5%', 'huile de tournesol 4,5%', 'dextrose']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3.2 g,en quantité modérée,0.4 g,en faible quantité,,,0.06 g,en faible quantité,515,-17%,122,-20%,515 kj(122 kcal),-20%,"3,2",-35%,"0,4",-39%,20,-13%,,,"2,1",-16%,"0,06",-79%,"0,024",-79%,,,,,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,['Carrefour'],"['Fabriqué en Belgique', ""À l'huile de tournesol""]",,,4,,,,Pommes de terre frites préfrites longues - Surgelé.,,Fabriqué en Belgique par ECOFROST SA - rue de l'Europe 34 - 7600 PERUWELZ pour Interdis.,Ces frites sont fabriquées en Belgique à partir de pommes de terre cultivées en Union Européenne et d'huile de tournesol issue de diverses origines.,
152,Mini cœurs d'artichauts - Carrefour - 800g,3560070279012,C,800 g,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Artichauts', 'Artichauts en conserve']","['EMB 53130L', 'Laval (Mayenne, France)']",['France'],"[""Cœurs d'artichauts"", 'eau', 'sel', 'acidifiant : acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,1.3 g,en faible quantité,0.8 g,en quantité modérée,116,-19%,28,-28%,116 kj(28 kcal),-32%,"0,5",-63%,"0,1",-35%,4,-13%,"1,3",+7%,"1,4",-13%,"0,8",-6%,"0,32",-6%,-4,,A,,53.3%,26.8%,7.3%,6.0%,4.3%,2.1%,56,,['Carrefour'],,,,3,['E330 - Acide citrique'],,,Mini cœurs d'artichauts,,Fabriqué au Pérou et importé par EMB 53130L pour Interdis,,
153,Filets de poulet - Carrefour,3560070343607,D,,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Carrefour'],"['Viande Française', 'Volaille Française']",,,,,,,Produit frais - Classe A.,,Fabriqué en France pour Interdis.,Volaille origine France,
154,Petites Seiches - Carrefour - 500g,3560070361021,,500 g,['Carrefour'],,['N° AGRÉMENT USINE : DL 449'],['France'],"['Seiche 98% ', 'Sepiella japonica', 'eau', 'sel', 'acidifiants : acide citrique et citrate de sodium']","['Non végétalien', 'Non végétarien']",,,,,,,,,254,,60,,254 kj(60 kcal),,"1,4",,"0,5",,?,,,,12,,"0,82",,"0,328",,,,,,,,,,,,,,['Carrefour'],,,,,"['E330 - Acide citrique', 'E331 - Citrates de sodium']",,['Mollusques'],Seiches entières crues nettoyées surgelées,,Importé du Vietnam par SA ANGELINI BP 29 - 06211 MANDELIEU CEDEX pour INTERDIS,Seiche (Sepiella japonica) pêchée aux chaluts en Océan Pacifique Centre-Ouest),
155,Tequila estribos - Carrefour - 70cl,3560070394791,,70 cl,['Carrefour'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Tequilas']","['EMB 76351A', 'Havre (Seine-Maritime, France)']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Carrefour'],"['Point Vert', 'en:Made in Mexico']",,,,,,,Tequila,,Elaboré au Mexique et embouteillé en France par EMB 76351A pour Interdis,,
156,"Le Dôme Glacé Vanille, Caramel au sel de Guérande & coeur au Caramel - Promocash - 465g",3560070408245,,465 g,"['Promocash', 'Carrefour']","['Desserts', 'Surgelés', 'Desserts glacés']","['FR 32.056.040 CE', 'Blanquefort (Gers, France)', 'EMB 32056', 'Blanquefort (Gers, France)']",['France'],"['Eau', 'crème fraîche 12,9%', 'sucre', 'lactose et protéines de lait', 'œuf', 'caramel 3,1% ', 'sucre', 'eau', 'sirop de glucose-fructose', 'caramel au beurre', 'salé au sel de Guérande 2,7% ', 'sirop de glucose-fructose', 'sucre', 'lait concentré sucré', 'crème', 'beurre 0,1%', 'eau', 'beurre salé 0,02%', 'sel de Guérande 0,02%', 'copeaux de chocolat noir 2% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'matière grasse laitière', 'cacao maigre en poudre', 'émulsifiant : lécithines de soja', 'chocolat noir 1,9% ', 'pâte de cacao', 'sucre', 'émulsifiant : lécithines de soja', 'arôme naturel de vanille', 'chocolat blanc 1,9% ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'émulsifiant : lécithines de soja', 'arôme naturel de vanille', 'sirop de sucre inverti', 'sirop de glucose déshydraté', 'farine de blé', 'huile de tournesol', 'beurre concentré', 'caramel au beurre 1,1% ', 'sirop de glucose', 'sucre', 'beurre 0,1%', 'eau', 'crème', 'sel', 'étoiles en chocolat noir 1,1% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'cacao maigre en poudre', 'lait écrémé en poudre', ""jaune d'œuf liquide"", 'chocolat au lait ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'émulsifiant : lécithines de soja', 'arôme naturel de vanille', ""émulsifiant : mono - et diglycérides d'acides gras"", 'colorant : caramel ordinaire', 'épaississants : farine de graines de caroube et gomme guar', 'arôme naturel de vanille', 'gousses de vanille épuisées broyées', 'gélifiant : carraghénanes', 'stabilisant : pectines', 'Peut contenir des traces de fruits à coque et de graines de sésame']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",12 g,en quantité modérée,6.6 g,en quantité élevée,28 g,en quantité élevée,0.2 g,en faible quantité,1026,+15%,245,+21%,1026 kj(245 kcal),+21%,12,+42%,"6,6",+20%,31,+10%,28,+19%,"3,1",+28%,"0,2",+67%,"0,08",+67%,14,+24%,D,+24%,,,,,,,,['Surgele'],"['Promocash', 'Carrefour']",['Produits destinés aux professionnels'],,['France'],4,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E150a - Caramel E150a', 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E440 - Pectines']",,"['Œufs', 'Gluten', 'Lait', 'Soja']","Crème glacée (49,7%) à la vanille, crème glacée (25%) au caramel au beurre, salé au sel de Guérande avec des copeaux de chocolat noir, brownie (14,4%) au chocolat noir (1,8%), fourrage (7,2%) au caramel (2,8%), décor (3,7%) au chocolat noir (1,2%) et au chocolat blanc. Dessert surgelé.",,Fabriqué en France par EMB 32056 pour Interdis.,,
157,Feuilles de lasagne - à cuisiner - Carrefour - 1kg,3560070474189,,1 kg,['Carrefour'],,,['France'],"['Farine de blé tendre 37,5%', 'semoule de blé dur 37,5%', 'œufs frais 20,3%', 'eau', "" Fabriqué en Italie à partir d'ingrédients de diverses origines""]",['Non végétalien'],,,,,,,,,1205,,285,,1205 kj(285 kcal),,3,,"0,9",,53,,1,,11,,"0,3",,"0,12",,,,,,,,,,,,,,['Carrefour'],['Fabriqué en Italie'],,,,,,"['Œufs', 'Gluten']","Pâtes fraîches à la farine de blé tendre, à la semoule de blé dur et aux oeufs frais",,,,
158,Amandes cacaotées saveur tiramisu - Carrefour - 700g,3560070504732,E,700 g,['Carrefour'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Fruits à coques enrobés de chocolat', 'Amandes enrobées de chocolat']","['EMB 73065', 'Chambéry (Savoie, France)']",['France'],"['Chocolat blanc 64% ', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'poudre de lait écrémé', 'émulsifiant : lécithines ', 'tournesol', 'arôme', 'amandes torréfiées 28', '5%', ""pâte d'amandes 4"", '3%', 'cacao maigre en poudre 1,9%', 'sucre', 'café', 'arôme', 'beurre de cacao', 'émulsifiant : lécithines ', 'tournesol', ""Peut contenir des traces de gluten et d'autres fruits à coque""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",40 g,en quantité élevée,15 g,en quantité élevée,38 g,en quantité élevée,0.19 g,en faible quantité,2367,+0%,569,+0%,2367 kj(569 kcal),-0%,40,-1%,15,-9%,38,+3%,38,+15%,12,+9%,"0,19",+99%,"0,076",+99%,21,-7%,E,-7%,84.5%,11.4%,1.3%,2.4%,0.4%,0.0%,26,,['Carrefour'],,,,4,['E322i - Lécithine'],,"['Lait', 'Fruits à coque']","Bonbons de chocolat : amandes torréfiées enrobées de chocolat blanc et de pâte d'amandes saveur tiramisu, saupoudrées de cacao maigre.",,Fabriqué en France par EMB 73065 pour Interdis.,,
