,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,packaging,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,ingredients_origins,traceability_code,nova_score,markets,additives,allergens,generic_name,brand_owner,palm_ingredients
863,Velleda,3068320442938,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Aceite de oliva virgen extra bidón 5 l - Flor de Olivo,8424536935834,,['France'],[],[],?,822,91,0,0,,,['Flor de Olivo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",91 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,3439 kj(822 kcal),-4%,-5%,13,-7%,,0,,,0,-100%,0,-100%,6,-2%,C,-2%,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
865,Sandwich Jambon Emmental,6164707010008,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,Espárragos verdes manojo - Tucano,8436004670314,,['France'],[],[],?,?,?,?,?,,,['Tucano'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges vertes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,87.5%,0.0%,0.0%,5.2%,5.7%,1.5%,80,,,,,,,,,,,
867,8410721055265,8410721055265,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,Confiserie fourrés goût fraise,8716100083509,,['France'],[],[],?,365,"1,8",82,2,,,,,,,,,,,,,,,1527 kj(365 kcal),,,"1,3",,,64,,,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,
869,Salade de choux et sésame - 110g,3357190081072,,['France'],[],[],?,?,?,?,?,110 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 41.059.003 CE', 'Contres (Loir-et-Cher, France)']",,,,,,,
870,Jambon sec supérieur sans sel nitrite,3700118301873,,['France'],[],[],?,229,13,"0,5",28,,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",13 g,en quantité modérée,4.7 g,en quantité modérée,0 g,en faible quantité,5.4 g,en quantité élevée,,-2%,958 kj(229 kcal),-3%,+2%,"4,7",-3%,-15%,0,-100%,-3%,"5,4",+8%,"2,16",+8%,16,-4%,D,-4%,E,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,
871,Vino dulce pedro ximénez de jerez,8410023028035,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Marsh mallow,9002859108440,,['France'],[],[],?,331,0,79,4,,,,,,,,,,,,,,,1385 kj(331 kcal),,,0,,,74,,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,
873,Hydrate Pro,8719326214016,,['France'],[],[],?,25,0,6,0,,,,,,,,,,,,,,,105 kj(25 kcal),,,0,,,"2,8",,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,
874,0209223036012,0209223036012,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Pale Ale,3080216052502,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Gran tortello - 250g,8021228410091,,['France'],[],[],?,242,"5,1","39,7",8,250 g,,,,,,,,,,,,,,1013 kj(242 kcal),,,"2,3",,,"2,3",,,"1,37",,"0,548",,,,,,,,,,,,,,,,,,,,,,,,
877,5010503777502,5010503777502,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Amande complete espa - Biocoop,2500529001963,['Bio'],['France'],[],[],?,?,?,?,?,,,['Biocoop'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Biocoop'],,,,,
879,8436009678544,8436009678544,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,"Juice : orange, pineapple, mango, passion - Starbucks",8410171013488,,['France'],[],[],?,45,"0,5",10,"0,5",,,['Starbucks'],,,,,,,,,,,,188 kj(45 kcal),,,"0,1",,,"9,1",,,"0,012",,"0,005",,,,,,,,,,,,,,,,,,,,,,,,
881,Riz de camargue Triade long complet - Canavère - 500g,3520991930157,['IGP'],['France'],['Riz complet : 76% Riz rouge : 18% Riz noir: 6%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,360,"2,6","74,5","7,8",500 g,['Plastique'],['Canavère'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz de Camargue']",2.6 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.0021 g,en faible quantité,,+3%,1506 kj(360 kcal),+2%,+41%,"0,5",+20%,-1%,"0,5",+8%,+5%,"0,002",-75%,"0,001",-75%,-4,,A,,C,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,1,,,,,,
882,La Coquette,3760260150040,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Pop corn sucré,3760018850055,,['France'],[],[],?,415,"4,4",89,3,,,,,,,,,,,,,,,1736 kj(415 kcal),,,"0,5",,,59,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
884,Queso semicurado puro de cabra natural con omega,8437014436006,,['France'],[],[],?,400,"34,4","1,7","21,3",,,,,,,,,,,,,,,1674 kj(400 kcal),,,"19,4",,,"0,5",,,"1,05",,"0,42",,,,,,,,,,,,,,,,,,,,,,,,
885,3330548003070,3330548003070,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 89337', 'Saint-Bris-le-Vineux (Yonne, France)']",,,,,,,
886,3700293700195,3700293700195,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Feigen - Dennree - 500g,4021851866252,"['Bio', 'en:EG-Öko-Verordnung']","['France', 'Allemagne']",[],[],?,287,"2,2",60,"2,6",500g,['Glas'],['Dennree'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Figues']",2.2 g,en faible quantité,,,54 g,en quantité élevée,,,,+11%,1201 kj(287 kcal),+10%,+54%,,,+10%,54,+23%,-19%,,,,,,,,,B,85.7%,0.0%,0.0%,6.9%,5.6%,1.8%,86,,,,,,,,,,,
888,Croutons croustillants Ail - Tipiak,3185200000900,,['France'],[],[],?,533,"31,3","52,5","7,8",,,['Tipiak'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",31.3 g,en quantité élevée,3.2 g,en quantité modérée,4 g,en faible quantité,2.5 g,en quantité élevée,,+13%,2230 kj(533 kcal),+13%,+53%,"3,2",+6%,-11%,4,+8%,-17%,"2,5",+28%,1,+28%,19,+30%,E,+30%,D,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,,,,,,,,,
889,Tuiles de sarrasin,3760285410310,['Bio'],['France'],[],[],?,375,"9,3","67,5","12,5",,,,,,,,,,,,,,,1569 kj(375 kcal),,,0,,,0,,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,
890,Vin rouge pic st loup,3700026402013,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Chips au parmesan,3770010804109,"['en:gluten-free', 'Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",['France'],[],[],?,539,32,58,"5,6",,,,,,,,,,,,,,,2255 kj(539 kcal),,,"2,8",,,"0,5",,,"0,84",,"0,336",,,,,,,,,,,,,,,,,,,,,,,,
892,Billes coco - 100g,3770013431012,,['France'],[],[],?,507,29,"52,7","6,5",100 g,,,,,,,,,,,,,,2121 kj(507 kcal),,,"21,1",,,"23,8",,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,
893,Spicy bean burgers - Co Op - 227g,5000128708777,"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,260,15,25,5,227 g,,['Co Op'],,,,,,,,,,,,1088 kj(260 kcal),,,"1,8",,,"5,1",,,"0,72",,"0,288",,,,,,,,,,,,,,,,,,,,,,,,
894,Rooibos douce nuit bio,3770000675139,['Bio'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Muslo de pollo asado al horno - Chef Ideas - 330g,8437014239478,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,176,"9,8","0,9","20,6",330 g,,['Chef Ideas'],,,,,,,,,,,,736 kj(176 kcal),,,"2,8",,,"0,2",,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,
896,Mozzarella cossettes - Horeca,3439495902099,,['France'],[],[],?,278,20,"0,5",24,,,['Horeca'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",20 g,en quantité modérée,14 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,,+7%,1163 kj(278 kcal),+8%,-3%,14,0%,-51%,"0,5",-34%,+43%,"1,2",+78%,"0,48",+78%,13,+27%,D,+27%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
897,8433329064651,8433329064651,,['France'],[],[],?,18,"0,5","2,2","1,2",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Asperges', 'Asperges en conserve', 'Asperges blanches en conserve']",0.5 g,en faible quantité,0 g,en faible quantité,1.9 g,en faible quantité,0.88 g,en quantité modérée,,0%,75 kj(18 kcal),+6%,+119%,0,-100%,+18%,"1,9",+44%,-11%,"0,88",+8%,"0,352",+8%,-2,,A,,C,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,,,,,
898,Miel de montagne,3380250150517,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Jus NSF Hibiscus Gingembre Passion,3770008107243,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,Jus NSF Hibiscus Gingembre Passion,3770008107243,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Ekia,3760206161840,,['France'],[],[],?,?,?,?,?,,,['Ekia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Sanye anti adipose tea,6422959000018,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Vin blanc,3249381117311,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Rêves de Noël - Thé noir aux épices - La Route des Comptoirs,3760011138952,,['France'],[],[],?,?,?,?,?,,,['La Route des Comptoirs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Halva cacao -  - 400g,3700056706044,,['France'],"['TAHINI ', 'PASTE DE SESAME', 'SIROP DE GLUCOSE - FRUCTOSE', 'CACAO EN POUDRE 2%', 'HUILES VEGETALES ', ""L 'HUILE DE PALME"", 'EXTRAIT DE SAPONAIRE', 'AROME: VANILLINE']",[],?,545,"35,1","40,8","15,3",400 g,,,,,,,,,,,,,,2280 kj(545 kcal),,,"8,6",,,32,,,0,,0,,,,,,,,,,,,,,,,,,4,,,,,,
906,8414260177174,8414260177174,,['France'],[],[],?,311,"0,01","78,2","0,8",,,,,,,,,,,,,,,1301 kj(311 kcal),,,0,,,75,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
907,Miel De Fleurs De Montagne,3423570001012,,['France'],[],[],?,?,?,?,?,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
908,Jelly Beans,8719992250110,,['France'],[],[],?,394,0,98,0,,,,,,,,,,,,,,,1648 kj(394 kcal),,,0,,,53,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
909,L'avocat,3701035101652,['Sans conservateurs'],['France'],[],[],?,180,"17,4","1,9","1,5",,,,,,,,,,,,,,,753 kj(180 kcal),,,"4,7",,,"0,6",,,"0,41",,"0,164",,,,,,,,,,,,,,,,,,,,,,,,
910,226ERS energy gel cola flavoud,8436567350197,,['France'],[],[],?,296,"0,2","72,9","0,1",,,,,,,,,,,,,,,1238 kj(296 kcal),,,0,,,"38,6",,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,
911,Gegrillte Oliven - Suntat - 250g,8690804358296,,"['France', 'Allemagne']",[],[],?,329,"33,6","3,5",1,250g,,['Suntat'],,,,,,,,,,,,1377 kj(329 kcal),,,"6,3",,,"0,1",,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,
912,4000539235504,4000539235504,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Frutos vermelhos,5607238031919,,['France'],[],[],?,24,"0,1","5,4","0,2",,,,,,,,,,,,,,,100 kj(24 kcal),,,0,,,"4,9",,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,
914,8435173007044,8435173007044,"['Bio', 'Bio européen', 'ES-ECO-019-CT']","['France', 'Espagne']",[],[],?,620,68,"0,1","1,8",,,,,,,,,,,,,,,2594 kj(620 kcal),,,17,,,"0,1",,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,
915,Plateau découpe de poulet fermier - L'Étal du Volailler,4056489138327,"['Viande Française', 'Volaille-francaise']",['France'],[],[],?,155,"8,8",0,19,,,"[""L'Étal du Volailler""]",,,,,,,,,,,,649 kj(155 kcal),,,"2,7",,,0,,,"0,21",,"0,084",,,,,,,,,,,,,,,,,"['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",,['Lidl'],,,,,
916,nuggets de poulet surgelés - Monoprix,3350033662834,,['France'],[],[],?,193,"7,5",17,13,,,['Monoprix'],"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",7.5 g,en quantité modérée,1 g,en faible quantité,2.1 g,en faible quantité,1.2 g,en quantité modérée,,-14%,808 kj(193 kcal),-14%,-33%,1,-50%,+1%,"2,1",+60%,+2%,"1,2",+3%,"0,48",+3%,2,-46%,B,-46%,D,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,,,,,['Monoprix'],,,,,
917,Ice tea tropical - Lipton - 4x 200ml,8714100815540,['Sans colorants'],['France'],[],[],?,19,"0,5","4,5","0,5",4 x 200 ml,,['Lipton'],,,,,,,,,,,,79 kj(19 kcal),,,"0,5",,,"4,4",,,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,
918,Endives au jambon - Thiriet - 700g,3292590886547,,['France'],[],[],?,333,18,20,22,700 g,,['Thiriet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Légumes-feuilles', 'Endives', 'Endives au jambon']",,,,,,,,,,,1393 kj(333 kcal),,,7,,,10,,,"2,6",,"1,04",,,,,,C,71.8%,15.1%,6.0%,3.7%,2.0%,1.4%,57,,,,,,['Thiriet'],,,,,
919,Raw halo pure dark,5060430551041,"['Végétarien', 'en:gluten-free', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,0201126029917,0201126029917,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,3231230219802,3231230219802,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Cassoulet tradition au canard,3760072490198,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Thé vert bio,3760076280801,"['Bio', 'Bio européen']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Ploumembert,0206949024934,"['Bio', 'Bio européen', 'FR-BIO-09', 'AB Agriculture Biologique']",['France'],"['lait cru de vache', 'ferments', 'présure', 'sel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,?,?,?,?,,['Papier'],['Ploumembert'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages au lait cru']",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Plouaret'],,"['France', 'Bretagne']",['ILU 22 207 025'],3,['Biocoop'],,,,,
925,Rôti de porc,3283863487622,,['France'],[],[],?,146,"7,3","0,8",19,,,,"['Viandes', 'Porc', 'Rôtis de porc']",7.3 g,en quantité modérée,3.1 g,en quantité modérée,0 g,en faible quantité,2.3 g,en quantité élevée,,+1%,611 kj(146 kcal),+3%,+45%,"3,1",+48%,-2%,0,-100%,-15%,"2,3",+34%,"0,92",+34%,14,+96%,D,+96%,E,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,
926,Purée d'amande franboise the vert - L'Amandaie,3267110004664,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,663,"58,9","6,6","22,3",,,"[""L'Amandaie""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",58.9 g,en quantité élevée,4.8 g,en quantité modérée,6.3 g,en quantité modérée,0.01 g,en faible quantité,,+5%,2774 kj(663 kcal),+5%,+9%,"4,8",+7%,-22%,"6,3",+28%,+2%,"0,01",-40%,"0,004",-40%,13,+238%,D,+238%,,,,,,,,,,,,,,,,,,,
927,Reny Picot,8410379915256,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,?,?,?,?,,,['Reny Picot'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Croustillants de sarrazin,3770003851127,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Joghurt - 750g,9006264006308,,"['Autriche', 'France']",[],[],?,?,?,?,?,750 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Pain d'épices de notre fabrication,00903493,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,pain intégral levain à l'ancienne - De la Région - 400g,18358134,['Bio'],['France'],[],[],?,?,?,?,?,400g,['Sac'],['De la Région'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chlorophylle'],,,,,
932,Baguette Paysanne,3276550363309,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Jus de pomme de Normandie - Les Vergers de Ducy - 25cL,3760067850525,"['Bio', 'Bio européen']",['France'],['Jus de pomme'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,25 cL,"['Bouteille', 'Verre', 'Capsule', 'Métal']",['Les Vergers de Ducy'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,,,,,,,,,,,,,,,,,,,,,,,,,,,A,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,"['Normandie', 'France']",,"['France', 'Normandie']",,1,['Coop 5 pour 100'],,,,,
934,Dark chocolate almond,0859686004594,,"['France', 'États-Unis']","['dark chocolate [chocolate liquor*', 'sugar*', 'cocoa butter*', 'soy lecithin ', 'an emulsifier', 'vanilla]', 'dry roasted almonds', 'sea salt,']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,550,"32,5",55,10,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Chocolats', 'Chocolats noirs', 'Chocolats aux amandes', 'Chocolats noirs aux amandes']",32.5 g,en quantité élevée,15 g,en quantité élevée,27.5 g,en quantité élevée,0.345 g,en quantité modérée,,-1%,2301 kj(550 kcal),-1%,-15%,15,-23%,+36%,"27,5",-21%,+19%,"0,345",+447%,"0,138",+447%,21,-2%,E,-2%,E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,4,,['E322i - Lécithine'],['Soja'],,"Ripple Brand Collective, LLC",
935,Emmental râpé moyen - Valmartin - 1kg,3262470053376,,['France'],[],[],?,362,27,"2,3",27,1 kg,,['Valmartin'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",27 g,en quantité élevée,19 g,en quantité élevée,0.1 g,en faible quantité,0.83 g,en quantité modérée,,-3%,1515 kj(362 kcal),-3%,-7%,19,-4%,+154%,"0,1",-75%,-1%,"0,83",+9%,"0,332",+9%,12,+1%,D,+1%,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
936,Dessert lacte aux graines de chia et the vert matcha,3350033676275,,['France'],[],[],?,187,13,"7,4","7,3",,,,,,,,,,,,,,,782 kj(187 kcal),,,"4,9",,,"6,9",,,"0,19",,"0,076",,,,,,,,,,,,,,,,,"['FR 94.017.106 CE', 'Champigny-sur-Marne (Val-de-Marne, France)']",,,,,,,
937,Chou Matcha,3700417301703,,['France'],[],[],?,303,17,32,"3,7",,,,,,,,,,,,,,,1268 kj(303 kcal),,,13,,,23,,,"0,34",,"0,136",,,,,,,,,,,,,,,,,,,,,,,,
938,"Don Simon sangria - Donsimon - 1,5L",810261151311,,['France'],[],[],?,?,?,?,?,"1,5L",,['Donsimon'],"['Boissons', 'Boissons alcoolisées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Sal de manantial - Carmencita,8413700185281,,['France'],[],[],?,?,?,?,?,,,['Carmencita'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,3263850722615,3263850722615,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Le Campagnard - Ferme des Crettes - 180g,3770010658009,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['Viande de porc*', 'Foie et cœurs de porc*', 'Oignons*', 'œufs*', 'Sel', 'Poivre*', "" *Issus de l'Agriculture Biologique""]","['Non végétalien', 'Non végétarien']",?,?,?,?,?,180 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Ferme des Crettes'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,D,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,"['FR 14.762.028 CE', 'Vire (Calvados, France)']",3,['Coop 5 pour 100'],,['Œufs'],Pâté de campagne,,
942,Le Campagnard - Ferme des Crettes - 340g,3770010658016,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['Viande de porc*', 'Foie et cœurs de porc*', 'Oignons*', 'œufs*', 'Sel', 'Poivre*', "" *Issus de l'Agriculture Biologique""]","['Non végétalien', 'Non végétarien']",?,?,?,?,?,340 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Ferme des Crettes'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,D,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,"['FR 14.762.028 CE', 'Vire (Calvados, France)']",3,['Coop 5 pour 100'],,['Œufs'],Pâté de campagne,,
