,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,quantity,packaging,ingredients_origins,generic_name,allergens,additives,nova_score,palm_ingredients,manufacturing,link,markets,producer_info
546,Poulet,3571320002878,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Veggie Crisps,6009178949634,['France'],[],[],?,433,1812 kj(433 kcal),"13,9","1,6",71,"36,2","3,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,3358684901500,3358684901500,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Pastrami Naturafarm,2108476005005,['France'],[],[],?,115,481 kj(115 kcal),"2,5",1,0,0,23,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Maltesers Biscuis,5056357903162,['France'],[],[],?,603,2523 kj(603 kcal),49,7,7,5,27,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Poulet fermier blanc,0233404056087,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Salade de viande à la crème,20270469,['France'],[],[],?,357,1494 kj(357 kcal),"34,5","5,3","6,2","4,8","4,5","1,3","0,52",,['Salade de viande'],,34.5 g,en quantité élevée,5.3 g,en quantité élevée,4.8 g,en faible quantité,1.3 g,en quantité modérée,,,,,,,,,,,15,,D,,,,,,,,,,,,,,,,,,,,,,
553,Delice de truffe blanche,8025386022479,['France'],[],[],?,268,1121 kj(268 kcal),28,"3,2","0,9","0,6","1,9","1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Salade de radis noirs,4024083646005,['France'],[],[],?,88,368 kj(88 kcal),"7,7","0,6","3,5","3,3","0,8","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Fioretto Polenta Corn Semolina,8009149000102,['France'],[],[],?,344,1439 kj(344 kcal),"1,9","0,38","72,5","0,99","7,1","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Calmars du Cap nettoyés - Marès - 300g,3760282770493,['France'],['Calmars du Cap Loligo reynaudi'],[],306,73.2,306 kj(73 kcal),"1,6",0,"1,6",0,13,"0,51","0,204",E,"['Produits de la mer', 'Mollusques', 'Calamars', 'Calmar']","['Nutriscore', 'Nutriscore A']",1.6 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.51 g,en quantité modérée,,-25%,-38%,-73%,-100%,-16%,-100%,+7%,-47%,-47%,-3,-417%,A,-417%,89.8%,0.0%,2.0%,5.9%,1.0%,1.3%,13,,['Marès'],300 g,"['Surgelé', 'Film en plastique', 'Etui en carton']",['Afrique du Sud'],Calmars du Cap entiers nettoyés,"['Mollusques', 'Calmars du Cap']",,,,,https://mares.global/,,
557,Fromage royal Holland IA edam,0203577010230,['France'],[],[],?,324,1356 kj(324 kcal),24,17,0,0,26,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Sucre fleur de coco,0570899700379,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Pot'je Vleesch,3770010879756,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Delice de poivrons au chorizo,3760271061298,['France'],[],[],?,168,703 kj(168 kcal),"14,51","3,23","4,78","1,9","5,12","1,65","0,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Delice d aubergines au parmesan,3760271061281,['France'],[],[],?,31.94,134 kj(31 kcal),"31,94","5,07","3,04",2,"3,15","2,04","0,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Granola pomme cannelle bio,3760243750700,['France'],[],[],?,405,1695 kj(405 kcal),12,"3,4","57,4","14,7","12,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Hummus chips salted,9120082360456,['France'],[],[],?,429,1795 kj(429 kcal),15,"1,7",56,"2,4",14,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Sucre inverti,3663327011196,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Pago smoothie,82061807,['France'],[],[],?,59,247 kj(59 kcal),0,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Biscuits bio au cacao saveur orange,3760243750755,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Conchiglie,3250391713004,['France'],[],[],?,361,1510 kj(361 kcal),"1,5","0,3","74,1","3,9","11,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,,,
568,Noix de jambon au poivre du bresil,3385990027013,['France'],[],[],?,112,469 kj(112 kcal),26,"0,9","0,5","0,5",22,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Louis d'Auvergne,2602602030638,['France'],[],[],?,462,1933 kj(462 kcal),"36,6",15,"4,3","3,2","28,8","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Tresses au romarin - Pasta&Aromi - 350g,3760150335489,['France'],"['farine de blé tendre type ""00""', ' huile de tournesol', 'vin blanc ', 'contient des sulfites', ' flocons de pommes de terre ', 'flocon de pommes de terreme', ' emulsifiant: E471', ' stabilisant: E4501', "" huile d'olive extra vierge"", 'sel', 'romarin 4%']","[""Pourrait contenir de l'huile de palme""]",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pasta&Aromi'],350g,['Plastic'],,,['Anhydride sulfureux et sulfites'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,,,,,
571,Pur jus tomate,3770003599241,['France'],[],[],?,20,84 kj(20 kcal),0,0,"4,2",0,"0,8","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Escalope de dinde,0289054029650,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,
573,Cance,2693015021528,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Bastoncini di merluzzo omega impanati e surgelati,8410063009520,['France'],[],[],?,?,,"4,8","0,5","16,6","1,8","10,4","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Jambon supérieur cuit avec son os,2071343029193,['France'],[],[],?,144,602 kj(144 kcal),"8,4","3,2","0,5","0,5",17,"1,4","0,56",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,8.4 g,en quantité modérée,3.2 g,en quantité modérée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,+9%,+10%,+75%,+74%,-25%,-16%,-19%,-25%,-25%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,['Barquette en plastique'],,,,,,,,,,
576,4 saucisses de strasbourg,3483190092067,['France'],[],[],?,218,912 kj(218 kcal),17,"6,2","0,6","0,2",15,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 85059B', 'Châtaigneraie (Vendée, France)', 'FR 85.059.004 CE', 'Châtaigneraie (Vendée, France)']",,,,,,,,,,,,,
577,Choco rice bio,0207948009458,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Distillat de gentiane et bergamote,3760235780005,['France'],[],[],?,24,100 kj(24 kcal),0,0,6,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Saucisson,2403680000007,['France'],[],[],?,285,1192 kj(285 kcal),20,"7,8","1,5","0,4",27,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 16.030.001 CE', 'Barret (Charente, France)']",,,,,,,,,,,,,
580,Insalata grancereali,0056769091902,['France'],[],[],?,125,523 kj(125 kcal),"2,1","0,4","21,5","0,1",0,"3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Choux rouge,0208918006491,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Diots de Savoie fumés,920001169664,['France'],[],[],?,338,1414 kj(338 kcal),35,11,"1,4","0,7",14,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Saucisson Charucterie Fontana,3327000000234,['France'],[],[],?,285,1192 kj(285 kcal),"15,8","6,35","0,15","0,15","35,6","5,61","2,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Chorizo,3346380005080,['France'],[],[],?,425,1778 kj(425 kcal),"36,1","14,3","1,24","1,24",25,"4,2","1,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Mcvities Fig Rolls 300G,5000168188256,['France'],[],[],?,380,1590 kj(380 kcal),8,"3,7",71,"33,6","3,8","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Mélange Japonais,3439495220841,['France'],[],[],?,428,1791 kj(428 kcal),10,"1,3",72,11,11,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 81163C', 'Mazamet (Tarn, France)']",,,['Opercule en plastique'],,,,,,,,,,
587,Uova al tegamino,8426617651374,['France'],[],[],?,334,1397 kj(334 kcal),"0,5","0,1",78,60,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Fraich’taboule,2208266023292,['France'],[],[],?,0.1,0 kj(0 kcal),"6,15","0,74","9,44","2,18",59,"0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Fromage - Jura Flore - 230g,2285476030111,['France'],[],[],1479,354,1479 kj(354 kcal),29,20,0,0,22,"1,6","0,64",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",['en:bio'],29 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,-0%,0%,-0%,+1%,+3%,-100%,-100%,-3%,+12%,+12%,16,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Jura Flore'],230g,['Plastique'],['en:lait de France'],,,,,,,,,
590,Jambonneau,3760013725006,['France'],[],[],?,121,506 kj(121 kcal),"5,8","2,2","0,5","0,5",17,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Noisettes en morceaux,9002519900360,['France'],[],[],?,674,2820 kj(674 kcal),62,45,11,4,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Pizza Norvegienne,2685305010992,['France'],[],[],?,262,1096 kj(262 kcal),"13,7","6,6","24,2","1,3","10,5","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Oeufs fourres praline,2600286032603,['France'],[],[],?,549,2297 kj(549 kcal),32,23,61,60,"3,5","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Sriracha,8851613005034,['France'],[],[],?,95,397 kj(95 kcal),"1,7","0,4",18,18,"1,3","5,1","2,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Ribs basquaise,2278940063821,['France'],[],[],?,220,920 kj(220 kcal),16,"6,49","1,9","0,7",16,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Noir Extra aux Noisettes de nos Regions - Poulain - 400g,3664346328869,['France'],[],[],2241,538,2241 kj(538 kcal),33,17,51,48,"5,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Poulain'],400 g,,,,"['Lait', 'Fruits à coque', 'Soja']",,,,,,,
597,3178041321785,3178041321785,['France'],"['Aqua · Caprylic/Capric Triglyceride Glycerin Behenyl Alcohol Argania Spinosa Kernel Oil - Arachidyl Alcohol Hexanediol Coco-Caprylate/Caprate Carthamus Tinctorius Seed Oil - Glyceryl Stearate - Butyrospermum Parkii Butter Hydrogenated Coco-Glycerides Ethylhexyl Palmitate Tapioca Starch Quassia Amara Wood Extract Pyrus Malus Seed Extract Sodium Hyaluronate Brassica Campestris Sterols - Micrococcus Lysate Hydrolyzed Yeast Protein Allantoin Panthenol Tocopherol Echium Plantagineum Seed Oil Copernicia Cerifera Cera · Bis-Ethylhexyl Hydroxydimethoxy Benzylmalonate Lecithin Arachidyl Glucoside Cetearyl Alcohol - Hydroxyacetophenone 1,2-Hexanediol Carbomer-Sclerotium Gum-Caprylyl Glycol-Ethylhexylglycerin - Trihydroxystearin - Butylene Glycol - Xanthan Cum - Pentylene Glycol-Hydrogenated Palm Glycerides Citrate Sodium Hydroxide Polymethylsilsesquioxane Parfum - CI 77891 ETUI CARTON', ""POT VERRE À RECYCLER COUVERCLE PENSEZ AU TRI! PLASTIQUE À JETER incluant de l'eau CONSIGNE POUVANT VARIER LOCALEMENT > WWW"", 'CONSIGNESDETRI', 'FR O815X00281']",[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Etui en carton', 'Pot en verre']",,,,,,,,,,
598,Flammekueche,4056489027713,['France'],[],[],?,196,820 kj(196 kcal),10,"4,7",20,3,"6,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,High protein chicken tikka masala,5600961129847,['France'],[],[],?,142,594 kj(142 kcal),"4,9","1,7",13,"1,6",11,"0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Mélasse de sucre de canne,6224008155010,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Fougasse aux lardons,0209991014106,['France'],[],[],?,249,1042 kj(249 kcal),"9,1","4,8",30,1,11,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Bière fraise et basilic brassin d’été,3760102316016,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Vinaigre de canne à sucre créole,3343979000327,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Biere sans alcool,4001179010513,['France'],[],[],?,14,59 kj(14 kcal),"0,5","0,1","2,7","0,5","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Sauce Tomate Bio,3100080002271,['France'],[],[],?,60.7,254 kj(60 kcal),"3,2","0,5","5,2","5,1","1,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Maftoul,5400164170574,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Colombina,8032853505106,['France'],[],[],?,392,1640 kj(392 kcal),16,"9,5",54,25,"6,52","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Monster Energy Drink,5060166692599,['France'],[],[],?,201,841 kj(201 kcal),12,"0,7",12,11,53,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,Gingembre tranché,2600121023551,['France'],[],[],?,374,1565 kj(374 kcal),0,0,93,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Cranberrie Sechees en moitié,2600298015229,['France'],[],[],?,308,1289 kj(308 kcal),"1,04",0,0,0,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,Ortolan truffe,3272320312409,['France'],[],[],?,335,1402 kj(335 kcal),29,"19,45","1,98","0,2","17,63","1,42","0,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Boulette de riz gluant cœur coulant savour œuf salé,8888773190041,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Vinaigre balsamique aux figues,4056489315186,['France'],[],[],?,225,941 kj(225 kcal),0,0,53,49,"0,4","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Gaufrette saveur Orange,3760269952904,['France'],[],[],?,467,1954 kj(467 kcal),"26,5","15,4","29,9","4,4","36,4","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Pecoules,0317220505070,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Beef viennas,5060199311771,['France'],[],[],?,353,1477 kj(353 kcal),33,15,"3,5","0,3",12,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Risotto al Nero di Seppia,8053259932969,['France'],[],[],?,346,1448 kj(346 kcal),"0,7","0,3","76,8","1,4","6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Bio baguette au levain,5420019840025,['France'],[],[],?,231,967 kj(231 kcal),"0,9","0,1","0,9","0,9","7,6","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Macadamia Nuts,29093670,['France'],[],[],?,753,3151 kj(753 kcal),"75,2","9,6","7,1",5,"9,4","1,45","0,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Tisane douceur d'hiver,3615370001525,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Tarte aux pommes,0202273026170,['France'],[],[],?,203,849 kj(203 kcal),7,5,30,19,1,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,Vanille de Madagascar,3770000319026,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Vanille']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,CHICOREE,3263850104268,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Faisselle fermière - Ferme du marais champs - 500g,3760132540016,['France'],[],[],?,?,,?,,?,,?,,,C,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Faisselles']","['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,"['FR 44.021.010 CE', 'Bourgneuf-en-Retz (Loire-Atlantique, France)']",['Ferme du marais champs'],500g,,,,,,,,,,,
625,"Feine Quark Creme, Pfirsich-maracuja - Milram",4036300118721,['France'],[],[],?,129,540 kj(129 kcal),"5,5","3,8","13,7","13,2","5,5","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['DE TH-601 EG'],['Milram'],,,,,,,,,,,,
626,Jambon cru fumé,3498940011632,['France'],[],[],?,166,695 kj(166 kcal),8,"3,2","0,5","0,5",23,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 62.907.002 CE', 'Libercourt (Pas-de-Calais, France)']",,,,,,,,,,,,,
627,Crêpes au Basquella,3760010095560,['France'],[],[],?,407,1703 kj(407 kcal),20,"8,3","48,4","32,9","7,5","0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 16076B', 'Champagne-Mouton (Charente, France)']",,,,,,,,,,,,,
628,Halawa,8681020476420,['France'],[],[],?,515,2155 kj(515 kcal),"10,6",0,"56,5","38,5",1,"0,124","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Ail des ours,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,3323039879810,3323039879810,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Karlsbader Oblaten,8594014080018,['France'],[],[],?,374,1565 kj(374 kcal),"10,8","3,1",65,49,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Strudel alla ciuegia,8056732080751,['France'],[],[],?,435,1820 kj(435 kcal),"20,1","9,1","57,9","24,5","4,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Purée sésame 1/2 complet - Jean Hervé,9320490001761,['France'],[],[],?,668,2795 kj(668 kcal),"60,4","9,7","2,2","1,1","1,7","9,1","3,64",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits à tartiner', 'Céréales et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Purées de céréales', 'Purées de sésame', 'Purées de sésame demi-complet']","['Bio', 'Sans gluten']",60.4 g,en quantité élevée,9.7 g,en quantité élevée,1.1 g,en faible quantité,9.1 g,en quantité élevée,,+5%,+5%,+8%,+17%,-65%,+75%,-92%,+7483%,+7483%,27,+103%,E,+103%,84.4%,6.1%,3.7%,4.2%,1.7%,0.0%,47,,['Jean Hervé'],,,,,,,,,,,,
634,Confiture de prunes,,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes']",,,,,,,,,,,,,,,,,,,,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,,,
635,Jambon à l’ancienne,3268680023918,['France'],[],[],?,161,674 kj(161 kcal),"7,9","2,9","0,5","0,5",22,"1,9","0,76",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,7.9 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+22%,+23%,+65%,+58%,-25%,-16%,+4%,+2%,+2%,12,+70%,D,+70%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,,
636,Gouda portion,4568464525133,['France'],[],[],?,366,1531 kj(366 kcal),30,22,0,0,23,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Brioche sucre,2030500497442,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Bourbon vegan cream,3830036600007,['France'],[],[],?,?,,?,,?,,?,"0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,"Marmelade bio, orange amère de Sicile - Mille et Une Huiles",3700073100634,['France'],[],[],?,251,1050 kj(251 kcal),"0,1",0,60,56,"0,6",0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Marmelades', ""Marmelades d'oranges""]","['Bio', 'Bio européen', 'AB Agriculture Biologique']",0.1 g,en faible quantité,0 g,en faible quantité,56 g,en quantité élevée,0 g,en faible quantité,,+5%,+4%,-41%,-100%,+1%,-1%,+75%,-100%,-100%,13,+7%,D,+7%,35.9%,18.8%,27.1%,12.6%,4.4%,1.2%,89,,['Mille et Une Huiles'],,,,,,,,,,,,
640,Filet de sardine,3422540003889,['France'],[],[],?,187,782 kj(187 kcal),"10,9","4,75",0,0,"20,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Tom yum,8719128061559,['France'],[],[],?,270,1130 kj(270 kcal),"4,5",0,56,9,4,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Colleurs Zip&Zap,3215470519861,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Pur jus 100% clémentine,3580283518272,['France'],[],[],?,48,201 kj(48 kcal),"0,5",0,11,11,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Orzo solubile - Crai,8002895042716,['France'],[],[],?,47,197 kj(47 kcal),0,0,"2,4",0,"0,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Crai'],,,,,,,,,,,,
