,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,labels,manufacturing,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,markets,allergens,traceability_code,link,additives,generic_name,palm_ingredients
0,Bonbonnière verre 2L vintage,3103220098936,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Christmas loaf cake,5060301888528,['France'],[],[],?,336,"8,8","63,1","4,4",1406 kj(336 kcal),"3,7","51,7","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Huile d'Olive Vierge Extra extraite à froid AOP,3505130050644,['France'],[],[],?,824,"91,5",0,0,3448 kj(824 kcal),"12,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Candy zen,3770009053044,['France'],[],[],?,337,1,"81,9",0,1410 kj(337 kcal),"0,8","54,7","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Plenny bar chocolat,8720165350025,['France'],[],[],?,400,17,41,20,1674 kj(400 kcal),"3,1","6,7","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Chocolat noir sans sucre fabrication artisanale,3344690098037,['France'],[],[],?,490,"36,1","9,2","7,3",2050 kj(490 kcal),"21,8","9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cannabis Tea Mint,0661094266767,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Creme Pistacchio,8013999067208,['France'],[],[],?,570,39,48,9,2385 kj(570 kcal),"8,4",42,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Agneau poivron grillé et thym en terrine,3382564549629,['France'],[],[],?,160,11,"4,8","9,4",669 kj(160 kcal),"5,8","0,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4005967511114,4005967511114,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Nougat de Montélimar,3105560607311,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Smoking King Size Blue Cigarette Rolling Papers - 10 Booklets,84157072,['France'],[],[],?,0,0,0,0,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Energetica Natura Glutazol Avec Stévia 5000 Poudre,8718144240122,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Pot au feu de légumes à la spiruline,3146907160618,['France'],[],[],?,22,"0,25","3,27","0,96",92 kj(22 kcal),"0,04","1,45","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Cumin moulu,6191409604242,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0810033280122,0810033280122,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,45191848,45191848,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4061458023177,4061458023177,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,8033462770411,8033462770411,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pain pavé Hallygrains,3289669006203,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Tartinell a noir,3760264924395,['France'],[],[],?,0,23,49,"6,6",0 kj(0 kcal),0,48,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0819207021561,0819207021561,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,No4 - Levanthym - 100,3760329240019,['France'],"['Thym sauvage', 'sésame grillé', 'sumac', 'sel de mer', 'épices']",[],1479,354,"19,3","51,4",13,1479 kj(354 kcal),"3,7",2,"0,2","0,08",100,['Verre'],['Levanthym'],"['Epicerie', 'Condiments', ""Mélanges d'herbes et d'épices""]","['Sans gluten', 'en:Sans additif', 'en:Sans additifs', 'en:Sans gluten']","['MDO', 'France']",3,19.3 g,en quantité modérée,3.7 g,en quantité modérée,2 g,en faible quantité,0.2 g,en faible quantité,,+124%,+124%,+214%,+239%,+186%,-59%,+108%,-94%,-94%,2,-65%,B,-65%,,,,,,,,,,,,,,,,
23,Pains au chocolat pour beurre,0260226014438,['France'],[],[],?,373,21,38,7,1561 kj(373 kcal),14,"8,7","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,8431426000848,8431426000848,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Croissant et pains au chocolat Bio,0204902014435,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Mini viennoiseries,3263856636411,['France'],[],[],?,364,21,13,"7,6",1523 kj(364 kcal),13,"7,8","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Krem Santi Sade,8690906060950,['France'],[],[],?,180,"8,1","23,5","3,2",753 kj(180 kcal),4,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BRIE FERMIER,3565430000633,['France'],[],[],?,319,19,"0,5",18,1335 kj(319 kcal),"0,5","0,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Tartinade chocolat,3701303900741,['France'],[],[],?,230,18,21,"3,7",962 kj(230 kcal),2,15,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Pains au chocolat,0208529013123,['France'],[],[],?,181,20,49,"7,5",757 kj(181 kcal),"9,4",14,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Boisson goyave blanche litchi,2006050010158,['France'],[],[],?,45,0,11,0,188 kj(45 kcal),0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Lentilles vertes,0274844023949,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Leconte et fils,3760142805556,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,filets de poulet fermier,0287565077801,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,
35,Pâte d'Alsace,3065620052164,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,29059010,29059010,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Escalope extra fine de dinde,0215998012144,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,,,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,
38,Jus de pomme bio,0465422528769,['France'],[],[],?,100,0,11,0,418 kj(100 kcal),0,11,,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,,,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,,,,+117%,+119%,-100%,-100%,+1%,+7%,-100%,,,,,,,C,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,
39,Couronne Briochee 8 parts,2648818025259,['France'],[],[],?,296,"8,1",47,8,1238 kj(296 kcal),"5,1","9,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,tipco 100% - 1l,07167532,['France'],"['100% Mango Mixed Fruit Juice عصیر تبكو المانجو الطبيعي مع الفواكه الطبيعية Ingredients/Ingrédients /Gligsal Mango juice 30%', 'Orange juice 25%', 'Pineapple juice 25%', 'Apple juice 20% jus de Mangue 30%', ""jus d'Orange 25%"", ""jus d'Ananas 25%"", 'jus de Pomme 20% عصیر المانجا 30% عصير البرتقال 25% عصير التفاح 20% عصیر الأناناس 25% Nutrition Information/']",[],?,?,0,13,?,,,"12,5","0,057","0,023",1 l,['Briquz'],['Tipco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,LES PRÉPARATIONS GOURMANDES,3760309930008,['France'],[],[],?,401.4,"8,12","71,19","8,99",1679 kj(401 kcal),"3,75","45,4","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Miel d'acacia,3326153000016,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,
43,Confiture goyave,3770007903808,['France'],[],[],?,256,"0,36","64,02",36,1071 kj(256 kcal),"0,1","58,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,farine blé T110 - moulin saint Joseph - 5kg,3760060330093,['France'],['farine de blé complète'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,5kg,['papier dur'],['moulin saint Joseph'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Grans'],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,,,,
45,Saucisse vaudoise au choux,2173410007254,['France'],[],[],?,333,31,"4,1",10,1393 kj(333 kcal),13,0,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Saucisson cuit à l'ail,2203733020538,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]","[""Saucisson à l'ail""]",,,,,,,,,,,,,,,,,,,,,,,,,E,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,,,,,,,
47,alcool,3211201033118,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Miel de Pissenlit et fleurs des Pyrénées de France,3760084072092,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,
49,Brioche,0202306022964,['France'],[],[],?,488,24,57,"9,6",2042 kj(488 kcal),16,"6,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3511284005058,3511284005058,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Sweet , Würz",4020943131209,['France'],[],[],?,100,"0,2","22,8","1,6",418 kj(100 kcal),"0,1","16,1","2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Miel de Maquis,9000000001121,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Poulet fermier bio,0253066128700,['France'],[],[],?,182,"1,63",0,"22,2",761 kj(182 kcal),"0,37",0,"0,125","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Beignet parfum chocolat noisette,3248288142273,['France'],[],[],?,404,20,50,"5,2",1690 kj(404 kcal),"2,4",20,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2237558004817,2237558004817,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,kaffir lime -,8843782870599,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Skumfudushjerter marshmallow hearts,0200030280681,['France'],[],[],?,389,"8,2",75,"3,4",1628 kj(389 kcal),0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0737925772896,0737925772896,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Filet mignon mariné barbecue,0200333069334,['France'],[],[],?,103,3,"0,5","18,5",431 kj(103 kcal),"1,1","0,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Épice muscade moulue,3760199922503,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Saucisson à cuire,0250101037591,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Rubatà di chieri con olio extra vergine di oliva,8033162581508,['France'],[],[],?,393,"6,5",70,12,1644 kj(393 kcal),"1,1","3,3","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Beef-stick Junior,4008239231482,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3760101491929,3760101491929,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Confiture fleurs d'amour,3396745003886,['France'],[],[],?,183,"0,5",43,"0,6",766 kj(183 kcal),"0,1",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Oeufs de lompe noir,3664866009279,['France'],[],[],?,275,"3,1",1,"8,7",1151 kj(275 kcal),"0,7",0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Praliné aux noisettes,8000000145772,['France'],[],[],?,657,46,46,"9,9",2749 kj(657 kcal),"6,2",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Quinoa et houmous de betterave,3760198784577,['France'],[],[],?,211,"10,1",25,"5,1",883 kj(211 kcal),1,"8,3","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Limande du nord meunière,3222477606807,['France'],[],[],?,?,?,?,?,,,,"0,5","0,2",,,,"['Produits de la mer', 'Poissons', 'Limande du nord', 'Limande du nord meunière']",,,,,,,,,,0.5 g,en quantité modérée,,,,,,,,,-53%,-53%,,,,,,,,,,,,,,,,,,,,
70,Gruyere Suisse,2488825043620,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,So soja ! À la grecque,3273227682626,['France'],[],[],?,80,"2,7","8,5","4,7",335 kj(80 kcal),"0,4","7,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Inek peyneri,4040328078349,['France'],[],[],?,286,26,1,12,1197 kj(286 kcal),18,1,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Pain de mie,3263856981610,['France'],[],[],?,276,"4,9",49,"7,5",1155 kj(276 kcal),"0,9","5,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2559656001902,2559656001902,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Crema di Pistacchio Sicile,8033102721605,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Beurre de karite,6181056118056,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Hipp tagliatelles épinards fromage,4682300087514,['France'],[],[],?,80,"3,1","9,4","3,3",335 kj(80 kcal),"1,3","2,3","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Serpentini,3264963020681,['France'],[],[],?,344,"1,6",68,12,1439 kj(344 kcal),"0,4","6,8","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Emmental,2871820026963,['France'],[],[],?,377,29,"0,5",29,1577 kj(377 kcal),18,"0,5","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Filet de canard aromatisés au cèpes,2282834081990,['France'],[],[],?,185,12,"2,2",17,774 kj(185 kcal),"3,9","1,2","1,6","0,64",,,,"['Viandes', 'Volailles', 'Canards', 'Filets de canard']",,,,12 g,en quantité modérée,3.9 g,en quantité modérée,1.2 g,en faible quantité,1.6 g,en quantité élevée,,-6%,-6%,-5%,+6%,+344%,+260%,-12%,+50%,+50%,12,+170%,D,+170%,D,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,
81,Poulet fermier Loué,0217247049208,['France'],[],[],?,138,"5,9",0,20,577 kj(138 kcal),"1,7",0,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Panier,8366770063655,['France'],[],[],?,46,"0,1","5,7","4,5",192 kj(46 kcal),"0,1","5,4","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,5425005510050,5425005510050,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Houmous à l'oriental,3146907081418,['France'],[],[],?,75,"2,91","6,08","7,85",314 kj(75 kcal),"0,55","0,25","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Les Ruchers de la Caussade - 500g,3760205480034,['France'],"['Miel de Forêt', ""récolté et mis en pot par l'apiculteur""]",['Non végétalien'],?,?,?,?,?,,,,,,500 g,['Verre'],,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",['Fabriqué en France'],,2,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Producteur'],,,,,,
86,Velouté de moules,3146907221302,['France'],[],[],?,156,"10,95","4,72","7,91",653 kj(156 kcal),"6,47","0,64","0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Thé Mai Pokhari Red summer,2798500000511,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Huile de noix,3700233360021,['France'],[],[],?,900,100,0,0,3766 kj(900 kcal),"11,88",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Limonade agrumes artisanale,3770004893515,['France'],[],[],?,36,0,9,0,151 kj(36 kcal),0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,8430803043843,8430803043843,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Christmas tea,3259920065003,['France'],[],[],?,1,0,"0,2","0,1",4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Confiture cerise,3770003760184,['France'],[],[],?,250,"0,5",60,"0,5",1046 kj(250 kcal),"0,1",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Faux filet,0212332025396,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Pilon de poulet,2487381018639,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,9154111880973270001005,9154111880973270001005,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Saumon fume atlantique,2996056007903,['France'],[],[],?,759,10,"0,7",21,3176 kj(759 kcal),"1,7","0,5",3,"1,2",,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons Atlantique fumés', ""Saumon fumé de l'Atlantique""]",,,,10 g,en quantité modérée,1.7 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,,+302%,+302%,-7%,-21%,+32%,+47%,-5%,+7%,+7%,20,+49%,E,+49%,E,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Océan Atlantique'],,,,,,,
97,Oeuf,3251320000431,['France'],[],[],?,140,"9,8","0,3","12,7",586 kj(140 kcal),"2,6","0,3","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,8001431000661,8001431000661,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,KRÄUTER-LIKÖR,4001052145066,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0208779013911,0208779013911,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Jus ACE Orange Carotte Citron,3701236600473,['France'],[],[],?,43,"0,1",11,"0,5",180 kj(43 kcal),"0,1",10,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Ail aux herbes de Provence,2600201006030,['France'],[],[],?,57,"2,5","5,6","3,1",238 kj(57 kcal),"0,2","0,7","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Chips & snacks crujientes,8410564033130,['France'],[],[],?,496,26,61,3,2075 kj(496 kcal),"3,2","0,8",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Farine de soja,9001604304236,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Olive vertes en saumure,2609807010632,['France'],[],[],?,186,"18,9","2,9",1,778 kj(186 kcal),"3,4","0,5","2,17","0,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Terrine de cerf aux cranberries,3525162562090,['France'],[],[],?,15,15,"5,4",16,63 kj(15 kcal),"4,8","3,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Chorizo BBQ doux,8423348402374,['France'],[],[],?,431,40,"0,3",17,1803 kj(431 kcal),17,"0,2","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Délice de canard saveur pain d’epices,3525167272185,['France'],[],[],?,282,24,"3,6",13,1180 kj(282 kcal),"7,9","1,1","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,5400265040561,5400265040561,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Noix de cajoux,2600159032990,['France'],[],[],?,625,"47,8","30,2","16,8",2615 kj(625 kcal),"8,5",5,"0,975","0,39",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,,47.8 g,en quantité élevée,8.5 g,en quantité élevée,5 g,en quantité modérée,0.975 g,en quantité modérée,,+4%,+5%,+4%,0%,+18%,-23%,-10%,+56%,+56%,10,+32%,C,+32%,E,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,
111,Filets de maquereau fumés,2429646028939,['France'],[],[],?,1277,"23,7",2,"21,1",5343 kj(1277 kcal),"5,5","0,5",2,"0,8",,,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",,,,23.7 g,en quantité élevée,5.5 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,,+475%,+480%,+45%,+49%,+85%,-6%,+29%,+80%,+80%,23,+270%,E,+270%,D,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,,,,,,,
112,6 nems au porc,0200121030171,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
