,name,bar_code,eco_score,brand,categories,traceability_code,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,labels,ingredients_origins,manufacturing,quantity,markets,additives,link,palm_ingredients
10,Comté Portion Affinage 6 mois minimum au lait cru AOP - Le berger comtois,2165743004239,D,['Le berger comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']","['FR 25.300.001 CE', 'Guyans-Durnes (Doubs, France)']",['France'],"['lait cru', 'sel', 'ferments', 'présure', "" 'briqué"", ""affiné et conditionné dans la zone d'appellation d'origine"", ' Aftiné pat PFCE ? 25170 Lôvernay']",['Lait'],['Non végétalien'],3,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
11,Comte portion - Le Berger Comtois,2165744004801,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
12,Comté - Le Berger Comtois - 0.472kg,2165744004818,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']","['FR 25.531.001 CE', 'Santoche (Doubs, France)', 'FR 25.300.001 CE', 'Guyans-Durnes (Doubs, France)']",['France'],"['lait cru', 'sel', 'ferments', 'présure']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['AOP'],,,0.472 kg,,,,
13,Comté - Le Berger Comtois,2165744004849,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],"['Ce ', 'Berger Comtois COMTÉ ', ""Portion Affinage 6 mois minimum Au Lait Cru $M'FF""]",['Lait'],[],,35 g,en quantité élevée,25 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,25,+15%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
14,Comté - Le Berger Comtois,2165744004856,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
15,Comté portion - Le Berger Comtois,2165744004887,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],"['lait cru', 'sel', 'ferments', 'présure', ' Fabriqué', ""affiné et conditionné dans la zone d'appellation d'origine"", ' Affiné par PFCE - 25170 Lavernay', ' onditionné par : A - Fromagerie de Clerval Santoche ou B - PFCE 25580 Guyans Durnes', ' FR FR A : 25', '531', '001 B : 25', '300', '001 CE CE']",['Lait'],['Non végétalien'],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['AOP'],,,,,,,
16,"Comté, Portion - Le Berger Comtois - 480g",2165744004894,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses', 'Produits AOC', 'Produits labellisés']","['FR 25.300.001 CE', 'Guyans-Durnes (Doubs, France)']",['France'],"['lait cru', 'sel', 'ferments', 'présure']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+20%,1799 kj(430 kcal),+21%,35,+20%,23,+17%,1,+96%,1,+214%,27,+17%,"0,8",-43%,"0,32",-43%,13,-10%,D,-10%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"['Sachet', 'Plastique']",['AOP'],,,480 g,,,,
17,Comté - Le Berger Comtois,2165744005518,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['AOP'],,,,,,,
18,Comte - Le Berger Comtois,2165744005525,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
19,Comté portion affinage 6 mois minimum - Le Berger Comtois,2165744005556,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
20,"Comté 6 mois - Le Berger Comtois - 0,380kg",2165745003872,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses', 'Produits AOC', 'Produits labellisés']","['FR 25.531.001 CE', 'Santoche (Doubs, France)', 'FR 25.300.001 CE', 'Guyans-Durnes (Doubs, France)']",['France'],"['Lait cru', 'sel', 'ferments', 'présure']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,436,+22%,1824 kj(436 kcal),+22%,35,+20%,23,+17%,1,+96%,1,+214%,27,+17%,"0,8",-43%,"0,32",-43%,13,-10%,D,-10%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['AOP'],,,"0,380 kg",,,,
21,Comté - Le Berger Comtois,2165745003889,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
22,Comté au lait cru - Le Berger Comtois,2165745004503,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
23,Comté berger comtois - Le Berger Comtois,2165745004510,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,0.1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,"0,1",-64%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['Point Vert', 'AOP']",,,,,,,
24,Comté Au Lait Cru - Le Berger Comtois,2165745004527,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
25,Comté - Le Berger Comtois,2165745004541,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
26,Comte - Le Berger Comtois,2165745004558,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['AOP'],,,,,,,
27,Comté portion - Le Berger Comtois,2165745004572,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
28,Comté Portion - Le Berger Comtois,2165745005012,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['AOP'],,,,,,,
29,Comté - Le Berger Comtois,2165745005036,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
30,Comté au lait cru - Le Berger Comtois,2165745005067,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['Point Vert', 'AOP']",,,,,,,
31,Comté portion affinage 6 mois minimum - Le Berger Comtois,2165745005098,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']","['FR 25.300.001 CE', 'Guyans-Durnes (Doubs, France)']",['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['AOP'],,['Guyans Durnes'],,,,,
32,Comté - Le Berger Comtois,2165746003529,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['AOP'],,,,,,,
