,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,additives,eco_score,quantity,packaging,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,palm_ingredients,generic_name,markets,traceability_code,ingredients_origins,link,brand_owner,origin_detail,producer_info
1045,Coconut Oil,5019124151050,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",,['France'],[],[],,?,,888,+3%,3715 kj(888 kcal),+3%,"98,7",+2%,92,+9%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,98.7 g,en quantité élevée,92 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,20,+3%,E,+3%,,,,,,,,,,,,,,,,,,
1046,Terrine de canard,3760028710301,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",['Fabriqué en France'],['France'],[],[],,?,,310,+1%,1297 kj(310 kcal),+1%,"9,78",-63%,"9,78",+3%,"3,53",+105%,0,-100%,"15,2",+7%,"1,54",+1%,"0,616",+1%,,E,,,9.78 g,en quantité modérée,9.78 g,en quantité élevée,0 g,en faible quantité,1.54 g,en quantité élevée,18,+1%,D,+1%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,
1047,Oeufs de cabillaud fume,3324030014026,,"['Conserves', 'Frais', 'Œufs de poisson', 'Semi-conserves', 'Oeufs de cabillaud']",['Fabriqué en France'],['France'],[],[],,?,,146,-5%,611 kj(146 kcal),-5%,"4,2",+10%,"0,5",-37%,"0,1",-90%,0,-100%,"26,8",-4%,"0,7",-81%,"0,28",-81%,,,,,4.2 g,en quantité modérée,0.5 g,en faible quantité,0 g,en faible quantité,0.7 g,en quantité modérée,-1,-109%,A,-109%,,,,,,,,,,,,,,,,,,
1048,Pica Cola - King Regal,8435063807105,['King Regal'],,,['France'],[],[],,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,Loacker Quadratini Espresso Wafer Cookies - 110g,8000380147144,['Loacker'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées']",,"['Australie', 'France']","['Wheat flour', 'coconut oil', 'whey powder ', 'milk', 'glucose syrup', 'sugar', 'soy flour', 'skimmed milk powder', 'fat-reduced COcoa', 'dextrose', 'coffee powder 2,5% in the cream filling', 'barley malt extràct', 'raising agents ', 'sodium hydrogen carbonate', 'disodium diphosphate', 'emulsifier soy lecithins', 'hazelnuts', 'salt', 'spices', 'Bourbon vanilla pods']",['Non végétalien'],4,?,,506,+1%,2117 kj(506 kcal),+1%,26,+5%,22,+48%,58,-7%,28,-21%,"8,8",+69%,"0,5",+55%,"0,2",+55%,"['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', 'E322 - Lécithines']",B,110g,['Plastic'],26 g,en quantité élevée,22 g,en quantité élevée,28 g,en quantité élevée,0.5 g,en quantité modérée,24,+9%,E,+9%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,,['Woolworths'],,['Autriche'],,,,
1050,Protein Plus Coconut Flavour - Powerbar,4029679526013,['Powerbar'],,,['France'],[],[],,?,,437,,1828 kj(437 kcal),,"19,3",,13,,47,,29,,20,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Cot citron,3290359901500,,,,['France'],[],[],,?,,41,,172 kj(41 kcal),,0,,0,,"10,4",,"9,5",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,Healthy Boy Oyster Sauce 350 G. - Healthy Boy Brand - 300ml,8850206117123,['Healthy Boy Brand'],"['Epicerie', 'Condiments', 'Sauces', ""Sauces à l'huitre""]",,['France'],"['Zutaten: Wasser ', '55', '5%', 'Zucker ', '16%', 'Salz ', '12%', 'Fruktosesirup ', '10%', 'modifizierte Tapiokastärke ', '4%', 'Säuerungsmittel: E330 ', '1%', 'Geschmacksverstärker: E621 ', '1%', 'AUSTERNextrakt ', '0', '1%', 'Farbstoff: E150c ', '0', '1%', 'Aroma ', '0', '1%', 'Stabilisator: E415 ', '0', '1%', 'Konservierungsstoff: E211 ', '0', '1%']",[],4,?,,122,+28%,510 kj(122 kcal),+28%,0,-100%,0,-100%,29,+41%,19,+25%,"1,5",-20%,"13,9",+56%,"5,56",+56%,"['E330 - Acide citrique', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E415 - Gomme xanthane', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,300 ml,['Bouteille'],0 g,en faible quantité,0 g,en faible quantité,19 g,en quantité élevée,13.9 g,en quantité élevée,15,+14%,D,+14%,,,,,,,,,['Thaïlande'],,,,,,,,,
1053,Solpak,3760153920217,,,['Sans conservateurs'],['France'],[],[],,?,,37,,155 kj(37 kcal),,"0,1",,"0,1",,"9,3",,"9,3",,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,Capperi all'aceto di vino - Sacla - 200g,8001060001657,['Sacla'],,,['France'],[],[],,?,,28,,117 kj(28 kcal),,"0,6",,0,,2,,"0,3",,"1,9",,"4,5",,"1,8",,,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Rillettes de sardines - Metro Chef - 500g,3439496603438,"['Metro Chef', 'Metro']","['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de sardine', 'en:preparations-made-from-fish-meat']","['Fabriqué en France', 'Produits destinés aux professionnels']",['France'],"['filets de sardine 34%', 'eau', 'chair de cabillaud', 'huile de colza', 'crème ', 'crème de lait', 'stabilisant: carraghénanes', 'thon', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'fibres de blé', 'lactose et protéines de lait', 'pur jus de citron', 'sel', 'poudre de fumet de poissons aromatisé ', 'fécule de pomme de terre', 'sel', 'extrait et poudre de poisons', 'huile de tournesol', 'épices', 'arômes naturels', 'épaississants: cellulose microcristalline', 'gomme xanthane et gomme guar huile de tournesol', 'épice et plantes aromatiques']","['Non végétalien', 'Non végétarien']",4,?,,197,-13%,824 kj(197 kcal),-14%,16,-11%,"5,1",-31%,"2,5",+17%,"0,5",-55%,11,-21%,"1,2",+15%,"0,48",+15%,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E460i - Cellulose microcristalline', 'E415 - Gomme xanthane']",D,500 g,"['Barquette', 'Film en plastique']",16 g,en quantité modérée,5.1 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,12,-2%,D,-2%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,"['Poisson', 'Gluten', 'Lait', 'Moutarde']",,,,,"['FR 85.164.001 CE', 'Notre-Dame-de-Monts (Vendée, France)', 'EMB 85164A', 'Notre-Dame-de-Monts (Vendée, France)']",,,,,
1056,Les Cœurs Fidèle,3770002216347,,,,['France'],[],[],,?,,464,,1941 kj(464 kcal),,"26,4",,"2,6",,52,,"48,3",,"7,2",,"0,025",,"0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Filets de végés-poulets (sans viande) - Gardein - 255g,0842234000643,['Gardein'],,"['Sans OGM', 'en:Non GMO project']","['Canada', 'France']",[],[],,?,,190,,795 kj(190 kcal),,8,,"0,5",,16,,1,,14,,"0,45",,"0,18",,,,255g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Sables aux amandes et noisettes,3760198800031,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Sablés aux amandes']",,['France'],[],[],,?,,561,+14%,2347 kj(561 kcal),+14%,36,+55%,21,+51%,49,-22%,20,-21%,"8,4",+35%,0,-100%,0,-100%,,C,,,36 g,en quantité élevée,21 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,21,-4%,E,-4%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,
1059,Harissa berbère cuite au feu de bois,6100773180603,,"['Epicerie', 'Sauces', 'Harissas']",,['France'],[],[],,?,,145,+37%,607 kj(145 kcal),+36%,15,+241%,5,+708%,2,-78%,2,-46%,1,-60%,1,-73%,"0,4",-73%,,C,,,15 g,en quantité modérée,5 g,en quantité modérée,2 g,en faible quantité,1 g,en quantité modérée,9,+6%,C,+6%,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,,,,,,,,,,
1060,Phytoxil,3401560113112,,,,['France'],[],[],,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Terrine forestiere aux gris de sapin,3482040009965,,,,['France'],[],[],,?,,296,,1238 kj(296 kcal),,26,,"9,8",,"3,4",,"0,7",,14,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Mélange pour soupe aux nouilles au poulet - Nongshim,0031146271221,['Nongshim'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,['France'],[],[],,?,,453.3333,+52%,1897 kj(453 kcal),+51%,20,+72%,"10,667",+102%,"62,667",+55%,"1,333",-45%,8,+26%,"4,5",+72%,"1,8",+72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Green Tea With Citrus & Cucumber,0613008745905,,,,['France'],[],[],,?,,180,,753 kj(180 kcal),,0,,0,,46,,44,,0,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Boulettes de dinde - Aubel - 450g,5410459016999,['Aubel'],"['Viandes', 'Préparations de viande', 'Boulettes de viande']",,['France'],"['viande de dinde ', '41%', 'chapelure', ' farine de blé', 'sel', 'levure', 'lait', 'gras de poulet', 'viande de poulet ', '7,6%', 'tissu conjonctif de poulet', 'oignons', 'protéines de dinde ', '1,7%', 'contient gluten', 'sel iodé', 'fibres de canne à sucre', 'épices et plantes aromatiques', 'arômenaturel de poulet ', '0,4%', ' ', 'contient œufs', 'protéines de lait', 'poudre de champignon', 'citron', 'persil deshydraté stabilisants E450', 'E452', 'antiaxydant: E301', "" Boulette de viande rôtie à l'huile de colza""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,894,,214,+5%,894 kj(214 kcal),+5%,12,-14%,"3,7",-32%,12,+114%,"4,2",+354%,15,+15%,"1,5",+20%,"0,6",+20%,"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,450g,['barquette plastique'],12 g,en quantité modérée,3.7 g,en quantité modérée,4.2 g,en faible quantité,1.5 g,en quantité modérée,11,+6%,D,+6%,,,,,,,,"['Œufs', 'Gluten', 'Lait']",['Aubel'],,,,,['Belgique'],,,,
1065,Stimorol Bubble mint flavour,7622210951199,['Stimorol'],,,"['Belgique', 'France']",[],[],,?,,159,,665 kj(159 kcal),,"0,3",,"0,2",,64,,0,,0,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,
1066,Spécialité à base de roquefort et raisins,3382564309650,,,"['Bio', 'Agriculture UE/Non UE', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",['France'],[],[],,?,,258,,1079 kj(258 kcal),,22,,14,,9,,"4,1",,"6,4",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Crème Entière - Carrefour - 50cl,5400101219205,['Carrefour'],"['Produits laitiers', 'Crèmes', 'Crème de lait semi-épaisse', 'Crèmes UHT', 'Crèmes entières', 'Crèmes liquides']",['Fabriqué en Belgique'],"['Belgique', 'France']","['Crème', 'stabilisants : carraghénanes et lactate de calcium']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,1385,+67%,336,+43%,1385 kj(336 kcal),+46%,35,+57%,25,+68%,"3,1",-29%,"3,1",-15%,"2,2",-12%,"0,08",-19%,"0,032",-19%,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E327 - Lactate de calcium']",B,50 cl,['Brique'],35 g,en quantité élevée,25 g,en quantité élevée,3.1 g,en faible quantité,0.08 g,en faible quantité,14,+26%,D,+26%,68.3%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['Lait'],,,Crème UHT à 35% de matière grasse.,['Carrefour'],['BE M322A EC'],['Belgique'],,,Ce produit est fabriqué en Belgique à partir de lait origine Belgique et Pays Bas.,"Fabriqué en Belgique par FCB, Venecolaan 17, B-9880 Aalter pour Interdis."
1068,Specialité à tartiner au soja lactofermenté aux noix - Sojami,3576560012007,['Sojami'],,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],,?,,195,,816 kj(195 kcal),,15,,3,,"1,8",,0,,12,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Tobigo mini gaufrettes,6111262380145,,,,['France'],[],[],,?,,490,,2050 kj(490 kcal),,"25,1",,"14,9",,"58,3",,"32,6",,"6,2",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Maïs popcorn,3700248113841,,"['Snacks', 'Popcorn']",,['France'],[],[],,?,,375,-15%,1569 kj(375 kcal),-15%,0,-100%,0,-100%,"73,12",+16%,"0,91",-95%,"10,87",+64%,0,-100%,0,-100%,,B,,,0 g,en faible quantité,0 g,en faible quantité,0.91 g,en faible quantité,0 g,en faible quantité,-1,-107%,A,-107%,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,,,,,,,,,
1071,oeufs de poules élevées en plein air - Champfleurs - 6,3251320350628,['Champfleurs'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules']",['Élevés en plein air'],['France'],['6 Œufs de poules élevées en plein air'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,?,,?,,,,?,,,,?,,,,?,,,,,,,C,6,"['boîte', 'Carton', 'Boîte en carton']",,,,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,
1072,Muesli With Blackberry & Raspberry,5310099000559,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']","['Végétarien', 'Végétalien']",['France'],"['oat flakes', 'brown sugar ', '8%', 'vegetable oil ', 'canola', 'extruded rice', 'wheat flour', 'glucose syrup', 'raspberry paste 2% ', 'raspberry', 'sugar', 'water', 'raspberry juice', 'starch', 'citric acid', 'flavor', 'potassium sorbate', 'blackberry paste 2% ', 'blackberry', 'sugar', 'water', 'blackberry juice', 'starch', 'itric acid', 'flavor', 'potassium sorbate', 'comflakes ', '1,8%', 'dried raspberry ', '0,6%', 'dried blackberry ', '0,6%', 'emulsifier: soy lecithin', 'elderberry juice extract', 'flavorings', 'acidity regulator: citric acid', 'contain soy and gluten', 'may contain traces of nuts and sesame', 'serving suggestions: pour 4 table spoons ', '55g', ' arunchy muesli into a bowl and add 100 ml milk or vogurt', 'store in cool dry place', 'well-sealed in original package', 'best before: printed on bag', 'produced in lacedonia', 'importerfor bd:foodex international 45', 'gulshan avenue dhaka 1212', 'telephone number:9886333', 'w : caremark sdn bhd ', '159405-a', ' no', '6', 'lorong tandang b', 'seksyen 51', 'petaling jaya', '46050oselangor,malay - ltel:6037785 6288 email: customer service@caremark,com,my', 'ph: federated distributors inc veronica eon st,cor,queensway avenue brgy,sto,nino ph-1700 paranaque city philippines', 'sc: seychelles trading any lid p,o', 'box 634 latanier road seychelles tel', ' 248 428 5000', 'mt: mercury imports ltd valentina ta mansweta mt-1751 lija lia malta', 'bhr: al jazira group bsc p,o', 'box 26087', 'adliya bahrain', 'kh: huot market ', 'mv', ' no,99-105', 'preah monivong blvd cambodia', 'ke : jade concepts ltd,tel :- sat2519569 nairobi', 'kenya', ""email:-vitalia@jadeconcepts,co,ke l'llppive vrijednosti/ vic gfisc avá""]","['Végétalien', 'Végétarien']",4,?,,450,+8%,1883 kj(450 kcal),+8%,"14,6",+11%,"3,9",+17%,"68,1",+13%,"15,7",-7%,"8,5",-14%,"0,05",-71%,"0,02",-71%,"['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E105 - Jaune solide']",B,,,14.6 g,en quantité modérée,3.9 g,en quantité modérée,15.7 g,en quantité élevée,0.05 g,en faible quantité,6,+22%,C,+22%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,['Gluten'],,,,,,,,,,
1073,Sandwich poulet / crudités - CROUS Resto',3760270250112,"[""CROUS Resto'""]","['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet', 'en:raw-vegetable-sandwiches']",,['France'],"['Pain aux graines de SESAME ', '48%', ' ', 'farine de BLE T65', 'eau', 'graines de SESAME toastées', 'farine de mais toastée', 'sel', 'levure', 'BLE soufflé', 'enzymes', 'Emincé de filet de poulet traité en salaison ', '19%', ' ', 'Filet de poulet ', 'Salaison Braisé : eau', 'acidifiant : lactate de potassium et acétate de sodium', 'amidon modifié de manioc ', 'sel', 'dextrose et sirop de glucose', 'aromes', 'gélifiants E407a', 'antioxydant : érythorbate de sodium', 'colorant : caramel', 'tomate ', '11%', 'salade mélangée ', '8%', ' ', 'Chicorée rouge', 'Frisée', 'Pain de sucre', ' Scarole', 'OEUF écalé ', '8%', ' ', 'OEUF', 'acidifiants : acide citrique', 'acide acétique', 'mayonnaise ', '8%', ' ', 'Huile de colza ', '78,9 %', 'eau', ""jaunes d'OEUFS "", '6 %', 'vinaigre ', 'SULFITES', 'MOUTARDE ', 'eau', 'graines de MOUTARDE', 'sel', 'vinaigre ', 'SULFITES', 'curcuma', 'sel', 'dextrose', 'stabilisateur : gomme de cellulose', 'conservateur : sorbate de potassium', 'colorant : beta-carotene', 'arome']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,?,,228,+6%,954 kj(228 kcal),+6%,"8,9",+11%,1,-31%,26,+4%,"1,1",-65%,10,+8%,"1,2",-1%,"0,48",-1%,"['E326 - Lactate de potassium', 'E262i - Acétate de sodium', 'E14XX - Amidons modifiés', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E150 - Caramel', 'E330 - Acide citrique', 'E260 - Acide acétique', 'E466 - Carboxyméthylcellulose', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène']",C,,['Sachet'],8.9 g,en quantité modérée,1 g,en faible quantité,1.1 g,en faible quantité,1.2 g,en quantité modérée,-5,-334%,A,-334%,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,"['Œufs', 'Gluten', 'Moutarde', 'Graines de sésame', 'Anhydride sulfureux et sulfites']",,,"Sandwiche de pain aux graines de sésame garni d'émincé de filet de poulet traité en salaison, tomate",,,,,,,
1074,Galette de riz au chocolat,8000003035803,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', 'Galettes de riz au chocolat noir']",['en:gluten-free'],['France'],[],[],,?,,493,+2%,2063 kj(493 kcal),+2%,23,+6%,14,+6%,62,+0%,27,+19%,"7,2",+5%,0,-100%,0,-100%,,B,,,23 g,en quantité élevée,14 g,en quantité élevée,27 g,en quantité élevée,0 g,en faible quantité,21,+30%,E,+30%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,,,,,,,,
1075,Helios Mermelada Ciruela Kiwi EXTRA 340G - 340g,8410095001974,['Helios'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits']",['Sans colorants'],"['France', 'Espagne']",[],[],,?,,176,-19%,736 kj(176 kcal),-19%,"0,1",-67%,0,-100%,42,-19%,"39,3",-22%,1,+82%,0,-100%,0,-100%,,D,340 g,,0.1 g,en faible quantité,0 g,en faible quantité,39.3 g,en quantité élevée,0 g,en faible quantité,5,-48%,C,-48%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
1076,Farfalle primavera,8018338001066,,,"['Bio', 'Bio européen', 'IT-BIO-006']",['France'],[],[],,?,,361,,1510 kj(361 kcal),,"1,9",,"0,3",,73,,"1,4",,12,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Tomaten mark - Naturata - 200g,4024297003359,['Naturata'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Concentrés de tomates']","['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter', 'IT-BIO-009']",['France'],[],[],,?,,78,-16%,326 kj(78 kcal),-16%,"0,2",-68%,0,-100%,"8,2",-46%,"8,2",-41%,"2,6",-42%,,,,,,B,200 g,,0.2 g,en faible quantité,0 g,en faible quantité,8.2 g,en quantité modérée,,,,,,,23.6%,38.4%,18.3%,11.0%,8.7%,0.0%,96,,,,,,,,,,,
1078,Steak haché pur boeuf,99999995,,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",,['France'],[],[],,?,,131,-30%,548 kj(131 kcal),-30%,5,-60%,"2,3",-56%,0,-100%,0,-100%,"21,5",+13%,"0,18",-18%,"0,072",-18%,,E,,,5 g,en quantité modérée,2.3 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,-2,-173%,A,-173%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,
1079,Frkadellen - Metzgerfrisch - 300g,40881270,['Metzgerfrisch'],,,['France'],[],[],,1135,,273,,1135 kj(273 kcal),,20,,9,,8,,1,,15,,"1,6",,"0,64",,,,300 g,['Plastic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Tesco Olive Oil and Sea Salt Croutons 100G,5051898983161,['Tesco'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",,"['France', 'Royaume-Uni']",[],[],,?,,454,-4%,1900 kj(454 kcal),-4%,"15,1",-26%,"1,7",-44%,"64,9",+10%,"4,4",+19%,"12,5",+33%,"1,2",-38%,"0,48",-38%,,D,,,15.1 g,en quantité modérée,1.7 g,en quantité modérée,4.4 g,en faible quantité,1.2 g,en quantité modérée,11,-25%,D,-25%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,,,,,,,,,
1081,"Pierre Schmidt, Saucisse de jambon, piecette, le",3237550026342,['Pierre Schmidt'],,,['France'],[],[],,?,,177,,741 kj(177 kcal),,13,,"4,4",,"1,1",,"1,1",,"14,3",,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 67.529.001 CE', 'Weyersheim (Bas-Rhin, France)']",,,,,
1082,Turron - La Fama,8410152050907,['La Fama'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,['France'],[],[],,?,,506,-3%,2117 kj(506 kcal),-3%,25,-20%,14,+165%,65,+44%,55,+43%,"5,2",-57%,"0,2",+211%,"0,08",+211%,,E,,,25 g,en quantité élevée,14 g,en quantité élevée,55 g,en quantité élevée,0.2 g,en faible quantité,26,+58%,E,+58%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
1083,Jambon,3700401004399,,,,['France'],[],[],,?,,114,,477 kj(114 kcal),,"3,7",,"1,29",,"0,6",,"0,6",,"20,1",,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 59526R', 'Saint-Amand-les-Eaux (Nord, France)', 'FR 59.526.002 CE', 'Saint-Amand-les-Eaux (Nord, France)']",,,,,
1084,Pickled White Cabbage,4033443372065,,,,['France'],[],[],,?,,20,,84 kj(20 kcal),,"0,2",,0,,"2,1",,1,,"1,1",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Tiger Nut Drink - Rude Health,5060120284020,['Rude Health'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de souchet']","['en:gluten-free', 'Sans sucre ajouté']","['France', 'Singapour']","['Eau de Source', 'riz BIO', 'noix tigrées BIO ', '6%', 'sel de mer']",[],,?,,56,-25%,234 kj(56 kcal),-25%,"1,6",-32%,"0,3",-42%,"9,8",-23%,5,-52%,"0,6",+1%,"0,1",+18%,"0,04",+18%,,,,,1.6 g,en quantité modérée,0.3 g,en faible quantité,5 g,en quantité modérée,0.1 g,en faible quantité,1,-54%,B,-54%,,,,,,,,,,,,,,,,,,
1086,Crema di pistacchio - Damiano,8002352161110,['Damiano'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Crèmes de pistaches']",,['France'],[],[],,?,,655,+14%,2741 kj(655 kcal),+14%,"56,7",+47%,7,-21%,"8,5",-79%,"5,5",-84%,"24,5",+182%,"0,07",-59%,"0,028",-59%,,,,,56.7 g,en quantité élevée,7 g,en quantité élevée,5.5 g,en quantité modérée,0.07 g,en faible quantité,15,-30%,D,-30%,,,,,,,,,,,,,,,,,,
