,name,bar_code,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,traceability_code,additives,generic_name,manufacturing,link,ingredients_origins,palm_ingredients,brand_owner,producer_info,origin_detail
10,KitKat Chunky white chocolate - Nestlé,7613037251678,,['Nestlé'],"['France', 'Allemagne', 'Suisse']",[],[],?,518,2167 kj(518 kcal),"26,5","14,9","61,1","49,5","8,3","0,3","0,12",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",,,26.5 g,en quantité élevée,14.9 g,en quantité élevée,49.5 g,en quantité élevée,0.3 g,en quantité modérée,,+3%,+3%,-3%,-1%,+10%,+10%,+22%,-7%,-7%,27,+11%,E,+11%,,,,,,,,,,,,,,,,,,,
11,Riz Complet à la Méditerranéenne - Uncle Ben's - 250g,5010034009295,['Sachet micro-ondable'],"[""Uncle Ben's""]",['France'],"['Riz complet précuit à la vapeur ', '69%', 'purée de tomates ', '5', '3%', 'poivron rouge ', '3', '9%', 'tomates ', '3', '9%', 'courgette ', '3', '5%', 'huile de tournesol', 'poivront vert ', '2', '7%', 'crème ', 'à base de lait', 'jus de citron', 'arôme naturel', 'herbes', 'oignons en poudre', 'poudre de tomates', 'ail', 'sel', 'extrait de levure', ""purée d'oigrnons grillés"", 'épices']",['Non végétalien'],720,171,720 kj(171 kcal),"4,6",1,27,"1,9","4,1","0,44","0,176",,250 g,['Riz Cuisinés'],"['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",,4.6 g,en quantité modérée,1 g,en faible quantité,1.9 g,en faible quantité,0.44 g,en quantité modérée,+2%,+1%,+2%,+37%,+100%,-9%,+67%,+16%,-16%,-16%,-1,-325%,A,-325%,,,,,,,,['Lait'],4,,,Riz Cuisinés Express,['Marboué'],https://www.unclebens.fr/,,,,,
12,Chipolatas supérieur aux herbes - 330g,4056489040743,['Barquette'],,['France'],[],[],?,260,1088 kj(260 kcal),22,10,"1,6",1,14,"1,5","0,6",E,330 g,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']","['Viande Française', 'Viande Porcine Française']",,22 g,en quantité élevée,10 g,en quantité élevée,1 g,en faible quantité,1.5 g,en quantité modérée,,+4%,+5%,+9%,+30%,+26%,+61%,-7%,-15%,-15%,18,+5%,D,+5%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,
13,Viennois Café - Nestlé - 8x 100g,3023290040041,,['Nestlé'],['France'],"['lait entier ', '33', '6%', 'babeurre ', 'lait', 'crème ', 'lait', '15', '5%', 'sucre', 'eau', 'amidon modifié de maïs', 'poudre lait écrémé', 'extrait de café ', '0', '7%', 'amidon de maïs', 'arôme', 'colorant ', 'caramel', 'gélatine bovine', 'épaississant ', 'carragénabes', 'farine de graines de caroube', ""correcteur d'acidité "", 'hydroxyde de sodium']","['Non végétalien', 'Non végétarien']",?,154,644 kj(154 kcal),"7,6","4,9","18,5","16,5","2,8","0,1","0,04",,8 x 100 g,,,['Lidel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lait'],4,['3023290040041'],"['E14XX - Amidons modifiés', 'E150 - Caramel', 'E428 - Gélatine', 'E410 - Gomme de caroube', 'E524 - Hydroxyde de sodium']",,['France'],,['France'],,,,
14,Sauce pesto rosso - U - 190g,3256227750632,['Bocal'],['U'],['France'],"['Pulpe de tomate 29%', 'huile de tournesol', 'tomates séchées réhydratées 10% ', 'eau', 'tomates séchées 4,8%', 'sel', 'sucre', 'acidifiant: acide lactique', 'acide citrique', 'antioxydant: acide ascorbique', 'double concentré de tomates 10%', 'RICOTTA 6% ', 'LAIT', 'basilic 6%', 'FROMAGE GRANA PADANO AOP 4% ', 'LAIT', 'OEUF', 'NOIX DE CAJOU 4%', 'FROMAGE pecorino romano AOP 3% ', 'LAIT', 'sel', 'vinaigre balsamique de modène IGP ', 'vinaigre de vin', 'moût de raisin concentré', 'pignons de pin', 'huile d olive vierge extra', 'sucre', 'acidifiant: acide lactique', 'antioxydant: acide ascorbique', "" Peut contenir des Traces d'arachide"", ""d'autres fruits à coques"", 'poisson', 'céleri', 'soja', 'gluten', 'moutarde']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1215,294,1215 kj(294 kcal),27,"4,5","6,3",6,"5,2",2,"0,8",C,190 g,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Sauces Pesto Rosso']",,['Magasins U'],27 g,en quantité élevée,4.5 g,en quantité modérée,6 g,en quantité modérée,2 g,en quantité élevée,-10%,-19%,-19%,-19%,-8%,-25%,+7%,+29%,-3%,-3%,13,-18%,D,-18%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,"['Œufs', 'Lait', 'Fruits à coque']",3,,"['E270 - Acide lactique', 'E330 - Acide citrique', 'E300 - Acide ascorbique']",,,,,,,,
15,Tortillas Juicy Salsa - Chio - 125g,4001242102183,"['05 PP', '♷', 'produkt']",['Chio'],"['France', 'Allemagne']",[],['Végétarien'],2097,500,2097 kj(500 kcal),22,2,68,"3,5","5,3","1,3","0,52",B,125g,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Plats préparés', 'Chips', 'Entrées', 'Chips de maïs']",['Végétarien'],,22 g,en quantité élevée,2 g,en quantité modérée,3.5 g,en faible quantité,1.3 g,en quantité modérée,+4%,+3%,+4%,-3%,-32%,+13%,+85%,-17%,+11%,+11%,8,-17%,C,-17%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,https://www.chio.de/produkte/tortillas/tortillas-juicy-salsa.html,,,,,
16,Le superieur - Aldi - 160g,26069937,,['Aldi'],['France'],[],[],?,462,1933 kj(462 kcal),"2,6",1,"0,5","0,5",21,"1,9","0,76",C,160 g,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,2.6 g,en faible quantité,1 g,en faible quantité,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+250%,+253%,-46%,-46%,-25%,-16%,-0%,+2%,+2%,13,+84%,D,+84%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,"['EMB 14752B', 'Villers-Bocage (Calvados, France)']",,,['14310 villers bocage'],,['France'],,,,
17,Chouquettes nature,3276559431825,,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Chewing-gum peppermint,8718734820888,,,['France'],[],[],?,175,732 kj(175 kcal),0,0,72,0,"1,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Mi-choco - Michoko - 150g,3664346315470,,['Michoko'],['France'],[],[],1690,402,1690 kj(402 kcal),12,"7,6",68,59,"4,2","0,01","0,004",,150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Soja']",,,,,,,,,,,
20,Biscuits aux pépites de chocolat,3560071281304,,,['France'],[],[],?,463,1937 kj(463 kcal),15,"8,4",74,25,"5,7","0,62","0,248",,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Rillettes incroyables de thon au piment d'Espelette - Cap Océan - 140g,3700966563706,"['Pot', 'Plastique']",['Cap Océan'],['France'],"['Thon listao MSC* 53%', 'eau', 'huile de colza', 'échalote', 'fécule', 'fibres de blé ', 'fibres de blé et de psyllium', 'jus de citron', 'protéines de lactosérum', 'sel', ""piment d'Espelette 0,5%""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",694,167,694 kj(167 kcal),11,"0,91","2,5","0,9","13,2","0,81","0,324",C,140g,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Thons', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de thon']","['Sans additifs', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs', 'Pêche durable', 'Pêche durable MSC']",['le comptoir de la bio'],11 g,en quantité modérée,0.91 g,en faible quantité,0.9 g,en faible quantité,0.81 g,en quantité modérée,-27%,-21%,-23%,-30%,-76%,+18%,-6%,-14%,-22%,-22%,-2,-132%,A,-132%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,"['Poisson', 'Gluten', 'Lait']",4,,,Rillettes de thon au piment d'Espelette,,,,,,,
22,Rondelé Nature - président - 260g,3228023190189,['pot plastique jetable'],"['président', 'Lactalis']",['France'],"['Fromage au lait de vache pasteurisé', 'protéines de lait ', 'lait', 'sel ', '0', '9%', 'Possible présence de fruits à coques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",985,238,985 kj(238 kcal),22,15,4,3,6,"1,1","0,44",D,260 g,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages de vache', 'Fromages à tartiner', 'Fromages industriels', 'Fromage à tartiner et à cuisiner']",['Fabriqué en France'],,22 g,en quantité élevée,15 g,en quantité élevée,3 g,en faible quantité,1.1 g,en quantité modérée,-24%,-24%,-24%,-15%,-17%,+180%,+170%,-66%,-20%,-20%,13,-8%,D,-8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Lait'],4,"['FR 12.176.004 CE', 'Onet-le-Château (Aveyron, France)']",,,,,,,,,
23,Menu maxi best of -MCDO,513134805,,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Flanbola - Haribo,3103220045886,,['Haribo'],['France'],"['Sucre', ' sirop de glucose', ' dextrose', ' gelatine', 'acidifiant: acide ditrique', ' arôme', ' sirop de caramel', ' colorants: charbon végétal', 'lutéine', "" agents d'enrobage: cire d'abeille blanche et jaune"", 'cire de carnauba']","['Non végétalien', 'Non végétarien']",?,347,1452 kj(347 kcal),"0,5","0,1",81,62,"5,3",0,0,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['Sans colorants'],,0.5 g,en faible quantité,0.1 g,en faible quantité,62 g,en quantité élevée,0 g,en faible quantité,,-3%,-3%,-73%,-91%,-3%,+7%,+150%,-100%,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,4,,"['E428 - Gélatine', 'E153 - Charbon végétal médicinal', 'E161b - Lutéine', ""E901 - Cire d'abeille"", 'E903 - Cire de carnauba']",,,,,,,,
25,Yaourt au lait de brebis - Lidl - 500g,4056489138457,"['Pot en plastique', 'Opercule en plastique']","['Lidl', 'Envia']",['France'],[],[],?,84,351 kj(84 kcal),"2,7","1,7","10,3","10,3","4,7","0,16","0,064",B,500 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts au lait de brebis']",,,2.7 g,en faible quantité,1.7 g,en quantité modérée,10.3 g,en quantité modérée,0.16 g,en faible quantité,,-20%,-20%,-47%,-49%,+8%,+28%,-3%,+50%,+50%,2,-23%,B,-23%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,,,,,,,,,,
26,Mini brownies pepites de chocolat - Auchan,3596710479634,,['Auchan'],['France'],[],[],?,440,1841 kj(440 kcal),23,"4,3",51,38,"5,7","0,35","0,14",D,,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']","['Point Vert', 'Nutriscore', 'Nutriscore D']",['Auchan'],23 g,en quantité élevée,4.3 g,en quantité modérée,38 g,en quantité élevée,0.35 g,en quantité modérée,,-3%,-3%,-10%,-48%,+6%,+11%,-4%,-8%,-8%,16,-17%,D,-17%,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,,,,,,,,,,,,
27,Huile de colza - Auchan - 1L,3596710481057,"['Bouteille', 'Plastique', 'Bouteille en plastique', 'Bouchon en plastique']",['Auchan'],['France'],['Huile de colza'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3700,900,3700 kj(900 kcal),100,8,0,0,0,0,0,C,1 L,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de colza']","['Nutriscore', 'Nutriscore C']",['Auchan'],100 g,en quantité élevée,8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+4%,+3%,+2%,+3%,+12%,-100%,-100%,-100%,-100%,-100%,5,-1%,C,-1%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,2,,,,,,,,,,
28,Frites allumettes - Lidl,4056489181552,,['Lidl'],['France'],[],[],?,156,653 kj(156 kcal),5,"0,5",24,"0,5","2,5","0,075","0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Poelée indienne - U - 4x 4, boîte de 580g",3256227465376,,['U'],['France'],"['Pommes de terre coupées', 'carottes en dés', 'courgettes en dés', 'pois chiches', 'épinards branches', 'eau', 'YAOURT au LAIT entier pasteurisé nature brassé ', 'LAIT entier pasteurisé', 'LAIT concentré écrémé', 'ferments lactiques', 'huile de tournesol', 'purée de tomates double concentrée', 'curry 0,5%', 'sel', 'crème de coco ', 'crème de coco', 'maltodextrine', 'CASÉINATE DE SODIUM ', 'dont LAIT', 'ail en poudre', 'coriandre', 'piment de cayenne', 'cardamome', 'cannelle', ' Peut contenir des Traces de céréales contenant du gluten et de soja']",['Non végétalien'],297,71,297 kj(71 kcal),2,"0,3","9,3","2,3","2,6","0,58","0,232",,"4 x 4, boîte de 580 g",['Légumes cuisinés'],['Cuisiné en France'],['Magasins U'],2 g,en faible quantité,0.3 g,en faible quantité,2.3 g,en faible quantité,0.58 g,en quantité modérée,-3%,-7%,-7%,-29%,-45%,+25%,-9%,+2%,-11%,-11%,-1,,A,,,,,,,,,['Lait'],3,,,,,,,,,,
30,50ml,3564700524138,,,['France'],[],[],?,?,,?,,?,,?,,,,50 ml,"['Non alimentaire', 'Open Beauty Facts']","['Bio', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Tofu Ail des ours & Noisettes - Tossolia - 200g,3483460280200,"['film plastique', 'étui carton']",['Tossolia'],['France'],"['Tofu* 74% ', 'eau', 'soja*', 'gélifiant : chlorure de calcium', 'Chlorure de magnésium ', 'nigari', ""huile d'olive*"", 'oignon*', ' sel', 'ail des ours* 3%', 'noisette* 3%', 'jus de citron*', 'gingembre*', ""*Ingrédients d'origine agricole obtenus selon les règles de production biologique""]","['Végétalien', 'Végétarien']",?,156,653 kj(156 kcal),11,"1,5","2,6","0,5",13,1,"0,4",A,200g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Substituts de viande', 'Tofu']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Union Végétarienne Européenne', 'Union Végétarienne Européenne - Vegan', 'FR-BIO-01', 'AB Agriculture Biologique']","['Magasins bio', 'Biocoop', 'Satoriz', 'Biomonde']",11 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,1 g,en quantité modérée,,+5%,+5%,+26%,+5%,+19%,-19%,-6%,+46%,+46%,1,,B,,15.9%,34.2%,17.4%,15.8%,9.7%,7.0%,97,"['Fruits à coque', 'Soja']",4,,,,"['Revest-du-Bion', 'France']",,['Union européenne'],,,,
32,Emmental râpé - Carrefour - 100g,3560071245726,['Sachet'],['Carrefour'],['France'],"['Lait pasteurisé issu de vaches nourries sans OGM <0,9%', 'sel', 'ferments lactiques', 'enzyme coagulante']",[],?,379,1586 kj(379 kcal),29,20,1,"< 0,5",28,"0,7","0,28",C,100 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']","['Nutriscore', 'Nutriscore D']",['Carrefour'],29 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.7 g,en quantité modérée,,+2%,+2%,+0%,+2%,+10%,+24%,+3%,-8%,-8%,12,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Lait'],3,"['FR 88.446.004 CE', 'Saulxures-lès-Bulgnéville (Vosges, France)']",,,,,['France'],,,,
33,Oral B - Hollywood Chewing gum menthe verte,7622201134693,,"['Oral-B', 'Hollywood']",['France'],[],[],?,160,669 kj(160 kcal),"0,1","0,1",65,"0,2","0,1","0,07","0,028",,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,,0.1 g,en faible quantité,0.1 g,en faible quantité,0.2 g,en faible quantité,0.07 g,en faible quantité,,0%,-0%,-49%,-14%,+4%,+244%,-22%,+227%,+227%,,,,,,,,,,,,,,,,,,,,,,,
34,"Légumes pour couscous recette à l'Orientale - U - 1/2, 400g",3256228115591,"['Conserve', 'boîte']",['U'],['France'],"['Légumes 50% ', 'navets 18%', 'carottes 14%', 'courgettes 7,5%', 'pois chiches 5,2%', 'garniture de CELERI', 'poivrons rouges et verts 2,1%', 'eau', 'purée de tomates double concentrée', 'sel', 'huile de colza', 'épices', 'oignons grillés en poudre', 'Traces éventuelles de céréales contenant du gluten et de soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",115,28,115 kj(28 kcal),"0,7","0,1","3,3","1,8","1,2","0,55","0,22",,"1/2, 400 g","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Plats préparés', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes préparés', 'Légumes cuisinés']",['Transformé en France'],['Magasins U'],0.7 g,en faible quantité,0.1 g,en faible quantité,1.8 g,en faible quantité,0.55 g,en quantité modérée,-62%,-63%,-64%,-75%,-82%,-56%,-29%,-53%,-16%,-16%,0,,B,,,,,,,,,['Céleri'],3,,,,,,,,,,
35,Carrefour,3560070168446,,['Carrefour'],['France'],[],[],?,?,,?,,?,,?,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3058325050054,3058325050054,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Boisson thé vert/matcha sureau - U - 1l,3256228034595,,['U'],['France'],"['Eau', 'jus de fruits à base de concentrés: pomme et kaki', 'thé vert matcha 0', '15%', 'pectine', 'arôme naturel de fleur de sureau', 'antioxydant: acide ascorbique', 'acidifiant: acide citrique']",[],78,18,78 kj(18 kcal),"0,5","0,1","4,2","4,1","0,5","0,01","0,004",B,1 l,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thés glacés']","['en:FSC', 'Arômes naturels', 'Conditionné en France']",['Magasins U'],,,,,,,,,-17%,-18%,-15%,+257%,+279%,-20%,-19%,+240%,-64%,-64%,6,-18%,D,-18%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,4,,"['E440 - Pectines', 'E300 - Acide ascorbique', 'E330 - Acide citrique']",,,,,,,,
