,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,markets,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,allergens,brand_owner,ingredients_origins,manufacturing,generic_name,link,palm_ingredients,producer_info
545,Huile pour friture - Auchan - 2L,3596710477289,['Auchan'],['France'],[],[],?,900,3766 kj(900 kcal),100,10,0,0,0,0,0,,,2 L,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Thon entier au naturel - Petit Navire - 2x 160g,3019081240660,['Petit Navire'],['France'],[],[],?,109,456 kj(109 kcal),1,"0,5",0,0,25,1,"0,4",,,2 x 160 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Dr candy,6931722307617,,['France'],[],[],?,379,1586 kj(379 kcal),0,0,"94,7","93,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Poivrons gouttes jaunes et rouges doux - Altesse - 122g,5425031096894,['Altesse'],['France'],[],[],?,210,879 kj(210 kcal),0,0,12,9,1,"0,28","0,112",,,122 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Flocons d'avoine bio au miel et aux amandes,3760211820770,,['France'],[],[],?,419,1753 kj(419 kcal),13,"1,7",58,10,13,"0,23","0,092",['Bio'],B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]",,+14%,+83%,-2%,+6%,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,,,,13 g,en quantité modérée,1.7 g,en quantité modérée,10 g,en quantité modérée,0.23 g,en faible quantité,+13%,+36%,+506%,+649%,+649%,4,,C,,,,,,,,,
550,Boudin de porc noir de Bigorre,3760039288813,,['France'],[],[],?,237,992 kj(237 kcal),17,"6,1","2,1","0,9","18,9","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Myrtille,20891718,,['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Myrtilles']",,,,,,90.0%,0.0%,0.0%,5.0%,4.8%,0.2%,87,['ps-tray'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Myrtille sauvage,3700422200190,,['France'],[],[],?,161,674 kj(161 kcal),"0,2",0,"37,5","34,7","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Tendres carrés de blé - Céréal bio - 200g,3691172185502,['Céréal bio'],['France'],"['Seitan de blé* 39,5% ', 'eau', 'gluten de blé*', 'farine de blé*', 'sel de mer', 'aubergines* 25,1%', 'riz complet précuit*', 'farine de blé*', 'huiles végétales* ', 'tournesol oléique et tournesol', 'poivrons rouges* 7%', ""flocons d'avoine complète*"", 'oignons* 4,6%', 'sel de mer', 'plantes aromatiques*', 'épice*', "" *Ingrédients issus de l'agriculture biologique"", ' Fabriqué dans un atelier qui utilise des fruits à coque et du sésame']",[],?,191,799 kj(191 kcal),6,"0,7",19,"3,9",14,"0,965","0,386","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'Sans colorants', 'Sans conservateurs']",,200 g,,,,,,,,,,,,,,['Carton'],,,,4,,,,,,,,,,,,,,,,,,['Gluten'],,,,,,,
554,Charizo doux,3587190400164,,['France'],[],[],?,218,912 kj(218 kcal),"15,2","4,5","6,1","3,4","25,5","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Tomate cherry mini-kumato - 260g,8437013460293,,"['France', 'Espagne']",[],[],?,?,,?,,?,,?,,,,B,260 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Tomates et dérivés', 'Aliments à base de plantes frais', 'Tomates', 'Légumes frais', 'Tomates fraîches']",,,,,,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Tomate Cherry Bio - Carrefour,8431876209945,['Carrefour'],['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'ES-ECO-004-AN']",,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Russia Elite Dark Aereated Chocolate,4603955001939,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,L'estil - 75cl,3244081700207,,['France'],[],[],?,?,,?,,?,,?,,,,,75 cl,,,,,,,,,,,,,,['Bouteille'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Jamón natural gran reserva Supréme,8436018478265,,['France'],[],[],?,181,757 kj(181 kcal),7,"3,1","0,8","0,8",27,"4,5","1,8",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Tartelette fine aux pommes,0202935016402,,['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Tartes', 'Tartes sucrées', 'Tartelettes', 'Tartes aux pommes']",,,,,,67.5%,16.8%,7.5%,4.2%,4.0%,0.0%,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,8 étoiles cacaos,3700411908236,,['France'],[],[],?,449,1879 kj(449 kcal),"22,5","3,7","55,9",26,"5,7","0,8","0,32","['Point Vert', 'Fabriqué en Espagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Grand Saint-bernard Porc,7610645407015,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Sardinillas aceite de oliva - Isabel - 81g,8410111672904,['Isabel'],['France'],[],[],?,200,837 kj(200 kcal),12,"2,4",0,0,23,"1,2","0,48","['en:gluten-free', 'Sans lactose']",,81 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Harina de trigo para freir - Las Panaeras,8412427136200,['Las Panaeras'],['France'],[],[],?,351,1469 kj(351 kcal),"1,6","0,2",73,"0,3",11,"0,3","0,12",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Pain hérisson méditerranéen,3700009268650,,['France'],[],[],?,254,1063 kj(254 kcal),"9,7","4,5",31,"3,7",9,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Kiwi,3573090690705,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Mentos spice it up,87345094,"['Mentos', 'Perfetti Van Melle']",['France'],[],[],?,389,1628 kj(389 kcal),2,"1,8",92,69,0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Hero Baby Tarrito De Jardinera De Ternera Ecológic,8410175065193,['Hero baby'],['France'],[],[],?,64,268 kj(64 kcal),2,"0,6","8,5","1,5","2,4","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Probiotico sabor fresa - Bi-oralsuero,8430134000058,['Bi-oralsuero'],"['France', 'Espagne']",[],[],?,?,,?,,?,,?,,,"['en:gluten-free', 'Sans lactose']",,,['es:Suero'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Krombacher - 30 Tage Frische-fässchen (1 x 5 L),4008287032031,['Krombacher'],"['France', 'Espagne']",[],[],?,?,,?,,?,,?,,,,C,5 l.,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Barril'],,['Mercadona'],,,,,,,,,,,,,,,,,,,,,,,['Kreuztal (Alemania)'],,http://www.krombacher.com,,
571,Maggi jugoso al horno,7613033068904,['Maggi'],"['France', 'Espagne']",[],[],?,283,1184 kj(283 kcal),"4,4","0,6","47,5","15,7","7,6",20,8,,,,"['Epicerie', 'Condiments']",,+102%,-26%,+263%,+80%,,,,,,,,,,,,,4.4 g,en quantité modérée,0.6 g,en faible quantité,15.7 g,en quantité élevée,20 g,en quantité élevée,+98%,-6%,+130%,+258%,+258%,16,+58%,D,+58%,,,,,,,,
572,Fizzy Poppy GEANT,3395503058434,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Olives vertes en saumure - 150g,8005639012082,,['France'],[],[],?,156,653 kj(156 kcal),16,3,0,0,1,"1,3","0,52",,,150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Petits Pains Rustique Sans Gluten,69100055,,['France'],[],[],?,298,1247 kj(298 kcal),"12,5","1,8","38,7",3,5,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Tomates cerises,3471780017101,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Jus de pomme - zu premium,8410171006862,['zu premium'],"['France', 'Espagne']",[],[],?,42,176 kj(42 kcal),0,0,"10,4","10,2","0,1",0,0,"['Bio', 'Bio européen', 'ES-ECO-024-MU', 'Sans colorants', 'Sans conservateurs']",B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme', 'es:Zumo']",,+5%,-100%,+9%,-65%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,0 g,en faible quantité,0 g,en faible quantité,10.2 g,en quantité élevée,0 g,en faible quantité,+5%,-100%,+16%,-100%,-100%,3,+133%,C,+133%,,,,,,,,
577,Pain à la farine de châtaigne,0294055016998,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Couches de poisson au citron,3152210000121,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,balance - Fashion professinal - 900ml,8717825608558,['Fashion professinal'],['France'],[],[],?,?,,?,,?,,?,,,,,900 ml,['Cheveux'],,,,,,,,,,,,,,,['Action'],,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Bière blanche fraîcheur givrée rosée,20968311,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Terrasse de Naufinot,3760237474858,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Monster energy Ultra violet - 500ml,5060639122806,['Monster Energy'],['France'],[],[],?,13,54 kj(13 kcal),0,0,7,0,0,1,"0,4",,,500 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Sucre glace,3700056705405,,['France'],[],[],?,400,1674 kj(400 kcal),0,0,100,97,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Confitures Bio - Charles Antona,3425476306116,['Charles Antona'],['France'],[],[],?,226,946 kj(226 kcal),"0,8","0,5",56,52,"0,5","0,02","0,008",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Energize - Powerbar,4029679673304,['Powerbar'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Sauce tomate provençale Bio Franprix - 190g,00496117,['Franprix'],['France'],[],[],?,?,,?,,?,,?,,,['Bio'],B,190g,"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates frites']",,,,,,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,['Franprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Bol pot au feu boeuf bio 8 mois - Bio Village - 2x 200g,3564707149914,"['Bio Village', 'Marque Repère']",['France'],"['Eau', 'pomme de terre* 23 %', 'carotte* 20 %', 'viande de bœuf* 8 %', 'oignon* 6 %', 'panais* 6 %', 'poireau* 6 %', 'navet* 5 %', 'fécule de manioc*', 'huile de colza*', 'huile de tournesol*', 'persil*', 'ail*', 'poivre noir*', 'thym*', 'laurier*', 'girofle*', ""*Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",232,55,232 kj(55 kcal),2,"0,5","6,3","1,9","2,2","0,1","0,04","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,2 x 200 g,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Rilletes fleur de sel de gueràdex,3760141320241,,['France'],[],[],?,466,1950 kj(466 kcal),44,18,"1,2",0,"16,3","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Échalote traditionelle,3304430810251,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Sel rose d'Himalaya,3183811060375,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Ballymaloe Country Relish Top Down (525 Grams) -,5099229001788,,"['France', 'Irlande']","['Tomatoes ', '41%', 'Vinegar', 'Sugar', 'Onions', 'Sultanas', 'Tomato Puree ', '5%', 'Sea Salt', 'Mustard Seed', 'Spices']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,161,674 kj(161 kcal),0,0,"37,4","33,1","1,8","1,4","0,56",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Cap nature bordeaux pierre jean larraque,3438910873327,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Chips Honey Mustard - Joe’s,2009010016566,['Joe’s'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Plats préparés', 'Chips', 'Entrées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,vin rouge - La Marouette - 75cl,3380330002705,['La Marouette'],['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,75cl,,,,,,,,,,,,,,['bouteille en verre'],,['Naturéo'],,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Confiture poire chocolat - Gourmet in love - 210g,3662051001329,['Gourmet in love'],['France'],"['poires 50%', 'sucre de canne', 'jus de citron', 'éclats de fèves de cacao 0', '8%', 'épaississant ', 'pectine', ',']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,A,210 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de poires']",,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,"['Pot', 'Verre']",,,['E440 - Pectines'],4,,,,,,,,,,,,,,,,,,,,,,Confiture poire chocolat,,,
596,Sauce salade Caesar - LESIEUR - 250ml,3265475389006,['LESIEUR'],['France'],"['huile de colza ', '37%', ',eau,vinaigre,sucre,huile d’olive vierge extra ', '3,5%', ',jaune d’œuf', 'sel', 'fromage râpé [lait', 'œuf] 2%', 'moutarde de Dijon ', 'eau', 'graine de moutarde', 'vinaigre', 'sel', 'antioxydant : disulfite de potassium', 'acidifiant : acide citrique', 'jus de citron concentré,ail', ' épices', 'épaississant : gomme xanthane', 'conservateur : sorbate de potassium', 'arômes ', 'lait', 'blé']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,414,1732 kj(414 kcal),42,"3,8","7,4","6,5","1,5","2,9","1,16",,,250ml,"['Epicerie', 'Sauces', 'Sauces caesar']",,+10%,+9%,+29%,-24%,,,,,,,,,,,"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,42 g,en quantité élevée,3.8 g,en quantité modérée,6.5 g,en quantité modérée,2.9 g,en quantité élevée,+10%,-5%,+75%,+73%,+73%,18,+22%,D,+22%,"['Œufs', 'Gluten', 'Lait', 'Moutarde']",,,,,,,
597,Inflakin - 3C Pharma Laboratoire - 30comprimés,3525722012966,['3C Pharma Laboratoire'],['France'],"['Extrait de curcuma ', ' extrait de grande camomille ', "" extrait d'harpagophytum"", ' extrait desaule blanc ', "" extraitd'ananas"", ' extraitde gingembre', ' agent de charge: cellulose microcristalline ', "" agent d'enrobage: épaississant: hydroxypropylmethyl cellulose"", ' agent de charge: celllulose microcristalline colorants: oxyde de fer rouge', 'dioxyde de titane', ' émulsifiants ester acétique de mono et diglycérides', ' eau purifiée ', "" éthylcellulose hydroxyde d'ammonium "", ' acide oléique ', ' triglycérides à chaine moyenne ', ' alginate de sodium ', ' acide stéarique purifié ', ' extrait de poivre ', ' anti - agglomérants : stéarate de magnésium', 'silice [nano]']",[],?,?,,?,,?,,?,,,,,30 comprimés,['Compléments alimentaires'],,,,,,,,,,,,,"['Boite Carton', 'Comprimés']",,['Pharmacie'],"['E100 - Curcumine', 'E460i - Cellulose microcristalline', 'E172ii - Oxyde de fer rouge', 'E171 - Oxyde de titane', ""E472a - Ester diacétyl-acétique d'acides gras"", 'E462 - Éthylcellulose', 'E401 - Alginate de sodium', 'E570 - Acide stéarique', 'E572 - Stéarate de magnésium', 'E551 - Dioxyde de silicium']",4,,,,,,,,,,,,,,,,,,,,,['France'],Apaisant Physiologique,https://www.3chenes.com/produits/produits-3c-pharma/apaisants-mobilite/inflakin,,
598,Saucisson hallal,4008460263818,,['France'],[],[],?,238,996 kj(238 kcal),20,"6,2","3,5","0,5",11,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,Bière aromatisée à la tequila,4056489030966,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Jus de pomme - Vitamont,3289196480019,['Vitamont'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Pate edelweiss,3700422263041,,['France'],[],[],?,333,1393 kj(333 kcal),"2,3","0,6","62,8","1,9","13,6","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Brique du Forez - La ferme du Prieuré - 250g,3373090000074,['La ferme du Prieuré'],['France'],['Lait de vache sel bactéries lactiques presure'],[],?,329,1377 kj(329 kcal),28,18,"0,5","0,5",21,"0,644","0,258",,B,250g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France']",,-3%,+3%,-35%,-5%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['1 brique'],"['FR 42.285.001 CE', 'Saint-Romain-le-Puy (Loire, France)']",['Super U'],,,28 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,0.644 g,en quantité modérée,-2%,-3%,+16%,-54%,-54%,11,-23%,D,-23%,,,['France'],['Loire'],,,,
603,Dark Chocolate Alfajores - Mardel,8425206000029,['Mardel'],['France'],[],[],?,415,1736 kj(415 kcal),"16,1","14,8","59,9",55,"7,6","0,37","0,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,0202115000009,0202115000009,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Tarte aux citrons,3187670018942,,['France'],[],[],?,331,1385 kj(331 kcal),16,10,42,27,"5,1","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Actimel,3033491489532,['Actimel'],['France'],"['lait demi-écrémé', 'ananas ', '16,5%', 'poire ', '7,4%', 'kiwi ', '3,5%', 'pomme ', '2%', 'concombre ', '2%', 'épinard ', '0,5%', 'fibre de citron', 'lait écrémé concentré ou en poudre', 'concentré de spiruline', 'concentré de curcuma', 'arôme naturel de concombre', 'arómes naturels', 'ferments lactiques dont Lactobacilus cOsei ', 'lait', 'extrait de menthe', 'vitamines D et B6']",['Non végétalien'],?,47,197 kj(47 kcal),"1,1","0,6","6,3",6,"2,6","0,09","0,036",,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,['Lait'],,,,,,,
607,Crousti choc noisette - vrac - Belledonne - 3kg,3760109056076,['Belledonne'],['France'],[],['Sans huile de palme'],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'en:palm-oil-free', 'Biopartenaire']",C,3 kg,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Mini knacks - reghalal - 400g,3276440887984,['Reghalal'],['France'],[],[],?,245,1025 kj(245 kcal),20,"6,8","3,3",2,13,"2,9","1,16",,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,Vin,3303292802237,,['France'],[],[],?,13,54 kj(13 kcal),13,13,23,18,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Kessel Chips Sweet Chilli - real Quality - 125g,4334011165097,['real Quality'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,125 g,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Plats préparés', 'Chips', 'Entrées']",,,,,,,,,,,,,['Tüte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,Rosace de queues de crevettes cuites - 140g,3760070015829,,['France'],[],[],?,142,594 kj(142 kcal),"8,8","0,7","1,8","1,4",14,"1,2","0,48",,,140 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Glaces Bâtonnets vanille - Monoprix,3350033632561,['Monoprix'],['France'],[],[],?,322,1347 kj(322 kcal),21,16,30,28,"2,9","0,14","0,056",,,,,,,,,,,,,,,,,,,['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Nestea pêche,5000112560664,['Nestea'],['France'],[],[],?,32,134 kj(32 kcal),0,0,"7,8","7,8",0,"0,03","0,012",,,,"['Boissons', 'Boissons gazeuses', 'Sodas']",,+19%,-100%,+15%,-100%,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,7.8 g,en quantité élevée,0.03 g,en faible quantité,+16%,-100%,+18%,+116%,+116%,11,+19%,E,+19%,,,,,,,,
614,Coteaux du layon,3760012290512,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Buble gum,2099920145463,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Kiwi jaune - Zespri,5415191767659,['Zespri'],['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Kiwis', 'Kiwis frais']",,,,,,75.1%,0.0%,0.0%,11.4%,10.2%,3.4%,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Chocolate muesli,4000446017026,,['France'],[],[],?,365,1527 kj(365 kcal),"5,5",2,"63,6","10,9","11,1","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Dinner Rolls,2005201003490,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Rubicon Sparkling Guava,5011898005010,,['France'],[],[],?,22,92 kj(22 kcal),0,0,"4,9","4,9","0,5","0,01","0,004",,,,,,,,,,,,,,,,,['aluminium-can'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Terrine de Campagne Bretonne Label Rouge - Tallec - 2x 60g,3268680037496,['Tallec'],['France'],[],[],?,329,1377 kj(329 kcal),30,11,"1,4","1,2",13,"1,7","0,68","['Fabriqué en France', 'IGP', 'Label Rouge']",,2 x 60 g,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,+2%,+6%,-39%,-7%,,,,,,,,['2x60g'],"['EMB 29004D', 'Bannalec (Finistère, France)', 'FR 29.004.023 CE', 'Bannalec (Finistère, France)']",['Geant Casino'],,,30 g,en quantité élevée,11 g,en quantité élevée,1.2 g,en faible quantité,1.7 g,en quantité élevée,+2%,+2%,+38%,+6%,+6%,21,+8%,E,+8%,,,,['France Bannalec'],,,,
621,Quiche lorraine - Casino - 2x 130g,3222477219069,['Casino'],['France'],[],[],?,286,1197 kj(286 kcal),18,11,22,2,"8,3","0,88","0,352",,D,2 x 130 g,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",,+8%,+10%,+14%,-11%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,,"['EMB 38449A', 'Saint-Quentin-Fallavier (Isère, France)']",['Casino'],,,18 g,en quantité modérée,11 g,en quantité élevée,2 g,en faible quantité,0.88 g,en quantité modérée,+9%,+26%,-13%,-15%,-15%,16,+13%,D,+13%,,,,,,,,
