,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,markets,ingredients_origins,traceability_code,packaging,additives,allergens,nova_score,generic_name,manufacturing,brand_owner,link,palm_ingredients,producer_info
1183,Terrine de canard au Saint-Emilion - La Table d'Antan,3280950006896,['France'],[],[],?,263,1100 kj(263 kcal),21,"7,9","3,2","0,7",15,"1,5","0,6",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,21 g,en quantité élevée,7.9 g,en quantité élevée,0.7 g,en faible quantité,1.5 g,en quantité modérée,,-14%,-14%,-20%,-17%,+86%,+13%,+6%,-2%,-2%,16,-11%,D,-11%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,"[""La Table d'Antan""]",,,,,,,,,,,,,
1184,Déjennette,3123456000039,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Knack d'Alsace supérieure,2228361045135,['France'],[],[],?,291,1218 kj(291 kcal),27,10,0,0,12,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 67.295.004 CE', 'Mittelbergheim (Bas-Rhin, France)']",,,,,,,,,,
1186,Saucisson Fin Maigre VPF,3330181666021,['France'],[],[],?,294,1230 kj(294 kcal),"19,5","7,4","1,6","1,1","27,9","4,8","1,92",,,"['Viande-francaise', 'Viande-porcine-francaise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Pain complet - Carrefour,3523680243637,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],['Carrefour'],,,,,,,,,,,,
1188,Chili Lime in-shell pistachios,0042836140086,['France'],[],[],?,160,669 kj(160 kcal),13,"1,5",8,2,6,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,Ribs,2606164059762,['France'],[],[],?,?,,?,,?,,?,,,,,"['Viande-francaise', 'Viande-porcine-francaise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,Collerettes,3334861027645,['France'],[],[],?,355,1485 kj(355 kcal),"1,9","0,3",70,"4,5",13,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,Ritter Sport Frühlings-Mix - 16.67000007629395g,4000417316400,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67000007629395 g,,,,,['Stück'],,,,,,,,,
1192,Banane chips,53641953,['France'],[],[],?,522,2184 kj(522 kcal),30,27,"56,4",10,"3,3",0,0,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Bananes séchées']",,30 g,en quantité élevée,27 g,en quantité élevée,10 g,en quantité modérée,0 g,en faible quantité,,+7%,+8%,+19%,+40%,-7%,-52%,+77%,-100%,-100%,11,-7%,D,-7%,59.6%,25.6%,2.0%,11.4%,1.4%,0.0%,29,,,,,,,,,,,,,,,
1193,Croquetas,8411757051597,['France'],[],[],?,158,661 kj(158 kcal),"6,5","2,3",20,"3,3",4,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,Tarte normande,2109321005904,['France'],[],[],?,257,1075 kj(257 kcal),13,"8,7",32,20,"2,6","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,Lamelles croustillantes pavot et sesame,0002000000011,['France'],[],[],?,41,172 kj(41 kcal),16,"2,3",48,5,15,2,"0,8",,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,Anchoiade,3700858202171,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Poulet,2445720044749,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Cabosses chocolat lait,3498752700212,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Boudin noir,2402155015744,['France'],[],[],?,230,962 kj(230 kcal),19,"7,1","2,3","0,8","13,1","1,35","0,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,The Balvenie Doublewood 20Cl,5010327528212,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,Saumon de l atlantique,3284570001538,['France'],[],[],?,190,795 kj(190 kcal),"10,8","1,51","1,9",0,"21,5","2,91","1,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Rôti de porc,2052850049072,['France'],[],[],?,?,,?,,?,,?,,,E,"['Viandes', 'Porc', 'Rôtis de porc']",,,,,,,,,,,,,,,,,,,,,,,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,['Barquette'],,,,,,,,,
1203,Salade wasabe,7640163250640,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Crackers Japonais,3760239854528,['France'],[],[],?,379,1586 kj(379 kcal),"10,3","1,9",62,"6,3","9,6","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,Riz au lait,3770003317104,['France'],[],[],?,?,,?,,?,,?,,,B,"['Desserts', 'Puddings', 'Riz au lait']",,,,,,,,,,,,,,,,,,,,,,,,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,,,,,,,,,,,,,
1206,Lutti smiley Fizz,3116740034148,['France'],[],[],?,341,1427 kj(341 kcal),0,0,"78,4","67,5","5,7","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lutti'],,,,,,,,,,,,,
1207,Fromage,2453681028869,['France'],[],[],?,342,1431 kj(342 kcal),30,25,"0,5","0,5",18,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,Crema,57314396,['France'],[],[],?,213,891 kj(213 kcal),0,0,53,40,"0,55","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Cumin,5410531006726,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Noix de coco,0291439019293,['France'],[],[],?,365,1527 kj(365 kcal),"33,5","29,7","7,15","6,23","3,6","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,Sardines sauce tomate,8410149020395,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Dots Chocolat,0204272017388,['France'],[],[],?,555,2322 kj(555 kcal),30,15,38,13,"5,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Zartbittermilchschokolade Kuvertüre - 200g,4337185173783,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,['Stück'],,,,,,,,,
1214,Chair de crabe,3760239853484,['France'],[],[],?,70,293 kj(70 kcal),0,0,0,0,17,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Penne mutigrain,8003383003608,['France'],[],[],?,177,741 kj(177 kcal),3,"0,7","30,7","2,4","5,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,4 steaks haches facon bouchere,3266110850691,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.225.001 CE', 'Saint-Léry (Morbihan, France)']",,,,,,,,,,
1217,Patte a tortilla,5900928009923,['France'],[],[],?,?,,?,,?,,?,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Marshmallow apple sharmel,4600492211012,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Cake fruits bio,3547561001017,['France'],[],[],?,399,1669 kj(399 kcal),"15,1",2,"61,4","34,7","4,5","0,32","0,128",,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Moutarde au jus de raisin de Charroux,3760110470007,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,Keukenrol,5400141159691,"['Belgique', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Poulet fermier jaune bio,2467765014662,['France'],[],[],?,?,,?,,?,,?,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,Salud Chilli Cheese Nuggets,8717154059908,['France'],[],[],?,262,1096 kj(262 kcal),"12,2","5,2",30,1,"7,3",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,Crepinettes,3467980053582,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 28.111.020 CE', 'Coudray-au-Perche (Eure-et-Loir, France)']",,,,,,,,,,
1225,Rose du Mas,3464723207516,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,Spaghetti Aux 5 Legumes Panzani 400G - 400g,3038351575004,['France'],[],[],?,348,1456 kj(348 kcal),"1,6","0,37",69,"6,6",12,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,,,,
1227,Terrine de campagne trad rotie au four bio - Carrefour,2227848014824,['France'],[],[],?,331,1385 kj(331 kcal),29,11,2,"0,9",15,"1,5","0,6",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-13', 'Fabriqué en France']",29 g,en quantité élevée,11 g,en quantité élevée,0.9 g,en faible quantité,1.5 g,en quantité modérée,,+2%,+3%,+2%,+2%,-13%,+4%,+7%,-6%,-6%,20,+3%,E,+3%,,,,,,,,,['Carrefour'],['Carrefour'],,"['EMB 29004D', 'Bannalec (Finistère, France)']",,,,,,,,,,
1228,Sorbet litchi - L'Angélys,3760039984364,['France'],"['Litchi 60%', 'eau,sucre,sirop de glucose de mais,sirop de sucre inverti', 'stabilisants: farine de graines de caroube', 'pectine et proteine de pomme de terre', 'jus de citron', 'antioxydant: acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,137,573 kj(137 kcal),"0,5","0,1",34,28,"0,7","0,01","0,004",C,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets au litchi']","['en:gluten-free', 'Sans colorants', 'Sans conservateurs', 'Sans lactose']",0.5 g,en faible quantité,0.1 g,en faible quantité,28 g,en quantité élevée,0.01 g,en faible quantité,,+12%,+12%,+75%,+8%,+19%,+16%,+54%,-67%,-67%,6,+14%,C,+14%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,"[""L'Angélys""]",,,,,"['E410 - Gomme de caroube', 'E440 - Pectines', 'E300 - Acide ascorbique']",,4,,,,,,
1229,Myrtilles - Driscoll's,8717496040107,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Driscoll's""]",,,,['Sachet'],,,,,,,,,
1230,Pates de fruits,3700790019783,['France'],[],[],?,327,1368 kj(327 kcal),"0,2","0,02",80,71,"0,8","0,15","0,06",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,0.2 g,en faible quantité,0.02 g,en faible quantité,71 g,en quantité élevée,0.15 g,en faible quantité,,+4%,+4%,-41%,-83%,+5%,+7%,+23%,+25%,+25%,9,+9%,C,+9%,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,,,,,,
1231,Graines de lin - Linwoods,5016887446126,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Linwoods'],,,,,,,,,,,,,
1232,Tartinable provençal Saussoun,3760037599614,['France'],[],[],?,435,1820 kj(435 kcal),44,"5,6","3,6","2,2","6,6","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,Ecorces De Yuzu,3760069445408,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,Colorant alimentaire,0070896105202,['France'],[],[],?,?,,?,,?,,?,,,,"['Additifs alimentaires', 'Colorants alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,Confiture de lait - Ferme de la Brunie - 200g,3770002429419,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,,,,,,,,,,,,,,,,,,,,,,,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,200 g,['Ferme de la Brunie'],,,"['FR 24.471.003 CE', 'Sainte-Nathalène (Dordogne, France)']",,,,,,,,,,
1236,Nougat -,3700790019790,['France'],"['amandes ', '26 %', ' ', 'sirop de glucose', 'miel', 'éclat de caramel ', '7', '30 % ', ' ', 'sucre', 'sirop de glucose', 'lait entier en poudre reconstitué', ""crème fraiche d'isigny A"", 'O', ""P beurre salé d'isigny A"", 'O', 'P ', '3', '6 %', 'sel de Guérande ', '1', '2 % ', ' ', 'émulsifiants: lécithines de colza', 'sucres', ""blancs d'œuf"", 'arôme caramel beurre salé', 'sel', 'pain azyme ', 'fécule de pomme de terre', 'eau']",['Non végétalien'],?,443,1854 kj(443 kcal),"15,8","1,85","67,8","51,9","6,6","0,338","0,135",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Compléments alimentaires', 'Nougats']",,15.8 g,en quantité modérée,1.85 g,en quantité modérée,51.9 g,en quantité élevée,0.338 g,en quantité modérée,,-1%,-1%,-4%,-7%,+4%,-5%,-8%,+349%,+349%,17,+6%,D,+6%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,['E322i - Lécithine'],"['Œufs', 'Fruits à coque']",4,,,,,,
1237,Apollo noodles,6091091444846,['France'],[],[],?,471,1971 kj(471 kcal),"19,3","9,8",65,"7,8","9,5","5,8","2,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,Hell fire,0852963006014,['France'],[],[],?,12,50 kj(12 kcal),14,12,21,1,6,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,Urgo Spray Froid. 400 ML,3401070816459,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 mL,,,,,,,,,,,,,,
1240,Jarret de porc a l'ancienne,3700557600643,['France'],[],[],?,282,1180 kj(282 kcal),"22,9","7,9","0,2","0,1","18,7","1,84","0,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,Organic raw chocolate cocoa 90%,8055731090792,['France'],[],"['Végétalien', 'Végétarien']",?,477,1996 kj(477 kcal),"35,8",21,"29,7","22,2","6,4","0,15","0,06",,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Crème fraîche - Cora,3411112255764,['France'],[],[],?,3,13 kj(3 kcal),6,"4,2","2,9","2,5","2,3","0,08","0,032",C,"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches']",,6 g,en quantité modérée,4.2 g,en quantité modérée,2.5 g,en faible quantité,0.08 g,en faible quantité,,-99%,-99%,-80%,-79%,-11%,-13%,-3%,-5%,-5%,3,-77%,C,-77%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,['Cora'],,,,,,,,,,,,,
1243,Mayle syrup candies,0771098010966,"['France', 'Espagne']",[],[],?,?,,?,,?,,?,,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Caramels']",,,,,,,,,,,,,,,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,
1244,Glace tiramisu sauce chocolat,1576478710073,['France'],[],[],?,182,761 kj(182 kcal),"7,3","5,3","24,6","24,3","3,9","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Creme dessert,6191402800160,['France'],[],[],?,365,1527 kj(365 kcal),0,0,90,0,"0,625","0,015","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,Donuts pink glazed,0202237022309,['France'],[],[],?,469,1962 kj(469 kcal),"28,5","16,1","47,9","19,9","4,4","0,56","0,224",B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,28.5 g,en quantité élevée,16.1 g,en quantité élevée,19.9 g,en quantité élevée,0.56 g,en quantité modérée,,+15%,+15%,+25%,+52%,+7%,+18%,-26%,-41%,-41%,21,+8%,E,+8%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,,
1247,Pellehaut '09,3760087760118,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,Saucisson sec,2678249048749,['France'],[],[],?,401,1678 kj(401 kcal),32,12,"2,2","1,2",30,"4,6","1,84",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,32 g,en quantité élevée,12 g,en quantité élevée,1.2 g,en faible quantité,4.6 g,en quantité élevée,,-0%,-1%,+1%,-2%,-1%,-12%,+9%,-1%,-1%,25,+4%,E,+4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,,
1249,Raw Organic Hemp Natural Unrefined Rolling Papers 15 Booklets,0716165174219,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['', '', 'card-box']",,,,,,,,,
1250,Blackened cajun seasoning,5010421074455,['France'],[],[],?,234,979 kj(234 kcal),"6,4","1,2","34,4","7,2","0,1","28,38","11,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,Beef jerky teriyaki flavour,5600380894678,['France'],[],[],?,292,1222 kj(292 kcal),"9,5","2,9",17,1,35,5,2,,"['Viandes', 'Viandes séchées', 'Viande de bœuf séchée']",['en:gluten-free'],9.5 g,en quantité modérée,2.9 g,en quantité modérée,1 g,en faible quantité,5 g,en quantité élevée,,+10%,+10%,+125%,+93%,+21%,-90%,-11%,+36%,+36%,15,+3%,D,+3%,,,,,,,,,,,,,,,,,,,,,,
1252,Thé au fruit,4791082072165,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,Ovo maltine crunchy,7302100018477,['France'],[],[],?,545,2280 kj(545 kcal),32,"7,1","59,5","54,5","3,8","0,3","0,12",,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,Risotto aux cèpes,3701192500343,['France'],[],[],?,354,1481 kj(354 kcal),10,"0,05","77,7","0,7","7,7",19,"7,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,Rooibos,3760175822551,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Snickers maple almond butter,0040000542537,"['France', 'États-Unis']","['Almonds', 'sugar', 'vegetable oil ', 'palm oil', 'hydrogenated palm kernel oil', 'hydrogenated cottonseed oil and/or hydrogenated rapeseed oil', 'invert sugar', 'lactose', 'corn syrup', 'cocoa butter', 'skim milk', 'corn syrup solids', 'chocolate', 'dextrose', 'less than 2% - vegetable glycerine', 'milkfat', 'salt', 'calcium carbonate', 'soy lecithin', 'cocoa powder processed with alkali', 'natural flavors', 'maple syrup', 'molasses', 'tbhq to maintain freshness']","['Huile de palme', 'Non végétalien']",?,500,2092 kj(500 kcal),30,"12,5",55,"42,5","7,5","0,875","0,35",,"['Snacks', 'Snacks sucrés', 'Confiseries']",,30 g,en quantité élevée,12.5 g,en quantité élevée,42.5 g,en quantité élevée,0.875 g,en quantité modérée,,+19%,+19%,+104%,+93%,-17%,-14%,+78%,+495%,+495%,26,+43%,E,+43%,,,,,,,,,,,,,,"['E422 - Glycérol', 'E322i - Lécithine']","['Lait', 'Fruits à coque', 'Soja']",4,,,Mars Chocolate North America LLC,,,
1257,Soupe à l'oignon - Toupargel,3270120568231,['France'],[],[],?,69,289 kj(69 kcal),"4,6","3,2","3,6","2,5","2,5","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Toupargel'],,,,,,,,,,,,,
1258,Fer,3535400000284,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,Blue flame,0856011004939,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,8029408046122,8029408046122,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,No lactose!* Ananas et Coco - Carrefour - 1kg962ml,3560071177614,"['France', 'Espagne']","['Lait partiellement écrémé à 1,2% de matières grasses', 'sucre', ""jus d'ananas 1%"", 'amidon modifié de maïs', 'poudre de lait écrémé', 'enzyme lactase', 'lait de coco en poudre ', 'contient lait', ' 0,1%', 'arôme', ""correcteurs d'acidité : acide citrique - citrates de calcium - citrates de sodium"", 'ferments lactiques', 'épaississant : pectines', ' Teneur en lactose < 0,01%Origine du lait : Espagne']",['Non végétalien'],267,63,267 kj(63 kcal),"1,1","0,8",11,11,"2,4","0,11","0,044",E,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",['Sans lactose'],1.1 g,en faible quantité,0.8 g,en quantité modérée,11 g,en quantité élevée,0.11 g,en faible quantité,-13%,-12%,-12%,-27%,-15%,-3%,+3%,-17%,+4%,+4%,17,+6%,E,+6%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,1 kg962 ml,['Carrefour'],['Carrefour'],,['ES 15.00195/GU CE'],,"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E333 - Citrates de calcium', 'E331 - Citrates de sodium', 'E440 - Pectines']",['Lait'],4,"Lait fermenté à boire au jus d'ananas et lait de coco, aromatisé, sans lactose.",,,,,Fabriqué par RGSEAA 15.00195/GU et distribué par L.N.P.L.R.I.S.A. RGSEAA 40.28739/B pour Interdis.
1262,Confiture de Mirabelles - André Guépratte,3278930001139,['France'],[],[],?,252,1054 kj(252 kcal),"0,5",0,62,62,"0,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['André Guépratte'],,,,,,,,,,,,,
1263,Boules blanches,3316103000005,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,Pain d'epices VUEZ,3279050007049,['France'],[],[],?,326,1364 kj(326 kcal),"2,39","0,23","71,7","44,9","2,98","0,408","0,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,Golden muesli Croustillant,3168939444801,['France'],[],[],?,402,1682 kj(402 kcal),"7,9","1,2",65,14,11,"0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,Castel vin blc baron lestac 75cl - 0.75cl,3211209991793,"['France', 'La Réunion']",[],[],?,?,,?,,?,,?,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75 cl,,,,,['Bouteille'],,,,,,,,,
1267,Petits pains suédois -,9318503331141,['France'],[],[],?,390,1632 kj(390 kcal),"6,5",2,65,"2,5",12,"1,25","0,5",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['Sans sucre ajouté'],6.5 g,en quantité modérée,2 g,en quantité modérée,2.5 g,en faible quantité,1.25 g,en quantité modérée,,+19%,+18%,+6%,+71%,+19%,-36%,+26%,-2%,-2%,5,-2%,C,-2%,,,,,,,,,,,,,,,,,,,,,,
1268,Rosengarten Protein-plus-müsli Recharge Schoko Banane,4005967001370,['France'],[],[],?,419,1753 kj(419 kcal),"21,7","5,2","18,8","4,4","29,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
