,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,markets,allergens,nova_score,brand_owner,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,additives,link,ingredients_origins,palm_ingredients,origin_detail,producer_info
615,"Vin rosé AOP Côtes de Provence Cellier des Espérides - U - fontaine à vinde 2,25l",3256227553790,['Conditionné en France'],['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,"fontaine à vinde 2,25 l",['U'],['Magasins U'],['Anhydride sulfureux et sulfites'],3,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,,,,,,,,,,,,,,,,,,,C,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,['France'],,,
616,Soupe de truite fumée,3760024670937,,['France'],[],[],?,145,607 kj(145 kcal),12,"1,86","1,9","0,1","7,4","0,71","0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Bloc de foie gras de canard du sud-ouest - Carrefour,3560071232269,['Fabriqué en France'],['France'],[],[],?,491,2054 kj(491 kcal),50,22,"3,1","0,9",6,"1,1","0,44",,['Carrefour'],['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Anytime - Lotte,8801062013609,,['France'],[],[],?,220,920 kj(220 kcal),9,0,90,9,0,0,0,,['Lotte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Roquefort,2293230036804,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,379,1586 kj(379 kcal),32,20,"1,8",0,21,"3,6","1,44",,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",32 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,3.6 g,en quantité élevée,,+3%,+4%,+0%,-10%,+176%,-100%,+8%,+1%,+1%,19,0%,E,0%,"['FR 12.203.026 CE', 'Roquefort-sur-Soulzon (Aveyron, France)']",C,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,,,,,,,
620,Cóctel de snacks - Fátima,8414235060036,,['France'],[],[],?,498.1,2084 kj(498 kcal),"25,6","3,2","8,7","2,2","4,2","2,7","1,08",,['Fátima'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Mini-meringues saveur vannille - En Cuisine,3184830101087,['Fabriqué en France'],['France'],[],[],?,402,1682 kj(402 kcal),"0,6",0,95,95,"4,3","0,16","0,064",,['En Cuisine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 24381', 'Saint-Barthélemy-de-Bussière (Dordogne, France)']",,,,,,,,,,,,,,,,,
622,Coffret prestige - Jours Heureux,3602803108364,,['France'],[],[],?,537,2247 kj(537 kcal),"34,2","16,21","46,7","44,2","8,2","0,04","0,016",,['Jours Heureux'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Angivy (Solanum Crythracuntom),8000000154873,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Terrine de campagne,3770013315022,"['Bio', 'Bio européen', 'Végétarien', 'Végétalien', 'Agriculture UE/Non UE', 'FR-BIO-01', 'en:palm-oil-free']",['France'],[],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,215,900 kj(215 kcal),15,2,11,1,"7,4","0,4","0,16",,,,,,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",15 g,en quantité modérée,2 g,en quantité modérée,1 g,en faible quantité,0.4 g,en quantité modérée,,-33%,-33%,-47%,-81%,+380%,+15%,-47%,-75%,-75%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,
625,Œuf de saumon,3444940004228,,['France'],[],[],?,187,782 kj(187 kcal),11,2,1,1,22,"2,5",1,,,,,,,"['Conserves', 'Produits de la mer', 'Poissons', 'Frais', 'Œufs de poisson', 'Saumons', 'Poissons fumés', 'Semi-conserves', 'Saumons fumés', 'Oeufs de saumon']",11 g,en quantité modérée,2 g,en quantité modérée,1 g,en faible quantité,2.5 g,en quantité élevée,,-20%,-21%,-6%,-22%,-68%,+76%,-28%,-15%,-15%,13,-9%,D,-9%,,E,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,
626,Acid espace fizz - Copains Copines,3564706589315,"['Colorants naturels', 'Sans arômes ajoutés', 'Nutriscore', 'Nutriscore D']",['France'],"['Sucre ', ' amidon de maïs ', ' eau ', ' dextrose ', ' acidifiant : E334 ', "" correcteur d'acidité : E500 : colorants: curcumine"", 'rouge de betterave']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1479,348,1479 kj(348 kcal),"0,5",0,87,51,"0,5","0,9","0,36",,"['Copains Copines', 'Marque Repère']",['Leclerc'],,4,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0.5 g,en faible quantité,0 g,en faible quantité,51 g,en quantité élevée,0.9 g,en quantité modérée,-5%,-2%,-1%,-73%,-100%,+4%,-12%,-76%,+644%,+644%,17,+18%,D,+18%,,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,"['Sachet', 'Plastique']",,"['E334 - Acide L-tartrique', 'E500 - Carbonates de sodium', 'E100 - Curcumine', 'E162 - Rouge de betterave']",,,,,
627,Garam masala - 100g,8902167000126,,"['France', 'États-Unis']","['Cumin', 'black pepper', 'coriander', 'cardamom seeds', 'cloves nutmeg', 'cinnamon', 'dry ginger', 'bay leaf', 'caraway', 'mace', 'yellow chilli']",[],?,318,1331 kj(318 kcal),"12,4",0,37,0,"14,6",0,0,100 g,,,,1,MDH,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments']",12.4 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+127%,+122%,+109%,-100%,+182%,-100%,+245%,-100%,-100%,-2,-120%,A,-120%,,,,,,,,,,,,,,,,,,
628,Carlsberg - 33cl carlsberg unfiltered - 5.00 degre alcool - 330ml,3080216054162,"['Déconseillé à certaines catégories de personnes', 'Déconseillé aux enfants et aux femmes enceintes', 'Déconseillé aux femmes enceintes', 'Triman']",['France'],"['Eau', ""MALT D'ORGE"", 'ORGE', ""EXTRAIT DE MALT D'ORGE ET DE BLÉ"", 'extrait de houblon', 'levures']","['Sans huile de palme', 'Végétalien', 'Végétarien']",186,45,186 kj(45 kcal),0,0,"3,9","0,5","0,5",0,0,330 ml,['Carlsberg'],,['Gluten'],3,,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",,,,,,,,,-1%,+10%,+8%,-100%,-100%,+12%,+3%,+23%,-100%,-100%,,,,,,C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,Bière premium non filtrée,"['Bouteille', 'Verre']",['Italie'],,,,,,
629,Box brochettes poulet yakitori et gyoza - 340g,3701292605177,,['France'],[],[],?,207,866 kj(207 kcal),"1,9","0,2",40,"5,7","6,9",1,"0,4",340 g,,,,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande']",1.9 g,en faible quantité,0.2 g,en faible quantité,5.7 g,en quantité modérée,1 g,en quantité modérée,,+29%,+31%,-74%,-92%,+281%,+263%,-27%,+6%,+6%,3,-11%,C,-11%,,,,,,,,,,,,,,,,,,
630,Mâche 175g+34% - Bonduelle - 235g,3083681115697,"['Fruits et Légumes de France', 'Nutriscore', 'Nutriscore A']",['France'],['Mâche'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",108,26,108 kj(26 kcal),"0,5","0,1","2,2","0,7","2,1","0,04","0,016",235 g,['Bonduelle'],,,1,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles']",0.5 g,en faible quantité,0.1 g,en faible quantité,0.7 g,en faible quantité,0.04 g,en faible quantité,-22%,-30%,-28%,-55%,-65%,-11%,-34%,-6%,-86%,-86%,-8,,A,,"['EMB 44169H', 'Saint-Julien-de-Concelles (Loire-Atlantique, France)', 'EMB 69277C', 'Genas (Rhône, France)', 'EMB 55312A', 'Maizey (Meuse, France)']",,,,,,,,,Salade prête à l'emploi,"['Sachet', 'sous vide']",['France'],,,"['France', 'Pays de la Loire']",,,
631,Ravioli - 500g,8032770620005,,['France'],[],[],?,965,4038 kj(965 kcal),"7,1","3,1","26,9","1,3","13,9","1,5","0,6",500 g,,,,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli']",7.1 g,en quantité modérée,3.1 g,en quantité modérée,1.3 g,en faible quantité,1.5 g,en quantité modérée,,+422%,+420%,+32%,+51%,+8%,-51%,+87%,+51%,+51%,19,+367%,E,+367%,,,,,,,,,,,,,,,,,,
632,P'tit dej Sarrasin chocolat quinoa - Grillon d'Or,3421557920738,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'Sans huile de palme']",['France'],"['Farine de sarrasin* 18%', ""amidon de mais'"", 'beurre frais* 16%', 'sucre de canne*', 'tapioca*', 'pépites de chocolat* 9% ', 'pâte de cacao*', 'sucre de canne*', 'beurre de cacao*', 'extrait de vanille*', 'flocons de quinoa* 9%', 'farine de soja*', 'sirop de riz*', 'cacao en poudre* 3,3%', 'sel', ""poudre à lever: bicarbonate d'ammonium"", "" * Ingrédients issus de l'Agriculture Biologique"", ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']",['Non végétalien'],?,483,2021 kj(483 kcal),20,12,66,20,"7,6","0,24","0,096",,"[""Grillon d'Or""]",,['Soja'],3,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",20 g,en quantité modérée,12 g,en quantité élevée,20 g,en quantité élevée,0.24 g,en faible quantité,,+2%,+2%,-4%,+19%,+3%,-32%,+17%,-59%,-59%,21,+6%,E,+6%,,B,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['boite carton sachets individuels'],,"[""E503ii - Carbonate acide d'ammonium""]",,,,,
633,Taste of ASIA Indien Style: Reis & Huhn,20312893,['Fabriqué en France'],['France'],[],[],?,154,644 kj(154 kcal),"4,3","1,7","21,7","3,7","5,8","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Vinaigre Mix Pour Sushi Chiaki,3662317005719,,['France'],[],[],?,124,519 kj(124 kcal),0,0,"29,3","28,4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Haricots verts,3112940849230,,['France'],[],[],?,24,100 kj(24 kcal),"0,5",0,3,"0,8","1,6","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Lindor latte - 112g,8003340071121,['en:gluten-free'],"['France', 'Italie']",[],[],?,623,2607 kj(623 kcal),47,34,44,42,5,"0,17","0,068",112 g,"['Lindor', 'Lindt & Sprüngli']",,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",47 g,en quantité élevée,34 g,en quantité élevée,42 g,en quantité élevée,0.17 g,en faible quantité,,+18%,+18%,+47%,+95%,-16%,-12%,-15%,+11%,+11%,26,+7%,E,+7%,,,,,,,,,,,,,,,,,,
637,Ourson guimauve - Cémoi - 448g,3173289207808,,['France'],"['sirop de glucose-fructose', 'sucre', 'eau', 'beurre de cacao', 'poudre de lait entier 4,2 %', 'pâte de cacao', 'gélatine', 'lactosérum en poudre', 'émulsifiant : lécithine de tournesol', 'arôme naturel de vanille', 'arôme']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1544,366,1544 kj(366 kcal),"9,4","5,8",73,58,"4,1","0,08","0,032",448 g,['Cémoi'],,['Lait'],4,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Guimauves enrobées de chocolat']",9.4 g,en quantité modérée,5.8 g,en quantité élevée,58 g,en quantité élevée,0.08 g,en faible quantité,-5%,-7%,-7%,-17%,-18%,+7%,+3%,+4%,+17%,+17%,19,-9%,E,-9%,,,,,,,,,,,"['Sachet', 'Plastique']",,"['E428 - Gélatine', 'E322i - Lécithine']",,,,,
638,Confiture de lait,3383670002084,,['France'],[],[],?,288,1205 kj(288 kcal),"3,5","1,9",57,56,"7,4",1,"0,4",,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",3.5 g,en quantité modérée,1.9 g,en quantité modérée,56 g,en quantité élevée,1 g,en quantité modérée,,-3%,-3%,-37%,-41%,+3%,+10%,+14%,+196%,+196%,18,+8%,D,+8%,,B,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,,,,,,,,,
639,Babas In Limoncello 500G Jar (14-15 Babas),8004901000550,['Fabriqué en Italie'],['France'],[],[],?,288,1205 kj(288 kcal),"3,3","1,9","47,2","31,7","3,3","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Foie gras de canard entier du Sud-Ouest - Delpeyrat - 180g,3067163645384,"['Sans conservateurs', 'IGP']",['France'],"['foie gras de canard du Sud-Ouest ', 'origine : France', 'sel', 'poivre', 'épice']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,544,2276 kj(544 kcal),56,24,"2,2","0,9","7,5","1,3","0,52",180 g,['Delpeyrat'],,,3,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",56 g,en quantité élevée,24 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,,+3%,+3%,+3%,+3%,-8%,-32%,-0%,+8%,+8%,21,+1%,E,+1%,,B,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,
641,Nectar de mangue bio - Piaf,3760224570662,['Bio'],['France'],[],[],?,50,209 kj(50 kcal),"0,1",0,12,"11,3","0,2",0,0,,['Piaf'],,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mangue']",0.1 g,en faible quantité,0 g,en faible quantité,11.3 g,en quantité élevée,0 g,en faible quantité,,-4%,-4%,-43%,-100%,-3%,-3%,-26%,-100%,-100%,15,-4%,E,-4%,,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,
642,bûche coco - Leonidas,5420006310951,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,['Leonidas'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Zaatar,0828696060647,,['France'],[],[],?,270,1130 kj(270 kcal),20,0,20,0,10,"4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,La Roumaniere - confiture pêche,3760003780237,,['France'],[],[],?,254,1063 kj(254 kcal),"0,1","0,1","62,9",62,"0,4","0,1","0,04",,['La Roumanière'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Macaroni - Auchan - 500g,3596710478040,"['Nutriscore', 'Nutriscore A']",['France'],"['100% semoule de blé dur de qualité supérieure', "" Traces éventuelles d'eufs""]",[],1505,355,1505 kj(355 kcal),"1,9","0,3",70,"0,3",13,"0,02","0,008",500 g,['Auchan'],['Auchan'],,1,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Macaroni de blé dur']",1.9 g,en faible quantité,0.3 g,en faible quantité,0.3 g,en faible quantité,0.02 g,en faible quantité,-0%,-1%,+0%,+7%,-19%,-2%,-91%,+7%,+9%,+9%,-4,,A,,,C,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,"['Sachet', 'Plastique']",,,,,,,
646,Gripen,7629999037915,"['Bio', 'Bio européen', 'CH-BIO-006']",['France'],[],[],?,118,494 kj(118 kcal),"0,1",0,28,16,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,pineapple juice,5281034012473,,['France'],[],[],?,48,201 kj(48 kcal),0,0,12,12,0,0,0,,,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'ananas""]",0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,,-2%,-2%,-100%,-100%,+3%,+7%,-100%,-100%,-100%,5,-3%,C,-3%,,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,
648,Mêla disidratata,8388766329163,,['France'],[],[],?,290,1213 kj(290 kcal),2,"0,5",62,59,"1,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,"Acht Grad Plus Heißer Hirsch Weiß, 0,75 LTR Flasche - 0.75l",4260166240221,"['Bio', 'Bio européen', 'DE-ÖKO-039']","['France', 'Allemagne']",['Weißer Glühwein Enthält Sulfite P'],[],?,?,,?,,?,,?,,,0.75l,['Acht Grad Plus'],,,,,"['Boissons', 'en:Mulled wines', 'en:Weine']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glasflasche (weiß)'],,,,,,,
650,Beurre de cacahuètes Onctueux - MyProtein - 1kg,5055534640197,"['Végétarien', 'Végétalien', 'Vegetarian Society Approved']",['France'],[],"['Végétalien', 'Végétarien']",?,579,2423 kj(579 kcal),46,"8,6",12,"5,9",30,0,0,1 kg,['MyProtein'],,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de cacahuètes']",46 g,en quantité élevée,8.6 g,en quantité élevée,5.9 g,en quantité modérée,0 g,en faible quantité,,-4%,-3%,-4%,+4%,-17%,-7%,+22%,-100%,-100%,16,+45%,D,+45%,,C,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,"['Pot', 'Plastique']",,,,,,,
651,Quality Street - Nestlé - 966g,7613036883917,['Végétarien'],['France'],[],['Végétarien'],?,471,1971 kj(471 kcal),"20,5","11,8","67,1","58,2","3,6","0,21","0,084",966 g,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Tin', 'foil']",,,,,,,
652,Annanas,5099400002368,,['France'],[],[],?,46,192 kj(46 kcal),"0,2",0,"10,1","10,1","0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Mini alfajoree chocolate,7791875008026,,['France'],[],[],?,360,1506 kj(360 kcal),12,"6,8",56,32,"6,4","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Foie gras de canard entier du sud-ouest - Delpeyrat - 360g,3067163645773,['Sans conservateurs'],['France'],"['foie gras de canard du Sud-Ouest ', 'origine : France', ""sel de l'Île de Ré 1,2 %"", 'poivre', 'épice']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,544,2276 kj(544 kcal),56,24,"2,2","0,9","7,5","1,3","0,52",360 g,['Delpeyrat'],,,3,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",56 g,en quantité élevée,24 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,,+3%,+3%,+3%,+3%,-8%,-32%,-0%,+8%,+8%,21,+1%,E,+1%,,B,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,
655,Chocolat noir oranges confites - Bovetti - 50g,3501940331003,['Fabriqué en France'],['France'],[],[],?,542,2268 kj(542 kcal),39,24,33,28,"8,2","0,04","0,016",50 g,['Bovetti'],,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', ""Chocolats noirs à l'orange""]",39 g,en quantité élevée,24 g,en quantité élevée,28 g,en quantité élevée,0.04 g,en faible quantité,,+3%,+3%,+13%,+16%,-24%,-25%,+22%,+3%,+3%,17,-21%,D,-21%,,C,74.2%,16.2%,3.8%,4.7%,1.1%,0.0%,62,,,,,,,,,
656,Vinaigre à la pulpe d'ail,3700600301350,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Bûche glacée vanille fruits rouges,3760088755151,"['en:gluten-free', 'Sans arômes artificiels', 'Sans colorants']",['France'],[],[],?,161,674 kj(161 kcal),"5,5","3,7",25,25,"2,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Poulet Fermier élevé en Liberté,0217247051959,"['Nutriscore', 'Nutriscore A']",['France'],[],[],?,138,577 kj(138 kcal),"5,9","1,7",0,0,20,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Sugar Palm Fruit Kaong,0853693001010,,['France'],[],[],?,114,477 kj(114 kcal),0,0,27,24,0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Sucre d'orge - Le Comptoir de Mathilde,3700961304007,,['France'],[],[],?,?,,?,,?,,?,,,,['Le Comptoir de Mathilde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Carambar - Barbe à Papa - 1224g,3664346313469,,['France'],[],[],1633,385,1633 kj(385 kcal),"4,1","2,1",86,56,"0,6","0,04","0,016",1224 g,['Carambar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,CIOCCOLATO AL LATTE Camaldoli,8006244121503,,['France'],[],[],?,548,2293 kj(548 kcal),36,22,49,46,"6,1","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Anchoïade L'authentique - L'atelier Bernard Marot - 100g,3770004388813,,['France'],[],[],?,326,1364 kj(326 kcal),"30,5","3,7","2,9","0,3","9,1",4,"1,6",100 g,"[""L'atelier Bernard Marot""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 44.089.001 CE', 'Malville (Loire-Atlantique, France)']",,,,,,,,,,,,,,,,,
664,Brochette alpaga - Tonton Pierrot - 50g,3800500731292,,['France'],"['Sucre', 'sirop de glucose et fructose', 'eau', 'gélatine', ' jus de citron', 'eau', 'jus de citron', 'Acidifiants E330', 'huile de citron', 'conservateurs: E202', ' Acidifiants acide citrique ', 'E330', "" blancs d'oeufs"", 'arômes', ' Humectant: sorbitol ', 'E420', ' amidon de maïs', ' Colorant: Jus de carotte noire concentré', 'extrait de spirulina', 'curcumine ', 'E100', 'Charbon végétal médicinal ', 'E153', 'caroténoïdes ', 'E160a', 'bétanine ', 'E162', "" Agent d'enrobage: cire de carnauba "", 'E903', 'huile végétale ', 'noix de coco', 'colza', ' Peut contenir des traces de lait', ' Contient: oeuf']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,335,1402 kj(335 kcal),"0,07","0,1","79,86","70,55","3,65","0,11","0,044",50 g,['Tonton Pierrot'],,['Œufs'],4,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0.07 g,en faible quantité,0.1 g,en faible quantité,70.5 g,en quantité élevée,0.11 g,en faible quantité,,-6%,-7%,-96%,-91%,-4%,+22%,+72%,-9%,-9%,14,-3%,D,-3%,,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,['Plastique'],,"['E428 - Gélatine', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E420 - Sorbitol', 'E100 - Curcumine', 'E153 - Charbon végétal médicinal', 'E160 - Caroténoïdes', 'E160a - Carotènes mélangés', 'E162 - Rouge de betterave', 'E903 - Cire de carnauba']",,,,,
665,Mosto de manzana gasificado sin alcohol - Santiveri,8412170014893,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,['Santiveri'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Bloc de foie gras de canard sur poêlée de pêches au champagne,3496960001763,,['France'],[],[],?,357,1494 kj(357 kcal),"32,7","13,1","9,95","3,6","5,7","1,1","0,44",,,,,,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",32.7 g,en quantité élevée,13.1 g,en quantité élevée,3.6 g,en faible quantité,1.1 g,en quantité modérée,,-30%,-30%,-38%,-42%,+327%,+167%,-18%,-9%,-9%,18,-13%,D,-13%,,B,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,
667,Guacamole à la mexicaine - En Cuisine - 500g,3560071235260,,['France'],"['Avocat 91,9%', 'poivron rouge 2,2%', 'jus de citron vert 1,5%', 'piment Jalapeno', 'oignon', 'coriandre', 'sel', 'antioxydant : acide ascorbique', 'cumin', 'conservateur : sorbate de potassium', ""poudre d'ail"", 'poivre noir', 'épaississant : gommę xanthane']",[],812,197,812 kj(197 kcal),19,"3,5","3,3","0,6","1,7","0,77","0,308",500 g,['En Cuisine'],,,4,,"['Epicerie', 'Sauces', 'Guacamoles']",19 g,en quantité modérée,3.5 g,en quantité modérée,0.6 g,en faible quantité,0.77 g,en quantité modérée,+37%,+22%,+22%,+54%,+35%,-46%,-71%,-2%,-30%,-30%,-2,-140%,A,-140%,,C,75.9%,9.1%,4.3%,8.3%,1.9%,0.5%,56,,"['Barquette', 'Plastique']",,"['E300 - Acide ascorbique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,
