,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,traceability_code,quantity,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,eco_score,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,additives,allergens,nova_score,manufacturing,ingredients_origins,generic_name,link,origin_detail,brand_owner,palm_ingredients
294,Ginger beer,0623047030375,,['France'],[],[],,,,,,,,,?,88,368 kj(88 kcal),0,0,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Heart pop,8710998427391,,['France'],[],[],,,,,,,,,?,400,1674 kj(400 kcal),0,0,100,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Saucisse fumée,2360183002344,,['France'],[],[],,,,,,,,,?,235,983 kj(235 kcal),19,7,"0,3","0,3",16,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Pain de mie,8219222646961,,['France'],[],[],,,,,,,,,?,111,464 kj(111 kcal),2,"0,3",20,"2,9","2,8","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Confiture de clementine,3425474302097,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", 'Confitures de clémentine']",['France'],[],[],0.8 g,en faible quantité,0.2 g,en faible quantité,57 g,en quantité élevée,,,?,251,1050 kj(251 kcal),"0,8","0,2",63,57,"0,5",,,,,,,,,+6%,+6%,+152%,+218%,+10%,+6%,+7%,,,,,D,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
299,Tamarinde,4260480190264,,['France'],[],[],,,,,,,,,?,258,1079 kj(258 kcal),"0,8",0,37,27,"3,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Dergam Corvitec 60 Capsules,3700493100610,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Pantain chips,0071026001135,,['France'],[],[],,,,,,,,,?,508.4746,2127 kj(508 kcal),"28,249","2,825","62,147",0,"2,825","1,059","0,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Huile d’olive vierge extra - Le Moulin d'Olivette,3760039600028,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de France"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", ""Huiles d'olive de Haute-Provence""]",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,D,"[""Le Moulin d'Olivette""]",88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
303,Jambonneau supérieur,2701301005227,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Rillettes de poulet,3770014943095,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de poulet']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,D,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,
305,Ma pâteà tartiner,3760258881161,,['France'],[],[],,,,,,,,,?,566,2368 kj(566 kcal),42,9,35,33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2 pavés marinésaux poivres,0211109022170,,['France'],[],[],,,,,,,,,?,120,502 kj(120 kcal),"4,5","1,7","0,9","0,5",19,"1,3","0,52",,,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Boulette de proc,3447573606326,,['France'],[],[],,,,,,,,,?,163,682 kj(163 kcal),"8,8","3,3",4,1,17,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Torsades pois chiches,3264963018619,,['France'],[],[],,,,,,,,,?,355,1485 kj(355 kcal),"3,3","0,6",63,"4,4",15,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Pâté croute,3421010003091,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Confiture extra fraise,2452264309050,,['France'],[],[],,,,,,,,,?,248,1038 kj(248 kcal),"0,3","0,1",60,59,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Dés de jambon supérieur blanc,2248972010827,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon cuit supérieur']",['France'],[],[],4.4 g,en quantité modérée,1.6 g,en quantité modérée,0 g,en faible quantité,1.5 g,en quantité modérée,?,126,527 kj(126 kcal),"4,4","1,6","0,5",0,21,"1,5","0,6",3,C,"['FR 80.799.001 CE', 'Villers-Bretonneux (Somme, France)']",,,,-5%,-4%,-8%,-13%,-25%,-100%,-0%,-20%,-20%,-57%,-57%,E,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,
312,Bordeaux,3251093206849,,['France'],[],[],,,,,,,,,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Buchette crème au beurre chocolat,2030502468952,,['France'],[],[],,,,,,,,,?,383,1602 kj(383 kcal),23,14,40,35,"4,4","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Winterbier - Hertog jan,8724000651711,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,['Hertog jan'],,,,,,,,,,,,,,,,,,,
315,Pesto de champignons,3760301680024,,['France'],[],[],,,,,,,,,?,336,1406 kj(336 kcal),35,"2,65","1,57","0,36","2,03","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Tomato Juice with salt,4820003689233,,['France'],[],[],,,,,,,,,?,20,84 kj(20 kcal),0,0,"4,5","3,5","0,5","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Pain d'épices à la cannelle,3700956400516,,['France'],[],[],,,,,,,,,?,454,1900 kj(454 kcal),21,"1,5",57,51,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Foie gras de canard entier,3700468429326,,['France'],[],[],,,,,,,,,?,485,2029 kj(485 kcal),50,22,"1,6",0,"6,9","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Biscuits sablés framboise,3551101156402,,['France'],[],[],,,,,,,,,?,476,1992 kj(476 kcal),"18,6","9,1",76,"16,6","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Mûres confites au sirop,4850089000523,,['France'],[],[],,,,,,,,,?,240,1004 kj(240 kcal),0,0,63,62,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Ruwe rietsuiker - Caribbean gold,0094922206305,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,['Caribbean gold'],,,,,,,,,,,,,,,,,,,
322,Vin le grand manoir,3295890227140,,['France'],[],[],,,,,,,,,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Poulet blanc Casino,0200330028990,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Space Bear - doux,4032277009659,,['France'],[],[],,,,,,,,,?,269,1125 kj(269 kcal),"14,6","1,3","3,7","0,4","30,6","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Equateur - ESMERALDA - Noir 100%,3760264290445,,['France'],[],[],,,,,,,,,?,607,2540 kj(607 kcal),52,"32,7","12,7","1,3","14,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Pata a tartiner,9772339743965,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Jambon,2231304029123,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,"['FR 22.164.011 CE', ""Pédernec (Côtes-d'Armor, France)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Jambon cuit à l’étouffée,6505450949229,,['France'],[],[],,,,,,,,,?,122,510 kj(122 kcal),"3,6","1,3","0,6","0,6",22,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Lentilles assaisonnées,0218907016929,,['France'],[],[],,,,,,,,,?,215,900 kj(215 kcal),"12,1","0,82","10,7","0,5",17,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Pâte à tartiner miel de savoie - noisettes,3770010515241,,['France'],[],[],,,,,,,,,?,405,1695 kj(405 kcal),"13,8","0,68","66,62","63,7","2,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Salma,0257190187213,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Puzzle,8710125056821,,['France'],[],[],,,,,,,,,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Republique dominicaine lait noisettes,3770013887338,,['France'],[],[],,,,,,,,,?,552,2310 kj(552 kcal),42,18,24,21,14,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Tripes à l'ancienne,3582340020506,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Posey skyr,5690516996307,,['France'],[],[],,,,,,,,,?,54,226 kj(54 kcal),"0,1","0,06","5,7","5,3","7,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Saint Agur persillée,2891025017788,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Aliment pour rongeurs,3166780188165,,['France'],[],[],,,,,,,,,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Chocolat oranges confites,3770012195724,,['France'],[],[],,,,,,,,,?,521,2180 kj(521 kcal),38,23,38,23,"7,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Chorizo extra fort,2688498021783,,['France'],[],[],,,,,,,,,?,476,1992 kj(476 kcal),43,17,"2,3","1,8",20,"3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Test,25360233,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Huile d’olive,6191588900135,,['France'],[],[],,,,,,,,,?,120,502 kj(120 kcal),14,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Les délices de tartines au chocolat noir,3549860001033,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Sauce andalouse,3760197942510,,['France'],[],[],,,,,,,,,?,617,2582 kj(617 kcal),"65,3","5,2","4,5","3,9","2,9","1,98","0,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,"Biscuits fourrés, 500g - Cora",3257980453921,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,['Cora'],,,,,,,,,,,,,,,,,,,
345,Anna & Clara’s Magic Minis,5701181883189,,['France'],[],[],,,,,,,,,?,366,1531 kj(366 kcal),"1,5","1,4",88,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Lime & Chili pickle,0608171031368,,['France'],[],[],,,,,,,,,?,125,523 kj(125 kcal),"7,8","2,2",9,0,"2,7","8,8","3,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Belgian white chocolat - Marks and Spencer,29087334,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",['France'],"['Sugar', ' Dried Whole Milk', ' Cocoa Butter', ' Emulsifier: Soya Lecithin', ' Vanilla Flavouring', ' White Chocolate contains Milk Solids 26% minimum', ' Not suitable for Nut', 'Peanut', 'Egg and Wheat allergy sufferers and Coeliacs']",['Non végétalien'],35.1 g,en quantité élevée,21.1 g,en quantité élevée,54 g,en quantité élevée,0.25 g,en faible quantité,?,563,2356 kj(563 kcal),"35,1","21,1","54,3",54,"7,4","0,25","0,1",28,E,,,,,-0%,-0%,-3%,-2%,+2%,+7%,+11%,-3%,-3%,+5%,+5%,E,['Marks and Spencer'],91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,['E322i - Lécithine'],"['Œufs', 'Arachides']",4,,,,,,,
348,Tentacules de poulpe cuit,8435223279148,['Tentacules de poulpe'],['France'],[],[],0.7 g,en faible quantité,0.23 g,en faible quantité,1 g,en faible quantité,0.76 g,en quantité modérée,?,83,347 kj(83 kcal),"0,7","0,23",1,1,"18,7","0,76","0,304",-1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Collection biscuits for cheese,29115495,,['France'],[],[],,,,,,,,,?,405,1695 kj(405 kcal),"8,9","1,6","67,9","8,4","9,6","1,28","0,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Pain d'épice,3036628865803,,['France'],[],[],,,,,,,,,?,317,1326 kj(317 kcal),"3,6","0,3","65,8","42,6",4,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Raifort en poudre - La Vie Claire,3266191021935,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,0,0,,,,,['Bio'],,,,,,,,,,,,,,['La Vie Claire'],,,,,,,,,,,,,,,,,,,
352,La Vache qui rit Bio,8091681110180,,['France'],[],[],,,,,,,,,?,217,908 kj(217 kcal),"16,5",11,"5,5","5,5",12,"1,8","0,72",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,KAAK SEMSOM,3760120964138,,['France'],[],[],,,,,,,,,?,430,1799 kj(430 kcal),8,"1,9",76,7,12,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Petit thé vert,3662072033064,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Monster,5060166691325,,['France'],[],[],,,,,,,,,?,49,205 kj(49 kcal),0,0,12,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Forever Beautiful,8720256194071,,['France'],[],[],,,,,,,,,?,424.1,1774 kj(424 kcal),22,3,"29,2","16,6","14,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Orange Blossom Honey,20016692,,['France'],[],[],,,,,,,,,?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Raw manuka honey,9421023991457,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,C 1000mg - Kirkland,0096619800322,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,['Kirkland'],,,,,,,,,,,,,,,,,,,
360,L'authentique miel d'Auvergne - Montagne crémeux,3770011028061,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,B,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
361,Curcuma poudre,3356510142202,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Buchette 100g miel et fleurs,3369604469482,,['France'],[],[],,,,,,,,,?,278,1163 kj(278 kcal),"20,5","12,5","8,4","5,1",15,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,PAVE MULTICEREALE,0205220013124,,['France'],[],[],,,,,,,,,?,271,1134 kj(271 kcal),"4,1","0,4",46,"2,3","9,6","1,44","0,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Chalet de guimauve,3700345911739,,['France'],[],[],,,,,,,,,?,335,1402 kj(335 kcal),"0,2","0,1",80,68,"3,4","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Cafe,8000719000416,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Tartinade pomme cannelle,0064819101020,,['France'],[],[],,,,,,,,,?,50,209 kj(50 kcal),1,1,12,10,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Miel et noisettes,3760188545041,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Saint nicolas aux pepites de chocolat,3770013667442,,['France'],[],[],,,,,,,,,?,348,1456 kj(348 kcal),"10,5","6,7","52,4","15,8","9,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,3300390000121,3300390000121,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Le Comptoir D'herboristerie Valeriane Bio Racine 30G,3481899004107,,['France'],[],[],,,,,,,,,?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,La Petite chevre,4172487032778,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Citrons confits,3760245510531,,['France'],[],[],,,,,,,,,?,41,172 kj(41 kcal),0,0,"7,5","0,5","0,7","5,6","2,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Crepe au chocolat,0205671008663,,['France'],[],[],,,,,,,,,?,438,1833 kj(438 kcal),18,"8,8",62,42,7,12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Ciambelle alla panna senza glutine,8001300803737,,['France'],[],[],,,,,,,,,?,458,1916 kj(458 kcal),16,"5,7",75,21,"2,5","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Energy crunch bar - Prozis,5600499599150,,['France'],[],[],,,,,,,,,?,152.48,638 kj(152 kcal),"2,72","1,2","24,4","13,2","7,6","0,22","0,088",,,,,,,,,,,,,,,,,,,['Prozis'],,,,,,,,,,,,,,,,,,,
376,Chia Wraps 8 Pieces 200GM Made In Australia,0789673000349,,['France'],[],[],,,,,,,,,?,294,1230 kj(294 kcal),2,0,54,2,12,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,La vie en mauve - Innocent,503886243,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,['Innocent'],,,,,,,,,,,,,,,,,,,
378,Farina Di Mais Bramata - Ecor,8019010315952,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de maïs']",['France'],[],[],1 g,en faible quantité,0.2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,?,1443,6038 kj(1443 kcal),1,"0,2",74,"0,7","6,5",0,0,6,C,,,,,+309%,+308%,-41%,-25%,-3%,-7%,+8%,-100%,-100%,+634%,+634%,B,['Ecor'],70.6%,1.8%,11.3%,11.7%,4.5%,0.0%,93,,,,,,,,,,,,
379,Faux Gras,3758812380571,,['France'],[],[],,,,,,,,,?,261,1092 kj(261 kcal),22,"18,2","9,5","0,5","4,5","1,4","0,56",,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'DE-ÖKO-003', 'en:EG-Öko-Verordnung', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Mel de nectar multifloral,5604170000133,,['France'],[],[],,,,,,,,,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Pistacchi tostati salati,8006940005121,,['France'],[],[],,,,,,,,,?,564,2360 kj(564 kcal),"44,8","5,5","18,8","7,7","20,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Curcuma Ducros bio,012201130103139,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,8 mini's hazelnut,5400265037073,,['France'],[],[],,,,,,,,,?,532,2226 kj(532 kcal),30,18,59,57,"5,5","0,23","0,092",,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Lapin,0275327048343,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,POMME DE TERRE Spéciale frites : Pomm...,3760081070077,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Saucisse de Morteau,3439496301419,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau']",['France'],[],[],28.4 g,en quantité élevée,10.6 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,324,1356 kj(324 kcal),"28,4","10,6","0,5","0,5","16,7","1,8","0,72",21,E,,,,,+2%,+2%,+3%,0%,-9%,+30%,-1%,-19%,-19%,-4%,-4%,D,,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,['Film en plastique'],,,,,,,,,,,
387,Deglet nour,2600120019944,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Saucisse de Morteau crue,2988781014462,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau']",['France'],[],[],20.5 g,en quantité élevée,9 g,en quantité élevée,0.3 g,en faible quantité,2.56 g,en quantité élevée,?,265,1109 kj(265 kcal),"20,5",9,"0,3","0,3","20,4","2,56","1,024",21,E,,,,,-16%,-17%,-25%,-15%,-46%,-22%,+21%,+15%,+15%,-4%,-4%,E,,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,,,,,,,,,,,,
389,Lingots au bloc de foie gras à la pomme et au coing - Picard,3270160892013,,['France'],[],[],,,,,,,,,?,307,1284 kj(307 kcal),24,13,19,12,"3,5","0,49","0,196",,,,,,,,,,,,,,,,,,,['Picard'],,,,,,,,,['Picard'],,,,,,,,,,
390,Fines tartines à la farine de seigle,3089334004240,,['France'],[],[],,,,,,,,,?,224,937 kj(224 kcal),"1,68","0,3",41,"3,8","7,18","1,28","0,512",,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Confit de canard du sud-ouest - Labeyrie,3033610028413,"['Viandes', 'Volailles', 'Canards', 'Confits de canard']",['France'],[],[],18 g,en quantité modérée,6.3 g,en quantité élevée,4 g,en faible quantité,2.3 g,en quantité élevée,?,262,1096 kj(262 kcal),18,"6,3","6,3",4,25,"2,3","0,92",19,E,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,,-8%,-7%,-15%,-12%,+518%,+1409%,+13%,+53%,+53%,+24%,+24%,E,['Labeyrie'],79.0%,12.3%,1.9%,2.6%,1.0%,3.3%,27,,,,,,,,,,,,
392,Poulet fermier Bio,0215530059958,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Camembert saveurs automne,3760134182580,,['France'],[],[],,,,,,,,,?,271,1134 kj(271 kcal),21,"14,7","0,5","0,5",20,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Emincés de poulet saveur kebab,3286959505774,,['France'],[],[],,,,,,,,,?,183,766 kj(183 kcal),"3,3","1,1","11,1","0,45","19,4","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Hot sauce la boujulaise,3770012351373,,['France'],[],[],,,,,,,,,?,80.5,337 kj(80 kcal),"0,2",0,"16,5","13,7",12,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Cheese spread,6224000020576,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
397,Sablés de noel,3178530420692,,['France'],[],[],,,,,,,,,?,475,1987 kj(475 kcal),18,11,72,38,"5,2","0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
