,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,traceability_code,eco_score,packaging,ingredients_origins,manufacturing,link,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,generic_name,palm_ingredients,origin_detail,producer_info,brand_owner
784,Crème glacée spéculoos de Belgique - Aquibio - 500ml,3516459013609,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE']",['France'],"[""Lait écrémé' réhydraté"", 'sucre de canne non blanchi""', 'beurre ', 'lait', 'sirop de glucose de maïs', 'stabilisants ', 'farine de caroube', 'gomme de guar*', 'inclusions de complète ', 'blé', 'farine blanche ', 'blé', 'sucre de canne graisse végétale non hydrogénée""', 'miel""', 'farine de soja"" cannelle', 'poudre à lever ', 'bicarbonate de sodium', ' spéculoos 10% ', 'gluten ', "" : farine l'agriculture blologique""]",['Non végétalien'],?,141,"6,08","19,6","2,8",500 ml,590 kj(141 kcal),"4,29","16,05","0,05","0,02",['Aquibio'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Surgelés', 'Biscuits et gâteaux', 'Desserts glacés', 'Biscuits', 'Glaces et sorbets', 'Glaces', 'Spéculoos']",,-70%,-68%,-72%,-50%,,C,['Pot compostable et biodégradable'],['Union européenne'],['France'],http://www.aquibio.com,['magasin spécialisé bio'],4,6.08 g,en quantité modérée,4.29 g,en quantité modérée,16.1 g,en quantité élevée,0.05 g,en faible quantité,-70%,-52%,-52%,-93%,-93%,7,-69%,C,-69%,83.0%,9.8%,3.2%,2.0%,1.9%,0.0%,53,"['E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E500ii - Carbonate acide de sodium']","['Gluten', 'Lait']",,,,,
785,Roasted Seaweed (green),6927028368537,,['France'],[],[],?,34,0,0,"35,7",,142 kj(34 kcal),0,0,"2,23","0,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,Tartinade avec des graines de courge - Potimarron - Carotte - urban seeds - 100g,3770008206618,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Fabriqué en France', 'AB Agriculture Biologique']",['France'],"['potimarron ', '34,1 % ', ' ', 'carotte ', '27,3% ', ""huile d'olive "", '12,6% ', 'huile de tournesol', 'oignon*', 'graine de courge ', '4,9%', 'eau', 'fécule de pomme de terre', 'sel', ""poivre noir produits issus de l'agriculture biologique Fabriqué dans un atelier manipulant gluten"", 'lait', 'oeuf', 'fruits à coques', 'sulfites', 'moutarde', 'céleri', 'graines de sésome']","['Végétalien', 'Végétarien']",?,270.9,"25,7","9,5","1,3",100g,1133 kj(270 kcal),"3,1","3,9","0,396","0,158",['urban seeds'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales']",,+0%,+212%,-78%,-44%,,,['pot en verre'],['Non indiquee'],['France'],,['Auchan'],3,25.7 g,en quantité élevée,3.1 g,en quantité modérée,3.9 g,en faible quantité,0.396 g,en quantité modérée,+1%,+137%,-90%,+104%,+104%,1,-89%,B,-89%,,,,,,,,,"['Céleri', 'Œufs', 'Lait', 'Moutarde', 'Fruits à coque', 'Anhydride sulfureux et sulfites']",,,,,
787,Flanby - Nestlé,3023290035382,,['France'],[],[],?,103,"0,8","20,8","3,1",,431 kj(103 kcal),"0,5",17,"0,13","0,052",['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,TIPIAK cereales au soja et lentilles,3600900020695,,['France'],[],[],?,364,"3,7",64,15,,1523 kj(364 kcal),"0,5","1,5","0,1","0,04",['Tipiak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,Rillettes de saumon à l'aneth -  - 125g,3435020038684,,['France'],"['Saumon Atlantique 58%', 'crème ', 'crème', 'stabilisant : carraghénanes', 'saumon fumé 6% ', 'saumon', 'sel', 'jus de citron à base de concentré', 'beurre demi-sel', 'échalote', 'farine de blé', 'fibres de bambou', 'sel', 'zestes de citron', 'aneth 0,1%', 'poivre blanc']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",917,221,16,"3,6",15,125 g,917 kj(221 kcal),"7,6","0,8","0,93","0,372",,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de saumon']",-1%,+0%,-7%,+62%,+11%,"['EMB 85047', 'Challans (Vendée, France)', 'FR 85.047.012 CE', 'Challans (Vendée, France)']",E,['Barquette'],,,,['Grand Frais'],4,16 g,en quantité modérée,7.6 g,en quantité élevée,0.8 g,en faible quantité,0.93 g,en quantité modérée,-1%,+57%,-12%,-18%,-18%,13,+48%,D,+48%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Poisson', 'Gluten', 'Lait']",Rillettes de saumon à l'aneth,,,,
790,Mermelada de mango sin gluten con fructosa - Santiveri,8412170026285,['en:gluten-free'],"['France', 'Espagne']",[],[],?,168,0,40,"0,6",,703 kj(168 kcal),0,"39,7","0,07","0,028",['Santiveri'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,-24%,-100%,-25%,+16%,,D,,,,,,,0 g,en faible quantité,0 g,en faible quantité,39.7 g,en quantité élevée,0.07 g,en faible quantité,-24%,-100%,-22%,+202%,+202%,9,-3%,C,-3%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
791,Frinsa Mejillones En Escabeche Rías Gallegas - 111g,8429583005677,,['France'],[],[],?,147,"6,2","1,9","20,8",111 g,615 kj(147 kcal),"1,6","0,2","1,5","0,6",,"['Conserves', 'Produits de la mer', 'Mollusques', 'Moules', 'Moules en conserve', ""Moules à l'escabèche""]",,-26%,-54%,-39%,+32%,,D,,,,,,,6.2 g,en quantité modérée,1.6 g,en quantité modérée,0.2 g,en faible quantité,1.5 g,en quantité modérée,-26%,-23%,+39%,+11%,+11%,3,-46%,C,-46%,45.9%,19.9%,28.9%,3.5%,0.9%,0.9%,45,,,,,,,
792,Truite fumee de Bretagne,3760023266520,,['France'],[],[],?,177,"9,4",0,23,,741 kj(177 kcal),"2,1",0,"3,3","1,32",,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",,+8%,+20%,-100%,+2%,"['FR 35.360.210 CE', 'Vitré (Ille-et-Vilaine, France)']",E,,,,,,,9.4 g,en quantité modérée,2.1 g,en quantité modérée,0 g,en faible quantité,3.3 g,en quantité élevée,+8%,+30%,-100%,+20%,+20%,14,+19%,D,+19%,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,,,,
793,Escalopes panées à l'Autrichienne,40899039,,['France'],[],[],?,151,"4,7","9,4","16,8",,632 kj(151 kcal),"1,9",1,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,Mojito sans alcool - Lorina,3551720042834,,['France'],[],[],?,27,"0,5","6,7","0,5",,113 kj(27 kcal),0,"6,6","0,01","0,004",['Lorina'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,Nuggets de poulet authentique,3378740001036,,['France'],[],[],?,200,"7,1",15,18,,837 kj(200 kcal),"0,9","1,3","0,9","0,36",,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",,-11%,-37%,-11%,+41%,"['FR 56.222.002 CE', 'Saint-Jean-Brévelay (Morbihan, France)']",D,,,,,,,7.1 g,en quantité modérée,0.9 g,en faible quantité,1.3 g,en faible quantité,0.9 g,en quantité modérée,-11%,-55%,-1%,-23%,-23%,0,-100%,B,-100%,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,,,,,,
796,Sorbet Poire Williams de la Vallée du Rhône - Thiriet - 350g (500mL),3292590516246,"['Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",['France'],"['poire Williams de la Vallée du Rhône 60%', 'eau', 'sucre', 'sirop de glucose', 'épaississants: farine de graines de caroube-gomme guar', 'gélifiant: pectine']",[],?,104,~ 0,24,~ 0,350g (500mL),435 kj(104 kcal),~ 0,20,"0,01","0,004",['Thiriet'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la poire']",,-17%,-100%,-20%,-100%,,C,"['Pot plastique', 'Foureau carton', 'Surgelé']",['Vallée du Rhône'],,,['Thiriet'],4,0 g,en faible quantité,0 g,en faible quantité,20 g,en quantité élevée,0.01 g,en faible quantité,-17%,-100%,-22%,-67%,-67%,2,-59%,B,-59%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,"['E410 - Gomme de caroube', 'E440 - Pectines']",,Sorbet de poire Williams de la vallée du Rhône,,,,
797,Surtido de cigarrillos de tolosa - Casa Eceiza,8429360000475,,['France'],[],[],?,517,26,62,"6,1",,2163 kj(517 kcal),18,12,"0,2","0,08",['Casa Eceiza'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Mon emmental râpé - Naturéo,3701091705139,"['Bio', 'Bio européen', 'FR-BIO-01', 'Agriculture France']",['France'],[],[],?,363,29,"0,5",25,,1519 kj(363 kcal),20,"0,5","0,8","0,32",['Naturéo'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",,-3%,+0%,-45%,-8%,,B,,['France'],,,,,29 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,-3%,+2%,+24%,+6%,+6%,12,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
799,mangue osteen bio,8435177039843,['Bio'],['France'],[],[],?,?,?,?,?,,,,,,,['mangue osteen bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",,,,,,,,['Vrac'],['Espagne'],,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Goudse Kaas Belegen 30  Plakken 190 Gram - Albert Heijn,8710400419105,['en:gluten-free'],['France'],"['melk*', 'zout', 'zuursel', 'stremsel', '""Weidemelk keurmerk: koeien die minimaal 120 dagen per jaar', '6 uur per dag in de wei lopen', 'glutenvrij Allergie-informatie: bevat melkeiwit', 'Ten minste houdbaar tot en met: zie achterzijde', 'mits gekoeld bewaard ', 'max', '7°C', 'Na openen beperkt houdbaar', 'Verpakt onder beschermende atmosfeer,']",['Non végétalien'],?,300,19,0,32,,1255 kj(300 kcal),13,0,2,"0,8",['Albert Heijn'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lait'],,,,,
801,Cornichons tranchés - Kühne,0039045428562,,['France'],[],[],?,20,0,5,"0,2",,84 kj(20 kcal),0,4,"1,7","0,68",['Kühne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,-26%,-100%,+45%,-80%,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,4 g,en faible quantité,1.7 g,en quantité élevée,-21%,-100%,+53%,-1%,-1%,2,-8%,B,-8%,,,,,,,,,,,,,,
802,Barquette chocolat noisette - Sondey,4056489033288,"['Agriculture durable', 'en:UTZ Certified']",['France'],[],[],?,?,?,?,?,,,,,,,['Sondey'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,Prosecco Villaveroni,3180284974086,,['France'],[],[],?,?,?,?,?,,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,['Bouteille en verre'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,Lasagnes saumon,3329630921705,"['Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",['France'],[],['Sans huile de palme'],?,126,"5,8",11,"6,8",,527 kj(126 kcal),"3,8","1,4","0,81","0,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Fromage à pâte fraîche en saumure,5701638138213,,['France'],[],[],?,290,25,"0,5",14,,1213 kj(290 kcal),17,"0,5","2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,Chick'n croc -  - 70g,3700141402028,"['en:gluten-free', 'Sans arômes artificiels', 'Halal', 'Sans colorants']",['France'],[],[],?,413,31,2,30,70 g,1728 kj(413 kcal),13,"0,3","5,4","2,16",,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Fermier']",,+122%,+240%,-78%,+92%,,D,,,,,,,31 g,en quantité élevée,13 g,en quantité élevée,0.3 g,en faible quantité,5.4 g,en quantité élevée,+122%,+488%,-72%,+400%,+400%,25,+602%,E,+602%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
807,Puree d'amandes,3760060462527,,['France'],[],[],?,?,?,?,?,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,Pavé de truite bio - 240g,3663515876804,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,?,?,?,240 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,Manicho,7862106451697,,['France'],[],[],?,90,10,14,3,,377 kj(90 kcal),5,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,Cidre de Bretagne,3760031901116,,['France'],[],[],?,?,?,?,?,,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidre de Bretagne']",,,,,,,B,,['France'],,,,,,,,,,,,,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,
811,Pinot,3552840391000,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,Fleischragout Ratsherren-Art - MEINE MAHLZEIT - 800g,20171353,"['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2018 de la Société Allemande d'Agriculture""]","['Autriche', 'République tchèque', 'France', 'Allemagne']","['20% Kartoffeln ', 'enthalten Sulfit', '18,5% Schweinefleisch gewürzt ', 'Schweinefleisch', 'Speisesalz', 'Wasser', '12 % Champignons', 'Karotten', 'Zwiebeln', 'Sahne', 'grüne Bohnen', 'modifizierte Stärke', 'Weizenmehl', 'Wein', 'Speisesalz', 'Aromen', 'pflanzliches Öl ', 'Rapsöl', 'Gewürze ', 'enthalten Senf', 'Sellerie', 'Zucker', 'Hühnereiweiß', 'Magermilchpulver', 'Karamellzuckersirup', 'Verdickungsmittel: Guarkernmehl', 'Rindfleischextrakt', ' Das Produkt kann Spuren von Soja enthalten! Eier aus Freilandhaltung']","['Non végétalien', 'Non végétarien']",?,80,"3,1","7,6","4,8",800 g,335 kj(80 kcal),"1,7","1,3","1,03","0,412",['MEINE MAHLZEIT'],"['Conserves', 'Plats préparés', 'Plats préparés en conserve']",,-25%,-34%,-2%,-22%,['DE EV 49 EG'],,"['Dose', 'Blech']",,['Deutschland'],,['NORMA'],4,3.1 g,en quantité modérée,1.7 g,en quantité modérée,1.3 g,en faible quantité,1.03 g,en quantité modérée,-25%,+14%,-18%,+14%,+14%,2,+77%,B,+77%,,,,,,,,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar']","['Céleri', 'Œufs', 'Gluten', 'Lait', 'Moutarde']",,,,,
813,Pâté tonno - 100g,8003294087001,"['en:gluten-free', 'Sans conservateurs']",['France'],[],[],?,221,17,"5,1",12,100 g,925 kj(221 kcal),"1,9",0,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,Spiruline bio,3664359000073,['Bio'],['France'],[],[],?,?,?,?,?,,,,,,,,"['Compléments alimentaires', 'Spiruline']",,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,
815,Mélange de saison - 150g,3700758501220,"['Sans additifs', 'Sans conservateurs']",['France'],[],[],?,?,?,?,?,150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,Miel de romero -,8413812012208,['Point Vert'],"['France', 'Espagne']",[],[],?,?,?,?,?,,,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de romarin']",,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,
817,Lasagne bio - 400g,3329630919801,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-16', 'Point Vert', 'Fabriqué en France']",['France'],[],[],?,143,"6,6",14,"6,5",400 g,598 kj(143 kcal),"2,2","2,1","0,64","0,256",,,,,,,,"['FR 14.431.022 CE', 'Mézidon-Canon (Calvados, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Mentos pure fresh - 20g,80845102,,['France'],[],[],?,188,0,76,0,20 g,787 kj(188 kcal),0,0,0,0,['Mentos'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,Dukan Barretta Cioc / Nocciola,3760151011658,,"['France', 'Espagne']",[],[],?,343,10,48,18,,1435 kj(343 kcal),"1,3","0,8","0,48","0,192",['Dukan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,-14%,+15%,-28%,+93%,,C,,,,,,,10 g,en quantité modérée,1.3 g,en faible quantité,0.8 g,en faible quantité,0.48 g,en quantité modérée,-14%,-41%,-95%,+34%,+34%,2,-63%,B,-63%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,
820,Feuilleté fromage,3248481008420,['Point Vert'],['France'],[],[],?,276,17,25,"5,1",,1155 kj(276 kcal),9,2,"0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,Ti cup saveur curry,6091091013721,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,Saucisson fouet sans gluten - Noel,8410783121489,['en:gluten-free'],['France'],[],[],?,?,?,?,?,,,,,,,['Noel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,Tomate pelée entière,5425036890350,,['France'],[],[],?,23,"0,5","3,6","1,2",,96 kj(23 kcal),"0,1","3,6","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,Zuivelspread Naturel Light Kuipje 200 Gram - Albert Heijn,8718265507906,,['France'],[],[],?,175,15,"3,5","7,5",,732 kj(175 kcal),"9,5","3,5","0,8","0,32",['Albert Heijn'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,Tomate de Marmande nature,3330720537416,"['Fabriqué en France', 'Sans sucre ajouté']",['France'],[],[],?,42,"0,7","7,2",1,,176 kj(42 kcal),"0,1",6,"1,18","0,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,Protein Powder 350 g Crème à La Vanille,5425002404857,['Fabriqué en Belgique'],['France'],[],[],?,391,"4,9","11,7","74,3",,1636 kj(391 kcal),"2,9","9,1","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,Lait fermente,3760059786603,,['France'],[],[],?,43,"1,1","4,9","3,3",,180 kj(43 kcal),"0,7","4,5","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,"Gerolsteiner Naturell Natürliches Mineralwasser 0,5L",42143963,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Grains expresso intense et sauvage - Casino Délices,3222477069114,,['France'],[],[],?,?,?,?,?,,,,,,,['Casino Délices'],,,,,,,,,,,,,['Casino'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,Les petites sardines - Connétable,3263670112313,,['France'],[],[],?,223,15,0,22,,933 kj(223 kcal),"3,3",0,1,"0,4",['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",,-10%,-15%,-100%,+3%,,D,,,,,,,15 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,-9%,-14%,-100%,+10%,+10%,4,-29%,C,-29%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,,
831,Pain Complet - Leclerc,3289668530600,,['France'],[],[],?,?,?,?,?,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,"Risotto aux champignons, parmesan - Par Ici Cuisine",3701138137251,"['Végétarien', 'Nutriscore', 'Nutriscore A']",['France'],[],['Végétarien'],?,147,6,17,"5,6",,615 kj(147 kcal),3,"1,8","0,3","0,12","['Par Ici Cuisine', ""L'Esprit Frais""]","['Plats préparés', 'Plats à base de riz', 'Risottos', 'Risottos aux légumes', 'Risottos aux champignons']",,-40%,+92%,-61%,-4%,,B,,,,,,,6 g,en quantité modérée,3 g,en quantité modérée,1.8 g,en faible quantité,0.3 g,en quantité modérée,-38%,+126%,+34%,-66%,-66%,-1,-123%,A,-123%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,,,,,,,
833,Yaourt mirabelle - 4x 150g,26056630,,['France'],[],[],?,105,"2,8",16,"3,7",4 x 150 g,439 kj(105 kcal),2,14,"0,11","0,044",,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourt au lait de Savoie']",,+14%,-14%,+45%,-2%,,,['Pot'],,,,,,2.8 g,en faible quantité,2 g,en quantité modérée,14 g,en quantité élevée,0.11 g,en faible quantité,+14%,-2%,+39%,-4%,-4%,3,-2%,C,-2%,,,,,,,,,,,,,,
834,Pizza - Turini,3564706588240,"['Nutriscore', 'Nutriscore C']",['France'],[],[],?,?,?,?,?,,,,,,,"['Turini', 'Marque Repère']","['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,6 crêpes champignons - Auchan,3596710468720,['Fabriqué en France'],['France'],[],[],442,104,"1,2",18,"4,8",,442 kj(104 kcal),"0,1","2,9","0,76","0,304",['Auchan'],"['Surgelés', 'Plats préparés', 'Plats préparés surgelés']",-27%,-30%,-83%,+37%,-29%,"['EMB 17300W', 'Rochelle (Charente-Maritime, France)']",,,,['France'],,['Auchan'],,1.2 g,en faible quantité,0.1 g,en faible quantité,2.9 g,en faible quantité,0.76 g,en quantité modérée,-30%,-96%,+39%,-0%,-0%,1,-59%,B,-59%,,,,,,,,,,,,,,
836,Boisson à l'amande bio - Source Végétale - 1L,3760159103508,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Sans sucre ajouté', 'Sans additifs', 'Sans lactose']",['France'],"['eau', ""purée d'amandes* pelées et grillées "", '5%', ' *biologique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,33,"2,9","0,3","1,1",1 L,138 kj(33 kcal),"0,4","0,3",0,0,['Source Végétale'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande""]",,-13%,+36%,-92%,+28%,,D,['Brique'],,,,,1,2.9 g,en quantité modérée,0.4 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,-13%,+61%,-89%,-100%,-100%,0,-100%,B,-100%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,,,,,,,
837,Chateau La Galiniere,3500610117435,,['France'],[],[],?,?,?,?,?,,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,,C,,['France'],,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,
838,Ciambella Marbré / Citron,8015854740035,,['France'],[],[],?,424,21,"50,9","6,9",,1774 kj(424 kcal),3,"27,2","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,Jambon traditionnel fumé au bois de hêtre - Saint Alby,2205881002282,,['France'],[],[],?,125,"4,5",1,20,,523 kj(125 kcal),"1,5","0,5","1,9","0,76",['Saint Alby'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
