,name,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,allergens,link,traceability_code,palm_ingredients,bar_code,brand_owner
98,Pauillac 2012 -,C,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux', 'Vins du Médoc', 'Pauillac']",['Déconseillé aux femmes enceintes'],['France'],,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,"['EMB 33314', 'Pauillac (Gironde, France)']",,,
99,Chicken Dips (*7) - Quick - 126g,D,,126 g,"['Sachet', 'Papier']",['Quick'],"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Volailles cuites', 'Préparations au poulet', 'Poulets cuisinés', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet', 'Fast Food']",['Point Vert'],,,['Quick'],['France'],"['Préparation panée de poulet en forme de bâtonnets', ' Allergènes présents : Gluten', 'Moutarde']",[],4,932,+1%,?,,10,-11%,"1,03",-48%,17,+1%,"0,159",-88%,"14,7",+15%,"0,873",-25%,"0,349",-25%,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,10 g,en quantité modérée,1.03 g,en faible quantité,0.159 g,en faible quantité,0.873 g,en quantité modérée,932 kj(223 kcal),-0%,0,-100%,B,-100%,,"['Gluten', 'Moutarde']",https://www.quick.fr/fr/finger-food/chicken-dips-x7,,,,
100,Beef BBQ Burger 1 viande - McDonald's - 296g,,,296 g,"['Papier', 'Carton']","[""McDonald's""]","['Sandwichs', 'Hamburgers']",,,['France'],"[""McDonald's""]",['France'],"['pain spécial', 'steak haché', 'fromage', 'oignons', '2 tranches de tomate', 'salade', 'cornichon', 'sauce', '\rAllergènes présents : Gluten ', 'blé', 'graine de sésame', 'lait', 'lait et oeuf']","['Non végétalien', 'Non végétarien']",4,797,-24%,?,,8,-36%,"4,1",-13%,18,-12%,3,-5%,11,-16%,"1,7",+45%,"0,68",+45%,,,,,,,,8 g,en quantité modérée,4.1 g,en quantité modérée,3 g,en faible quantité,1.7 g,en quantité élevée,797 kj(190 kcal),-24%,12,+20%,D,+20%,,"['Œufs', 'Gluten', 'Lait', 'Graines de sésame']",,,,,
101,Rillettes de Thon Blanc - Connétable - 100g,D,,100 g,"['Pot', 'Bocal', 'Verre', 'Couvercle aluminium']",['Connétable'],"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Thons', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Thons blancs', 'Rillettes de thon', 'en:preparations-made-from-fish-meat', 'Rillettes de thon blanc']","['Point Vert', 'Triman']",,,['Boutique Chancerelle'],['France'],"['Thon blanc 50 %', 'eau', 'huile de colza', 'oignons 9%', 'fibres de canne à sucre', 'protéines de Lait', 'sel de Guérande', 'poivre blanc', 'épaississants: gommes guar et xanthane', 'arôme naturel']","['Non végétalien', 'Non végétarien']",4,?,,232,+8%,18,+35%,"1,9",-27%,1,+148%,0,-100%,15,-36%,1,+9%,"0,4",+9%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,18 g,en quantité modérée,1.9 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,971 kj(232 kcal),+8%,2,-54%,B,-54%,"['E412 - Gomme de guar', 'E415 - Gomme xanthane']","['Poisson', 'Lait', 'Iait']",,"['FR 29.046.500 CE', 'Douarnenez (Finistère, France)']",,,
102,Tartelette fraise chantilly,D,,,,,"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la fraise']",,,,,['France'],[],[],,?,,202,-39%,"6,3",-44%,"4,2",-33%,34,-40%,21,-22%,"2,1",-46%,"0,1",-70%,"0,04",-70%,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,6.3 g,en quantité modérée,4.2 g,en quantité modérée,21 g,en quantité élevée,0.1 g,en faible quantité,845 kj(202 kcal),-41%,9,-42%,C,-42%,,,,,,,
103,Filets de Sardines à l'Huile d'Olive Vierge Extra - Connétable - 100g - 70g égoutté,D,,100 g - 70 g égoutté,"['Conserve', 'Aluminium', 'PCB']",['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', 'Filets de poissons', ""Sardines à l'huile"", 'Filets de sardines', ""Sardines à l'huile d'olive""]","['Point Vert', 'Triman']",,,['Boutique Chancerelle'],['France'],"['Filets de sardines', ""huile d'olive vierge extra"", 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,,205,+7%,13,+6%,"3,3",+1%,0,-100%,0,-100%,22,+9%,1,+7%,"0,4",+7%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,13 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,858 kj(205 kcal),+7%,4,+15%,C,+15%,,['Poisson'],,"['FR 29.046.532 CE', 'Douarnenez (Finistère, France)', 'FR 20.046.532 CE', 'Cagnano (Corse, France)']",,,
104,Gâteau- Forêt Noir 6/8 pers,,,,,,,,,,,['France'],[],[],,?,,320,,15,,11,,42,,30,,"3,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,1339 kj(320 kcal),,,,,,,,,,,,
105,Tarte aux Fraises - Leclerc,D,,,"['Frais', 'Plastique']",['Leclerc'],"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Biscuit sec nappé aux fruits', 'Tartes aux fraises']",,,,,['France'],"['Tarte sablée: farine de BLÉ', 'GLUTEN', 'sucre', '18%', 'BEURRE', 'LAIT', ' pâtissier ', '17%', ' blanc d’œuf', 'ŒUFS', 'sirop de sucre inverti', 'poudre à lever ', ' diphosphates ', 'BLÉ', 'carbonates de  Sodium', ""carbonates d'ammonium"", 'sel - crème pâtissière', 'amidon transformé de pomme de terre ', 'E1414', 'CRÈME en poudre', 'dextose', 'épaississants: lactate de calcium', 'E327', 'diphosphate disodiquee', 'E450', 'phosphate disodique', 'E339', 'carraghénanes cellulose', 'E460', ',alginates ', 'E401', 'E404', 'sel', 'arômes', ' bêtacarotène ', 'E160a', 'nboflavine ', 'E101i', 'eau', 'Nappage: eau', 'sucre', 'sirop de glucose', 'gélifiant ', 'pectines', 'colorant ', 'anthocyanine ', 'E163', 'beta carotène ', 'E160a ', 'i', 'acidifiant ', 'acide citrique ', 'E330', 'conservateur ', 'sorbate de potassium ', 'E202', 'arôme']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,183,-4%,"4,8",-31%,"2,9",-22%,33,+11%,21,+31%,"2,3",-20%,"0,1",-57%,"0,04",-57%,86.3%,6.4%,2.9%,2.8%,1.6%,0.0%,45,4.8 g,en quantité modérée,2.9 g,en quantité modérée,21 g,en quantité élevée,0.1 g,en faible quantité,766 kj(183 kcal),-4%,7,-12%,C,-12%,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E14XX - Amidons modifiés', 'E1414 - Phosphate de diamidon acétylé', 'E327 - Lactate de calcium', 'E339ii - Phosphate disodique', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E460 - Cellulose', 'E400 - Acide alginique', 'E401 - Alginate de sodium', 'E404 - Alginate de calcium', 'E160a - Carotènes mélangés', 'E101i - Riboflavine', 'E440 - Pectines', 'E163 - Anthocyanes', 'E160ai - Bêta-carotène', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait']",,,,,
106,"L'IMPULSIVE - Pâtes penne aux filets de poulet en salaison, sauce curry et yuzu et pousses d’épinard - Class'croute - 370g",C,Pâtes penne au poulet,370g,['Frais'],"[""Class'croute""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Frais', 'Produits à la viande', 'Plats préparés à la viande', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Plats préparés frais', 'Plats à la volaille', 'Plats au poulet', 'Pâtes de blé dur avec de la viande']",,,,"[""Class'croute""]",['France'],"['Pâtes penne 52%', 'semoule de blé dur', 'eau', 'sel', 'sauce curry et jus de yuzu 26% ', 'crème', 'eau', 'oignons', 'huile de tournesol', 'carottes', 'protéines de lait', 'lait entier en poudre', 'amidon modifié de manioc', 'jus de yuzu', 'poivrons', 'gingembre', 'échalotes', 'arôme naturel', 'curry vert', 'jus de citron', 'ail', 'sel', 'poivre', 'épaississant : gomme de xanthane', 'aiguillette poulet 19% ', 'aiguillette de poulet ', 'origine : hors UE', 'sirop de glucose', 'dextrose', 'amidon de tapioca', 'sel', ""jeunes pousses d'épinard 3%""]","['Non végétalien', 'Non végétarien']",4,?,,?,,?,,,,?,,,,?,,,,,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",['Lait'],https://www.classcroute.com/product/17271,,,,
107,King Fish - Burger King,,,,,['Burger King'],,,,,,['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Capelletis au jambon sauce parmesan - AP-HP - 280g,,,280 g,,['AP-HP'],,,,,['AP-HP'],['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.182.005 CE', 'Pouzauges (Vendée, France)']",,,
109,Omelette Nature Taux de Sel Réduit - AP-HP - 90g,,,90 g,['Plastique'],['AP-HP'],"['Plats préparés', 'Omelettes', 'Omelettes nature', 'Omelettes nature à taux de sel réduit']","['Peu ou pas de sel', 'Peu de sel', 'en:gluten-free', 'Allégé en sel', 'Taux de sel réduit']",,,['AP-HP'],['France'],"['Omelette ', 'contient œufs', 'lait']",['Sans huile de palme'],3,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Lait']",,"['FR 85.182.005 CE', 'Pouzauges (Vendée, France)']",,,
110,Fromage fondu - Vache Picon - 20g,D,,20 g,,"['Vache Picon', 'Fromageries Bel', 'Bel']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages fondus']",,,,['AP-HP'],['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,79.5%,12.0%,2.9%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,"['FR 39.198.001 CE', 'Dole (Jura, France)']",,,
111,Force +,,,,,['Force +'],,,,,['AP-HP'],['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Omelette Riz Cantonais Pauvre en Sel - Sans marque - 290g,C,Omelette Riz Cantonais Pauvre en Sel,290 g,"['Frais', 'Plastique']",['Sans marque'],"['Plats préparés', 'Réfrigérés', 'Céréales préparées', 'Plats préparés réfrigérés', 'Riz préparés', 'Riz cantonais']","['Peu ou pas de sel', 'en:gluten-free', 'Afdiag']",,,['AP-HP'],['France'],[],[],,?,,?,,?,,,,?,,,,?,,,,,,69.5%,13.6%,6.2%,6.3%,2.6%,1.8%,69,,,,,,,,,,,,,,,,,,"['FR 85.182.005 CE', 'Pouzauges (Vendée, France)']",,,
113,Sablés Bretons au Thé de Noël - Biscuits & Co - 150g,C,,150 g,"['Sachet', 'Plastique', 'Pochon']",['Biscuits & Co'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Biscuits', 'Produits artisanaux', 'Biscuits sablés']","['Fabriqué en France', 'Fabriqué à Vignoc']",,"['35630', 'Vignoc', 'Ille et Vilaine', 'Bretagne', 'France']",,['France'],"['Farine de blé biologique', 'sucre', 'œufs', 'beurre', 'levure chimique', 'thé Noël PALAIS DES THÉS n°25', ""zestes d'orange"", 'cannelle', 'sel']",['Non végétalien'],3,?,,?,,?,,,,?,,,,?,,,,,,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",http://www.biscuits-co.fr/,,,,
114,Tortis et concombre au saumon - Bonduelle,,,,,['Bonduelle'],,"['Sans arômes artificiels', 'Sans conservateurs']",,,,['France'],"['Spécialités céréalières cuites ', '45 11,5 g 1g 14 g 0,2g 1g 5,5g 0,9 g SALADE DE TORSADES', 'CONCOMBRES ET SAUMON CUT ', 'semoule de LECLERC blé dur', ""poudre de blanc d'euf"", 'concombres ', '18%', ' mon cuit ', '10%', ' ', 'saumon Salmo salar ', '9,5%', 'sel', 'huile de culza', 'eau', 'fromage blanc', ""vinaigre d'alcool"", 'sel', 'moutarde de Dijon ', 'eau inas de moutarde', ""vinaigre d'alcool"", 'sel', 'ciboulette', ""jaune d'oeuf"", 'aneth ', '0,1%', ' épaississants: gomme xanthane-gomme guar', 'arómes naturels', ' Fabriqué dans un atelier utilisant également : crustaci céleri', 'fruits à coque', 'soja', ' Sans Conservateur et Sans Arôme Artificiel']","['Non végétalien', 'Non végétarien']",4,?,,184,,"11,5",,1,,14,,"0,2",,"5,5",,"0,9",,"0,36",,,,,,,,,,,,,,,,,770 kj(184 kcal),,,,,,['E415 - Gomme xanthane'],"['Œufs', 'Lait']",,,,,
115,Mini-Cookie - McCafé - 6g,C,,6 g,"['Sachet fraicheur', 'Sachet', 'Plastique']","['McCafé', 'Monbana']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Cookies', 'Cookies au chocolat', 'Cookies au chocolat et à la nougatine']",['Point Vert'],,"['Monbana', 'Rue Alain Colas', '53500 Ernée', 'Mayenne', 'Pays de la Loire', 'France']","[""Mc Donald's""]",['France'],"['Farine de blé', 'sucre', 'matière grasse végétale ', 'colza', 'pépites de chocolat 10% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithines', ' nougatine 4% ', 'sucre', 'amandes', 'noisettes', 'oeufs', 'poudres à lever : diphosphates - carbonate acide de sodium', 'lactose et protéines de lait', ""émulsifiant : mono- et diglycérides d'acides gras"", 'sel', 'arôme']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,?,,?,,,,?,,,,?,,,,,,77.9%,13.1%,3.5%,3.4%,2.1%,0.0%,56,,,,,,,,,,,,,,,"['E322 - Lécithines', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",https://www.mcdonalds.fr/produits/offre-mccafe,,,,
116,Cidre Bouché de Bretagne Brut (5%) - La Ferme des Landes - 75cl,B,,75 cl,"['Bouteille', 'Verre']","['La Ferme des Landes', 'Jehan Lefèvre']","['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Cidres', 'Alcools artisanaux', 'Cidres artisanaux', 'Cidres demi-secs', 'Cidres bouchés', 'Cidres biologiques']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'Pur jus', 'AB Agriculture Biologique']","['France', 'Bretagne']","['La Ferme des Landes', '3 Allée des Landes', '22380 Saint-Cast-le-Guildo', ""Côtes d'Armor"", 'Bretagne', 'France']",,['France'],"['Pur jus de pommes à cidre biologiques de Bretagne', 'contient des sulfites naturels,']",[],3,?,,?,,?,,,,?,,,,?,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],http://www.fermedeslandes.com/,,,,
117,Tablette N°10 Chocolat Blanc Ambré 26% - Jeff de Bruges - 80g e,E,,80 g e,"['Carton', 'boîte', 'Plastique']",['Jeff de Bruges'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']","['Point Vert', 'Fabriqué en France', 'Triman']",,['France'],['Jeff de Bruges'],['France'],"['Sucre', 'beurre de cacao', 'lait entier en poudre', 'lait écrémé', 'lactosérum', 'beurre', 'émulsifiant: lécithine de soja', 'arômes']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2478,+5%,595,+5%,41,+14%,25,+16%,50,-6%,50,-1%,"6,1",-9%,"0,32",+25%,"0,128",+25%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,41 g,en quantité élevée,25 g,en quantité élevée,50 g,en quantité élevée,0.32 g,en quantité modérée,2478 kj(595 kcal),+5%,28,+5%,E,+5%,['E322i - Lécithine'],"['Lait', 'Soja']",http://www.jeff-de-bruges.com/fr/collections/tablettes/n10-chocolat-ambre-26,,,,
118,Mc Café - McCafé - 18g,D,,18 g,['Plastique'],"['McCafé', 'Monbana', 'Chocolaterie Monbana', ""McDonald's""]","['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre', 'Boissons avec sucre ajouté']",,,['France'],"[""McDonald's""]",['France'],"['sucre', 'cacao 33% minimum', 'amidon de blé', 'épaississant : gomme xanthane', 'arôme']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,1607,+9%,381,+15%,7,+63%,"4,4",+73%,68,+7%,57,+1%,"6,5",+3%,"0,05",-76%,"0,02",-76%,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,,,,,,,,1607 kj(381 kcal),+12%,,,,,['E415 - Gomme xanthane'],['Gluten'],https://www.mcdonalds.fr/produits/offre-mccafe/thes-chocolats/chocolat-chaud,,,,
119,Barre Okara Chamane - Atelier Nubio - 35g,,"Barre au cacao gris, coco et baie de golgi",35 g,['Sachet'],['Atelier Nubio'],['Snacks'],"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Sans céréale']",,"['Atelier Nubio', 'France']","['Atelier Nubio', 'La grande épicerie de Paris', 'Drugstore Publicis', 'Comptoir Local']",['France'],"['Datte', 'okara ', 'amande', 'datte', 'sel', 'grué de cacao', 'poudre de cacao', 'baie de goji', 'huile de coco']","['Végétalien', 'Végétarien']",3,?,,287.7,-36%,"11,8",-44%,6,-33%,"39,1",-30%,"33,4",+11%,"4,6",-27%,"0,3",-43%,"0,12",-43%,,,,,,,,11.8 g,en quantité modérée,6 g,en quantité élevée,33.4 g,en quantité élevée,0.3 g,en quantité modérée,1204 kj(287 kcal),-36%,11,-39%,D,-39%,,['Fruits à coque'],https://www.ateliernubio.fr/product/barre-okara-chamane-one,,,,
120,Mochi 'z - TILIZ - 200g,,Mochis glacés (crèmes glacées artisanales et sorbets enrobés d'une pâte de riz sucrée),200 g,"['Surgelé', 'boîte de 8 pièces']",['TILIZ'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Mochi glacés']",,"['Beurre France', 'Lait Breton', 'Lait France']","['Bretagne', 'France']","['Carrefour Torcy', 'E.Leclerc Levallois', 'E.Leclerc Viry Chatillon']",['France'],"['Mochi mangue : Eau', 'sucre', 'sirop de glucose', 'purée de mangue ', 'mangue ', '11', '6%', 'sucre', 'farine de riz', 'purée de fruit de la passion ', 'fruit de la passion ', '7', '5%', 'sucre', 'amidon de riz', 'amidon de maïs', 'beurre', 'sucre inverti', 'paprika en poudre', 'épaississants : gomme de xanthane', 'pectine', 'gomme de guar', 'protéines de pois', '  \r Mochi framboise litchi : Eau', 'sucre', 'sirop de glucose', 'lait ', '12', '7%', 'purée de framboise ', 'framboise ', '10', '3%', 'sucre', 'farine de riz', 'amidon de riz', 'lait écrémé en poudre ', '2', '7%', 'beurre', 'amidon de maïs', 'purée de litchi ', 'litchi ', '0', '8%', 'sucre', ""émulsifiant : mono et diglycérides d'acide gras"", 'épaississants : farine de caroube', 'gomme de guar', 'gélifiants : alginate de sodium', 'carraghénanes', 'colorant : rouge de betterave', 'arôme naturel de litchi', '  \r Mochi chocolat : lait ', '22', '5%', 'eau', 'sucre', 'sirop de glucose', 'farine de riz', 'amidon de riz', 'beurre', 'chocolat en poudre 64% de cacao ', 'pâte de cacao', 'sucre', 'cacao maigre en poudre', ' ', '2', '8%', 'lait écrémé en poudre ', '1', '6%', 'sucre inverti', 'amidon de maïs', 'dextrose', ""émulsifiant : mono et diglycérides d'acide gras"", 'épaississants : farine de caroube', 'gomme de guar', 'gélifiants : alginate de sodium', 'carraghénanes', ' \r Mochi vanille : lait ', '23%', 'eau', 'sucre', 'sirop de glucose', 'farine de riz', 'amidon de riz', '_beurre', 'lait écrémé en poudre ', '1', '7%', 'crème ', '1', '5%', 'amidon de maïs', 'arôme naturel de vanille ', '0', '57%', 'extrait de vanille Bourbon ', '0', '4%', ""émulsifiant : mono et diglycérides d'acide gras"", 'épaississants : farine de caroube', 'gomme de guar', 'gélifiants : alginate de sodium', 'carraghénanes', 'grains noirs de vanille épuisée', 'colorant : bêta carotène']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,902,,?,,"2,9",-55%,2,-53%,45,+7%,"28,3",+4%,"1,5",-28%,"0,04",-52%,"0,016",-52%,,,,,,,,2.9 g,en faible quantité,2 g,en quantité modérée,28.3 g,en quantité élevée,0.04 g,en faible quantité,902 kj(216 kcal),-8%,9,-20%,C,-20%,"['E415 - Gomme xanthane', 'E440 - Pectines', 'E412 - Gomme de guar', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E401 - Alginate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E162 - Rouge de betterave', 'E160ai - Bêta-carotène']",['Lait'],,"['EMB 56121AW', 'Lorient (Morbihan, France)']",,,
121,Galettes bretonnes Penven de Pont-Aven au beurre de baratte breton - Biscuiterie Délices de Pont-Aven - 430g,C,,430 g,"['Boite', 'Coffret', 'Acier', 'Blister']","['Biscuiterie Délices de Pont-Aven', 'Biscuiterie Penven', 'Isidore Penven']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', ""Produits vendus avant l'an 2000"", 'Produits vendus dans les années 1990', 'Galettes bretonnes', 'Galettes sablées']",['Pur beurre'],,"['SCI DELICES DE PONT AVEN', '3 quai theodore botrel  29930 pont aven  France', 'Finistère', 'Bretagne', 'France']",,['France'],"['Farine de froment', 'beurre de baratte 30%', 'sucre', 'oeufs', 'poudre levante : bicarbonate de sodium']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,?,,?,,?,,,,?,,,,?,,,,,,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,,,,['E500ii - Carbonate acide de sodium'],"['Œufs', 'Gluten', 'Lait']",,,,,
122,Caféneige - Gaborit - 2x 110g,,,2 x 110 g,"['Carton', 'Plastique']",['Gaborit'],['Dessert liégeois'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['Cora'],['France'],"['Ingrédients : lait entier de vaches Jersiaises*', 'crème Chantilly lait de vache Jersiaises 13%*', 'extrait de café 5%*', 'sucre de canne roux non rafﬁné*', 'amidon de maïs*', 'extrait de vanille de Madagascar*', ""extrait d'algue marine "", 'carraghénane', ""  *Ingrédients issus de l'agriculture biologique""]",[],4,?,,150,,"9,9",,"7,56",,"11,87",,"8,39",,?,,"0,16",,"0,064",,,,,,,,,9.9 g,en quantité modérée,7.56 g,en quantité élevée,8.39 g,en quantité modérée,0.16 g,en faible quantité,628 kj(150 kcal),,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],,,,,
123,Quimerc'h Blonde (5.5%) - Ferme Collective de Quimerc'h - 75cl,C,,75 cl,"['Bouteille', 'Verre']","[""Ferme Collective de Quimerc'h""]","['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières bretonnes', 'Bières artisanales', 'Bières blondes', 'Bières bio']","['Bio', 'Déconseillé à certaines catégories de personnes', 'Déconseillé aux femmes enceintes']",,"[""Ferme de quimerc'h Rue de quimperle 29380 bannalec"", 'Finistère', 'Bretagne', 'France']",,['France'],"[""Malt d'orge*,eau"", 'houblon', 'levure', ""sucre* / *:issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,?,,?,,,,?,,,,?,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,['Gluten'],,,,,
124,"SAINT MAURICE - SAINT MAURICE HUILE DE TOURNESOL - 1L , 3L , 5L , 10L",D,SAINT MAURICE HUILE DE TOURNESOL,"1L , 3L , 5L , 10L","['FRAIS', 'BOUTEILLE 1L 3L 5L 10L']",['SAINT MAURICE HUILE DE TOURNESOL'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']","[""Fabriqué dans l'UE"", 'HUILE DE TOURNESOL 100\xa0% RAFINEE', ""Recommande pour la friture la cuisson l'assaisonnement la mayonnaise et la préparation de sauces diverses et variées""]",['Union européenne'],['UE'],['ASTRAL DISTRIBUTION astral.francedis@gmail.com'],['France'],[],[],,370,-90%,?,,?,,,,0,-100%,,,0,-100%,,,,,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,,,,,,,,370 kj(88 kcal),-90%,,,,,,,,,,,
125,Beurre de Baratte Demi-Sel Salé à la Fleur de Sel de l'Île de Ré - Le Gaslonde - 125g,E,,125 g,"['Frais', 'Plastique']",['Le Gaslonde'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel', 'Beurres pasteurisés', 'Beurres de baratte']",['Point Vert'],,['France'],,['France'],"['Crème de lait pasteurisée', 'ferments', 'sel ', '2,5 % ']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2,?,,?,,80,-1%,,,?,,,,?,,,,,,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,80 g,en quantité élevée,,,,,,,,,,,,,,['Lait'],,"['FR 50.267.001 CE', 'Lessay (Manche, France)']",,,
