,name,bar_code,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,additives,allergens,nova_score,quantity,packaging,traceability_code,generic_name,ingredients_origins,manufacturing,link,brand_owner,palm_ingredients
1336,Sauce tomate basilic - Naturalia,3700036448629,['Naturalia'],,['France'],[],[],?,61,255 kj(61 kcal),"2,4","0,5","7,6","3,8","1,5","0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,Vin,3700179904594,,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,Reblochon fruitier chabert aop,0206192024279,,,['France'],[],[],?,299,1251 kj(299 kcal),25,20,0,0,18,"1,4","0,56",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",25 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.4 g,en quantité modérée,,-8%,-7%,-7%,+6%,-100%,-100%,-10%,+4%,+4%,14,-2%,D,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
1339,CORAIL,3297260100015,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.133.001 CE', 'Maillezais (Vendée, France)']",,,,,,
1340,Saint Mont Rouge Duc Termes 2007 -  - 75CL,3270040245298,,,['France'],[],[],?,?,,?,,?,,?,0,0,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Saint-Mont']",,,,,,,,,,,,,,,,,-100%,-100%,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['AOC'],,,,75CL,,,,['France'],,,,
1341,Abc Sambal Extra Pedas Pet - Heinz,0711844120440,['Heinz'],,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,Epinard - 125g,3398301125957,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125 g,,,,,,,,
1343,Creme de poivrons,2271553429565,,,['France'],[],[],?,106,444 kj(106 kcal),"8,4","1,2","5,6","3,9","1,2","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,Fromage fermier au lait cru - 500g,3760114490117,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,
1345,Saucisses de qualité supérieure. Porc engraissé sur paille -,3467980054183,,,['France'],[],[],?,209,874 kj(209 kcal),15,"5,6","0,4","0,4",17,"1,8","0,72",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",15 g,en quantité modérée,5.6 g,en quantité élevée,0.4 g,en faible quantité,1.8 g,en quantité élevée,,-16%,-16%,-25%,-27%,-69%,-36%,+13%,+2%,+2%,14,-19%,D,-19%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,['Label Rouge'],,,,,,,,,,,,
1346,Croissant beurre isigny,,,,['France'],[],[],?,397,1661 kj(397 kcal),23,14,40,"6,8","6,7","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['AOP'],,,,,,,,,,,,
1347,Organic date bar,5707653004526,,,['France'],[],[],?,350,1464 kj(350 kcal),"2,8","0,5",73,51,"2,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,Suisse longue aux pepites de chocolat * 2,0260163017059,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,Chocolate Chip & Hazlmut Cookies,0080000002297,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,Olives vertes pasteurisées farcies aux amandes,2609826016868,,,['France'],[],[],?,173,724 kj(173 kcal),"14,9",3,"6,5","1,3","3,2","2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,20 petits fours traiteur,3450350030283,,,['France'],[],[],?,273,1142 kj(273 kcal),16,"8,7",20,6,11,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,Kerrygold Soft Salted,5011038135553,['Kerrygold'],,['France'],[],[],?,589,2464 kj(589 kcal),65,"35,6","0,5","0,5","0,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,Cacao Instantané P'tit Dej Bio 250 G - Alter Eco,3700214613078,['Alter Eco'],,['France'],[],[],?,385,1611 kj(385 kcal),"3,5","3,5",80,80,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
1354,"Rooibos selección, infusión sin teína",8437001415724,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,Light cookies - 200g,0096086001529,,,['France'],[],[],?,371,1552 kj(371 kcal),8,"1,6",71,8,8,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans arômes ajoutés', 'Sans lactose']",,,,200 g,,,,,,,,
1356,Boule De Campagne,,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1357,Caramels croustillants,3760090081521,,,['France'],[],[],?,450,1883 kj(450 kcal),12,8,84,64,"1,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1358,Muffin cacao coco - Prozis,5600499520130,['Prozis'],,['France'],[],[],?,291,1218 kj(291 kcal),17,"5,7",34,"3,7","5,9","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,Smoofizz fruits - Lutti - 875g,3116740035374,['Lutti'],,['France'],[],[],?,408,1707 kj(408 kcal),"7,3","4,2",85,58,"0,3","0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,875 g,,,,,,,,
1360,Veggietea,4260303291727,,,['France'],[],[],?,1,4 kj(1 kcal),"0,1","0,1","0,1","0,1","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
1361,Captain Rondo,50555949,,,['France'],[],[],?,473,1979 kj(473 kcal),20,11,65,30,"6,2","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362,Boulot,0260043009181,,,['France'],[],[],?,266,1113 kj(266 kcal),"1,6","0,5","52,4","1,7","9,1","1,38","0,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,Gourde compote super Mario pomme,3596710236107,,,['France'],[],[],?,53,222 kj(53 kcal),"0,5",0,12,12,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,Les croquants d'Elo,3770011907045,,,['France'],[],"['Végétalien', 'Végétarien']",?,521,2180 kj(521 kcal),28,"2,5",48,18,15,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-09', 'AB Agriculture Biologique']",,,,,,,,,,,,
1365,Cuisses de poulet rôti - Le Gaulois,0217637032278,['Le Gaulois'],,['France'],[],[],?,168,703 kj(168 kcal),10,"2,6","0,1","0,1",19,"1,4","0,56",D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",10 g,en quantité modérée,2.6 g,en quantité modérée,0.1 g,en faible quantité,1.4 g,en quantité modérée,,-12%,-12%,-19%,-22%,-69%,-35%,+3%,+84%,+84%,5,+42%,C,+42%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
1366,Petites sardines à l'huile d'olive,3432054001073,,,['France'],[],[],?,222,929 kj(222 kcal),15,"2,7","0,5","0,5",21,"0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367,Tayberries,3515580000069,,,['France'],[],[],?,280,1172 kj(280 kcal),"0,5","0,5",60,60,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1368,Espolòn Tequila Blanco,8000040510028,,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,Poulet fermier blanc,0217004088556,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,Poulet Loué Bio,2443555068558,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,
1371,Mermelada de fresa con menta,8437003455018,,,['France'],[],[],?,211,883 kj(211 kcal),"0,26","0,01","53,72","50,31","0,58","0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,Croissant beurre,0202770026574,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373,Palmiers - Auchan - 100g,3254580075904,['Auchan'],['Auchan'],['France'],[],[],?,537,2247 kj(537 kcal),30,15,60,22,"5,7","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,100 g,,"['EMB 24096', 'Champagnac-de-Belair (Dordogne, France)']",,,,,,
1374,Kawa Bazzara Espresso top12,8026028001210,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375,Pilon de Poulet sauce barbecue,0295231047430,,,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,,
1376,Thé irlandais,5390711527442,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,Saumon,2403050130143,,,['France'],[],[],?,209,874 kj(209 kcal),"13,6","2,6",0,0,"20,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378,Ribs,0241466039368,,,['France'],[],[],?,263,1100 kj(263 kcal),20,"7,2","1,8","1,2",19,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1379,les éphémères - La Cour d'Orgères,3760194181806,"[""La Cour d'Orgères""]",,['France'],[],[],?,239,1000 kj(239 kcal),"0,1","0,02",55,55,"0,9","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380,Godiveaux,2240683029129,,,['France'],[],[],?,178,745 kj(178 kcal),12,"4,8",1,1,18,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,
1381,Pate brisee epaisse pu beurre -,2392874204614,,,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'en:baked-shortcrust-pastry']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,Tejcsokoládé,5999882958231,,,['France'],[],[],?,579,2423 kj(579 kcal),"40,5","24,4","43,4","42,3","7,8","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1383,Heinz Organic Cream Of Tomato Soup 400G,5000157062666,['Heinz'],,['France'],[],[],?,56,234 kj(56 kcal),"2,6","0,9",7,"4,9",1,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384,Pain au chocolat pur X,55093,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385,Tea Time à Marseille - 100g,3665206109215,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Agriculture UE/Non UE']",,,,100 g,,,,,,,,
1386,Zbeubzbeub,4019641064865,,,['France'],[],[],?,36,151 kj(36 kcal),65,36,36,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1387,Quaisud Cocktail En Botella Mojito Fraise - Quai Sud,3662051007635,['Quai Sud'],,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388,mini frühlings rollen - Alnatura,4104420217522,['Alnatura'],['Alnatura'],['France'],[],[],?,174,728 kj(174 kcal),"7,4","0,9",22,"3,2","4,1","1,14","0,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
1389,Real whey 100% whey protein - Prozis,5600380896436,['Prozis'],,['France'],[],[],?,385,1611 kj(385 kcal),"6,5","4,3","6,5","2,8",75,"0,4","0,16",,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']",6.5 g,en quantité modérée,4.3 g,en quantité modérée,2.8 g,en faible quantité,0.4 g,en quantité modérée,,+3%,+4%,+50%,+147%,-8%,-10%,+6%,-47%,-47%,4,-10%,C,-10%,,,,,,,,,,,,,,,,,,,,
1390,Poulet Fermier Drôme,0275233039299,,,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['IGP', 'Label Rouge']",,,,,,,,,,,,
1391,affettato di mare - Coraya,3276170020385,['Coraya'],,['France'],[],[],?,130,544 kj(130 kcal),"5,5","0,4",11,"1,6","7,8","1,9","0,76",B,"['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Surimi', 'en:Poissons', 'en:Produits de la mer', 'en:Préparations de poisson']",5.5 g,en quantité modérée,0.4 g,en faible quantité,1.6 g,en faible quantité,1.9 g,en quantité élevée,,-30%,-30%,-50%,-77%,+225%,+132%,-52%,+107%,+107%,5,+81%,C,+81%,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,,,,,,,,,,,,,
1392,Fusillis,0656272210229,,,['France'],[],[],?,361,1510 kj(361 kcal),"1,8","0,3","71,3","3,6","12,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1393,Miel amandier - L'abeille diligente,3263623829565,"[""L'abeille diligente""]",,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'amandier""]",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
1394,Produits élaborés saucisse riz chipolatas aux herbes supérieur,2887828036088,,,['France'],[],[],?,?,,?,,?,,?,,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",,,,,,,,,,,,,,,,,,,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,
1395,Saussice nature de volaille biologique,2444022042118,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
1396,Galettes Charentaises,3663350073406,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397,La Beauceronne Pamplemousse,3760157210246,,,['France'],[],[],?,33,138 kj(33 kcal),0,0,"7,6","7,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1398,Poulet fermier,2481694078984,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399,Filets d'abadèche rose - 600g,0162969084535,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 g,,,,,,,,
1400,Truffle Brie,2240751001712,,,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,Tomaat,8718868684370,,,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,Saussices Toulouse - Carrefour,0202454038374,['Carrefour'],['Carrefour'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,Toma,2230692003876,,,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404,Anchoïade,3368411004220,,,['France'],[],[],?,436,1824 kj(436 kcal),"43,3","4,4","1,5","0,5",10,"7,15","2,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,Istara - petit basque,0200812037724,,,['France'],[],[],?,413,1728 kj(413 kcal),36,26,0,0,22,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,Aceto balsamico,8007178416567,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407,Saucisson sec,3595570001795,,,['France'],[],[],?,347,1452 kj(347 kcal),"27,3","9,92",0,0,26,"5,3","2,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408,Pur jus de grenade - La Vache qui regarde passer les Trains,5407006580324,['La Vache qui regarde passer les Trains'],,['France'],['Jus de grenade biologique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,54,226 kj(54 kcal),"0,3",0,13,10,"0,2",0,0,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de grenade']",0.3 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,,-4%,-4%,+57%,-100%,-2%,-19%,-51%,-100%,-100%,5,-28%,C,-28%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Bio', 'Bio européen', 'NL-BIO-01']",,,1,,,,,,,,,
1409,Saucisson sec Île de beauté,2658952038503,,,['France'],[],[],?,381,1594 kj(381 kcal),28,12,"0,6",0,33,"5,2","2,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,Nesquik - Nestlé,06363337,['Nestlé'],,['France'],[],[],?,70,293 kj(70 kcal),"1,8","1,1","9,8","9,5","3,6","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans arômes artificiels']",,,,,,,,,,,,
1411,Rajavio,3780714303907,,,['France'],[],[],?,865,3619 kj(865 kcal),56,50,6,5,8,80,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1412,Confiture de pays de cerises noires LOU FENERET,3479391001700,,,['France'],[],[],?,230,962 kj(230 kcal),"0,2","0,01",60,55,"0,4",0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",0.2 g,en faible quantité,0.01 g,en faible quantité,55 g,en quantité élevée,0 g,en faible quantité,,+4%,+4%,-18%,-78%,+11%,+6%,-38%,-100%,-100%,11,+12%,D,+12%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,,,,,,,,,,,,
1413,Banane bio - Monoprix,0208634017511,['Monoprix'],['Monoprix'],['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,['Bio'],,,,,,,,,,,,
1414,Brochettes de poulet marinées à l'olive et au romarin,2225016066453,,,['France'],[],[],?,104,435 kj(104 kcal),2,"0,61","2,6",0,19,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415,Pate a tartiner de poire,3557570010160,,,['France'],[],[],?,215,900 kj(215 kcal),"0,1",0,52,52,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,"['EMB 13089H', 'Saint-Andiol (Bouches-du-Rhône, France)']",,,,,,
1416,Rillettes de porc,3760025971095,,,['France'],[],[],?,223,933 kj(223 kcal),"18,66","6,33","3,36","0,3","16,71","0,1","0,04",D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",18.7 g,en quantité modérée,6.33 g,en quantité élevée,0.3 g,en faible quantité,0.1 g,en faible quantité,,-44%,-43%,-49%,-55%,+564%,-12%,+6%,-92%,-92%,3,-85%,C,-85%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,
1417,melon vert,2868542018895,,,['France'],[],[],?,42,176 kj(42 kcal),"0,3","0,01","9,9","9,5","0,5","0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,
1418,Feria de fruit,3390120010858,,,['France'],[],[],?,66,276 kj(66 kcal),"0,1",0,"16,3","16,3","0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,
1419,Leya barre framboise,3800232984461,,,['France'],[],[],?,378,1582 kj(378 kcal),"11,8","4,1","63,2","37,7","7,9","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:gluten-free']",,,,,,,,,,,,
1420,Lentilles assaisonnées,0218907017452,,,['France'],[],[],?,215,900 kj(215 kcal),10,9,"10,7",5,10,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 69.027.063 CE', 'Brignais (Rhône, France)']",,,,,,
1421,Huile d'olive tempero,5600240871528,,,['France'],[],[],?,120,502 kj(120 kcal),8,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422,Sauce BBQ,8024336001939,,,['France'],[],[],?,?,,?,,?,,?,,,B,"['Epicerie', 'Sauces', 'Sauces barbecue']",,,,,,,,,,,,,,,,,,,,,,,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,,,,,,,
1423,Semoule de blé dur,2273387412461,,,['France'],[],[],?,343,1435 kj(343 kcal),"1,5","0,1",70,2,"11,2","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,Poulet cuit fumé,2410750037917,,,['France'],[],[],?,166,695 kj(166 kcal),"9,5","2,8","1,1","0,8",19,"1,54","0,616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,Les mini bûchettes noisettes - Galibier,3375220200088,['Galibier'],,['France'],[],[],?,544,2276 kj(544 kcal),46,14,3,1,29,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1426,Andouillettes au Chablis,2238079040933,,,['France'],[],[],?,233,975 kj(233 kcal),18,7,0,0,17,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,
1427,Vers de farine saveur moutarde,0660902199945,,,['France'],[],[],?,?,,?,,?,,?,,,,"['Viandes', 'Insectes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,Pont l'Eveque fermier AOP,2480289021527,,,['France'],[],[],?,291,1218 kj(291 kcal),"22,9","16,1",0,0,"21,7","1,81","0,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,Faxe Kondi,5741000129401,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,Figues sechées variété CUELLO DAMA,2600236010170,,,['France'],[],[],?,345,1443 kj(345 kcal),"1,7","0,4","78,2","53,1","2,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431,Veritable jambon à l'ancienne,2602656021194,,,['France'],[],[],?,100,418 kj(100 kcal),"3,1","1,4","0,5","0,5",23,2,"0,8",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,,-34%,-34%,-50%,-42%,+1%,+3%,+3%,+3%,+3%,5,-49%,C,-49%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,
1432,Poulet Recette Mexicaine,0215969032348,,,['France'],[],[],?,197,824 kj(197 kcal),13,"3,8","2,8","1,6",17,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,Moutarde aux cepes,3435569914494,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
