,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,brand,categories,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,nova_score,traceability_code,generic_name,additives,allergens,ingredients_origins,manufacturing,origin_detail,producer_info,link,palm_ingredients,brand_owner
11,Pure Apple Juice - Coop,5000128430791,"['France', 'Royaume-Uni']",[],"['Végétalien', 'Végétarien']",?,43,"0,5",10,"0,5",B,,['Coop'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', 'Jus de pomme', 'Jus de pomme à base de concentré']",,,-2%,+216%,-5%,+119%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,180 kj(43 kcal),"0,1",10,"0,01","0,004","['Végétarien', 'Végétalien']",0.5 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité élevée,0.01 g,en faible quantité,-3%,+210%,-1%,+96%,+96%,3,-22%,C,-22%,['carton'],,,,,,,,,,,,
12,poires -,3760218040119,['France'],[],[],?,?,?,?,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Légumes et dérivés', 'Fruits', 'Fruits frais', 'Poires', 'Poires fraîches']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ice - blanc foussy - 75,3500610084676,['France'],[],[],?,?,?,?,?,,75,['blanc foussy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Soupe au pistou -,3565300000084,['France'],[],[],?,67,"2,8","7,9","2,5",,,,"['Plats préparés', 'Soupes']",,,+18%,+44%,+37%,+14%,,,,,,,,280 kj(67 kcal),"0,4",1,"1,1","0,44",,2.8 g,en faible quantité,0.4 g,en faible quantité,1 g,en faible quantité,1.1 g,en quantité modérée,+18%,-34%,-42%,+27%,+27%,3,+83%,C,+83%,,,"['FR 13.001.003 CE', 'Aix-en-Provence (Bouches-du-Rhône, France)']",,,,,,,,,,
15,Miel d'acacia,6044000007298,['France'],[],[],?,?,?,?,?,B,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Suikerwafel - De Lekkerste,8710739487370,['France'],"['Farine de blé', '26 % sucre', 'margarine ', 'huiles et graisses végétales ', 'palme', 'colza en proportion eau', 'émulsifiants ', 'lécithine soja', 'E471', 'sel', 'acidifiants ', 'acide variable', 'de citrique', 'arômes naturels', 'colorant ', 'caroténoïdes', 'œuf de poules élevées sol', 'levure', 'sucre inverti', 'stabilisant au ', 'sorbitols', 'farine de soja', 'sel', 'émulsifiant : ', 'lécithine de soja', 'arôme']",['Huile de palme'],?,447,"21,8",56,"5,9",C,,['De Lekkerste'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufres liégeoises']",,,-2%,-8%,+5%,-1%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,1870 kj(447 kcal),"9,9","28,8","0,9","0,36",,21.8 g,en quantité élevée,9.9 g,en quantité élevée,28.8 g,en quantité élevée,0.9 g,en quantité modérée,-2%,-18%,+4%,+19%,+19%,23,0%,E,0%,"['Sachet', 'Plastique']",4,,Gaufres au sucre - Suikerwafel,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160 - Caroténoïdes', 'E420 - Sorbitol']","['Œufs', 'Gluten', 'Soja']",,,,,,,
17,Mélange de fruits rouges - Crop's,5410355416329,['France'],[],[],?,39,"0,5","5,4","1,1",,,"[""Crop's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Fruits et produits dérivés', 'Aliments à base de plantes surgelés', 'Fruits', 'Fruits surgelés', 'Mélanges de fruits surgelés', 'Fruits rouges surgelés', 'Mélanges de fruits rouges surgelés']",,,-54%,+38%,-49%,-19%,,,,,,,,163 kj(39 kcal),"0,1","5,2","0,01","0,004","['Bio', 'Bio européen', 'RS-BIO-162']",0.5 g,en faible quantité,0.1 g,en faible quantité,5.2 g,en quantité modérée,0.01 g,en faible quantité,-52%,+3%,-46%,-91%,-91%,-4,,A,,,,,,,,,,,,,,
18,Pruneaux d Agen - Les Vergers de Bertounèche - 500g,4040000073228,['France'],[],[],?,234,"0,3",54,2,E,500 g,['Les Vergers de Bertounèche'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",,,-3%,-17%,+1%,+7%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,979 kj(234 kcal),"0,08",35,"0,001",0,['Sans conservateurs'],0.3 g,en faible quantité,0.08 g,en faible quantité,35 g,en quantité élevée,0.001 g,en faible quantité,-3%,-30%,-4%,-93%,-93%,3,+37%,C,+37%,,,,,,,,,,,,,
19,Agar agar bio - Nat-Ali - 500gr,3176800001886,['France'],[],[],?,?,?,?,?,C,500gr,['Nat-Ali'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Édulcorants', 'Algues et dérivés', 'Sucres', ""Produits à base d'algues"", 'Agar-agar', 'Sucres gélifiant']",,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,['sachet plastique 500 gr'],,,,,,['France'],['France'],,,,,
20,Vinaigre balsamique de modene - Le Comptoir de Mathilde,3760170098050,['France'],[],[],?,122,"0,5",25,"0,8",B,,['Le Comptoir de Mathilde'],"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,,-17%,+1924%,-21%,+20%,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,510 kj(122 kcal),"0,1",25,"0,08","0,032",,0.5 g,en faible quantité,0.1 g,en faible quantité,25 g,en quantité élevée,0.08 g,en faible quantité,-17%,+1933%,-14%,+13%,+13%,,,,,,,,,,,,,,,,,
21,Tarte des Alpes au Citron - Tart'Alpes - 530g,3760231340050,['France'],"['Pâte farine de blé', 'Beurre 20 %', 'Sucre', 'œufs', 'Levure', 'Sel', ' Fourrage : Citron concentré', 'Lait écrémé', 'graisse végétale', 'amidon modifié', 'E330', 'E471', 'Béta carotène', 'Gélifiants: Pectine de fruits', 'Alginate de sodium', 'Arômes', 'Acide citrique et citrate de calcium']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,?,?,?,?,C,530 g,"[""Tart'Alpes""]","['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Tartes au citron', 'Biscuit sec nappé aux fruits']",,,,,,,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,,,,,,['Pur beurre'],,,,,,,,,,,,,,,,,,['Plastique'],4,,Tarte au citron pâte sablée pur beurre - Tarte des Alpes au Citron,"['E14XX - Amidons modifiés', 'E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160ai - Bêta-carotène', 'E440 - Pectines', 'E401 - Alginate de sodium']","['Œufs', 'Gluten', 'Lait']",,,,,,,
22,Saumon fumé Norvège - OceanSea,22598585,['France'],[],[],?,174,10,0,21,E,,"['OceanSea', 'Lidl']","['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,-6%,-5%,-100%,-5%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,728 kj(174 kcal),"1,5",0,"3,2","1,28",,10 g,en quantité modérée,1.5 g,en quantité modérée,0 g,en faible quantité,3.2 g,en quantité élevée,-6%,-27%,-100%,+13%,+13%,13,-1%,D,-1%,,,,,,,,,,,,,
23,Maple butter,0065928453857,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Couscous grain moyen - Belle France - 500g,3258561100456,['France'],[],[],?,369,2,"72,9","13,2",B,500 g,['Belle France'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales', 'Semoules de blé', 'Semoules de blé dur', 'Semoules de blé dur pour couscous']",,,+4%,+1%,+4%,+8%,69.1%,16.2%,7.3%,3.3%,4.1%,0.0%,80,1544 kj(369 kcal),"0,4",3,"0,05","0,02",,2 g,en faible quantité,0.4 g,en faible quantité,3 g,en faible quantité,0.05 g,en faible quantité,+3%,+5%,+13%,-64%,-64%,-1,,A,,,,,,,,,,,,,,
25,Pop corn salé,5206308261302,['France'],[],[],?,532,28,56,9,,,,,,,,,,,,,,,,,,2226 kj(532 kcal),12,1,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Haricots verts extra-fins surgelés - Franprix,3263856744819,['France'],[],[],?,31,0,"3,7",2,B,,['Franprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Légumes et dérivés', 'Haricots verts']",['Franprix'],,+15%,-100%,+22%,+27%,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,130 kj(31 kcal),0,"1,1",0,0,,0 g,en faible quantité,0 g,en faible quantité,1.1 g,en faible quantité,0 g,en faible quantité,+18%,-100%,+17%,-100%,-100%,-6,,A,,,,,,,,,,,,,,
27,Pain complet,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Foie gras de canard entier du sud ouest - Monoprix,3350033565029,['France'],[],[],?,534,55,"2,4","7,3",B,,['Monoprix'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",['Monoprix'],,+1%,+1%,+1%,-3%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,2234 kj(534 kcal),23,"1,9","1,2","0,48",,55 g,en quantité élevée,23 g,en quantité élevée,1.9 g,en faible quantité,1.2 g,en quantité modérée,+1%,-1%,+44%,0%,0%,21,+1%,E,+1%,,,,,,,,,,,,,
29,Caramels mous à la crème,20195380,['France'],[],[],?,388,"5,5",81,"3,5",,,,,,,,,,,,,,,,,,1623 kj(388 kcal),"4,2",69,"0,18","0,072","['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2018 de la Société Allemande d'Agriculture""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Couscous - Carrefour Bio - 500g,3560071073435,['France'],['Semoule de blé dur de qualité supérieur biologique'],[],1475,348,2,70,11,A,500 g,"['Carrefour Bio', 'Carrefour']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Semoules de céréales', 'Semoules de blé', 'Semoules de blé dur', 'Couscous', 'Semoules de blé dur pour couscous']",['Carrefour'],,+18%,-21%,+32%,+4%,69.1%,16.2%,7.3%,3.3%,4.1%,0.0%,80,1475 kj(348 kcal),"0,3","2,5",0,0,"['Bio', 'Bio européen', 'Fabriqué en France', 'AB Agriculture Biologique']",2 g,en faible quantité,0.3 g,en faible quantité,2.5 g,en faible quantité,0 g,en faible quantité,+18%,-43%,-8%,-100%,-100%,-4,,A,,['Carton'],,,Couscous issu de l'agriculture biologique.,,['Gluten'],,,Ce couscous est fabriqué en France à partir de semoule de blé dur biologique issue de diverses origines.,Fabriqué en France par EMB 73065/1 pour Interdis.,,,
31,Maltanki,5901414200015,['France'],[],[],?,500,24,62,"7,2",,,,,,,,,,,,,,,,,,2092 kj(500 kcal),11,33,"0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Chocolat noir 75% - Antton,3514962711173,['France'],[],[],?,490,32,26,"6,5",E,,['Antton'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,-12%,-19%,-33%,-15%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,2050 kj(490 kcal),19,26,"0,6","0,24",,32 g,en quantité élevée,19 g,en quantité élevée,26 g,en quantité élevée,0.6 g,en quantité modérée,-12%,-18%,-18%,+1185%,+1185%,23,+8%,E,+8%,,,,,,,,,,,,,
33,Les 5 endives du Prince - Prince de Bretagne,3370569801552,['France'],[],[],?,0,?,?,?,A,,['Prince de Bretagne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Endives']",,,-100%,,,,68.9%,0.0%,0.0%,11.3%,16.2%,3.6%,96,0 kj(0 kcal),,,0,0,,,,,,,,0 g,en faible quantité,-100%,,,-100%,-100%,,,,,['film plastique'],,,,,,,,,,,,
34,Miscela per Torte - Barilla,8076809508315,['France'],[],[],?,353,"1,5","76,5",7,,,['Barilla'],,,,,,,,,,,,,,,1477 kj(353 kcal),"0,3",1,"0,006","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Moutarde fine et forte,9230146610271,['France'],[],[],?,159,12,"4,4","7,1",B,,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,-6%,+11%,-36%,+8%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,665 kj(159 kcal),"0,7","2,3","6,4","2,56",,12 g,en quantité modérée,0.7 g,en faible quantité,2.3 g,en faible quantité,6.4 g,en quantité élevée,-6%,-15%,-40%,+36%,+36%,11,-5%,D,-5%,,,,,,,,,,,,,
36,Oasis fraises framboise,3124480186614,['France'],[],[],?,38,0,"9,2",0,,,['Oasis'],,,,,,,,,,,,,,,159 kj(38 kcal),0,"9,1",0,0,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Ravioli aux 3 fromages - Franprix - 300g,3263858054213,['France'],"['farine de blé tendre 25% - ricotta 17,5% ', ""lactosérum - lait - sel - crême - correcteur d'acidité: acide citrique"", ' - semoule de blé dur 10,7% - œufs frais 10% - eau - poudre de lactosérum - chapelure ', 'farine de blé tendre - eau - sel - levure - farine de blé malté', ' - crème aigre légère 6,1% - emmental 4,5% - huile de tournesol - Grana Padano 2,5% ', ""contient lysozyme d'œuf"", ' - flocons de pommes de terre ', ""pommes de terre - émulsifiant : mono - et diglycérides d'acides gras"", ' - sel - persil', ' Traces de crustacés', 'poissons', 'fruits à coque', 'céleri et mollusques']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,264,"7,6",38,10,,300 g,['Franprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Pâtes fraîches', 'Ravioli', 'Pâtes farcies au fromage', 'Ravioli au fromage']",['Franprix'],,+5%,-5%,+13%,-2%,,,,,,,,1105 kj(264 kcal),"3,4","7,4","0,84","0,336",,7.6 g,en quantité modérée,3.4 g,en quantité modérée,7.4 g,en quantité modérée,0.84 g,en quantité modérée,+4%,-15%,+142%,-21%,-21%,4,-46%,C,-46%,['Opercule en plastique'],4,,,"['E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Lait']",,,,,,,
38,Mix Spirale Noël Futti Frutti - Les Gourmandises de Sophie - 60g,3700345912514,['France'],"['Sucre', 'sirop de glucose', ""blanc d'œufs en poudre"", 'acidifiant : acide citrique', 'arômes naturels citron', 'pomme', 'fraise', 'colorants naturels : E100', 'E120', 'E141', 'E153', 'E160a', 'E163', 'spiruline concentrée']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",1590,380,0,95,0,E,60 g,['Les Gourmandises de Sophie'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Bonbons', 'Sucettes']",,+2%,+1%,-100%,+7%,-100%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,1590 kj(380 kcal),0,95,0,0,"['Point Vert', ""Fabriqué dans l'UE""]",0 g,en faible quantité,0 g,en faible quantité,95 g,en quantité élevée,0 g,en faible quantité,0%,-100%,+33%,-100%,-100%,14,-5%,D,-5%,['Plastique'],4,,Bonbons - Mix Spirale Noël Futti Frutti,"['E330 - Acide citrique', 'E100 - Curcumine', 'E120 - Acide carminique', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E153 - Charbon végétal médicinal', 'E160a - Carotènes mélangés', 'E163 - Anthocyanes']",['Œufs'],,['Union Européenne'],,,,,
39,Vit'up,6191507249628,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Moras - Driscoll's,8717496048257,"['France', 'Espagne']",[],[],?,?,?,?,?,D,,"[""Driscoll's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Mûres', 'Mûres fraîches']",,,,,,,96.9%,0.0%,0.0%,1.6%,1.5%,0.1%,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,12 Mini croustillant du soleil - Tipiak - 145g,3282740070728,['France'],[],[],?,333,23,23,"7,7",,145g,['Tipiak'],['Surgelés'],,,+94%,+209%,+19%,+54%,,,,,,,,1393 kj(333 kcal),10,"2,1","1,1","0,44",,23 g,en quantité élevée,10 g,en quantité élevée,2.1 g,en faible quantité,1.1 g,en quantité modérée,+92%,+175%,-80%,+172%,+172%,17,+196%,D,+196%,"['surgelé', 'Carton']",,"['FR 29.058.020 CE', 'Fouesnant (Finistère, France)']",,,,,['France'],,,,,
42,Mauresmo - bio,4061458007085,['France'],[],[],?,371,7,"59,4","12,8",,,['Bio'],,"['Aldi', 'bio']",,,,,,,,,,,,,1552 kj(371 kcal),"1,1","3,2","0,2","0,08","['Bio', 'Bio européen', 'DE-ÖKO-005']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Nouilles instantanés - rooster - 400g,0057197755558,"['Canada', 'France']","['FARINE DE BLÉ ENRICHIE', 'EAU', ""JAUNE D'CEUF SÉCHÉ"", 'SEL', 'CARBONATE DE POTASSIUM PRODUCT OF CHINA/PRODUIT DE CHINE LOBLAWS INC', 'TORONTO M4T 2S8 CANADA 2016 TM/MC LOBLAWS INC', ' 1-888-495-5111']",[],?,?,?,?,?,,400g,['Rooster'],['Féculents'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,['E501i - Carbonate de potassium'],,,,,,,,
44,Doppelkeks mit Zartbittercreme - ener Bio - 330g,4305615188294,['France'],"['Weizenmehl', 'rohrohrzucket', 'pflanzliches Fett* ', ' Palm', ' kakaopulver stark entölt ', '9%', 'quinoa*', 'Honig*', 'Backtriebmittel: ', ' Natriumhydrogencarbonat ', 'Meersalz']",[],?,484,24,60,7,C,330g,['ener Bio'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Rossmann'],,+2%,+15%,-6%,+8%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,2025 kj(484 kcal),11,24,"0,68","0,272","['Bio', 'Bio européen', 'Commerce équitable', 'DE-ÖKO-001', 'Fairtrade-maxhavelaar']",24 g,en quantité élevée,11 g,en quantité élevée,24 g,en quantité élevée,0.68 g,en quantité modérée,+2%,+9%,-19%,+15%,+15%,24,+21%,E,+21%,['Plastik'],,,,,['Gluten'],,,,,,,
45,Baguette cereales,3700829100017,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Frey Adorables truffes au lait,7616500664050,['France'],[],[],?,526,33,49,"5,8",,,['Frey'],,,,,,,,,,,,,,,2201 kj(526 kcal),20,47,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,'Nduja Calabrese,8033745230588,['France'],[],[],?,715,70,"1,7","17,4",,,,,,,,,,,,,,,,,,2992 kj(715 kcal),15,0,"4,75","1,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bol salade - 50g,3303910004234,['France'],[],[],?,?,?,?,?,,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Soupe au pot aux vermicelles - Carrefour,5400101028302,['France'],[],[],?,42,"1,6","5,1","1,3",,,['Carrefour'],"['Plats préparés', 'Soupes']",['Carrefour'],,-26%,-18%,-11%,-41%,,,,,,,,176 kj(42 kcal),"0,5","0,5","0,7","0,28",,1.6 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.7 g,en quantité modérée,-26%,-17%,-71%,-19%,-19%,3,+83%,C,+83%,,,,,,,,,,,,,
50,Filet de poulets,2449376025251,['France'],[],[],?,?,?,?,?,D,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Pomodorini 400G - Conad - 400g,8003170009202,"['France', 'Italie']",[],[],?,23,"0,2","3,2","1,3",,400 g,['Conad'],,['Conad'],,,,,,,,,,,,,96 kj(23 kcal),"0,01","3,2","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
