,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,traceability_code,eco_score,quantity,packaging,brand,categories,manufacturing,link,markets,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,allergens,ingredients_origins,brand_owner,palm_ingredients,producer_info
522,Spaghetti à la Bolognaise - Crous Languedoc Roussillon - 460g,00021456,['France'],"['SPAGHETTI cuits 48,1%', 'boeuf haché 19,2% ', 'viande bovine 100% - origine France', 'tomates pelées concassées 19,2% ', 'tomates pelées non épépinées', ' jus de tomate', 'sel', 'acidifiant E330', 'concentré de tomate 7,7% ', 'purée de tomates double concentrée 28%', 'oignons 4,8%', ""huile d'olive"", 'ail', 'herbes de Provence ', 'romarin', 'basilic', 'thym', 'sel', 'poivre']","['Non végétalien', 'Non végétarien']",?,117,490 kj(117 kcal),"3,6","1,3","14,2","2,1","6,2","0,3","0,12",,,,460 g,['Plastique'],"['Crous Languedoc Roussillon', ""Crous Resto'""]","['Plats préparés', 'Plats à base de pâtes', 'en:bolognese-style-pasta-spaghetti-tagliatelle']",,,,3,,-35%,-43%,-32%,-16%,,,,,,,,3.6 g,en quantité modérée,1.3 g,en faible quantité,2.1 g,en faible quantité,0.3 g,en quantité modérée,-34%,-47%,-13%,-67%,-67%,-1,-127%,A,-127%,['E330 - Acide citrique'],,,,,,
523,Potetgull,7050122107944,['France'],[],[],?,515,2155 kj(515 kcal),31,"2,3",52,"3,5","5,5","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Abricot sec,2600110027621,['France'],[],[],?,283,1184 kj(283 kcal),"0,5",0,"62,6","53,4","3,4",0,0,,,D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,,,,,+8%,+3%,+8%,+10%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,0.5 g,en faible quantité,0 g,en faible quantité,53.4 g,en quantité élevée,0 g,en faible quantité,+8%,-100%,+18%,-100%,-100%,6,+73%,C,+73%,,,,,,,
525,Emmental,2227421023090,['France'],[],[],?,380,1590 kj(380 kcal),30,19,0,0,28,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Popcorn,3780201379828,['France'],[],[],?,477,1996 kj(477 kcal),25,"2,1","47,9","0,4","9,8",4,"1,6","['en:gluten-free', 'Sans arômes artificiels', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Framboise,3245593555262,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Konjak,44706050,['France'],[],[],?,4,17 kj(4 kcal),"0,1","0,1","2,2","0,1",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,12 œufs frais datés - Oeuf De Nos Villages,3700864008125,['France'],[],[],583,140,583 kj(140 kcal),"9,8","2,6","0,3","0,3","12,7","0,31","0,124","['Oeufs de France', 'PME +']",,B,12 oeufs,['Boîte'],['Oeuf De Nos Villages'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules']",['France'],http://www.oeufdenosvillages.fr/,,,-1%,+2%,-0%,-52%,+2%,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,9.8 g,en quantité modérée,2.6 g,en quantité modérée,0.3 g,en faible quantité,0.31 g,en quantité modérée,+1%,+7%,-40%,+15%,+15%,-1,,A,,,Oeufs frais,['Œufs'],['France'],,,
530,Cornichons - K-Classic - 670g,4335896744841,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,670g,['Glas/Gläser'],['K-Classic'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Fromage blanc,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Filets de sardines sans arêtes - Saupiquet,3165950221725,['France'],[],[],?,208,870 kj(208 kcal),12,"2,6","0,5","0,5",25,"1,2","0,48",,,,,,['Saupiquet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Hopflod blonde,3770004616480,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Aper'olives - Tokapi,3564706548848,['France'],[],[],?,164,686 kj(164 kcal),17,"2,5","0,4","0,4","1,1","3,1","1,24","['Nutriscore', 'Nutriscore C']",,,,,['Tokapi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Pain multigraines,0280950029522,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,['Biocoop'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Cassis confiture extra - Casino Bio,3222477378124,['France'],[],[],?,237,992 kj(237 kcal),0,0,57,57,"0,7",0,0,['Bio'],,D,,,"['Casino Bio', 'Casino']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']",,,['Casino'],,,+3%,-100%,+5%,+16%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,0 g,en faible quantité,0 g,en faible quantité,57 g,en quantité élevée,0 g,en faible quantité,+3%,-100%,+10%,-100%,-100%,11,+19%,D,+19%,,,,,,,
537,Prinzessbohnen,4334011184494,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,['Aluminium'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Cashew Kerne - TiP,4306188396567,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,E,,['Dose'],['TiP'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Noix de cajou', 'Noix de Cajou grillées']",,,,,,,,,,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,,,,,,,,,,,,,
539,Parsons Pickled Mussels 155G - 155g,50988242,['France'],[],[],?,97,406 kj(97 kcal),"2,7","0,4",3,0,"14,4","1,474","0,59",,,,155 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Miel de montagne - 500g,3770012167011,['France'],[],[],?,?,,?,,?,,?,,,,,B,500 g,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,
541,3337875656771,3337875656771,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Pur jus de raisin noir - Casino Bio,3222477457454,['France'],[],[],?,272,1138 kj(272 kcal),0,0,16,16,0,0,0,['Bio'],,,,,['Casino Bio'],,,,['Casino'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Cúrcuma dorada - Sonnentor - 18pcs,9004145025172,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'CZ-BIO-002']",,,18pcs,,['Sonnentor'],['Boissons'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,3560071005887,3560071005887,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Pruneaux d'Agen,3283540109069,['France'],[],[],?,234,979 kj(234 kcal),"0,5","0,1",54,35,2,,,,,E,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",,,,,,-3%,+39%,+1%,+7%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,0.5 g,en faible quantité,0.1 g,en faible quantité,35 g,en quantité élevée,,,-3%,-12%,-4%,,,,,,,,,,,,,
546,3346476513727,3346476513727,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,5397206713731,5397206713731,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,herzhaft-würzig veganer Bio-Aufstrich - take it veggie - 125g,4337185001383,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,125 g,['Dose'],['take it veggie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Mini crackers - Tonon - 180g,8009120440071,['France'],"['farine de froment ', '71,1%', 'huile végétale ', 'pālme', 'amidon de mais modifié', 'amidon de pomme de terre modifié', 'sirop de glucoșe', 'romarin ', '1,3%6', 'sel', 'lactosérum en poudre', 'amidon de mais', 'émulsifiant: lecithine de soja', 'poudres à lever: ', 'pyrophosphate acide de sodium', 'carbonate acide de sodium', ' Conserver en lieu frais et sec', ' Peut contenir des traces de CEufs et Fruits à Coque', ' DE DACKERS MIT ROSMARIN']",['Non végétalien'],?,426,1782 kj(426 kcal),11,"5,2",71,"7,2",8,2,"0,8",,,B,180 g,['Sachet plastique'],['Tonon'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,,,4,,-8%,-45%,+20%,-19%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,11 g,en quantité modérée,5.2 g,en quantité élevée,7.2 g,en quantité modérée,2 g,en quantité élevée,-9%,-4%,+84%,0%,0%,19,+23%,E,+23%,"['E322i - Lécithine', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",,['Gluten'],,,,
550,Poire fraise moelleuse,3770001230870,['France'],[],[],?,317,1326 kj(317 kcal),"0,5","0,1",70,"50,7","2,1",,,"['Sans sucre ajouté', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Chocolat à pâtisser lait - U,3256226091545,['France'],[],[],?,546,2284 kj(546 kcal),33,21,54,50,"6,6","0,21","0,084",,,E,,,['U'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,,,,,-1%,-4%,+4%,-8%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,33 g,en quantité élevée,21 g,en quantité élevée,50 g,en quantité élevée,0.21 g,en faible quantité,-1%,+7%,+2%,-10%,-10%,22,-14%,E,-14%,,,,,,,
552,Kritharaki - Liakada - 500g,4013200115128,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,500g,"['Tüte', 'Tüte']",['Liakada'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Actimel goût framboise - 8x 100g,3033491467936,['France'],[],[],?,76,318 kj(76 kcal),"1,5",1,12,"11,9","2,8","0,1","0,04",['Nutriscore'],,,8 x 100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Pâte de soja salé,8850206160129,['France'],[],[],?,138,577 kj(138 kcal),"3,1",1,"17,4","9,5","10,1","15,3","6,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Céréales fourrées Lait - Belle France - 375g,3258561040424,['France'],[],[],1861,443,1861 kj(443 kcal),"15,3",3,"65,1",35,"8,2","0,45","0,18",,,C,375 g,,['Belle France'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales extrudées', 'Céréales fourrées']",,,,,+2%,+2%,+11%,-4%,+9%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,15.3 g,en quantité modérée,3 g,en quantité modérée,35 g,en quantité élevée,0.45 g,en quantité modérée,+2%,-21%,+22%,-30%,-30%,10,-23%,C,-23%,,,,,,,
556,Oignon jaune,3664636002622,['France'],[],[],?,?,,?,,?,,?,,,,,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons', 'Oignons jaunes']",,,,,,,,,,63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,,,,,,,,,,,,,,,,,,,,,,,,
557,Crevettes nordiques,3426430001566,['France'],[],[],?,69,289 kj(69 kcal),1,"0,2",0,0,15,"1,15","0,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,filet de poulet blanc x1 s/at - Le gaulois,3266980715595,['France'],[],[],439,104,439 kj(104 kcal),"1,1","0,43",0,0,23,"0,09","0,036",,,D,,,['Le gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,-10%,-21%,-62%,-100%,+1%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,1.1 g,en faible quantité,0.43 g,en faible quantité,0 g,en faible quantité,0.09 g,en faible quantité,-19%,-42%,-100%,-88%,-88%,-4,,A,,,,,,,,
559,Purée de fruits - Sélection des comptoirs - 4x 100g,3760239181464,['France'],[],[],?,48,201 kj(48 kcal),"0,5","0,1","11,6","9,1","0,5",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,4 x 100 g,,['Sélection des comptoirs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Constellation Sweets,4069400342109,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Dony's assortis - Casino,3602826456442,['France'],"[""doony's gout chocolat "", 'farine ', 'BLE', 'huiles et graisses vegetales ', 'palme', 'colza', 'eau', 'sucre', 'pate de cacao', 'beurre de cacao', 'poudre de LAIT ecreme', 'levure', 'dextrose', 'matiere grasse laitiere anhydre farine de SOJA', 'poudre de LAIT entier', 'sel', 'emulsifiant ', 'E471', 'E481', 'lecithines de SOJA', 'E476', 'poudre a lever ', 'E450i', 'E500ii', 'LACTOSERUM en poudre ', 'LAIT', 'aromes', ""doony's rose avec vermicelles "", 'farine ', 'BLÊ', 'farine de riz', 'huiles et graisses vegetales ', 'palme', 'colza', 'coprah', 'karite', 'eau', 'sucre', 'levure', 'dextrose', 'LACTOSE ', 'LAIT', ' farine de SOJA', 'sel', 'emulsifiant ', 'E471', 'E481 lecithines', 'poudre a lever ', 'E450i', 'E500ii', 'poudre de LAIT ecreme', 'LACTOSERUM en poudre ', 'LAIT', ""agent d'enrobage "", 'E904 gomme arabique', 'concentrat de betterave', 'arome naturel', ' arome naturel de vanille', 'colorant ', 'E162', 'curcumine', ""extrait de paprika'"", ""doony's party "", 'farine ', 'BLE', 'farine de riz', 'huiles et graisses vege tales ', 'palme', 'colza coprah', 'karite', 'eau', 'sucre', 'levure', 'LAČTOSERUM en poudre ', 'LAIT', 'dextrose', 'farine de SOJA', 'sel', 'emulsifiant ', 'E471', 'lecithines', 'E481', 'LACTOSE ', 'LAÍT', 'amidon', 'poudre a lever ', 'E450i', 'E500ii', 'poudre de LAIT ecreme', ""agent d'enrobage "", 'E904', 'gomme arabique', 'colorant ', 'E162', 'curcumine', 'extrait de paprika', ""doony's pinky "", 'farine ', 'BLE', 'farine de riz', 'huiles et graisses vegetales ', 'palme', 'colza', 'coprah', 'karite', 'eau', 'sucre', 'levure', 'LACTOSERUM en poudre ', 'LAIT', 'dextrose', 'farine de SOJA', 'sel', 'emulsifiant ', 'E471']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,['Casino'],,,,['Casino'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E904 - Gomme-laque', 'E162 - Rouge de betterave', 'E100 - Curcumine', 'E160c - Extrait de paprika', 'E322 - Lécithines', ""E414 - Gomme d'acacia""]",,"['Gluten', 'Lait', 'Soja']",,,['Huile de palme'],
562,150g,5000204826494,['France'],[],[],?,?,,?,,?,,?,,,,,,150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Ail des Ours - A vol d’oiseau - 30g,3770014697646,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,,30g,['bocal en verre'],['A vol d’oiseau'],"['Epicerie', 'Condiments']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,"Pois chiches, carottes et amandes - 200g",3700009272787,['France'],[],[],?,200,837 kj(200 kcal),11,"1,3",18,"9,4","4,8","0,89","0,356","['Bio', 'Bio européen', 'FR-BIO-10', 'Point Vert']",,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Balcioglu,4260161973506,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Frey collection,7616500668072,"['France', 'Suisse']","['sucre', 'cacao en pâte', 'beurre de cacao', 'lait entier en poudre', 'hulle de palme', 'nolsettes', 'amandes', 'hulle de tournesol', 'lalt écrémé en poudre', 'hulle de coco', 'cacao malgre en poudre', 'beurre concentré', 'caca0 en poudre', 'sirop de glucose', 'émulsinant: lécithine de soja', 'café torréfié moulu', 'cacao en grains', 'sirop de sucre inverti', 'arômes naturels', "" Peut contenir des œufs et des traces d'autres fruits à coque "", 'noix']",['Non végétalien'],?,574,2402 kj(574 kcal),39,21,48,46,"5,7","0,09","0,036",,,,,,"['Frey', 'Migros']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",,,['Migros'],4,,+6%,+16%,-7%,-6%,,,,,,,,39 g,en quantité élevée,21 g,en quantité élevée,46 g,en quantité élevée,0.09 g,en faible quantité,+6%,+19%,-2%,-38%,-38%,23,-8%,E,-8%,['E322i - Lécithine'],,"['Lait', 'Fruits à coque']",,,,
567,coude 3 - randa - 500g,6194004612438,['France'],[],[],?,?,,?,,?,,?,,,['Randa vert good'],,B,500g,['sachet alimentaire'],['Randa'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']",['Tunisie'],http://randa@randa.com.tn,"['la pointe verte', 'primeur']",,,,,,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,,,,,,,,,,,,,,,['Tunisie'],,,
568,Tuna in brine,5000232005274,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,"['Can', 'item(s)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Sirop de grenadine TRIMM,20254445,['France'],[],[],?,?,,?,,?,,?,,,,,B,,,['Trimm'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de grenadine']",,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,,,,,,,,,,
570,Succès Du Jour Vanille 3 Pièces,5411803000312,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Grandessa feige,4061458068000,['France'],[],[],?,249,1042 kj(249 kcal),"0,5","0,1",60,60,"0,7",,,"['Point Vert', 'Fabriqué en Belgique']",,,,,['Grandessa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Cuisses de Poulet,20929947,['France'],[],[],?,192,803 kj(192 kcal),"13,5","3,7","0,5","0,5","17,8","0,19","0,076",,,D,,"['Film en plastique', 'Barquette en plastique']",,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,+1%,+9%,+57%,-3%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,13.5 g,en quantité modérée,3.7 g,en quantité modérée,0.5 g,en faible quantité,0.19 g,en faible quantité,+0%,+10%,+223%,-75%,-75%,0,-100%,B,-100%,,,,,,,
573,Champignons -  - 400g,4049656922089,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,A,400 g,"['06', 'folie']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons de Paris']",,,,,,,,,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,,,,,,,,,,,,,,,,['Allemagne'],,,
574,Interdis - 100g,3560071073756,['France'],[],[],?,?,,?,,?,,?,,,['Fabriqué en France'],"['EMB 44143F', 'Rezé (Loire-Atlantique, France)']",,100 g,,"['Interdis', 'Carrefour']",,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Tropical mix - Prozis,5600499572832,['France'],[],[],?,612,2561 kj(612 kcal),45,14,34,15,14,"0,2","0,08",,,,,,['Prozis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Lipton Thé Vert Bio,18377385,['France'],[],[],?,4,17 kj(4 kcal),0,0,0,0,"0,5",0,0,['Bio'],,B,,,['Lipton'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,,-67%,-100%,-100%,+138%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,-65%,-100%,-100%,-100%,-100%,1,-76%,B,-76%,,,,,,,
577,Bonbon Gelifié,9002975460453,['France'],[],[],?,368,1540 kj(368 kcal),"0,5","0,1",86,65,"4,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Tomato sun dried fruits - Rival - 100g,4850009990095,['France'],['Tomates séchées'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,233,974 kj(233 kcal),"0,34",0,"57,5","33,8","9,94","0,255","0,102",['Sans conservateurs'],,E,100 g,,['Rival'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Tomates et dérivés', 'Aliments à base de plantes séchées', 'Légumes séchés', 'Tomate séchée']",['Arménie'],,,1,,+12%,-97%,+271%,+162%,34.1%,59.8%,3.6%,1.3%,1.0%,0.2%,13,0.34 g,en faible quantité,0 g,en faible quantité,33.8 g,en quantité élevée,0.255 g,en faible quantité,+12%,-100%,+210%,-92%,-92%,-5,-192%,A,-192%,,,,,,,
579,Café de Bordeaux - Artisan torréfacteur - 250g,3700110046796,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,"['Bio', 'Bio européen', 'Agriculture non UE']",,,250g,,['Artisan torréfacteur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,-98%,-100%,-96%,-90%,,,,,,,,,,,,,,,,-98%,-100%,-100%,-100%,-100%,,,,,,,,,,,
580,Cadette - Journal - 26g,3781604505500,['France'],[],[],?,?,,?,,?,,?,,,,,,26g,,['Journal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Miel De Alta Montaña Bio,8431523107075,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Blanquette de dinde - Bio Village,3564707158305,['France'],[],[],?,266,1113 kj(266 kcal),"1,4","0,6","9,2","1,4",3,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",,,,,['Bio Village'],,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Pomme a croquer - 80g,3700552400590,['France'],[],[],?,53,222 kj(53 kcal),"0,5","0,01","11,2","11,2","0,5","0,1","0,04","['Nutriscore', 'Nutriscore A']",,B,80 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes']",,,,,,+13%,+70%,+6%,+38%,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,0.5 g,en faible quantité,0.01 g,en faible quantité,11.2 g,en quantité modérée,0.1 g,en faible quantité,+16%,-88%,+38%,+148%,+148%,-3,,A,,,,,,,,
584,Tic tac gum,8000500268780,['France'],[],[],?,?,,?,,?,,?,,,,,,,,['Tic Tac'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Biscuits à la noisette de France - Les Deux Gourmands,3770003262282,['France'],[],[],?,511,2138 kj(511 kcal),29,13,51,22,9,"0,4","0,16",['Bio'],,,,,['Les Deux Gourmands'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,3183523700019,3183523700019,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
