,name,bar_code,eco_score,quantity,brand,categories,ingredients_origins,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,additives,packaging,manufacturing,generic_name,link,palm_ingredients
10,Magret de canard séché,3295080667053,E,,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,['France'],[],,[],,21 g,en quantité élevée,6.6 g,en quantité élevée,0.5 g,en faible quantité,4 g,en quantité élevée,?,,300,-12%,1255 kj(300 kcal),-12%,21,-28%,"6,6",-34%,"1,4",+12%,"0,5",-25%,26,+45%,4,+142%,"1,6",+142%,19,+3%,E,+3%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,
11,Foie gras de canard entier mi-cuit - Les Eleveurs de l'Ouest - 180g,3295080678370,B,180 g,"[""Les Eleveurs de l'Ouest""]","['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,,['France'],"['Foie gras de canard entier', 'Fine Bretagne 1', '9%', 'sel de Guérande 0', '57%', 'sel', 'poivre', 'conservateur : E250', 'antioxydant: E301']",,"['Non végétalien', 'Non végétarien']",3,52 g,en quantité élevée,23 g,en quantité élevée,0.8 g,en faible quantité,1.1 g,en quantité modérée,?,,514,-3%,2151 kj(514 kcal),-3%,52,-4%,23,-1%,"2,9",+22%,"0,8",-39%,"7,7",+2%,"1,1",-8%,"0,44",-8%,20,-4%,E,-4%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,"['FR 56.109.001 CE', 'Lauzach (Morbihan, France)']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,,,,
12,Terribe de canard aux cèpes - Domaine de Lanvaux - 180g,3295080754487,,180 g,['Domaine de Lanvaux'],,,,['France'],[],,[],,,,,,,,,,?,,217,,908 kj(217 kcal),,15,,"4,5",,"2,4",,0,,18,,"1,5",,"0,6",,,,,,,,,,,,,,"['FR 56.109.001 CE', 'Lauzach (Morbihan, France)']",,,,,,
13,2 tournedos de canard,3295080854286,,,,,,,['France'],[],,[],,,,,,,,,,?,,176,,736 kj(176 kcal),,12,,"3,4",,0,,0,,17,,"0,23",,"0,092",,,,,,,,,,,,,,"['FR 56.109.001 CE', 'Lauzach (Morbihan, France)']",,,,,,
14,Tisane Bio nuit d'été,3295249012359,,,,,,,['France'],[],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
15,Vinaigrette Ail Basilic - Puget,3295472087001,D,,['Puget'],"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",,,['France'],[],,[],,32 g,en quantité élevée,3.7 g,en quantité modérée,1.2 g,en faible quantité,2.1 g,en quantité élevée,?,,307,-15%,1284 kj(307 kcal),-14%,32,-13%,"3,7",-2%,"3,1",-35%,"1,2",-64%,"0,4",-32%,"2,1",+9%,"0,84",+9%,15,+1%,D,+1%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,
16,Petit frais - La Ferme Du Gennetay - 250g,3295522221355,,250 g,['La Ferme Du Gennetay'],,,,['France'],"['LAIT entier cru ', 'ferments', 'prosuro naturelle', 'Calcium', ' ? 41', '82', '23', '36']",['Lait'],['Non végétalien'],,,,,,,,,,?,,171,,715 kj(171 kcal),,14,,10,,"2,6",,"2,6",,"9,2",,"0,09",,"0,036",,,,,,,,,,,,,,"['FR 49.013.001 CE', 'Auverse (Maine-et-Loire, France)']",,,,,,
17,"Moules farcies COURBEYRE, x12",3295522965105,,,,,,,['France'],[],,[],,,,,,,,,,?,,309,,1293 kj(309 kcal),,28,,15,,"5,4",,3,,"8,3",,"1,1",,"0,44",,,,,,,,,,,,,,"['FR 15.014.033 CE', 'Aurillac (Cantal, France)']",,,,,,
18,Escargots de Bourgogne,3295524331410,C,,,"['Viandes', 'Escargots', 'Escargots de Bourgogne']",,,['France'],[],,[],,29 g,en quantité élevée,19 g,en quantité élevée,2 g,en faible quantité,1.5 g,en quantité modérée,?,,308,+22%,1289 kj(308 kcal),+22%,29,+43%,19,+40%,"2,7",+16%,2,+191%,"9,1",-18%,"1,5",+26%,"0,6",+26%,19,+57%,E,+57%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,,,,,,,,
19,Escargot cuisinés recette a la bourguignonne - Le Gourmand - 67g,3295525222106,,67 g,['Le Gourmand'],,,,['France'],"[""Chairs d'escargots "", 'helix lucorum', 'cuites ', ""chairs d'e%argots"", 'sel', 'vin blanc', 'plantes aromatiques et épices dont céleri', ' Farce 50% ', 'beurre 72%*', 'persil 1470* ', 'ail 7', '9%* ', 'doni sulfites', ' échalote 2', '5%* rehydratés', 'sel', 'poivre et piment', ' * % expri - més sur la farce Les informations en gras sont destinées aux personnes allergiques']",['Lait'],"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,308,,1289 kj(308 kcal),,29,,19,,"2,7",,"1,5",,"9,1",,"1,3",,"0,52",,,,,,,,,,,,,['Point Vert'],,,,,,,
20,Chateau Belrose,3295890168849,D,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,
21,Château La Chapelle Bordeaux - M. Roux Christian - 75cl,3295890204288,C,75 cl,['M. Roux Christian'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Bordeaux']",['France'],,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,
22,Graves 2014 - Château Le Bourdillot - 75cl,3295890206114,B,75 cl,['Château Le Bourdillot'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux', 'Graves']",['France'],,['France'],"['Vin rouge issu des cépages Merlot', 'Cabernet Sauvignon ', 'contient des sulfites']",['Anhydride sulfureux et sulfites'],"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Déconseillé aux femmes enceintes'],,,"['Bouteille', 'Verre']",['France'],,,
23,Marinade provencale,3295921817005,,,,,,,['France'],[],,[],,,,,,,,,,?,,86,,360 kj(86 kcal),,"4,7",,"0,45",,"7,2",,"1,05",,"2,6",,"6,8",,"2,72",,,,,,,,,,,,,,,,,,,,
24,Soupe de Crabe,3295982120014,,,,,,,['France'],[],,[],,,,,,,,,,?,,49,,205 kj(49 kcal),,"1,6",,"0,37",,"3,9",,"0,7",,"4,6",,"1,26",,"0,504",,,,,,,,,,,,,,,,,,,,
25,Soupe de poisson,3295982321459,E,,,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,,['France'],[],,[],,1.5 g,en faible quantité,0.37 g,en faible quantité,0.2 g,en faible quantité,0.973 g,en quantité modérée,?,,48,0%,201 kj(48 kcal),+1%,"1,5",-21%,"0,37",-18%,"2,1",+15%,"0,2",-69%,"0,6",-88%,"0,973",+10%,"0,389",+10%,4,+359%,C,+359%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,['Label Rouge'],,,,,,,
26,Soupe de crabe,3295988120018,,,,,,,['France'],[],,[],,,,,,,,,,?,,49,,205 kj(49 kcal),,"1,6",,"0,37",,"3,9",,"0,7",,"4,6",,"1,26",,"0,504",,,,,,,,,,,,,,,,,,,,
27,Croûtons frits goût nature - Penard du touques - 100g,3295988309604,D,100g,['Penard du touques'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,,,,,,
28,Terrine de pâté de nos campagnes,3296290036004,,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",,,['France'],[],,[],,46.7 g,en quantité élevée,18.2 g,en quantité élevée,0.03 g,en faible quantité,4.9 g,en quantité élevée,?,,476,+47%,1992 kj(476 kcal),+48%,"46,7",+65%,"18,2",+69%,3,+31%,"0,03",-97%,"10,9",-22%,"4,9",+206%,"1,96",+206%,25,+29%,E,+29%,,,,,,,,,,,,,,,
29,3296311132067,3296311132067,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
30,Nuit-Saint-Georges - Jean Bouchard  - 75Cl,3296313140008,,75 Cl,['Jean Bouchard'],,,,['France'],[],,[],,,,,,,,,,?,,68,,285 kj(68 kcal),,0,,0,,"0,2",,"0,05",,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,
31,Rillettes de canard -,3296410002100,D,,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,,['France'],[],,[],,48 g,en quantité élevée,15 g,en quantité élevée,5 g,en quantité modérée,2 g,en quantité élevée,?,,488,+22%,2042 kj(488 kcal),+22%,48,+31%,15,+20%,5,+765%,5,+1892%,14,-14%,2,+46%,"0,8",+46%,25,+30%,E,+30%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,
32,Rillettes d'oie - 180g,3296410002438,D,180 g,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', ""Rillettes d'oie""]",,,['France'],[],,[],,49 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,509,+27%,2130 kj(509 kcal),+28%,49,+33%,16,+34%,"0,5",+42%,"0,5",+120%,17,+7%,"1,7",+31%,"0,68",+31%,23,+19%,E,+19%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,
33,Boudin noir à tartiner,3296410002575,,,,,,,['France'],[],,[],,,,,,,,,,?,,263,,1100 kj(263 kcal),,24,,"9,1",,"1,7",,"1,1",,"9,8",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,
34,Tripes au Calvados,3296410002933,,,,,,,['France'],[],,[],,,,,,,,,,?,,138,,577 kj(138 kcal),,"5,2",,"2,2",,"0,5",,"0,5",,22,,"1,3",,"0,52",,,,,,,,,,,,,,"['FR 50.591.001 CE', 'Teilleul (Manche, France)']",,,,,,
35,Tripes à la mode de Caen - U,3296410002988,E,,['U'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Spécialités à base de tripes', 'Tripes à la mode de Caen']",,,['France'],"[""SUCRES L'EXTRAIT DE STEVIA* Bonbons sans sucres à la crème fraîche goût caramel"", 'avec édulcorants Ingrédients Edulcorants : Sirop de maltitol - isomalt - glycosides de stéviol ', 'extrait de Stevia rebaudiana', ' 0,025%', 'crème fraîche sel', 'arômes naturels', 'poudre de lait écrémé', 'colorant : caramel ordinaire', 'émulsifiant : lécithine de tournesol', ' Certains ingrédients de ce produit ne proviennent pas de France', ' Une consommation excessive peut avoir des effets laxatifs']",,['Non végétalien'],4,6 g,en quantité modérée,4.2 g,en quantité modérée,0.49 g,en faible quantité,0.8 g,en quantité modérée,?,,268,+114%,1121 kj(268 kcal),+132%,6,+85%,"4,2",+180%,88,+17021%,"0,49",+44%,"0,4",-98%,"0,8",-32%,"0,32",-32%,10,+545%,C,+545%,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,"['Une consommation excessive peut avoir des effets laxatifs', 'Certains ingrédients ne proviennent pas de France']",,"['E965ii - Sirop de maltitol', 'E953 - Isomalt', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E150a - Caramel E150a', 'E322i - Lécithine']",,,,,
36,Pâté grand-mère au calvados,3296410004227,,,,,,,['France'],[],,[],,,,,,,,,,?,,313,,1310 kj(313 kcal),,28,,"10,6",,"0,9",,"0,9",,14,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,
37,Terrine normande,3296410004265,,,,,,,['France'],[],,[],,,,,,,,,,?,,320,,1339 kj(320 kcal),,28,,"10,3",,"1,7",,"1,7",,15,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,
38,Power Rangers - Megazord Ninja Steel,3296580435951,,,,,,,['France'],[],,[],,,,,,,,,,?,,1,,4 kj(1 kcal),,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
39,Regal de Bourgogne - 110g,3296651110145,,110 g,,,,,['France'],[],,[],,,,,,,,,,?,,336,,1406 kj(336 kcal),,32,,21,,4,,0,,7,,1,,"0,4",,,,,,,,,,,,,['Point Vert'],,,,,,,
40,Regal de bourgogne au son de moutarde - 110g,3296651110169,,110 g,,,,,['France'],[],,[],,,,,,,,,,?,,344,,1439 kj(344 kcal),,32,,21,,3,,"0,1",,8,,1,,"0,4",,,,,,,,,,,,,,"['FR 21.464.001 CE', ""Nuits-Saint-Georges (Côte-d'Or, France)""]",,,,,,
41,Le régal de Bourgogne aux Cranberries,3296651110268,,,,,,,['France'],[],,[],,,,,,,,,,?,,338,,1414 kj(338 kcal),,25,,16,,21,,17,,6,,1,,"0,4",,,,,,,,,,,,,['Point Vert'],"['FR 21.297.001 CE', ""Gilly-lès-Cîteaux (Côte-d'Or, France)""]",,,,,,
42,Double creme bio,3296651110459,,,,,,,['France'],[],,[],,,,,,,,,,?,,395,,1653 kj(395 kcal),,40,,27,,3,,0,,8,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,
43,Le régal de bourgogne au gingembre - 200g,3296651110770,,200 g,,,,,['France'],[],,[],,,,,,,,,,?,,354,,1481 kj(354 kcal),,32,,21,,14,,11,,7,,1,,"0,4",,,,,,,,,,,,,['Point Vert'],"['FR 21.287.001 CE', ""Fresnes (Côte-d'Or, France)""]",,,,,,
44,crème fraîche,3296651111043,,,,,,,['France'],[],,[],,,,,,,,,,?,,300,,1255 kj(300 kcal),,32,,32,,2,,2,,"2,1",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,
45,Crème fraîche  de Chevillon - Les Fromagers De Chevillon,3296651111050,,,['Les Fromagers De Chevillon'],,,,['France'],"['crème de lait', 'lait ', 'ferments lactiques', "" Crème et lait : Origine A jusqu'au: voir""]",['Lait'],['Non végétalien'],,,,,,,,,,?,,300,,1255 kj(300 kcal),,32,,22,,2,,2,,"2,1",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,
46,Le Bourguignon (22 % M.G.) - Fromagerie Delin - 500g,3296651111418,B,500 g,['Fromagerie Delin'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages pasteurisés', 'Fromages à pâte molle']",['France'],['Carrefour'],['France'],"['lait', 'sel', 'présure', 'ferments lactiques', ""ferments d'affinage""]",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,22 g,en quantité élevée,16 g,en quantité élevée,0.6 g,en faible quantité,,,?,,272,-15%,1138 kj(272 kcal),-16%,22,-21%,16,-18%,2,+74%,"0,6",+12%,15,-12%,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['en:lait-francais-french-milk'],"['FR 21.297.001 CE', ""Gilly-lès-Cîteaux (Côte-d'Or, France)""]",,"['Plastique', 'Bois', 'Frais']","['Bourgogne', 'France']",,,
47,Le Régal de Bourgogne - 200g,3296651111555,,200 g,,,,,['France'],[],,[],,,,,,,,,,?,,332,,1389 kj(332 kcal),,32,,21,,6,,"2,2",,8,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,
48,Le régal de Bourgogne aux raisins,3296651111821,,,,,,,['France'],[],,[],,,,,,,,,,?,,315,,1318 kj(315 kcal),,25,,12,,31,,25,,5,,1,,"0,4",,,,,,,,,,,,,,,,,,,,
49,Brillat-Savarin affiné - Fromagerie Delin - 200g,3296651111869,C,200g,['Fromagerie Delin'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Brillat-Savarin']",,,['France'],"['lait ', 'origine : France', 'crème', 'sel', 'présure', 'ferments']","['Lait', 'Ferments']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,40 g,en quantité élevée,27 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,?,,395,+3%,1653 kj(395 kcal),+3%,40,+4%,27,+2%,3,+82%,0,-100%,8,-7%,"1,2",+9%,"0,48",+9%,15,+6%,D,+6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['IGP'],"['FR 21.297.001 CE', ""Gilly-lès-Cîteaux (Côte-d'Or, France)""]",,"['Plastique', 'Frais']",,Fromage à pâte molle au lait pasteurisé,,
50,Prestige de Bourgogne - 200g,3296651111913,,200 g,,,,,['France'],[],,[],,,,,,,,,,?,,395,,1653 kj(395 kcal),,40,,24,,3,,"0,1",,8,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,
51,Brillat Savarin affiné - Fromagerie DELIN - 200g,3296651113054,C,200 g,['Fromagerie DELIN'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Brillat-Savarin']",,,['France'],"['Lait ', 'origine france', 'crème', 'sel', 'présure', 'ferments lactiques']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,20 g,en quantité modérée,13.5 g,en quantité élevée,0 g,en faible quantité,0.6 g,en quantité modérée,?,,200,-48%,837 kj(200 kcal),-48%,20,-48%,"13,5",-49%,"1,5",-9%,0,-100%,4,-54%,"0,6",-45%,"0,24",-45%,12,-15%,D,-15%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['IGP'],"['FR 21.297.001 CE', ""Gilly-lès-Cîteaux (Côte-d'Or, France)""]",,,,,,
52,Le régal de Bourgogne à la pomme bio,3296651114044,,,,,,,['France'],[],,[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,25,,15,,28,,23,,6,,1,,"0,4",,,,,,,,,,,,,,,,,,,,
53,Rilettes du mans - L. Fassier,3296680010096,D,,['L. Fassier'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes françaises', 'Rillettes de viande rouge', 'Rillettes de la Sarthe', 'Rillettes de porc', 'Rillettes du Mans']",,,['France'],"['Viande et gras de porc ', '112 g de porc mis en pour 100 g de produit fini', 'sel', 'poivre', 'conservateur : sel nitrité']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,31 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,?,,345,-14%,1443 kj(345 kcal),-14%,31,-17%,12,-16%,0,-100%,0,-100%,16,+1%,1,-20%,"0,4",-20%,18,-8%,D,-8%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
54,"Ballotte de canette - L.Fassier - 0,250g",3296680022655,,"0,250 g",['L.Fassier'],,,,['France'],"['BALLOT DE CANErTE AUX FI Sle 250GR INGRE01ENTS:h/ et grac de potc', ' viande de canard 20M%', ' peau de dinde:ti 7 Oexqpaaisse et foie de 1 fraic rougesaromes,fecule de manioqfarine et emes vegeta!es ', ""don•lBLE'"", ' *armagnacs bouillon', 'dextros omet naturels', 'selstabilisants:E450', 'plasma de s,aïosesucte brumproteine de LAIT,plante aromatiques', 'antho fi', ',E352', ' correcteurs OFIJF,colorant: El 2 000Decor:gelempain azyme', ' Traces sulfitesgnoutarde et fruits a coques', ' Poui 1 DOT Valeur e getique:']",['Lait'],"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,240,,1004 kj(240 kcal),,18,,"6,7",,"5,1",,"3,2",,13,,"2,5",,1,,,,,,,,,,,,,,"['FR 72.373.002 CE', 'Vibraye (Sarthe, France)', 'EMB 72373A', 'Vibraye (Sarthe, France)']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E352 - Malates de calcium']",,,,,
55,3296680040109,3296680040109,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['FR 72.373.002 CE', 'Vibraye (Sarthe, France)']",,,,,,
56,"Pieds cuits - 0,400kg",3296680150532,,"0,400 kg",,,,,['France'],[],,[],,,,,,,,,,?,,169,,707 kj(169 kcal),,"10,3",,"3,5",,"0,1",,"0,1",,19,,1,,"0,4",,,,,,,,,,,,,,"['FR 72.373.002 CE', 'Vibraye (Sarthe, France)', 'EMB 72373A', 'Vibraye (Sarthe, France)']",,,,,,
57,Côtes cuites,3296680190309,,,,,,,['France'],[],,[],,,,,,,,,,?,,177,,741 kj(177 kcal),,"9,3",,"4,1",,23,,23,,23,,"1,5",,"0,6",,,,,,,,,,,,,,"['FR 72.373.002 CE', 'Vibraye (Sarthe, France)', 'EMB 72373A', 'Vibraye (Sarthe, France)']",,,,,,
58,Rouleaux De Printemps,3296740000678,,,,,,,['France'],[],,[],,,,,,,,,,?,,242,,1013 kj(242 kcal),,"12,6",,"1,9",,"27,2",,"3,2",,"4,9",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,
