,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,packaging,categories,ingredients_origins,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,allergens,nova_score,labels,producer_info,traceability_code,additives,link,generic_name,palm_ingredients,origin_detail,brand_owner
869,Iso whey zero protein drink powder with sweeteners - BiotechUSA,5999076223152,['BiotechUSA'],['France'],[],[],?,372,1556 kj(372 kcal),"1,6",1,"5,2","0,8",84,"0,71","0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,,,
870,Pur jus grenade - Atelier Patrick Font,3760131162240,['Atelier Patrick Font'],['France'],[],[],?,76,318 kj(76 kcal),"0,74","0,12","14,2","13,7","1,29",0,0,,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de grenade', 'Jus de grenade pur jus']",,,0.74 g,en faible quantité,0.12 g,en faible quantité,13.7 g,en quantité élevée,0 g,en faible quantité,,+36%,+35%,+287%,+326%,+7%,+11%,+215%,-100%,-100%,8,+16%,D,+16%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,
871,Pan de centeno - Veritas - 500g,8435173001066,['Veritas'],"['France', 'Espagne']","['de centeno integral* molido', 'en parte como masa madre', 'agua', 'levadura', 'sal']",[],?,196,820 kj(196 kcal),"1,2","0,1",37,"2,5","4,2","0,93","0,372",500 g,B,['Plastico'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']",,,1.2 g,en faible quantité,0.1 g,en faible quantité,2.5 g,en faible quantité,0.93 g,en quantité modérée,,-15%,-15%,-39%,-71%,-11%,-15%,-39%,-18%,-18%,4,+264%,C,+264%,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,,3,,,,,,,,,
872,Rivi. mat Rhum Gold TRD. 40D,3147699115381,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Cocoba creme,7612052003743,,['France'],[],[],?,581,2431 kj(581 kcal),"39,7","9,5",49,"46,9","5,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-013', 'Agriculture UE/Non UE']",,,,,,,,
874,Color herbalia coloration 100% vegetale - Garnier - 120ml,3600542153188,['Garnier'],['France'],[],[],?,?,,?,,?,,?,,,120ml,,,"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Mini nems au crevettes,8934717265259,,['France'],[],[],?,179,749 kj(179 kcal),"5,7","1,4",25,"3,6","6,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Thermo ketone,3662072011062,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Côteaux Nantais,3301592000483,['Côteaux Nantais'],['France'],[],[],?,?,,?,,?,,?,,,,C,,"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres doux']",,,,,,,,,,,,,,,,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Bio-dynamie', 'Demeter']",,,,,,,,
878,La Boule Brownie - Funky Veggie,3770008009332,['Funky Veggie'],['France'],[],[],?,413,1728 kj(413 kcal),21,"4,1",43,39,"7,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
879,Acai berry powder,3800232733830,,['France'],[],[],?,571,2389 kj(571 kcal),45,8,23,0,8,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'BG-BIO-16']",,,,,,,,
880,Propolis verte Miel d'Acacia - Valebio,3770005830267,['Valebio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,
881,"Mélange  chia, chanvre, lin -",3770001023106,,['France'],"['Graines de lin brun bio* ', '40%', 'graines de chia bio ', '30%', 'graines de chanvre bio* ', '30%', "" *Produit issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,548,2293 kj(548 kcal),"33,3","4,3",13,"2,4","22,8","0,03","0,012",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains']",,,33.3 g,en quantité élevée,4.3 g,en quantité modérée,2.4 g,en faible quantité,0.03 g,en faible quantité,,+62%,+61%,+569%,+527%,-77%,+147%,+142%,-63%,-63%,5,,C,,,,,,,,,,,1,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,
882,Mondelez,7622210410948,['Mondelez'],['France'],[],[],?,388,1620 kj(388 kcal),"8,78","1,22","65,9","29,3","6,34","0,244","0,098",,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,8.78 g,en quantité modérée,1.22 g,en faible quantité,29.3 g,en quantité élevée,0.244 g,en faible quantité,,-18%,-19%,-58%,-88%,+3%,-1%,-2%,-59%,-59%,7,-65%,C,-65%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,
883,Bio Fruchtsnack - machland - 100g,03113725,['Machland'],"['France', 'Suisse']","['55 % Apfel*', '27% Bananen*', '18 % Erdbeeren aus kontrolliert biologischer Landwischaft', ' Pasteurisiert', ' Purée de fruits bio aux pommes', 'bananes et fraíses', 'Contient des sucres naturellement presents', ' Ingrédients: 55 % nommes 27 % bananes*,18%fraises""', "" ISsues de l'agriculture biolog ue contrôlée"", ' Pasteurisé', ' Purea di frutta bio alle mele banane e fragole', ' Contienenaturalmente zuccheri', ' Ingredienti: 55 % mele* 27 % banane*', '18 % fragole""', ' *da agricoltura biologica controllata', ' Pastorizzato']",[],?,63,264 kj(63 kcal),"< 0,5","< 0,1",13,11,"0,6","< 0,01","0,004",100 g,,['Beutel'],"['Aliments pour bébé', 'Goûters et desserts pour bébé']",,,,,,,,,,,,-42%,-34%,-71%,-85%,-24%,+3%,-62%,-80%,-80%,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AT-BIO-902', 'Agriculture UE/Non UE']",,,,,,,,
884,Radis - 250g,8712785004020,,['France'],[],[],?,?,,?,,?,,?,,,250g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Radis', 'Radis frais']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Jambon blanc fumé - Herta,7613036574082,['Herta'],['France'],[],[],?,105,439 kj(105 kcal),"2,5",1,"0,5","0,5",20,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,
886,"Coteaux D'aix-en-provence, Aoc, La Bouteille De 75 cl",3250390261827,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Curcuma ginger latte,8713576001082,,['France'],[],[],?,301,1259 kj(301 kcal),"3,9","2,5",42,"4,2","9,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,
888,Nescafe Hazelnut - 100g,05588309,['Nescafé'],['France'],"['CHICORY', 'INSTANT COFFEE', 'FLAVOUR AND ARTIFICIAL FLAVOUR', 'ACESULFAME-POTASSIUM']",[],?,10,42 kj(10 kcal),0,0,2,0,"0,2",0,0,100g,E,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",,,,,,,,,,,,-92%,-93%,-100%,-100%,-91%,-100%,-96%,-100%,-100%,,,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,,,4,,,,['E950 - Acésulfame K'],,,,,
889,Jambon - Cora,3257986289401,['Cora'],['France'],[],[],?,112,469 kj(112 kcal),"2,7",1,"0,8","0,8",21,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française', 'Fabriqué en France']",,"['EMB 87065', 'Feytiat (Haute-Vienne, France)']",,,,,,
890,Poivre Séchuan - Sainte Lucie - 25g,3162050049662,['Sainte Lucie'],['France'],['Poivre Séchuan'],[],?,?,,?,,?,,?,,,25 g,,['Moulin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 60282A', 'Gouvieux (Oise, France)']",,,,,,
891,3470320400427,3470320400427,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Crêpes - creapan,8712941108234,['Creapan'],"['France', 'Espagne']",[],[],?,240,1004 kj(240 kcal),"11,2","1,5","28,5","7,1","5,6","1,02","0,408",,,,['Crêpes et galettes'],,,11.2 g,en quantité modérée,1.5 g,en quantité modérée,7.1 g,en quantité modérée,1.02 g,en quantité modérée,,-8%,-9%,+41%,-50%,-26%,-45%,-21%,+2%,+2%,5,-47%,C,-47%,,,,,,,,,,,,,,,,,,,
893,Tarte aux framboises,20058319,,['France'],[],[],?,238,996 kj(238 kcal),"6,2","4,1",41,25,"2,8","0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Son d'avoine,5604321029754,,['France'],[],[],?,358,1498 kj(358 kcal),"8,7","1,6","44,5","1,4","17,5","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Cake à l'Abricot,3760026381749,,['France'],[],[],?,369,1544 kj(369 kcal),15,"2,2",55,34,"4,9","0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Cortezas de cerdo,8420331000418,,['France'],[],[],?,484,2025 kj(484 kcal),"22,7","7,7",0,0,70,"3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
897,Beignets chocolat noisette -,,,['France'],"['Farine de BLE', 'huiles et graisse vegetale ', 'tournesol', 'colza', 'sucre,0EUFS', 'eau', 'NOISETTES 2,5%', 'levure', 'LAIT ecreme en poudre', 'cacao maigre en poudre 1,4%', ""jaunes d'OEUFS"", 'sel', 'emulsifiants: E471', 'E472', 'lécithine de SOJA', 'GLUTEN de BLE', 'Arome']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1555,?,1555 kj(372 kcal),17,"1,8",47,15,"8,3","0,77","0,308",,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,,17 g,en quantité modérée,1.8 g,en quantité modérée,15 g,en quantité élevée,0.77 g,en quantité modérée,+0%,,+4%,+8%,-48%,+4%,-8%,+31%,+4%,+4%,11,-8%,D,-8%,,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472 - Esters d'acides gras alimentaires"", 'E322i - Lécithine']",,,,,
898,Micrema de tomate con picatostes y pasta envase 54 g - Knorr,8714100383711,['Knorr'],['France'],[],[],?,337,1410 kj(337 kcal),"4,8","2,2",61,31,11,"7,3","2,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Seasoned seaweed original - 60g,0087703023185,,['France'],[],"['Végétalien', 'Végétarien']",?,480,2008 kj(480 kcal),"26,7",0,"33,3","3,3","26,7","4,8","1,92",60 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,
900,aknaz,6111250474603,,['France'],[],[],?,338,1414 kj(338 kcal),"31,5","0,4",5,0,"8,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,"Sangria Superior 1, 5 L",8424396077477,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,3511724965805,3511724965805,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Champignons cuisinés à la mexicaine - Saint Eloi,3250392724924,['Saint Eloi'],['France'],"['champignon 47%,eau,concentré de tomates 5,9%,tomates 4,3%,piments jalapeno 3,1%,échalotes,maïs 2,3%', 'huile de colza,amidon modifié,poivre rouge séché', 'oignon en poudre,sel,avocat en poudre', 'poivron vert séché', 'estragon', 'jus de citron concentré,ail en poudre', 'sucre', 'épices', 'arômes naturels', 'piment rouge,origan déshydraté', 'extrait de paprika']",[],?,56,234 kj(56 kcal),2,0,4,2,2,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,"['E14XX - Amidons modifiés', 'E160c - Extrait de paprika']",,,,,
904,"Sirup, Beeren - Coop",7610848870494,['Coop'],['France'],[],[],?,206,862 kj(206 kcal),0,0,50,50,0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Riz au lait caramel - Bonne Maman,3608580902904,['Bonne Maman'],['France'],[],[],?,159,665 kj(159 kcal),"4,8","3,1",26,18,3,"0,1","0,04",,B,,"['Desserts', 'Puddings', 'Riz au lait']",,,4.8 g,en quantité modérée,3.1 g,en quantité modérée,18 g,en quantité élevée,0.1 g,en faible quantité,,+10%,+11%,+28%,+36%,+15%,+33%,-12%,-22%,-22%,6,+49%,C,+49%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,,,,,,,,,,
906,Brassé prune babybio,3288130540901,['Babybio'],['France'],[],[],?,88,368 kj(88 kcal),"3,7","2,6","10,1",6,"2,8","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,
907,Huile de Bourrache - Melvita - 50ml,3284410042486,['Melvita'],['France'],[],[],?,?,,?,,?,,?,,,50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Epicerie / Boissons Et Vins / Alcools Et Digestifs,3381661002013,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,
909,Galette de riz au chocolat,5902180480335,,['France'],[],[],?,487,2038 kj(487 kcal),20,"12,2","64,3","26,7","7,9","0,02","0,008",,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', 'en:puffed rice cakes with chocolate']",,,20 g,en quantité modérée,12.2 g,en quantité élevée,26.7 g,en quantité élevée,0.02 g,en faible quantité,,+13%,+13%,+69%,+91%,-10%,+110%,+7%,-89%,-89%,21,+149%,E,+149%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,['en:gluten-free'],,,,,,,,
910,Petits craquants salés - Avec Plaisir !,3067140037478,['Avec Plaisir !'],['France'],[],[],?,440,1841 kj(440 kcal),16,"1,5",63,"2,5","9,5","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,
911,Mais a pop corn,5601319053272,,['France'],[],[],?,418,1749 kj(418 kcal),12,"4,6",60,"0,5",11,"0,02","0,008",,,,['Maïs pour pop corn'],,,12 g,en quantité modérée,4.6 g,en quantité modérée,0.5 g,en faible quantité,0.02 g,en faible quantité,,+27%,+27%,+258%,+862%,+1%,-63%,+3%,-66%,-66%,4,,C,,,,,,,,,,,,,,,,,,,,
912,Sève de bouleau -,5430000528030,,['France'],[],[],?,2,8 kj(2 kcal),0,0,"0,5",0,0,0,0,,,,"['Boissons', 'Boissons sans sucre ajouté', 'Sèves de bouleau']",,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-60%,-64%,-100%,-100%,-55%,-100%,-100%,-100%,-100%,1,-17%,B,-17%,,,,,,,,,,,['Sans conservateurs'],,,,,,,,
913,Cotton candy - 50g,8697436559558,,"['Autriche', 'France']",[],[],?,399,1669 kj(399 kcal),1,"0,6",97,97,0,0,0,50 g,,['Stück'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Barbes à papa']",,,1 g,en faible quantité,0.6 g,en faible quantité,97 g,en quantité élevée,0 g,en faible quantité,,+8%,+6%,+852%,+483%,+3%,+3%,-100%,-100%,-100%,14,0%,D,0%,,,,,,,,,,,,,,,,,,,
914,Obst-Riegel,4061458008839,,['France'],[],[],?,337,1410 kj(337 kcal),"2,6","0,9",72,51,"3,2","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Real - Fazer - 420g,6411402117700,['Fazer'],"['Finlande', 'France']","['Täysjyväruis ', '55%', ' ', 'jauho', 'jyvä ja rouhe', 'vesi', 'siirappi', 'ohra - ja ruismallasuute', 'jodioitu merisuola ja hiiva']",[],?,195,816 kj(195 kcal),"1,3","0,2",35,"4,7","5,4","0,7","0,28",420g,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']",['Finlande'],,1.3 g,en faible quantité,0.2 g,en faible quantité,4.7 g,en faible quantité,0.7 g,en quantité modérée,,-16%,-15%,-34%,-41%,-16%,+60%,-22%,-39%,-39%,3,+173%,C,+173%,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,['Gluten'],3,['fi:Sydänmerkki'],,,,,,,,
916,"Cr.cassis 70Cl 16 Dg Bf, - 70cL",3258561370217,,['France'],[],[],?,?,,?,,?,,?,,,70 cL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Purée Mangues Rhubarbe - La Vie Claire,3266191025391,['La Vie Claire'],['France'],[],[],?,49,205 kj(49 kcal),"0,4","0,4","9,2",9,"0,6","0,01","0,004",,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']",,,0.4 g,en faible quantité,0.4 g,en faible quantité,9 g,en quantité modérée,0.01 g,en faible quantité,,-27%,-27%,+22%,+371%,-37%,-32%,+44%,+1%,+1%,-4,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,['La Vie Claire'],,,"['Bio', 'Sans sucre ajouté']",,,,,,,,
918,Trinkhalme Vanille 8x4g Packung Woogie,9002859086793,['Woogie'],['France'],[],[],?,396,1657 kj(396 kcal),0,0,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', ""Fabriqué dans l'UE""]",,,,,,,,
919,Auchan,3537560296293,['Auchan'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,,
920,Grune erbsen drelli - Alnatura - 250g,4104420209176,['Alnatura'],"['France', 'Allemagne']",['Erbsenmehl'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1421,336,1421 kj(336 kcal),"1,8","0,4",57,"3,2",19,"0,01","0,004",250 g,,"['Plastik', 'PP 05']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles']",,"['Italien', 'Germany']",1.8 g,en faible quantité,0.4 g,en faible quantité,3.2 g,en faible quantité,0.01 g,en faible quantité,+14%,+12%,+13%,-74%,-86%,+17%,+55%,+150%,-99%,-99%,-6,-1324%,A,-1324%,,,,,,,,['Alnatura'],,1,"['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Végétalien', 'DE-ÖKO-006']",,,,,Bio Drelli aus grünem Erbsenmehl,,,
921,Pack 3 Portuguese Amarguinha Liqueur - 3,5601358490014,,['France'],[],[],?,?,,?,,?,,?,,,,E,,"['Boissons', 'Boissons alcoolisées', 'Liqueurs']",,,,,,,,,,,,,,,,,,,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,,,['Point Vert'],,,,,,,,
922,Hennessy Black Cognac - 1L,0081753815561,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Ventoux Rouge Expert Club,3250391461554,,['France'],[],[],?,?,,?,,?,,?,,,,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Ventoux']",['France'],,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,
924,Gran tramezzino -,20053055,,['France'],[],[],?,246,1029 kj(246 kcal),"3,6","0,6",45,"3,3","7,5","1,4","0,56",,,,"['en:Cereali e patate', 'en:Cibi a base vegetale', 'en:Cibi e bevande a base vegetale', 'en:Pani']",,,3.6 g,en quantité modérée,0.6 g,en faible quantité,3.3 g,en faible quantité,1.4 g,en quantité modérée,,,,,,,,,,,5,,C,,,,,,,,,,,,,,,,,,,,
925,Limoncello liqueur de citrons,8033413430166,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Trenza de Hojaldre de Mantequilla Hecha a Mano -  - 430g,8437011206008,,"['France', 'Espagne']","['Harina de TRIGO', 'azúcar', 'MANTEQUILLA ', '15%', 'agua', 'HUEVO', 'NUECES', 'ALMENDRAS', 'pasas', 'levadura', 'aromas', 'sal', 'almidón de maíz', 'y estabilizantes ', 'pectina de cítricos', 'carboximetilcelulosa de sodio', ' Puede contener SOJA']",['Non végétalien'],?,425,1778 kj(425 kcal),22,12,48,23,"7,3","0,51","0,204",430 g,,,"['Biscuits et gâteaux', 'Pâtisseries']",,,22 g,en quantité élevée,12 g,en quantité élevée,23 g,en quantité élevée,0.51 g,en quantité modérée,,+13%,+13%,+31%,+47%,0%,-22%,+36%,+23%,+23%,19,+11%,E,+11%,,,,,,,,,"['Œufs', 'Gluten', 'Fruits à coque']",4,,,,,,,,,
927,Falafels bio - Jean Martin,3271514122190,['Jean Martin'],['France'],[],[],?,163,682 kj(163 kcal),"3,5","0,4",23,"5,4","7,4",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert']",,,,,,,,
928,Farine de banane verte - La Vie Claire - 350g,3266191013732,['La Vie Claire'],['France'],[],[],?,336,1406 kj(336 kcal),"0,6","0,2","71,9","1,5","4,2","0,01","0,004",350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,,,,,,,
929,Black tea with pomegranate & ginger - Lipton,8711200409273,['Lipton'],['France'],[],[],?,19,79 kj(19 kcal),"0,5","0,1","4,6","4,5","0,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Oreillettes sûcrées,3760022090393,,['France'],[],[],?,558,2335 kj(558 kcal),"35,9","0,6","54,6","18,1","5,2","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,3 monts bio - Carrefour Bio,3324020000336,['Carrefour Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,['Bio'],,,,,,,,
932,Miel de fleurs - Le Verger des Abeilles - 250g,3335440122720,['Le Verger des Abeilles'],['France'],['Miel de fleurs origine Bulgarie'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,250 g,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['Bulgarie'],,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,2,['Point Vert'],,"['EMB 50410B', 'Pontorson (Manche, France)']",,,,,,
933,Triahanon,3276550567042,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Decolor stop - 28g,5420067100607,,"['Belgique', 'France']",[],[],?,?,,?,,?,,?,,,28 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Spa Reine,5410013102007,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,"Pudding Au Lait Entier, Nestlé La Laitière",3023290215364,['Nestlé'],['France'],[],[],?,125,523 kj(125 kcal),3,2,"21,3","18,6","3,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,"Kachkéis, Traditionellt Rezept - Luxlait",5450168562356,['Luxlait'],['France'],[],[],?,206,862 kj(206 kcal),13,"9,1","3,4","3,4","18,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Nougat,3105560074410,,['France'],[],[],?,406,1699 kj(406 kcal),"8,1","0,7",78,67,"4,6","0,02","0,008",,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,,8.1 g,en quantité modérée,0.7 g,en faible quantité,67 g,en quantité élevée,0.02 g,en faible quantité,,-9%,-9%,-51%,-65%,+19%,+23%,-36%,-73%,-73%,15,-6%,D,-6%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
