,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,markets,additives,ingredients_origins,manufacturing,link,allergens,nova_score,generic_name,origin_detail,brand_owner,palm_ingredients,producer_info
650,briochettes pépites chocolat au lait - Maître jean pierre - 8,20011127,['France'],"['Farine de blé', '13% pépites de chocolat au lait ', 'sucre', 'poudre de lait entier', 'pâte de cacao', 'beurre de cacao', 'lactose', 'lécithines', ' : arôme naturel de vanille', 'oeufs frais', ' huile de colza', 'sucre', 'eau', 'sirop de sucre inverti', 'levure', 'poudre de lait entier', 'sel', 'protéines végétales de pois', 'gluten de blé arôme', ""émulsifiants: mono - et diglycéride d'acides gras"", 'stéaroyl-2-lactylate de sodium ', ' agent de traitement de la farine: acide ascorbique ', ' arôme naturel de vanille ', 'contient alcool']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,355,1485 kj(355 kcal),12,"3,5",53,17,8,1,"0,4",['Maître jean pierre'],,C,8,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Briochettes']",12 g,en quantité modérée,3.5 g,en quantité modérée,17 g,en quantité élevée,1 g,en quantité modérée,,+1%,-0%,-8%,-37%,+6%,+18%,0%,+6%,+6%,14,-4%,D,-4%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,"['E322 - Lécithines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",,,,"['Œufs', 'Gluten', 'Lait']",4,,,,,
651,Cream Of Tomato Soup - Newgate,20018443,['France'],"['Cteam up 91% Sugar', 'Rapeseed Oil', 'Modified Maize Starch', 'Salt', 'Dried Simmed Milk', '0', '1% Double Cream ', 'Milk', 'Auty Regulator: Citric Acid: Paprika', 'Basil Extract', 'Natural Flavourins']",['Non végétalien'],?,58,243 kj(58 kcal),"2,6","0,2","7,1",6,"1,1","0,45","0,18",['Newgate'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E330 - Acide citrique'],,,,['Lait'],,,,,,
652,Sachet assortiment chocolat - Favorina - 250g,20036294,"['France', 'Allemagne']","['sucre', 'beurre de cacao', '15% lait écrémé en poudre ', 'lait', 'pâte de cacao', 'huile de palme', 'beurre concentré ', 'lait', 'poudre de lactosérum ', 'lait', '2% lait entier en poudre', 'pâte de noisettes', 'émulsifiant: lécithines ', 'tournesol', 'arôme', 'arôme naturel de vanille', ' Chocolat au lait: cacao: 30% minimum', "" Peut contenir des traces d'autres fruits à coque "", 'CH: noix', 'de céréales contenant du gluten et de soja']","['Huile de palme', 'Non végétalien']",2291,549,2291 kj(549 kcal),"32,6","29,8","55,7","55,1","7,3","0,23","0,092",['Favorina'],"['Commerce équitable', 'Cocoa Life']",,250g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",32.6 g,en quantité élevée,29.8 g,en quantité élevée,55.1 g,en quantité élevée,0.23 g,en faible quantité,+3%,+4%,+4%,+2%,+71%,+6%,+16%,+24%,+50%,+50%,27,+11%,E,+11%,,,,,,,,['Kunststoff'],,['Lidl'],['E322 - Lécithines'],,,,"['Lait', 'Fruits à coque', 'de:Vollmichpulver']",4,,,,,
653,Sirop de grenadine - Capt’ain Soif,20037468,['France'],"['sucre', 'sirop de glucose-fructose', 'eau,jus de fruits à : 3%', 'fraise : 2%', 'cassis :2%', 'e', ' 1%', 'acidifiant : acide citrique', 'arômes', ""' colorant"", ' Sans conservateur', ' de préparation : agiter avant emploi', "" volume de sirop pour 7 à 10 volumes d'eau selon votre gott le bidon après chaque utilisation"", ' A ouverture', 'à et']",[],?,336,1406 kj(336 kcal),"0,1","0,1",84,80,"0,1","0,3","0,12",['Capt’ain Soif'],"['Sans colorants', 'Sans conservateurs', 'Entrepreneurs + Engagés']",,,"['Boissons', 'Boissons avec sucre ajouté']",0.1 g,en faible quantité,0.1 g,en faible quantité,80 g,en quantité élevée,0.3 g,en quantité modérée,,+295%,+280%,-73%,-40%,+324%,+337%,-81%,+702%,+702%,21,+76%,E,+76%,,,,,,,,,,,['E330 - Acide citrique'],,,,,4,,,,,
654,Huile d'olive - Olisone,20041465,"['France', 'Espagne']",[],[],?,824,3448 kj(824 kcal),"91,6","13,7",0,0,0,0,0,['Olisone'],,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",91.6 g,en quantité élevée,13.7 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-2%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
655,Aceite de oliva intenso - Olisone,20041472,['France'],"['ACEITES D Y ACEITES ViRGENES', ' Aceite que contiéì—ûsivamente aceites de Oliva - que se hajaifsometido a un tratamiento de refinado y de aceites obtenidos directamente de aceitunas', 'Ingredientes: aceite de Oliva refinado y aceite de Oliva virgen', ' Acidû maxima 1,00%', ' Indice de peréxidos 15 mEq 02/kg', ' 350 mg/kg', ' K270 1,15', ' 0,15 Conservacién: Conservar al abrigo de la luz y del calor', ' Consumir preferentemente antes del fin de:/Lote: ver envase', ' Informaciôn nutricional 0/100 ml valor 3378 kJ/']",[],?,822,3439 kj(822 kcal),"91,3","13,3",0,0,0,0,0,['Olisone'],,,,['Matières grasses'],91.3 g,en quantité élevée,13.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+2%,+3%,+3%,-42%,-100%,-100%,-100%,-100%,-100%,11,-3%,D,-3%,,,,,,,,,,,,,,,,,,,,,
656,Wafer contre crema al gusto di vaniglia,20046071,['France'],[],[],?,505,2113 kj(505 kcal),"24,8","22,5","65,4","28,5","4,3","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Original österreichischer Bergkäse - Milbona,20049928,['France'],[],[],?,369,1544 kj(369 kcal),29,21,0,0,27,"0,8","0,32",['Milbona'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 53.061.001 CE', 'Charchigné (Mayenne, France)', 'EMB 44023', 'Bouvron (Loire-Atlantique, France)']",['Lidl'],,,,,,,,,,,
658,Saucisses Aux Lentilles - Le Terroir A Table - 840g,20053635,['France'],"['Eau', 'lentilles réhydratées 30%', 'saucisses fumées 17% ', 'viande séparée mécaniquement de dinde*', 'eau', 'peau de dinde', 'viande de dinde*', 'plasma de porc', 'gras et couenne de porc', 'amidon de pois', 'protéines de blé', 'sel', 'viande de porc*', 'arômes naturels', 'stabilisant : E451', 'coriandre', 'sirop de glucose', 'antioxydant : E300', 'conservateur : E250', 'carottes', 'oignons', 'concentré de tomate', 'amidon modifié de maïs', 'oignon en poudre', 'sel', 'arômes de fumée', 'arômes naturels', 'sucre', ' Origine: UE te produit peut contenir des traces de dérivés de tait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,107,448 kj(107 kcal),"4,7","1,7",8,"0,7","7,2","0,94","0,376",['Le Terroir A Table'],,C,840 g,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de lentilles', 'Saucisses aux lentilles']",4.7 g,en quantité modérée,1.7 g,en quantité modérée,0.7 g,en faible quantité,0.94 g,en quantité modérée,,-22%,-22%,-29%,-31%,-0%,-13%,-10%,-0%,-0%,2,+12%,B,+12%,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,['Boîte'],"['EMB 56251E', 'Theix (Morbihan, France)']",['Norma'],"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']",,,,,4,,,,,
659,Riso Parboiled,20054861,['France'],[],[],?,359,1502 kj(359 kcal),"0,3","0,1","81,3","0,3","7,4",0,0,,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz étuvé']",0.3 g,en faible quantité,0.1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,,+7%,+4%,-66%,-40%,+7%,+8%,+5%,-100%,-100%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,,,,
660,CHILI-WURZERL - Greisinger GmbH - 150g,20081614,['France'],"['Viande de porc ', 'nous utilisons 169 g de viande de porc pour fabriquer 100 g de «Chiliwurzerl»', 'gras de porc', 'sel nitrité ', 'sel', 'conservateur: nitrite de sodium', 'épices', 'chili', 'dextrose', 'sirop de glucose', 'antioxydant : ascorbate de sodium ', ' ferments', "" boyau collagénique d'origine bovine"", 'fumée']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1805,435,1805 kj(435 kcal),35,15,1,1,29,"4,5","1,8","['Greisinger GmbH', 'St Alpine']",['DLG'],D,150 g,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucisses sèches', 'Saucisses sèches de jambon']",35 g,en quantité élevée,15 g,en quantité élevée,1 g,en faible quantité,4.5 g,en quantité élevée,+5%,+6%,+5%,+9%,+19%,-55%,-32%,+0%,-3%,-3%,25,+4%,E,+4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,['Plastique'],,['Norma'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,,,,4,,,,,
661,"Favorina Praliné, Haselnuss Crisp",20084301,['France'],"['sucre', 'huiles Végétales en proportion variable ', 'coco', 'palmiste', 'lactosérum doux en poudre ', 'lait', 'beurre de cacao', 'lait entier en poudre', '5% croustillants des céréales ', 'farine de maïs', 'farine de riz', 'sucre', 'farine de blé', 'cacao en poudre', 'lactosérum doux en poudre ', 'lait', 'sel de cuisine', 'pâte de cacao', 'cacao maigre en poudre', '2,5% noisettes', 'lait écrémé émulsifiant lécithines ', 'sola', ' arôme naturel de vanille', "" Chocolat au lait'"", ' cacao?', ' 30% minimam?', ""matière sèche issue du lait'"", ' minimum', "" Peut contenir des d'autres fruits à coque "", ""CH'"", ' noix', "" et d'œuf"", "" conserver à l'abri de la chaleur l'humidité""]","['Huile de palme', 'Non végétalien']",?,532,2226 kj(532 kcal),"30,1","21,5","59,3","55,4",5,"0,35","0,14",['Favorina'],['Fabriqué en Italie'],,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées']",30.1 g,en quantité élevée,21.5 g,en quantité élevée,55.4 g,en quantité élevée,0.35 g,en quantité modérée,,+2%,+2%,-1%,+30%,+11%,+18%,-18%,+79%,+79%,27,+11%,E,+11%,,,,,,,,,,['Lidl'],,,,,"['Gluten', 'Lait']",4,,,,,
662,"Favorina Pralinen, Magermilchcreme & Crisp",20084318,['France'],"['sucre', 'huiles végétales en proportion variable ', 'coco', 'palmiste', 'lactosérum doux en poudre ', 'lait', '8% lait écrémé en poudre', 'beurre de cacao', 'lait entier en poudre', '5% croustillants des céréales ', 'farine de maïs', 'farine de riz', 'sucre', 'farine de blé', 'cacao en poudre', 'lactosérum doux en poudre ', 'lait', 'sel de cuisine', 'pâte de cacao', 'émulsifiant lécithines ', 'soja', ' arôme naturel de vanille', ' Chocolat au lait cacao: minimum', ' matière sèche issue du lait: 18% minimum', "" Peut contenir des traces d'autres fruits à coque "", 'CH: noix', "" et d'œuf?""]","['Huile de palme', 'Non végétalien']",?,539,2255 kj(539 kcal),"31,1","23,1","57,5",54,"6,8","0,375","0,15",['Favorina'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lidl'],['E322i - Lécithine'],,,,"['Gluten', 'Lait', 'Soja']",4,,,,,
663,Steaks de soja,2016979012867,['France'],[],[],?,165,690 kj(165 kcal),"8,5","0,8","3,5","2,5",16,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Cremisée fromage fondu à la crème - Cemisée - 240g,20117023,['France'],"['fromage blanc ', 'dont lait 38% - Origine : France', 'crème ', '27 % - Origine : France', 'eau', 'protéines de lait', 'sels de fonte : polyphosphates', 'phosphates de sodium et citrates de sodium', 'sel', 'gélifiant: carraghénanes', 'vitamines B2 et B12']","['Sans huile de palme', 'Non végétalien']",?,308,1289 kj(308 kcal),"29,5",20,2,2,"8,5","1,5","0,6",['Cemisée'],,C,240 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages fondus']",29.5 g,en quantité élevée,20 g,en quantité élevée,2 g,en faible quantité,1.5 g,en quantité modérée,,+21%,+22%,+46%,+49%,-63%,-50%,-27%,-25%,-25%,14,-10%,D,-10%,79.5%,12.0%,2.9%,3.6%,1.6%,0.4%,49,['Carton'],"['FR 72.264.001 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",['Norma'],"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,['Norma strasbourg'],,['Lait'],4,,,,,
665,Sauce Barbecue,20122454,['France'],"['FR/BE', ' Sauce à la tomate', 'saveur barbecue', '"" Ii D/% double concentré de tomates', ""vinajgre d'alcool"", 'amidon modifié ', 'maïs', 'sel', 'siop ie ae the', 'ehausteurs de goût: glutamate monosodique', 'guanylate disodique', 'inosinate disodique aiN pot']",[],?,150,628 kj(150 kcal),2,"0,1",35,"30,5",1,"3,8","1,52",,,B,,"['Epicerie', 'Sauces', 'Sauces barbecue']",2 g,en faible quantité,0.1 g,en faible quantité,30.5 g,en quantité élevée,3.8 g,en quantité élevée,,-4%,-5%,+109%,-26%,+13%,+17%,+11%,+88%,+88%,17,+17%,D,+17%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,"['E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique']",,,,,4,,,,,
666,Gâche tranchée - Les régions à table - 450g,20135768,['France'],[],[],?,365,1527 kj(365 kcal),14,"9,1",51,12,"7,4","0,8","0,32",['Les régions à table'],,,450g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Haché aux Champignons de Paris & Purée - Chef Select - 400g,20147525,"['France', 'Allemagne', 'Suède']","['Wasser', '18% Hacksteak [92% Schweinefleisch z', ' T', ' fein zerkleinert', 'Paniermehl ', 'Weizenmehl', 'Wasser', 'Speisesalz', 'Hefe', 'Vollei* Zwiebeln', 'Speisesalz', 'Gewürze ', 'enthält Senf', 'Glukosesirup', 'Dextrose', 'Zucker]', '17% Kartoffeln ', 'enthält Sulfite', '9% Champignons', 'Sahne', 'Vollmilch', 'Zwiebeln', 'Wein ', 'enthält Sulfite', 'modifizierte Stärke', 'Aromen ', 'enthält Ei*', 'Milch', 'Sellerie', 'Speisesalz', 'Tomatenmark doppelt konzentriert', 'Rapsöl', 'Speisegelatine ', 'Schwein', 'Kräuter', ' Zucker', 'Hefeextrakt', 'Gewürze ', 'enthält Senf', 'Verdickungsmittel: Xanthan', ' Weizenmehl', 'Farbstoff: Riboflavine', '               \r*von Eiern aus Bodenhaltung']","['Non végétalien', 'Non végétarien']",519,124,519 kj(124 kcal),"7,2","3,5","9,4","0,8","5,1","1,25","0,5","['Chef Select', 'Lidl', 'Toque du chef']",,,400 g,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc']",7.2 g,en quantité modérée,3.5 g,en quantité modérée,0.8 g,en faible quantité,1.25 g,en quantité modérée,-31%,-32%,-32%,-21%,+17%,-36%,-57%,-39%,+8%,+8%,6,+2%,C,+2%,,,,,,,,"['21 PAP', '05 PP']",['DE EV-49 EG'],['Lidl'],"['E14XX - Amidons modifiés', 'E428 - Gélatine', 'E415 - Gomme xanthane']","['Union européenne', 'sv:Icke-Europeiska unionen']",['Tyskland'],,"['Céleri', 'Œufs', 'Gluten', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",4,"Hacksteak aus zum Teil zerkleinertem Schweinefleisch mit Champignonsauce und Kartoffelpüree, pasteurisiert",,,,
668,Champions 3. wahl,20151416,['France'],[],[],?,20,84 kj(20 kcal),"0,5","0,3","0,1",0,"2,3","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Butter Gebäck Trio Mit Schokolade - Sondey,20155506,['France'],[],[],?,416,1741 kj(416 kcal),"4,5",2,87,50,"4,6","0,4","0,16",['Sondey'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lidl'],,,,,,,,,,,
670,Panna cotta frutas del Bosque - Milbona - 360g (4x 90g),20175962,"['France', 'Espagne']","['Lait écrémé 55 %', 'crème 23 %', 'préparation de fruits rouges 11 % [sirop de glucose-fructose de blé', 'fruits 4,4 % ', 'fraise', 'mûre', 'myrtille', 'framboise', 'sucre', 'amidon modifié de pomme de terre', ""correcteur d'acidité : citrates de sodium"", 'conservateur de fruit : sorbate de potassium', 'arômes', 'colorant: cochenille]', 'sucre', 'fécule de pomme de terre', 'épaississants : carraghénanes', 'pectines', 'poudre de lait écrémé', 'arôme']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",683,163,683 kj(163 kcal),"8,9","5,9","18,3","16,2","2,4","0,13","0,052",['Milbona'],"['Point Vert', 'Eco-Emballages']",C,360 g (4 x 90 g),"['Produits laitiers', 'Desserts', 'Frais', 'Desserts lactés', 'Panna cottas', 'Panna cottas au coulis de fruits', 'Panna cottas aux fruits rouges']",8.9 g,en quantité modérée,5.9 g,en quantité élevée,16.2 g,en quantité élevée,0.13 g,en faible quantité,,,-5%,-8%,-5%,+3%,+3%,-10%,+31%,+31%,9,-2%,C,-2%,62.1%,26.2%,4.5%,4.1%,2.5%,0.7%,68,"['Frais', 'Pot', 'Plastique', 'Opercule', 'Etui', 'Carton']","['FR 14.630.010 CE', 'Saint-Martin-des-Entrées (Calvados, France)']",['Lidl'],"['E14XX - Amidons modifiés', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E440 - Pectines']",,"['Lactalis Nestlé Ultra-Frais Bayeux - LNUF Bayeux (Filiale Groupe Lactalis) - Rue Jean Mermoz - ZAC des Longchamps - 14400 Saint-Martin-des-Entrées', 'Calvados', 'Basse-Normandie', 'France']",,['Lait'],4,Dessert lacté saveur vanille sur lit de fruits rouges,,,,
671,Riz brun a grain longs - Bio sonne,20181857,['France'],"[""Riz brun à grains longs bio Ingrédient : riz brun issu de l'agriculture biologique"", ' Conseils de préparation : 1 tasse de riz long brun', ""3 tasses d'ea Verser le riz dans l'eau bouillante et laisser mijoter à feu doux en minutes "", "" ajouter de l'eau en cours de cuisson si nécessaire"", "" Sal de cuisson uniquement car l'ajout de sel prolonge le temps de C'""]",[],?,348,1456 kj(348 kcal),"2,2","0,6","73,4","0,6","7,2",0,0,['Bio sonne'],['Bio'],C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain']",2.2 g,en faible quantité,0.6 g,en faible quantité,0.6 g,en faible quantité,0 g,en faible quantité,,+4%,+3%,+108%,+151%,0%,+108%,-2%,-100%,-100%,-3,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,,,,
672,Bio Kokosnuss öl Nativ - Bio sonne,20198183,['France'],"['@ 100% Huile vierge de coco', 'pressée à froid', ""issue de l'agriculture biologique"", ' Lorsque la température ambiante dépasse 25 oc', 'cette huile se liquéfie']","['Végétalien', 'Végétarien']",?,824,3448 kj(824 kcal),"91,6","81,2",0,0,0,0,0,['Bio sonne'],"['en:German Agricultural Society', 'Bio', 'Végétarien', ""Médaille d'or de la Société Allemande d'Agriculture"", 'Végétalien']",,,['Matières grasses'],91.6 g,en quantité élevée,81.2 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+2%,+3%,+3%,+256%,-100%,-100%,-100%,-100%,-100%,20,+77%,E,+77%,,,,,,,,,,,,,,,,,,,,,
673,Bâtonnets de réglisse - Hema,2020207399996,['France'],[],[],?,351,1469 kj(351 kcal),"0,1","0,1","82,9","51,7","4,5","0,03","0,012",['Hema'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,Nuts In Go,2020564799996,['France'],[],[],?,486,2033 kj(486 kcal),"27,7","2,6","42,8","32,8","12,7","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Biscuits au butterscotch,2026236699991,['France'],[],[],?,460,1925 kj(460 kcal),"20,3","13,6","65,4","40,7","3,3","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,Zwiebelsuppe - Kania,20202972,['France'],[],[],?,?,,?,,?,,?,,,['Kania'],,,,"['Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes déshydratées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lidl'],,,,,,,,,,,
677,Schweizer Bio-Schokolade Vollmilch - Norma - 100g,20223243,"['France', 'Allemagne']","['sucre de canne brut1', 'beurre de cacao1', 'poudre de lait entier1 20 %', 'pâte de cacao1', 'poudre de lait écrémé1', 'gousses de vanille en poudre1', ""1lngrédient issu de l'agriculture biologique"", ' Cacao :37% minimum', ' Peut contenir des traces de céréales contenant du gluten', 'de fruits à coque', ""d'arachide et de soja""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",2362,567,2362 kj(567 kcal),37,23,50,49,"7,4","0,18","0,072","['Norma', 'Bio Sonne']","['Bio', 'Bio européen', 'Commerce équitable', 'CH-BIO-006', 'en:EG-Öko-Verordnung', 'Fairtrade International', 'en:FSC', 'FSC Mix']",D,100 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",37 g,en quantité élevée,23 g,en quantité élevée,49 g,en quantité élevée,0.18 g,en faible quantité,+4%,+3%,+2%,+7%,+17%,-4%,0%,+3%,-23%,-23%,25,-2%,E,-2%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['PAP 21'],,,,,,,['Lait'],3,Schweizer Bio Vollmilchschokolade,,,,
678,Brioche Tranchée aux Pépites de Chocolat - Matindoux - 500g e,20225551,['France'],"['Farine de blé', 'pépites de chocolat 11% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de tournesol', 'arôme naturel de vanille', 'huile végétale de colza', 'œufs frais', 'sucre', 'eau', 'fibres de blé', 'levure', 'arômes ', 'contient blé et alcool', 'sel', ""émulsifiants : mono - et diglycérides d'acides gras et esters monoacétyltartriques et diacétyltartriques des mono - et diglycérides d'acides gras"", 'gluten de blé', 'colorant: caroténoïdes', 'antioxydant: acide ascorbique,']",['Non végétalien'],?,357,1494 kj(357 kcal),14,3,48,14,"7,9",1,"0,4","['Matindoux', 'Norma']","['Point Vert', 'Fabriqué en France']",C,500 g e,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches au chocolat', 'Brioches tranchées']",14 g,en quantité modérée,3 g,en quantité modérée,14 g,en quantité élevée,1 g,en quantité modérée,,+1%,+1%,+14%,-50%,-7%,+5%,-1%,+0%,+0%,13,-13%,D,-13%,77.5%,13.5%,5.4%,3.2%,0.4%,0.0%,63,"['Sachet', 'Plastique']",,['Norma'],"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160 - Caroténoïdes', 'E300 - Acide ascorbique']",,['France'],,"['Œufs', 'Gluten']",4,,,,,
679,"Halloween Kartoffelfiguren, Lecker Kross - Lidl",20226862,['France'],"['Pommes de terre ', '87%', 'huile de tournesol', 'farine de riz', 'pommes de terre déshydratées', 'sel', 'stabilisant : E 464', 'dextrose', 'curcuma']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,153,640 kj(153 kcal),"5,7","0,8",22,"0,5","2,2","1,1","0,44",['Lidl'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Pommes de terre surgelés', ""Aliments et boissons d'Halloween""]",5.7 g,en quantité modérée,0.8 g,en faible quantité,0.5 g,en faible quantité,1.1 g,en quantité modérée,,-6%,-7%,-11%,-40%,+7%,-46%,-12%,+113%,+113%,-1,,A,,,,,,,,,"['surgelé', 'Sachet', 'Plastique']",,['Lidl'],['E464 - Hydroxypropylméthylcellulose'],,,,,4,,,,,
680,"Joghurt, Schokolade - Milbona - 200g",20245658,['France'],"['cwourt chocolat', 'à basede lait pasteurise ', ""3,5'70 de matières grasses dans la partie lactique"", '\\ngredients: lait entier', 'sucre', '4,71 cnocolat en poudre', 'proteines du lait', 'arôme', ' Non ouvert', 'à conservera +50 C max', "" et â consommerjusqu'au voir impression"", ' Produit en Suisse', 'CH 5765 nutri - a/ 100 g 471kJ/']",['Non végétalien'],?,123,515 kj(123 kcal),"3,7","1,5","18,6","17,6","3,7","0,11","0,044",['Milbona'],,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lidl'],,,,,['Lait'],4,,,,,
681,Joghurt Abricot - Milbona,20245696,['France'],[],[],?,99,414 kj(99 kcal),"2,7","1,4","15,2","13,9","3,3","0,1","0,04",['Milbona'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lidl'],,,,,,,,,,,
