,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,ingredients_origins,brand_owner,palm_ingredients,origin_detail,producer_info
192,Penne au blé complet bio,20236175,,,,,,,['Bio'],,,,['France'],[],,[],,?,,348,,2,,67,,12,,,,,,,,,,,,,,,,,,1456 kj(348 kcal),,"0,5",,3,,"0,01",,"0,004",,,,,,,,,,,
193,gauffre chocolat au lait - Nestlé,8690632151151,,,,,['Nestlé'],,,,,,['France'],[],,[],,?,,509,,25,,64,,"5,4",,,,,,,,,,,,,,,,,,2130 kj(509 kcal),,13,,47,,"0,32",,"0,128",,,,,,,,,,,
194,Yaourt nature au lait de chèvre,3770004339198,,,,,,,,,,,['France'],[],,[],,?,,63,,4,,"3,4",,3,,,,,,,,,,,,,,,,,,264 kj(63 kcal),,"2,8",,"3,4",,"0,1",,"0,04",,,,,,,,,,,
195,Pate a tartiner chocolat lait noix -,3760268982230,D,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",,,,,['France'],"['30,40% chocolat lait 35% ', 'cacao', 'sucre', ' beurre de cacao', 'émulsifiant: lécithine de colza', 'vanille bourbon gousse', '30', '40% pâte de noix', '16% praliné noir ', 'praliné', 'amande', 'noix ', 'sucre', 'amande', 'beurre', 'émulsifiant', 'lécithine de colza', ' sucre glace', ""huile d'arachide""]","['Lait', 'Fruits à coque']",['Non végétalien'],4,?,,511,-7%,30,-12%,56,+9%,"4,2",-39%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,30 g,en quantité élevée,13 g,en quantité élevée,54 g,en quantité élevée,0 g,en faible quantité,2138 kj(511 kcal),-7%,13,+69%,54,+13%,0,-100%,0,-100%,26,+26%,E,+26%,['E322i - Lécithine'],,,,,
196,Tartare tomates au basilic - 130g,20928346,,,130 g,,,,,,,,['France'],[],,[],,?,,106,,"8,1",,"6,3",,"1,2",,,,,,,,,"['FR 22.084.018 CE', ""Jugon-les-Lacs (Côtes-d'Armor, France)""]",,,,,,,,,444 kj(106 kcal),,"0,8",,6,,"0,99",,"0,396",,,,,,,,,,,
197,President,19923888,,,,,['President'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Actimel - Danone - 100g,5900643039045,D,,100 g,"['PAP', 'Alu', 'HDPE']",['Danone'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",,,,['Auchan'],"['Estonie', 'France', 'Lettonie', 'Lituanie', 'Pologne']","['mleko odtłuszczone', 'śmietanka ', 'z mleka', 'odtłuszczone mleko w proszku', 'L casei Danone CNCM I-1518', 'żywe kultury bakterii jogurtowych', 'witamina B6', 'witamina D']",['Lait'],['Non végétalien'],,188,-39%,45,-38%,"1,6",+6%,4,-65%,"3,6",+24%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,['BE M319 EC'],1.6 g,en quantité modérée,0.9 g,en quantité modérée,4 g,en quantité modérée,0.13 g,en faible quantité,188 kj(45 kcal),-38%,"0,9",-5%,4,-63%,"0,13",+23%,"0,052",+23%,8,-50%,D,-50%,,['Belgique'],,,,
199,Tartare concombres,20928339,,,,,,,,,,,['France'],[],,[],,?,,84,,"7,6",,"1,9",,"1,4",,,,,,,,,,,,,,,,,,351 kj(84 kcal),,1,,"1,9",,"1,6",,"0,64",,,,,,,,,,,
200,Tartare concombres,20928339,,,,,,,,,,,['France'],[],,[],,?,,84,,"7,6",,"1,9",,"1,4",,,,,,,,,,,,,,,,,,351 kj(84 kcal),,1,,"1,9",,"1,6",,"0,64",,,,,,,,,,,
201,Dégustation Riz soufflé bio - Franprix Bio - 100g,3263852127111,D,,100 g,,"['Franprix Bio', 'Franprix']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats au riz', 'Chocolats au lait au riz']","['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'Fairtrade International', 'IT-BIO-014', 'Max Havelaar']",,,['Franprix'],['France'],"['Sucre de canne* - beurre de cacao - poudre de lait entier pâte de cacao - farine de riz - sel', ' Cacao:38% minimum dans le chocolat', ' Traces de fruits à coque', ' Les informations en gras sont destinées aux personnes allergiques ou intolérantes', "" Ingrédients issus de l'agriculture biologique"", ' Ingrédients conformes aux standards du commerce équitable Fairtrade/Max Havelaar: sucre de canne', 'beurre de cacao', 'påte de cacao', 'riz ', '77% du poids total']",,[],3,?,,577,+7%,39,+25%,48,-13%,"7,4",+7%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,39 g,en quantité élevée,24 g,en quantité élevée,43 g,en quantité élevée,0.19 g,en faible quantité,2414 kj(577 kcal),+8%,24,+26%,43,-9%,"0,19",-41%,"0,076",-41%,24,-7%,E,-7%,,,,,,
202,Cantuccini - 150g,0853845004081,,,150 g,,,,,,,,['France'],[],,[],,?,,470,,20,,61,,11,,,,,,,,,,,,,,,,,,1966 kj(470 kcal),,"4,5",,34,,"0,2",,"0,08",,,,,,,,,,,
203,Poule chocolat au lait - U bio,3256227454097,D,,,,['U bio'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']","['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Max Havelaar']",,,"['Magasins U', 'Super U']",['France'],"['Sucre de canne*', 'beurre de cacao*', 'poudre de lait entier*', 'pâte de cacao*', 'extrait de vanille*', ' Chocolat au lait : cacao : 37% minimum', ' Traces éventuelles de fruits à coque', 'soja et gluten', "" * Ingrédient issu de l'agriculture biologique""]",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,?,,573,+4%,38,+10%,50,-4%,"6,7",-7%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,38 g,en quantité élevée,23 g,en quantité élevée,49 g,en quantité élevée,0.21 g,en faible quantité,2397 kj(573 kcal),+4%,23,+17%,49,0%,"0,21",-10%,"0,084",-10%,27,+6%,E,+6%,,,,,,
204,Pains au chocolat - Pasquier,3256540002975,D,,,,['Pasquier'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,,,['France'],"['Farine de blé 41% - beurre concentré Chocolat 12% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de soja', ' - Eau - Sucre Levain 6% ', 'farine de blé 3%', 'eau', 'sel', "" - Levure - Huile de colza - Épaississant : gomme guar - Sel - Émulsifiants mono et diglycérides d'acides gras"", 'Stéaroyl-2-lactylate de sodium - gluten de blé - Fibres de psyllium - Extrait de chicorée Antioxydant acide ascorbique - Protéines de lait']","['Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,410,+4%,20,-9%,49,+16%,"7,2",+0%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,20 g,en quantité modérée,11 g,en quantité élevée,15 g,en quantité élevée,0.75 g,en quantité modérée,1715 kj(410 kcal),+3%,11,-17%,15,+25%,"0,75",-17%,"0,3",-17%,21,+7%,E,+7%,"['E322i - Lécithine', 'E412 - Gomme de guar', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition']",,,,,
205,Hamburguesas de atun -,8435435986186,,,,,,"['Produits de la mer', 'Poissons', 'Préparations de poisson']",['Sans gluten'],,,,"['France', 'Espagne']",[],,[],,?,,142,-27%,"5,5",-54%,0,-100%,23,+95%,,,,,,,,,5.5 g,en quantité modérée,0.9 g,en faible quantité,0 g,en faible quantité,0.9 g,en quantité modérée,594 kj(142 kcal),-26%,"0,9",-71%,0,-100%,"0,9",-24%,"0,36",-24%,-1,-116%,A,-116%,,,,,,
206,Domaine de luch - Rosé,3443660003436,C,,,,['Rosé'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,
207,Mousse - Philadelphia,7622210842152,D,,,,['Philadelphia'],"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",,,,,"['France', 'Espagne']",[],,[],,?,,201,-14%,18,-14%,5,+48%,"3,2",-62%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,18 g,en quantité modérée,11 g,en quantité élevée,2.7 g,en faible quantité,1.16 g,en quantité modérée,841 kj(201 kcal),-14%,11,-22%,"2,7",-9%,"1,16",-1%,"0,464",-1%,16,+33%,D,+33%,,,,,,
208,Bananes moelleuses aux baies des incas - Direct Producteurs Fruits Secs - 150g,3760159012183,,Bananes moelleuses aux baies des incas,150 g,['Sachet'],['Direct Producteurs Fruits Secs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",['Bio'],['Equateur'],http://www.directproducteursfruitssecs.com/fruitsec/?produit=bananes&id=82,['Magasins bio'],['France'],[],,[],,?,,369,+10%,2,-71%,"79,6",+37%,"3,5",-15%,,,,,,,,,2 g,en faible quantité,0.9 g,en faible quantité,29.4 g,en quantité élevée,0 g,en faible quantité,1544 kj(369 kcal),+10%,"0,9",-60%,"29,4",-32%,0,-100%,0,-100%,-2,-142%,A,-142%,,['Équateur'],,,,
209,Riz au lait Nature - Marie Morin,3372900901266,B,,,,['Marie Morin'],"['Desserts', 'Puddings', 'Riz au lait']",,,,,['France'],"['lait entier bio origine Bretagne 83%', 'riz rond de Camargue 7%', 'sucre', 'beurre salé', "" Traces possibles d'oeufs"", 'de gluten et de fruits à coques']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,?,,132,-9%,"5,6",+49%,17,-25%,"3,4",-1%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,5.6 g,en quantité modérée,3.7 g,en quantité modérée,10 g,en quantité modérée,0.2 g,en faible quantité,552 kj(132 kcal),-8%,"3,7",+62%,10,-26%,"0,2",+55%,"0,08",+55%,4,-1%,C,-1%,,,,,,
210,Griechischer Joghurt Original (kri Kri) - 1kg,5202234145082,,,1 kg,,,,,,,,['France'],[],,[],,?,,130,,10,,"3,7",,"6,2",,,,,,,,,,,,,,,,,,544 kj(130 kcal),,7,,"3,4",,"0,17",,"0,068",,,,,,,,,,,
211,Myrtille - Royal - 500g,8424314004059,B,,500 g,['PP'],['Royal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Myrtilles']",,,,['Carrefour'],"['Belgique', 'France', 'Espagne']",[],,[],,?,,?,,?,,?,,?,,90.0%,0.0%,0.0%,5.0%,4.8%,0.2%,87,,,,,,,,,,,,,,,,,,,,,,,,,['Maroko'],,,,
212,Extreme big chunks Coco chocolat - Nestlé - 400ml,7613036832465,B,,400 ml,,['Nestlé'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",['Fabriqué en Espagne'],,,,['France'],"['lait écrémé réhydraté', 'sucre', 'eau', 'matières grasses et huiles végétales ', 'coco', 'tournesol', 'farine de blé', 'sirop de glucose', 'petit-lait en poudre', 'cacao maigre en poudre', 'påte de cacao', 'lait de naix de coco en poudre ', '1%', 'cacao en poudre', 'noix de coco en poudre ', '0,8 % ', 'émulsifiants ', 'lécithines ', 'soja', ""mono-et diglycérides d'acides gras"", 'E477 1', 'noix de coco råpée ', '0,5%', 'dextrese', 'beurre de cacao', 'maltodextrine', 'stabilisants ', 'farine de graines de caroube', 'gomme guar', 'carraghénanes pectines', 'aromes naturels et arôme naturel de vanille', 'lait écrémé en poudre', 'amidon modifié de mas', 'caséinates de sodium ', 'lait', 'sel', 'jus de citron concentré', ' Peut contenir fruits à coque', "" d'origine végétale"", ' Important:les jeunes enfants ', 'moins de 4 ans', "" ont des capacités de mastication limitées et peuvent s'étouffer avec des morceaux de petite taille""]","['Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,296,+27%,13,+11%,40,+43%,"3,3",+4%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,13 g,en quantité modérée,9.6 g,en quantité élevée,30 g,en quantité élevée,0.2 g,en faible quantité,1238 kj(296 kcal),+27%,"9,6",+26%,30,+28%,"0,2",+33%,"0,08",+33%,18,+34%,D,+34%,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E477 - Esters du propylène-glycol d'acide gras"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']",,,,,
213,Activia,3033491422720,,,,['Etui en carton'],['Activia'],,,,,,['France'],[],,[],,?,,88,,"3,3",,"11,02",,"3,3",,,,,,,,,"['FR 32.464.040 CE', 'Villecomtal-sur-Arros (Gers, France)']",,,,,,,,,368 kj(88 kcal),,"2,3",,"10,9",,"0,14",,"0,056",,,,,,,,,,,
214,2 escalopes extra fines - Auchan,2600282018106,,,,,['Auchan'],['Escalopes'],,,,['Auchan'],['France'],[],,[],,?,,109,-22%,"0,8",-43%,"0,4",-92%,25,+13%,,,,,,,,,0.8 g,en faible quantité,0.4 g,en faible quantité,0.4 g,en faible quantité,0.1 g,en faible quantité,456 kj(109 kcal),-21%,"0,4",-24%,"0,4",-71%,"0,1",-85%,"0,04",-85%,-4,,A,,,,,,,
215,Vitaminka Ajvar Scharf - 295.0g,3870545004095,,,295.0 g,['Glas'],,,,,,,"['France', 'Allemagne']",[],,[],,?,,107,,"6,2",,"9,7",,"1,62",,,,,,,,,,,,,,,,,,448 kj(107 kcal),,"0,72",,"5,08",,"1,23",,"0,492",,,,,,,,,,,
216,08276124,08276124,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Farine d'amande bio,4260593954883,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,['France'],[],,[],,?,,375,,12,,7,,51,,,,,,,,,,,,,,,,,,1569 kj(375 kcal),,"1,3",,7,,"0,2",,"0,08",,,,,,,,,,,
218,Tassimo expresso,8711000415313,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Chips oignons caramélisés,3770010804062,,,,,,,"['en:gluten-free', 'Sans arômes artificiels', 'Sans colorants', 'Sans lactose', 'Sans conservateurs']",,,,['France'],[],,[],,?,,539,,32,,58,,"5,6",,,,,,,,,,,,,,,,,,2255 kj(539 kcal),,"2,8",,"0,5",,"0,5",,"0,2",,,,,,,,,,,
220,Sauce curry légumes,3263850721816,,,,,,,,,,,['France'],[],,[],,?,,82,,"2,5",,13,,"1,2",,,,,,,,,,,,,,,,,,343 kj(82 kcal),,"2,2",,8,,"1,3",,"0,52",,,,,,,,,,,
221,Kokos nilk - 1l,4260188788947,,,1 l,"['MIX Karton', 'FSC C014047', 'Produkt', 'brique']","['Nilk', 'Mymuesli']",['Substitut du lait'],"['Peu ou pas de sucre', 'Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Végétalien', 'DE-ÖKO-003', 'en:EG-Öko-Verordnung', 'en:FSC', 'Fabriqué en Allemagne', 'Sans lactose', 'Sans sucre']",['Deutschland'],https://www.mymuesli.com/nilk/kokos-nilk,['Mymuesli'],"['France', 'Allemagne']",[],,"['Végétalien', 'Végétarien']",,?,,41,-45%,"3,1",-34%,"3,2",-45%,"0,3",-77%,,,,,,,,['FSC-C014047'],3.1 g,en quantité modérée,2.9 g,en quantité modérée,0.2 g,en faible quantité,0.12 g,en faible quantité,172 kj(41 kcal),-44%,"2,9",+0%,"0,2",-95%,"0,12",+37%,"0,048",+37%,2,-3%,B,-3%,,,,,,
222,Oeufs lait praliné lapin d'Or - Lindt,4000539681325,,,,,['Lindt'],,,,,,['France'],[],,[],,?,,584,,38,,51,,"8,1",,,,,,,,,,,,,,,,,,2443 kj(584 kcal),,18,,42,,"0,15",,"0,06",,,,,,,,,,,
223,Mini-burritos - Soto,4026584232169,,,,,['Soto'],,"['Bio', 'Bio européen']",,,,['France'],[],,[],,?,,239,,"9,9",,29,,"6,4",,,,,,,,,,,,,,,,,,1000 kj(239 kcal),,"2,1",,"3,5",,"1,5",,"0,6",,,,,,,,,,,
224,Potabio 5 légumes psyllium - Nat ali,3176800030541,,,,,['Nat ali'],"['Produits déshydratés', 'Produits lyophilisés à reconstituer']","['Bio', 'Végétarien', 'Végétalien']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,?,,13,-95%,"0,5",-92%,"2,1",-94%,"0,5",-92%,,,,,,,,,,,,,,,,,54 kj(13 kcal),-95%,"0,1",-96%,"0,5",-92%,"0,39",-94%,"0,156",-94%,,,,,,,,,,
225,"Fromage blanc sucre LA FERME DES GRANDS PRES, 7%MG",3435770123548,D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['Point Vert'],,,,['France'],[],,[],,?,,126,-62%,6,-77%,"9,6",+693%,"5,5",-73%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,6 g,en quantité modérée,5.6 g,en quantité élevée,9.6 g,en quantité modérée,0.1 g,en faible quantité,527 kj(126 kcal),-62%,"5,6",-69%,"9,6",+1194%,"0,1",-92%,"0,04",-92%,5,-64%,C,-64%,,,,,,
226,Fitvia Love Tea,4260515890237,,,,,['Fitvia'],,,,,,['France'],[],,[],,?,,1,,"0,5",,"0,5",,"0,5",,,,,,,,,,,,,,,,,,4 kj(1 kcal),,"0,1",,"0,5",,"0,01",,"0,004",,,,,,,,,,,
227,smoothie mangue - Sains et Saufs,3770009733663,C,,,,['Sains et Saufs'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Smoothies']","['Nutriscore', 'Nutriscore C']",,,,['France'],"['SMOOTHIE MANGUE Pomme', 'mangue', 'orange', 'citron vert']",,[],1,?,,60,+5%,"0,3",-15%,"12,4",+2%,"0,7",+11%,33.4%,29.2%,13.3%,14.0%,7.9%,2.2%,60,,0.3 g,en faible quantité,0.1 g,en faible quantité,10.2 g,en quantité élevée,0 g,en faible quantité,251 kj(60 kcal),+6%,"0,1",-18%,"10,2",-5%,0,-100%,0,-100%,4,-62%,C,-62%,,,,,,
228,Caillé de brebis - Baskalia,3578840003996,,,,,['Baskalia'],,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Chips natures cuites au chaudron,3770010804017,,,,,,,,,,,['France'],[],,[],,?,,539,,32,,58,,"5,6",,,,,,,,,,,,,,,,,,2255 kj(539 kcal),,"2,8",,"0,5",,"0,84",,"0,336",,,,,,,,,,,
230,le liegeois - Danone Danette,3033491358449,C,,,,['Danone Danette'],"['Desserts', 'Liégeois']","['Nutriscore', 'Nutriscore C']",,,,['France'],[],,[],,?,,157,-1%,"7,6",+7%,19,+3%,"2,8",+3%,72.9%,16.3%,3.6%,4.6%,2.0%,0.5%,58,,7.6 g,en quantité modérée,5.2 g,en quantité élevée,17 g,en quantité élevée,0.14 g,en faible quantité,657 kj(157 kcal),+2%,"5,2",+9%,17,+4%,"0,14",0%,"0,056",0%,8,+2%,C,+2%,,,,,,
231,"Allumettes de Lardons Nature, -25% de SEL* 2*75 g, - Fleury Michon - 150g",3302740018749,,,150 g,['Plastique'],"['Fleury Michon', 'Fleur michon']","['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc']","['Peu ou pas de sel', 'Peu de sel', 'Viande Française', 'Allégé en sel', 'Moins 25% de sel', 'Viande Porcine Française', 'Nutriscore', 'Nutriscore D', 'Bleu Blanc Cœur']",,,,['France'],"['Poitrine de porc', 'acidifiants : lactate de potassium - acétate de sodium', 'sel', 'dextrose de maïs', 'conservateurs : nitrate de potassium - nitrite de sodium', 'antioxydant : ascorbate de sodium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1060,+1%,?,,20,-6%,"0,8",-2%,18,+9%,,,,,,,,"['FR 01.249.003 CE', 'Miribel (Ain, France)']",20 g,en quantité modérée,7.5 g,en quantité élevée,0.8 g,en faible quantité,1.9 g,en quantité élevée,1060 kj(253 kcal),-2%,"7,5",-7%,"0,8",+22%,"1,9",-26%,"0,76",-26%,18,-9%,D,-9%,"['E326 - Lactate de potassium', 'E262i - Acétate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,,,,
232,Tussidane,3400936226821,,,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Paupiettes de dinde surgelees,3285320491180,,,,,,,,,,,['France'],[],,[],,?,,168,,"8,2",,"3,5",,20,,,,,,,,,,,,,,,,,,703 kj(168 kcal),,4,,"0,1",,"0,7",,"0,28",,,,,,,,,,,
234,Muesli croustillant duo pépites - Terres et céréales bio - 1kg,3421557508875,B,,1 kg,,['Terres et céréales bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Mueslis au chocolat']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'en:palm-oil-free']",,,,['France'],"[""Flocons d'avoine* complets 36% ure de canne non raffiné*"", 'billettes de céréales* ', 'nz""', 'ble', 'avoine* sucre de canne non raffine"" sel', 'miel', 'morceaux de chocolat au lait* 4,5%! ', 'sucre de canne', 'beurre de cacao*', 'poudre de lait entier', 'masse de cacao*', 'morceaux de chocolat noir* 4,5% ', 'masse de cacao', 'sucre de canne', 'beurre de cacao*', 'flocons de blé* complets 3,7%', 'The Tlocons de seigle Complets 3,7%', 'flocons To see d orge complets 3,7%', 'huile de tournesol', 'tarine de blé*', 'noix de Coco*', 'amandes""', 'sesame*', 'pétales de mais""', "" ingredlients issus de l'Agriculture Biologique"", ' Les informations en gras sont destinées aux personnes CHOOLA INGR gra intolerantes ou allergiaques', "" Fabrique dans un atelier qui utilise d'autres fruits à coque"", ""du soja et de l'arachide"", ' A consommer avec du lait', 'une boisson végétale ou du fromage blanc', ' 20']","['Gluten', 'Fruits à coque', 'Graines de sésame']","['Sans huile de palme', 'Non végétalien']",3,1767,-5%,?,,12,-25%,65,+6%,"8,4",-10%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,12 g,en quantité modérée,4 g,en quantité modérée,23 g,en quantité élevée,0.05 g,en faible quantité,1767 kj(422 kcal),-4%,4,-23%,23,+21%,"0,05",-80%,"0,02",-80%,8,-12%,C,-12%,,,,,,
235,Ktipiti - Blini - 205g,3292070009343,,,205 g,,['Blini'],"['Produits à tartiner', 'Produits à tartiner salés', 'Ktipiti']",,,,,['France'],"['fromage frais à 0% de matière grasse 57% ', 'contient lait', ' - poivrons rouges grillés 22% - huile de colza - oignons préfrits ', 'oignon', 'huile de tournesol', ' - sucre - sel - menthe - ail en poudre - épaississant : E415 - conservateur: E202', ' Traces éventuelles de : Céréales contenant du gluten', 'crustacés', 'oeufs', 'poissons', 'soja', 'céleri', 'moutarde', 'graines de sésame et mollusques']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,,159,+4%,"12,1",+4%,"6,7",+37%,5,-2%,,,,,,,,"['FR 14.712.042 CE', 'Troarn (Calvados, France)']",12.1 g,en quantité modérée,1 g,en faible quantité,5.2 g,en quantité modérée,0.74 g,en quantité modérée,665 kj(159 kcal),+5%,1,-68%,"5,2",+27%,"0,74",-18%,"0,296",-18%,2,-66%,B,-66%,"['E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,
236,Salchichón,8420962003741,,,,,,,['en:gluten-free'],,,,['France'],[],,[],,?,,392,,33,,"3,5",,19,,,,,,,,,,,,,,,,,,1640 kj(392 kcal),,12,,"3,5",,"3,5",,"1,4",,,,,,,,,,,
237,Primaline,3370569803334,,,,,,,,,,,['France'],[],,[],,?,,77,,0,,16,,"1,9",,,,,,,,,,,,,,,,,,322 kj(77 kcal),,0,,0,,"0,06",,"0,024",,,,,,,,,,,
238,PINKIDS® POMMES PINK LADY® BARQ 6 PIECES,27011317,,,,,['Pink Lady'],,,,,,['France'],[],,[],,?,,62,,"0,5",,"13,8",,"0,5",,,,,,,,,,,,,,,,,,259 kj(62 kcal),,"0,01",,"12,3",,"0,01",,"0,004",,,,,,,,,,,
239,90G Jambon Cru 3 Tranches Aoste,3449860404066,,Jambon cru,90g,['conditionné sous atmosphère protectrice'],['Aoste'],"['Viandes', 'Charcuteries', 'Jambons', 'en:raw-cured-ham']","['Viande Française', 'en:gluten-free', 'Viande Porcine Française', 'Sans conservateurs']",['France'],http://www.aoste.fr,"['supermarché', 'hypermarché']",['France'],"['Jambon de porc origine France', 'sel']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,,274,+14%,18,+33%,1,+54%,24,-17%,,,,,,,,"['FR 38.012.001 CE', 'Aoste (Isère, France)', 'EMB 38012', 'Aoste (Isère, France)']",18 g,en quantité modérée,7.4 g,en quantité élevée,1 g,en faible quantité,5.7 g,en quantité élevée,1146 kj(274 kcal),+15%,"7,4",+43%,1,+130%,"5,7",+16%,"2,28",+16%,20,+18%,E,+18%,,,,,,
