,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,labels,ingredients_origins,manufacturing,traceability_code,markets,additives,allergens,nova_score,palm_ingredients,link,producer_info
422,Sauce Kebab - Bouton d'Or - 350g,3250391969036,C,350 g,"[""Bouton d'Or""]","['Epicerie', 'Sauces', 'Sauces kebab']",['France'],"['Eau', 'huile de colza', 'concombres ', 'concombres 4%', 'eau', 'sel', 'conservateur : benzoate de sodium', 'acidifiant : acide acétique', 'antioxydant : acide ascorbique', 'sirop de glucose-fructose', ""jaune d'oeuf"", ""vinaigre d'alcool"", 'amidon de blé', 'sel', 'amidon transformé de maïs', 'oignons', 'acidifiants : glucono-delta-lactone', 'acide lactique', 'acide tartrique', 'poudre de lait écrémé', 'poudre de yaourt écrémé', 'conservateur : sorbate de potassium', 'épaississants : gomme guar et gomme xanthane', 'persil 0,12%', 'arôme', 'protéine de lactosérum', 'arôme naturel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",27.1 g,en quantité élevée,2 g,en quantité modérée,5.3 g,en quantité modérée,1.6 g,en quantité élevée,?,,288,-15%,1205 kj(288 kcal),-19%,"27,1",-25%,2,-30%,"9,3",+25%,"5,3",+28%,"1,3",+18%,"1,6",+3%,"0,64",+3%,12,-10%,D,-10%,63.5%,22.8%,5.8%,4.7%,2.5%,0.7%,67,Sauce condimentaire à base de concombres,"['Flacon', 'Plastique']",['Point Vert'],,"['Belgique', 'Oelegem']",['EMB B-01341'],['Intermarché'],"['E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E260 - Acide acétique', 'E300 - Acide ascorbique', 'E14XX - Amidons modifiés', 'E575 - Glucono-delta-lactone', 'E270 - Acide lactique', 'E334 - Acide L-tartrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']","['Œufs', 'Lait']",4,,,
423,Ma tarte chèvre épinards  - Monique Ranou - 350g,3250391969210,C,350 g,['Monique Ranou'],"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Tartes au fromage']",['France'],[],[],13.3 g,en quantité modérée,8.8 g,en quantité élevée,1.9 g,en faible quantité,1.09 g,en quantité modérée,911,-14%,?,,911 kj(218 kcal),-16%,"13,3",-12%,"8,8",+5%,18,-10%,"1,9",-19%,"5,8",-34%,"1,09",+18%,"0,436",+18%,14,+8%,D,+8%,70.7%,13.4%,3.3%,3.6%,1.9%,7.2%,56,,,,,,,['Intermarché'],,,,,,
424,Crik'Crak Goût Fromage - Bouton d'Or - 100g (3à 4portions),3250391969647,B,100 g (3 à 4 portions),"[""Bouton d'Or"", 'Sélection Intermarché']","['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs soufflés', 'Biscuits apéritifs soufflés à base de pomme de terre', 'Biscuits-aperitif-souffles-au-fromage']",['France'],"['Poudre de pomme de terre 60%', 'huile de tournesol 25%', 'amidon', 'amidon transformé de pomme de terre', 'sel', 'lactosérum en poudre', 'fromage en poudre 0,7%', 'acidifiant : acide lactique', 'farine de blé', 'arôme', 'yaourt en poudre', 'extrait de levure', ""émulsifiant : mono- et diglycérides d'acides gras"", ""correcteur d'acidité : lactate de calcium"", 'ail en poudre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",26.5 g,en quantité élevée,2.4 g,en quantité modérée,1.8 g,en faible quantité,2.84 g,en quantité élevée,2090,+2%,?,,2090 kj(500 kcal),-1%,"26,5",-3%,"2,4",-47%,"57,4",-2%,"1,8",-57%,6,-2%,"2,84",+39%,"1,136",+39%,18,+9%,D,+9%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,"Produit soufflé à base de pomme de terre, saveur fromage",['Sachet plastique'],"['Labels de distributeurs', 'Point Vert', 'Sélection Intermarché', 'Eco-Emballages', 'Ecolopass']",,"['Trüller Knabber-Gebäck GmbH - Aachener Strasse 1042', '50858 Cologne', 'Rhénanie-du-Nord-Westphalie', 'Allemagne']",,"['Banque alimentaire', 'Intermarché']","['E14XX - Amidons modifiés', 'E270 - Acide lactique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E327 - Lactate de calcium']","['Gluten', 'Lait']",4,,http://www.trueller-snacks.de/,
425,Harengs fumés reduits en sel - Odyssée - 170g,3250391979707,B,170 g,['Odyssée'],"['Produits de la mer', 'Poissons', 'Harengs', 'Poissons fumés', 'Harengs fumés']",['France'],"['Harengs 95% ', 'Clupea harengus', 'sel 2,9 %', 'conservateurs: lactate de potassium', 'diacétate de sodium', 'acide citrique']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",14 g,en quantité modérée,3.5 g,en quantité modérée,0.5 g,en faible quantité,2.9 g,en quantité élevée,?,,201,+10%,841 kj(201 kcal),+11%,14,+15%,"3,5",+17%,"0,5",+15%,"0,5",+116%,17,+1%,"2,9",-21%,"1,16",-21%,15,+8%,D,+8%,64.6%,0.0%,6.7%,24.9%,3.0%,0.8%,76,"Harengs salés et fumés, réduits en sel",['Sous vide'],,,,"['FR 76.240.003 CE', 'Épreville (Seine-Maritime, France)']",['Intermarché'],"['E326 - Lactate de potassium', 'E262ii - Diacétate de sodium', 'E330 - Acide citrique']",['Poisson'],3,,,
426,", Huile d'olive vierge extra aromatisé citron, la bouteille de 25 - Bouton d'Or",3250391985623,,,"[""Bouton d'Or""]",['Matières grasses'],['France'],"[""Huile d'olive vierge extra 96/5%/ écorce de citron 3%"", 'arôme naturel de citron']",[],99.3 g,en quantité élevée,16.7 g,en quantité élevée,0.5 g,en faible quantité,0.01 g,en faible quantité,?,,894,+11%,3740 kj(894 kcal),+12%,"99,3",+12%,"16,7",-27%,"0,5",+123%,"0,5",+209%,"0,5",+182%,"0,01",-95%,"0,004",-95%,12,+6%,D,+6%,,,,,,,,,,,,,,,,,4,,,
427,Loubards Fruités - Elodie - 320g,3250391986187,E,320 g,['Elodie'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],"['Sirop de glucose', 'sucre', 'graisse végétale ', 'palme/palmiste', 'acidifiant : acide citrique', 'gélatine de porc', 'colorants : curcumine - caramel ordinaire - charbon végétal médicinal - extrait de paprika - anthocyanes', ""émulsifiants: mono et diglycérides d'acides gras - lécithine de colza"", 'arômes naturels', ""arôme naturel d'orange""]","['Huile de palme', 'Non végétalien', 'Non végétarien']",6.7 g,en quantité modérée,5.3 g,en quantité élevée,58.8 g,en quantité élevée,0.019 g,en faible quantité,1727,+11%,?,,1727 kj(413 kcal),+15%,"6,7",+260%,"5,3",+400%,"85,9",+3%,"58,8",+1%,"1,1",-48%,"0,019",-84%,"0,008",-84%,20,+39%,E,+39%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,['Plastique'],,,['France'],,['Intermarché'],"['E330 - Acide citrique', 'E428 - Gélatine', 'E100 - Curcumine', 'E150a - Caramel E150a', 'E153 - Charbon végétal médicinal', 'E160c - Extrait de paprika', 'E163 - Anthocyanes', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine']","['Lait', 'Anhydride sulfureux et sulfites']",4,['Huile de palme'],,
428,Pomme Pruneau sans sucres ajoutés - Paquito - 4 * 90g (360g),3250391988815,B,4 * 90 g (360 g),['Paquito'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes à boire', 'Compotes pommes pruneau']",['France'],"['Purée de pommes 74%', 'purée de pruneaux ', 'pruneaux 16,6%', 'eau', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,15 g,en quantité élevée,0.02 g,en faible quantité,302,-2%,?,,302 kj(72 kcal),-7%,"< 0,5",+50%,"< 0,1",+30%,16,-6%,15,+2%,"< 0,5",-12%,"0,02",+45%,"0,008",+45%,-2,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,"['Carton', 'Gourde', 'Plastique']",['Sans sucre ajouté'],,,"['EMB 19123', 'Malemort-sur-Corrèze (Corrèze, France)']",['Intermarché'],['E300 - Acide ascorbique'],,1,,,
429,Creme dessert saveur cookies - Netto - 460g (4x115g),3250391989041,,460 g (4x115g),['Netto'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert']",['France'],"['Lait entier ', '76%', 'sucre', 'amidon modifié de manioc', 'chocolat ', '12%', ' ', 'sucre', 'beurre de cacao', 'cacao sec dégraissé', 'cacao', 'cacao maigre', 'sirop de glucose', 'gelifiant: carraghénanes', 'colorant E150d', 'arome', 'sel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3.4 g,en quantité modérée,2.3 g,en quantité modérée,16.2 g,en quantité élevée,0.2 g,en faible quantité,?,,119,-8%,498 kj(119 kcal),-8%,"3,4",-24%,"2,3",-17%,"18,8",+3%,"16,2",+6%,"2,9",-14%,"0,2",+30%,"0,08",+30%,5,+5%,C,+5%,,,,,,,,,,,,,,['Netto'],"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E150d - Caramel au sulfite d'ammonium""]",['Lait'],4,,,
430,Jus de pamplemousse blanc - Paquito - 1L,3250391990528,C,1 L,['Paquito'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pamplemousse', 'Jus de fruits pur jus', 'en:pure-grapefruit-juice']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,9.2 g,en quantité élevée,0.01 g,en faible quantité,?,,44,+13%,184 kj(44 kcal),+13%,"0,5",+142%,"0,1",+194%,"10,4",+20%,"9,2",+14%,"0,6",+24%,"0,01",+17%,"0,004",+17%,4,+116%,C,+116%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,['Intermarché'],,,,,,
431,"Paquito, Jus de pruneaux d'Agen BIO, la bouteille de 1 l",3250391990559,,,['Paquito'],['Boissons'],['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,14 g,en quantité élevée,0.01 g,en faible quantité,?,,81,+45%,339 kj(81 kcal),+41%,"0,5",+44%,"0,1",-15%,19,+68%,14,+48%,"0,5",+1%,"0,01",-76%,"0,004",-76%,20,+161%,E,+161%,,,,,,,,,,['Bio'],,,,['Intermarché'],,,,,,
432,Saumon fumé Danemark - Odyssée - 150g (4tranches minimum),3250391993635,D,150 g (4 tranches minimum),"['Odyssée', 'Intermarché']","['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', ""Saumons d'élevage"", 'Saumons fumés', ""Saumons fumés d'élevage""]",['France'],"['saumon atlantique ', 'Salmo salar', 'sel', '\r Contient : poissons']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",9.4 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,3.1 g,en quantité élevée,?,,165,-16%,690 kj(165 kcal),-15%,"9,4",-23%,"1,9",-14%,"< 0,5",+48%,"< 0,5",+134%,20,-4%,"3,1",+172%,"1,24",+172%,13,+215%,D,+215%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,Saumon Atlantique fumé décongelé élevé au Danemark,"['Plastique', 'Carton', 'Frais']","['Omega-3', 'Riche en Oméga-3', 'Source de phosphore', 'Fumé au bois de hêtre', 'Décongelé']",['Danemark'],"['Moulin de la Marche', 'Châteaulin', 'France']","['FR 29.026.502 CE', 'Châteaulin (Finistère, France)']",['Intermarché'],,['Poisson'],3,,,
433,L'Essentiel Figue - Páturages - 400g (4x 100g),3250391993956,B,400 g (4 x 100 g),"['Páturages', 'Sélection des Mousquetaires', 'Les Mousquetaires']","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Frais', 'Yaourts', 'Yaourts aux fruits', 'Yaourts brassés', 'Yaourts aux figues', 'Yaourts brassés aux fruits', 'Yaourts sucrés', 'Yaourts entiers']",['France'],"['Yaourt au lait entier : 70,5 % ', 'lait entier', 'protéine de lait', 'ferments lactiques', 'fruits : 20,1 % ', 'figue : 19,9 %', 'jus concentré de citron', 'sucre']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",2.6 g,en faible quantité,2 g,en quantité modérée,13.8 g,en quantité élevée,0.13 g,en faible quantité,385,,?,,385 kj(92 kcal),-12%,"2,6",-35%,2,-21%,14,+4%,"13,8",+7%,"2,8",-15%,"0,13",+31%,"0,052",+31%,4,+9%,C,+9%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,Yaourt brassé sucré à la figue,"['Frais', 'Pot', 'Plastique', 'Opercule', 'Etui', 'Carton']","['Labels de distributeurs', 'Point Vert', 'Sans colorants', 'Sans conservateurs', 'Sélection Intermarché', 'en:lait-francais-french-milk', 'Eco-Emballages']","['France', 'Lait']","['Yéo International [Filiale 3A Coop (Sodiaal)] - 183 Avenue des États-Unis - 31200 Toulouse', 'Haute-Garonne', 'France']","['FR 31.555.001 CE', 'Toulouse (Haute-Garonne, France)', 'EMB 31555', 'Toulouse (Haute-Garonne, France)']","['Banque alimentaire', 'Intermarché']",,['Lait'],4,,,
434,Bâtonnets de surimi - Odyssée - 900g (800 + 100g),3250391995462,B,900 g (800 + 100 g),['Odyssée'],"['Produits de la mer', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Surimi', 'en:preparations-made-from-fish-meat']",['France'],"['Eau', 'chair de poisson 35 %', 'amidons ', 'dont blé', ""blanc d'oeuf réhydraté"", 'huile de colza', 'sucre', 'sel', 'arôme crabe ', 'dont crustacés', 'exhausteur de goût : monoglutamate de sodium', 'colorant : extrait de paprika']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4.5 g,en quantité modérée,0.5 g,en faible quantité,3.2 g,en faible quantité,1.7 g,en quantité élevée,?,,121,+2%,506 kj(121 kcal),+2%,"4,5",-4%,"0,5",-23%,12,+5%,"3,2",+12%,"7,3",-2%,"1,7",-1%,"0,68",-1%,4,-9%,C,-9%,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,Surimi,"['Barquette', 'Plastique', 'Frais']","['Labels de distributeurs', 'Sélection Intermarché']",,['France'],"['FR 29.031.500 CE', 'Clohars-Carnoët (Finistère, France)']",['Intermarché'],"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika']","['Crustacés', 'Œufs', 'Poisson', 'Gluten']",4,,,
435,crémant de Bourgogne -  expert club -  1,3250391995493,C,1,['expert club'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bourgogne', 'Vins effervescents', 'Crémant de Bourgogne']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,['France'],,,,,,,,,
436,Paquito 100% Pur Jus Orange Sans Pulpe - 50cl,3250391995646,D,50cl,['Paquito'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", ""Jus d'orange sans pulpe""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,['Intermarché'],,,,,,
437,Jus Multifruits - Paquito - 50cl,3250391995684,D,50 cl,['Paquito'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits', 'Jus de fruits pur jus', 'Jus multifruits pur jus']",['France'],"['Jus de pomme', ""d'orange"", ""d'ananas"", 'purée de mangue', ""de banane et d'abricot"", 'jus de fruit de la passion']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,208,+4%,?,,208 kj(50 kcal),+4%,?,,,,?,,,,?,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,Jus Multifruits,"['Bouteille', 'Plastique']","['Labels de distributeurs', 'Sélection Intermarché']",,,,['Intermarché'],,,1,,,
438,100% Pur Jus Pomme Pastèque - Paquito - 1l,3250391997312,C,1 l,['Paquito'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits']",['France'],"['Jus de pomme trouble 85%', 'jus de pastèque 14%', ""jus d'aronia 1%""]",[],0.5 g,en faible quantité,0.1 g,en faible quantité,10.4 g,en quantité élevée,0.01 g,en faible quantité,180,-10%,43,-10%,180 kj(43 kcal),-10%,"< 0,5",+186%,"< 0,1",+282%,"10,6",-4%,"10,4",0%,"0,3",-24%,"< 0,01",+9%,"0,004",+9%,3,-33%,C,-33%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"Jus de pomme pastèque et aronia, flash pasteurisé, réfrigéré","['Brique', 'Carton']","['Labels de distributeurs', 'en:FSC', 'en:fsc-c081801', 'FSC Mix', 'Sélection Intermarché']",,['Espagne'],['FSC-C081801'],['Intermarché'],,,1,,,
439,Glace façon  Baba Au Rhum - Adélie,3250391997657,,,['Adélie'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets']",['France'],[],[],7.4 g,en quantité modérée,4.6 g,en quantité modérée,23.3 g,en quantité élevée,0.18 g,en faible quantité,?,,192,-5%,803 kj(192 kcal),-6%,"7,4",-14%,"4,6",-18%,"28,7",+2%,"23,3",-1%,"2,5",+2%,"0,18",+49%,"0,072",+49%,11,-4%,D,-4%,,,,,,,,,['Surgelé'],,['Union européenne'],['France'],"['EMB 35360C', 'Vitré (Ille-et-Vilaine, France)']",['Intermarché'],,,,,,
440,Bac noisette façon rocher (G) - Netto - 469g,3250391997831,B,469 g,['Netto'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",['France'],"['Eau ', ' sucre au chocolat ', '14', '5%', ' ', 'sirop de glucose-fructose', 'eau', 'poudre de chocolat ', '20%', ' ', 'sucre', 'cacao', 'sucre', 'lait écrémé en poudre', 'épaississant: amidon transformé de maïs', 'consevateur: E202', ' sucre', ' lacose ', 'lait', ' et protéines de lait', ' sirop de glucose', 'matières grasse végétale ', 'coprah', ' nougatine ', '3', '8%', ' ', 'sucre', 'amande et noisette ', '40% en proportions variables', ' pâte de noisette ', '1', '2%', ' émulsifiant: E471', ' stabilisants: gomme guar', 'farine de graines de caroube', ' colorant : E150c', ' arôme']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",8.1 g,en quantité modérée,5.5 g,en quantité élevée,27.6 g,en quantité élevée,0.14 g,en faible quantité,863,-12%,205,-12%,863 kj(205 kcal),-11%,"8,1",-31%,"5,5",-28%,"31,1",+11%,"27,6",+18%,"1,9",-40%,"0,14",-7%,"0,056",-7%,7,-48%,C,-48%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"Glace goût noisette, sauce au chocolat et nougatine","['Plastique', 'Surgelé']",,,"['Ille-et-Vilaine', 'Bretagne', 'France']","['EMB 35360C', 'Vitré (Ille-et-Vilaine, France)']",['Netto'],"['E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']","['Lait', 'Fruits à coque', 'Soja']",4,,,
441,Glace Façon au Citron Meringué - Netto,3250391997893,,,['Netto'],,['France'],"['ceûr CITRON SAUCÉ AU ', ""Ir'"", 'ET DE MERiNGUË ENROBÉS t au ', 'sucre', ""ius de eié'ror"", ' jaune ', '264 sif4', 'pectine', 'épaississani étfiant de mais', 'acidìfiiant : E331t coloronf : conservaie r lus de citron à base dc concentré ', ' lactose ', 'lait', ' e lait ', ' rnatière grasse véqétale ', 'coprah', '] sirop de dr rnermque enrobés 2% ', 'sucre', 'beurre e cccc', ""ot d'e•cf"", 'de blé', ' ', ' émulsifiant : Ed71 ', ' stabilisants : gomme o-ri', 'ncs de caroube ', ' arôme ', ' coforant : El 600', 'de fruits à coque,']",['Non végétalien'],,,,,,,,,?,,191,,799 kj(191 kcal),,"5,8",,"4,7",,34,,24,,"1,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,['Netto'],['E440 - Pectines'],"['Gluten', 'Lait', 'Fruits à coque']",4,,,
442,Façon Panna Cotta sauce au caramel - Netto,3250391997923,C,,['Netto'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Panna cottas', 'Panna cottas au caramel']",['France'],"['Netto GLACE GOùr PANNA corrA SAUCE AU Nu DE CHOCOLAT BLANC SAVEURCARAMEL MGRÉDIENTS ', ' Eau ', ' sauce au caramel ', 'sirop de glucosefrtr ', 'se', 'fraîchett épaississants : amidon transformé demis', 'xont}me', 'tait en poudre', 'caramel', 'sel', 'émulsifiant : E471', 'dtacidité : E332t arôme', 'colorants : El 500', 'E160c', ' ', ' swe', ' octoset et protéines de lait ', "" crème fraîche' 3% "", ' copeaux blanc saveur caramel 017 % ', 'sucre', 'beurre et poudre de cacao', 'pdte de lait', 'émulsifiant : E442', 'arôme', 'colorant : El 60a', ' ', ' émulsifiant : E471 ', ' stabilisants : gomme guar', 'farine de graines de caroube ', ' arôme', "" ' dont lait"", ' Traces ', 'yentuelles de fruits à coque']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",7.5 g,en quantité modérée,5.9 g,en quantité élevée,26 g,en quantité élevée,0.18 g,en faible quantité,?,,191,-9%,799 kj(191 kcal),-9%,"7,5",-31%,"5,9",-23%,29,+21%,26,+31%,"1,4",-44%,"0,18",+62%,"0,072",+62%,12,+2%,D,+2%,62.1%,26.2%,4.5%,4.1%,2.5%,0.7%,68,,,,,,,['Netto'],"['E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160c - Extrait de paprika', ""E442 - Phosphatides d'ammonium"", 'E412 - Gomme de guar', 'E410 - Gomme de caroube']",['Lait'],4,,,
443,Saumon fumé Danemark,3250391998081,E,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],[],9.4 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,3.1 g,en quantité élevée,?,,165,-11%,690 kj(165 kcal),-11%,"9,4",-10%,"1,9",-8%,"0,5",+1%,"0,5",+50%,20,-10%,"3,1",+10%,"1,24",+10%,13,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,
444,Anneaux d'Encornets - Odyssee,3250391998562,,,['Odyssee'],,['France'],[],[],,,,,,,,,?,,52,,218 kj(52 kcal),,"1,1",,"0,4",,"0,5",,"0,5",,"10,6",,"1,53",,"0,612",,,,,,,,,,,,,,,,,,,,,,,,,
445,Fromage blanc aux fruits - Netto,3250391999545,C,,['Netto'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Quark', 'Fromages blancs', 'Fromages à la crème']",['France'],[],[],2.7 g,en faible quantité,1.8 g,en quantité modérée,13.9 g,en quantité élevée,0.08 g,en faible quantité,?,,108,+4%,452 kj(108 kcal),+5%,"2,7",-14%,"1,8",-9%,"14,5",+27%,"13,9",+34%,"6,4",-2%,"0,08",-31%,"0,032",-31%,2,+85%,B,+85%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,['Netto'],,,,,,
446,"Fiorini, Pizza Fine'zza thon, la pizza de 355 g",3250392001421,C,355 g,['Fiorini'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au thon']",['France'],"['Garniture ', ' purée de tomate', 'thon ', 'poisson', ' edam* 11,6%', 'mozzarella* 11,6%/ oignons frits ', 'oignons', 'huile de tournesol', '/ huile de colza', 'eau', 'huile de tournesol', 'pecorino* 1,7% ', 'fromage* à pâte dure issu de lait de brebis', 'plantes aromatiques', 'câpres', 'eau', 'sel', 'farine de blé', 'sucre', ""jaune câpres d'?uf"", 'épices', 'amidons', 'amidon de blé', 'ail', 'protéines de blé', ' ', 'Pourcentages exprimés sur la garniture', ' Pâte 39% : farine de blé', 'eau', 'huile de colza', '- levure', 'sel', 'sucre', 'dextrose', ' dont lait', ' Traces éventuelles de : célerij mollusques et crustacés']","['Non végétalien', 'Non végétarien']",11 g,en quantité modérée,3.1 g,en quantité modérée,3.9 g,en faible quantité,1.3 g,en quantité modérée,?,,231,0%,967 kj(231 kcal),-0%,11,+14%,"3,1",+5%,23,-7%,"3,9",+27%,"9,8",-4%,"1,3",+14%,"0,52",+14%,5,+2%,C,+2%,66.0%,11.0%,4.2%,7.2%,2.4%,9.2%,67,,,,,,,,,"['Poisson', 'Gluten', 'Lait']",4,,,
447,Croque de Dinde aux Fomages - Volae - 400g,3250392001513,D,400 g,['Volae'],"['Viandes', 'Plats préparés', 'Préparations de viande', 'Volailles', 'Produits panés', 'Dindes', 'Préparations à la dinde', 'Cordons bleus', 'Cordons bleus de dinde']",['France'],"['Préparation à base de viande de dinde traitée en salaison 55% : viande de dinde ', '415%', 'viande de poulet ', '40%', 'eau', 'dextrose', 'sel', 'protéines de soja', 'protéines de pois', 'arômes', '\rPanure 25% : chapelure ', 'farine de blé', 'levure', 'épices : paprika', 'curcuma', 'huile de tournesol', 'eau', 'farine de blé', 'sel', ""\rTranche de fromage fondu à I'emmental et à la mozarella 20% : fromages* 60% minimum "", 'dont emmental 25% minimum et mozzarella 25% minimum', 'amidon modifié', 'lactosérum*', 'gélifiant : E417', 'sel émulsifiant : E331', 'sel', 'arôme naturel', ' *dont lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",13 g,en quantité modérée,3.7 g,en quantité modérée,1.6 g,en faible quantité,1.4 g,en quantité modérée,979,+7%,?,,979 kj(234 kcal),+5%,13,+7%,"3,7",+16%,17,+18%,"1,6",-9%,13,+3%,"1,4",+5%,"0,56",+5%,11,+55%,D,+55%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,"['Labels de distributeurs', 'en:palm-oil-free', 'Sélection Intermarché']",,,,,"['E14XX - Amidons modifiés', 'E417 - Gomme tara', 'E331 - Citrates de sodium']","['Gluten', 'Lait', 'Soja']",4,,,
