,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,brand,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,brand_owner,additives,allergens,nova_score,generic_name,ingredients_origins,manufacturing,link
462,12 merguez et 12 saucisses nature Halal,2492476069144,['France'],[],[],?,256,1071 kj(256 kcal),20,0,1,0,18,0,0,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Poulet fermier du Maine,2474345036679,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Foie gras vieil armagnac 190g,3973619010630,['France'],[],[],?,534,2234 kj(534 kcal),55,23,"2,4","1,9","7,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,L'arrangé,3770005314118,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Huile d'olive extra vierge,5200106180131,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","12,8",0,0,0,0,0,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,91.6 g,en quantité élevée,12.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-9%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,
467,Mélange Exotique Grand Frais,2600129021122,['France'],[],[],?,378,1582 kj(378 kcal),11,"10,1","69,8","57,2","1,9","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Super fruitti - Noberasco - 70g,94806885,['France'],[],[],?,303,1268 kj(303 kcal),7,"0,79",43,41,"7,9","0,03","0,012",,70 g,['Noberasco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Praline Rose,3701043800097,['France'],[],[],?,475,1987 kj(475 kcal),"19,4","1,52",69,"56,2","7,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Amarena,3760255320212,['France'],[],[],?,175,732 kj(175 kcal),"5,4","4,56","27,68","26,16","3,82","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Panna cotta,4000521472504,['France'],[],[],?,190,795 kj(190 kcal),"11,4","6,5",18,17,"0,04",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Protéine,8594014865196,['France'],[],[],?,374,1565 kj(374 kcal),"4,4","2,8","7,3","5,3","75,6","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Pouding saveur orange,7622210601780,['France'],[],[],?,145,607 kj(145 kcal),"1,2","0,8","31,5",29,"2,2","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Orangensafr,4021375012784,['France'],[],[],?,43,180 kj(43 kcal),"0,2","0,04",9,9,"0,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Mélange bien être,2600289056545,['France'],[],[],?,500,2092 kj(500 kcal),31,"0,8",37,33,13,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Saucisses de poulet,2733712015786,['France'],[],[],?,228,954 kj(228 kcal),"16,6","4,7",0,0,"18,7","1,91","0,764",E,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Volailles', 'Poulets', 'Saucisses de volaille', 'Saucisses de poulet']",,,16.6 g,en quantité modérée,4.7 g,en quantité modérée,0 g,en faible quantité,1.91 g,en quantité élevée,,+10%,+10%,+8%,+8%,-100%,-100%,+40%,-1%,-1%,14,+9%,D,+9%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,,,,,,,
477,Saumon atlantique fumé,3321431020335,['France'],[],[],?,185,774 kj(185 kcal),10,2,"0,5","0,5",22,3,"1,2",E,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons Atlantique fumés']",,,10 g,en quantité modérée,2 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,,-2%,-2%,-7%,-7%,-6%,+47%,-0%,+7%,+7%,13,-3%,D,-3%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,
478,Ginseng Royal - 30g,3700803900473,['France'],[],[],?,?,,?,,?,,?,,,,30 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Mortadelle italienne chiffonnade - La Jasse,3700118300319,['France'],[],[],?,285,1192 kj(285 kcal),25,"9,4",0,0,15,"1,9","0,76",E,,['La Jasse'],"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Mortadelle']",,,25 g,en quantité élevée,9.4 g,en quantité élevée,0 g,en faible quantité,1.9 g,en quantité élevée,,+1%,+3%,+5%,+8%,-100%,-100%,+3%,-17%,-17%,20,-0%,E,-0%,73.5%,18.1%,3.9%,1.2%,0.7%,2.6%,24,,"['FR 12.063.025 CE', 'Cavalerie (Aveyron, France)']",,,,,,,,
480,Champagne,3282946018555,['France'],[],[],?,?,,?,,?,,?,0,0,D,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins effervescents', 'Champagnes']",,,,,,,,,,,,,,,,,,,-100%,-100%,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,
481,Raisins au sauternes - Comtesse du Barry,3660806509274,['France'],[],[],?,435,1820 kj(435 kcal),"15,5","9,9","67,8","54,2","4,5","0,05","0,02",,,['Comtesse du Barry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Pain céréale noisette amande,0250161011159,['France'],[],[],?,280,1172 kj(280 kcal),"3,5","0,4",51,"6,4","8,8","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,P'tit Basque,0299678093470,['France'],[],[],?,413,1728 kj(413 kcal),"35,9","25,5","0,2","0,2","22,3","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 64.314.100 CE', 'Larceveau-Arros-Cibits (Pyrénées-Atlantiques, France)']",,,,,,,,
484,Bonbons sans sucre - La Confiserie Bressaude,3389681001696,['France'],[],[],?,236,987 kj(236 kcal),0,0,98,0,0,0,0,,,['La Confiserie Bressaude'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,6 Crêpes de Froment aux Oeufs de Plein Air en barquette - La CRÊPE de BROCÉLIANDE - 240,3326120009066,['France'],"['Farine de froment 34% ', 'France', 'lait entier frais ', 'France', 'sucre de canne ', 'France', 'œufs entiers frais 17% ', 'France', 'huile de tournesol ', 'France', 'arôme naturel de vanille', 'sel de Guérande']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,A,240,['La CRÊPE de BROCÉLIANDE'],"['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']",['en:produced-in-bretagne'],,,,,,,,,,,,,,,,,,,,,,,,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,['Barquette'],"['EMB 35027A', 'Boisgervilly (Ille-et-Vilaine, France)']",,,"['Œufs', 'Gluten', 'Lait']",4,6 Crêpes de Froment aux Oeufs de Plein Air en barquette,['France'],['Boisgervilly'],
486,Lipton Green Ice Tea -,3662168020015,['France'],[],[],?,19,79 kj(19 kcal),0,0,"4,7","4,5",0,"0,02","0,008",,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Thés glacés']",,,0 g,en faible quantité,0 g,en faible quantité,4.5 g,en quantité modérée,0.02 g,en faible quantité,,-14%,-14%,-100%,-100%,-11%,-11%,-100%,-29%,-29%,6,-18%,D,-18%,,,,,,,,,,,,,,,,,
487,Tartaleta Espelta Limon Eco 240G Espiga Biologica,8423245301077,['France'],[],[],?,423,1770 kj(423 kcal),17,"4,5",59,30,7,"0,6","0,24",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,12 madeleines longues,3188591000290,['France'],[],[],?,402,1682 kj(402 kcal),13,"1,7",64,44,6,"0,53","0,212",B,,,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines', 'Madeleines longues']",,,13 g,en quantité modérée,1.7 g,en quantité modérée,44 g,en quantité élevée,0.53 g,en quantité modérée,,-9%,-8%,-39%,-51%,+17%,+56%,+7%,-37%,-37%,17,+5%,D,+5%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,
489,Chiffonade de jambon sel sec superieur,3453890005117,['France'],[],[],?,192,803 kj(192 kcal),"9,5","3,47","0,3","0,3","26,3","6,09","2,436",E,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']","['Viande Française', 'Viande Porcine Française']",,9.5 g,en quantité modérée,3.47 g,en quantité modérée,0.3 g,en faible quantité,6.09 g,en quantité élevée,,-18%,-18%,-26%,-29%,-49%,-20%,-9%,+21%,+21%,15,-10%,D,-10%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,
490,Pâte à tartiner aux noisettes - Tartichoc - 750g,59507185,['France'],[],[],?,551,2305 kj(551 kcal),33,6,55,53,"5,8","0,1","0,04",D,750 g,['Tartichoc'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']","['Agriculture durable', 'en:UTZ Certified']",,33 g,en quantité élevée,6 g,en quantité élevée,53 g,en quantité élevée,0.1 g,en faible quantité,,+0%,+0%,-3%,-22%,+7%,+11%,-15%,-3%,-3%,21,+1%,E,+1%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,,,,,,
491,Thé noir gingembre,6091403650217,['France'],[],[],?,0,0 kj(0 kcal),0,0,2,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Desmigado bacalao salado - 1kg,8410928001959,['France'],[],[],?,91,381 kj(91 kcal),"2,6","0,98","0,1","0,1","19,5","17,9","7,16",,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Anchois marinés aux carottes et piments,3418840571555,['France'],[],[],?,268,1121 kj(268 kcal),22,"3,4","1,6","0,8",15,"1,9","0,76",,,,,"['Sans colorants', 'Sans conservateurs', 'Pêche durable', 'Pêche durable MSC']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Crispy Cheese Crackers,130912,['France'],[],[],?,498,2084 kj(498 kcal),"23,9","16,8","58,4","6,4",11,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,My energy,7610745215848,['France'],[],[],?,176,736 kj(176 kcal),6,"0,5",11,6,18,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Brochettes d'abats,0290229020600,['France'],[],[],?,165,690 kj(165 kcal),12,5,"0,8","0,5",14,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 26.347.022 CE', ""Tain-l'Hermitage (Drôme, France)""]",,,,,,,,
497,Salade au thon indienne,4504382,['France'],[],[],?,126,527 kj(126 kcal),"6,5","0,5","7,1","2,1","8,1","1,11","0,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,alfajorcito negro,7730303008832,['France'],[],[],?,100,418 kj(100 kcal),"3,7","1,5",15,11,"1,4","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Purée de piment vert gingembre et ail - Le coq noir,3269710600147,['France'],[],[],?,?,,?,,?,,?,,,,,['Le coq noir'],,"['Bio', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Fast hydration,7612100023464,['France'],[],[],?,29,121 kj(29 kcal),0,0,"6,9",6,0,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Rillettes de porc - Saint Alby,20055745,['France'],[],[],?,395,1653 kj(395 kcal),37,15,"0,5","0,5",15,"1,1","0,44",D,,['Saint Alby'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",,,37 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,1.1 g,en quantité modérée,,0%,+0%,+1%,+6%,-1%,+47%,-5%,-14%,-14%,18,-8%,D,-8%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,
502,Tapenade noire bio - 90g,3760054420052,['France'],[],[],?,269,1125 kj(269 kcal),26,"2,91",0,0,"2,1","3,55","1,42",C,90 g,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",['Bio'],,26 g,en quantité élevée,2.91 g,en quantité modérée,0 g,en faible quantité,3.55 g,en quantité élevée,,-2%,-2%,-3%,-17%,-100%,-100%,+19%,+13%,+13%,15,+1%,D,+1%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,
503,Terrine campagne -,3760257851066,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Viandes', 'Charcuteries', 'Charcuteries diverses']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Coulis mangue passion avec touche de miel d'acacia - Le Coq Noir,3269710600154,['France'],[],[],?,108,452 kj(108 kcal),"0,5","0,1",25,21,"0,6","0,01","0,004",,,['Le Coq Noir'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits']",,,0.5 g,en faible quantité,0.1 g,en faible quantité,21 g,en quantité élevée,0.01 g,en faible quantité,,-14%,-15%,+91%,+158%,-11%,-21%,-10%,-37%,-37%,-1,-134%,A,-134%,,,,,,,,,,,,,,,,,
505,Macedoine,2600482019842,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Bahia,3770004509195,['France'],[],[],?,24,100 kj(24 kcal),"0,1",0,"5,5","5,2","0,2","0,01","0,004",,,,,['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,King Snack,3700181508988,['France'],[],[],?,526,2201 kj(526 kcal),28,15,61,39,"7,1","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Peanut Butter Filled Pretzels,6910,['France'],[],[],?,420,1757 kj(420 kcal),24,6,42,6,15,9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Bouteilles d'eau Eviaan,2068384399651,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Chips Sour cream,7392659005103,['France'],[],[],?,500,2092 kj(500 kcal),27,"2,7",56,"0,8","8,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Vin rose,3552210000556,['France'],[],[],?,?,,?,,?,,?,0,0,D,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",,,,,,,,,,,,,,,,,,,-100%,-100%,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,,,,,,,,
512,Diekirch Radler Agrum,5410228233404,['France'],[],[],?,21,88 kj(21 kcal),0,0,"3,5","2,3","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Glace Plombières - Erhard,3428420016758,['France'],[],[],?,215,900 kj(215 kcal),11,6,26,20,"3,5","0,15","0,06",,,['Erhard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Dark Rye - Ryvita,5050974506232,['France'],[],[],?,342,1431 kj(342 kcal),"1,2","0,2","66,6",3,"8,5","0,74","0,296",,,['Ryvita'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Natural greek style yogurt - Müller,4025500239213,['France'],[],[],?,139,582 kj(139 kcal),"5,9","3,3","12,4","8,3","7,4","0,27","0,108",,,['Müller'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque']",,,5.9 g,en quantité modérée,3.3 g,en quantité modérée,8.3 g,en quantité modérée,0.27 g,en faible quantité,,+19%,+19%,-14%,-26%,+42%,+4%,+67%,+133%,+133%,2,-51%,B,-51%,,,,,,,,,,,,,,,,,
516,Rosette,3390173908799,['France'],[],[],?,372,1556 kj(372 kcal),29,13,"2,8","0,9",25,"4,7","1,88",D,,,"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']","['Viande Française', 'Viande Porcine Française']",,29 g,en quantité élevée,13 g,en quantité élevée,0.9 g,en faible quantité,4.7 g,en quantité élevée,,+2%,+2%,+1%,+14%,+44%,-38%,-2%,+4%,+4%,24,+2%,E,+2%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,
517,La rose paulliac,3399733133756,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Assiette surimi macedoine,0204009023613,['France'],[],[],?,198,828 kj(198 kcal),17,"1,6","5,8","1,1","4,3","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Olives roses et violettes,3520832130616,['France'],[],[],?,225,941 kj(225 kcal),"23,41","2,64","1,36","0,1","0,27","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Tel Quel Veggie,8001620018446,['France'],[],[],?,38,159 kj(38 kcal),0,0,9,9,"0,1",0,0,,,,,['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,8 mini beignets fourrés au chocolat noisettes,0203537019020,['France'],[],[],?,428,1791 kj(428 kcal),24,"8,5",45,19,"6,8","0,72","0,288",,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Suédois jambon chèvre - Sodebo - 135g,00770057,['France'],[],[],?,272,1138 kj(272 kcal),"9,6","2,5",33,"7,7",11,"1,4","0,56",D,135 g,['Sodebo'],"['Sandwichs', 'Sandwichs garnis de charcuteries', 'Sandwichs au fromage', 'Sandwichs au jambon', 'Sandwichs au chèvre', 'Sandwichs Jambon Fromage']","['Nutriscore', 'Nutriscore C']",,9.6 g,en quantité modérée,2.5 g,en quantité modérée,7.7 g,en quantité modérée,1.4 g,en quantité modérée,,+20%,+20%,+6%,-25%,+29%,+111%,+20%,+16%,+16%,8,+29%,C,+29%,75.0%,14.2%,6.0%,2.8%,1.5%,0.4%,47,,,,,,,,,,
523,Croustillants chocolat au lait,3663350084594,['France'],[],[],?,492,2059 kj(492 kcal),25,15,61,51,"7,5","0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Poulet,0253075029326,['France'],[],[],?,324,1356 kj(324 kcal),14,"3,5",0,0,18,"0,18","0,072",,,,,['Bleu Blanc Cœur'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,CÔTES DU ROUSSILLON CHANTAIL,3326900601220,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Brussels Pâté with caramelised Shallots,0236831001002,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Packet'],,,,,,,,,
527,Hot & spicy chicken wings,00386838,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,D,,,"['Viandes', 'Volailles', 'Poulets', 'Ailes de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Packet'],,,,,,,,,
528,Frischcreme Meerrettich,4260041293151,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Coburn cob,0246625000500,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Packet'],,,,,,,,,
530,Patak’s Jalfrezi sauce Medium,5011308520119,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jar'],,,,,,,,,
531,100% Whey - Body Attack,4250350518397,['France'],[],[],?,387,1619 kj(387 kcal),"4,4","2,7","8,3","6,6","78,6","1,2","0,48",,,['Body Attack'],,['Fabriqué en Allemagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Patak’s Rich & creamy Tikka Masala,5011308520096,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,"['Epicerie', 'Sauces']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jar'],,,,,,,,,
533,Mangue kiwi,3561422254381,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Café,3700992100005,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Crêpes,0214073014431,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Cantonese Satay stir fry sauce,5019520008774,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,"['Epicerie', 'Sauces']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tub'],,,,,,,,,
537,Yaourt Nature Sucré,3760084280046,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Chilli & black bean sauce,5019520008750,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tub'],,,,,,,,,
539,Museli à la framboise,3273140021021,['France'],[],[],?,387,1619 kj(387 kcal),"4,3","0,6",72,13,12,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Emmental en cubes,8710866037875,['France'],[],[],?,386,1615 kj(386 kcal),30,"19,1",0,0,29,"1,13","0,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Croissant,,['France'],[],[],?,393,1644 kj(393 kcal),29,16,37,"8,4","6,6","0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Roasted & Salted Almonds - Morrisons,5010251903291,['France'],[],[],?,655,2741 kj(655 kcal),"52,6","3,8",14,"3,9","27,1","0,4","0,16",,,['Morrisons'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Thon germon au naturel - La Criée de Petit Pierre,3188720005042,['France'],[],[],?,450,1883 kj(450 kcal),"0,4","0,1",0,0,"25,7","0,8","0,32",,,['La Criée de Petit Pierre'],,"['Pêche durable', 'Pêche durable MSC']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['MSC-C-51090'],,,,,,,,
544,Matela gonflable intex,6941057458946,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,BOUBENNEC,3760273340445,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Mélange Canadien,2600706030905,['France'],[],[],?,472,1975 kj(472 kcal),29,"2,6",38,36,10,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Cote échine mexicaine,0262305048549,['France'],[],[],?,170,711 kj(170 kcal),"9,5",4,2,"0,5",19,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 06.293.004 CE', 'FR 86.293.004 CE', 'Vivonne (Vienne, France)']",,,,,,,,
548,Le sablé au biscuit rose de Reims - Fossier - 110g,3435070039075,['France'],[],[],?,470,1966 kj(470 kcal),18,10,67,27,7,"0,51","0,204",,110 g,['Fossier'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Sirop de pêche,3242611005440,['France'],[],[],?,320,1339 kj(320 kcal),0,0,79,79,0,0,0,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Café Créma d'Oro,3434380000287,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Punk limonade - Lorina,3551720026780,['France'],[],[],?,42,176 kj(42 kcal),"0,4",0,"10,5","10,5","0,4","0,01","0,004",,,['Lorina'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Origines Tea & Coffee,3760247352887,['France'],[],['Sans huile de palme'],?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'en:palm-oil-free', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Fuseau Lorrain - Boni,0296299068290,['France'],[],[],?,?,,?,,?,,?,,,,,['Boni'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Fuseau de lorrain']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
