,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,packaging,labels,traceability_code,additives,nova_score,generic_name,ingredients_origins,manufacturing,link,allergens,origin_detail,markets,palm_ingredients,brand_owner,producer_info
891,Pocky yaourt et myrtille,8851019010083,['France'],[],[],?,480,2008 kj(480 kcal),19,0,69,36,8,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Crème glacée à la vanille et aux noix de pécan,8718531514997,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Lingots blancs,3039820514289,['France'],[],[],?,293,1226 kj(293 kcal),"1,2","0,3",37,"3,7",21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
894,Crème D'artichauts Et Ail,8005978008050,['France'],[],[],?,517,2163 kj(517 kcal),54,"9,1","5,8","0,9","1,5","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Vakfikebir,4260193513831,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Sirop d'orgeat - Fruiss,3217690059233,['France'],[],[],?,33,138 kj(33 kcal),0,0,8,8,0,0,0,A,"['Boissons', 'Sirops', 'Sirops aromatisés', ""Sirops d'orgeat""]",,,,,,,,,,-88%,-88%,-100%,-100%,-88%,-88%,-100%,-100%,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,['Fruiss'],"['Opercule en plastique', 'Bouteille en verre', 'Bouchon']",,,,,,,,,,,,,,
897,Cioccolata Di Modica Con Mandarino Tardivo Bio (50G),8055731090013,['France'],[],[],?,470,1966 kj(470 kcal),33,"20,8","41,2","38,8",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Jus d’ananas pétillant,5601151971666,['France'],[],[],?,23,96 kj(23 kcal),"0,5","0,1","5,7","5,7",9,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Bonbons Miel Propolis - Fromagerie de Plagne Centre,3700422235017,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fromagerie de Plagne Centre'],,,,,,,,,,,,,,,
900,Aglio macinato,8003240715262,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Graines de sesame blanc - BioWagner,4001639184228,['France'],[],[],?,?,,?,,?,,?,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Sésame']",,,,,,,,,,,,,,,,,,,,,,,87.1%,0.0%,3.8%,5.0%,2.6%,1.6%,30,,['BioWagner'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
902,Gouda - Beemster - 500g,8712243039700,['France'],[],[],?,426,1782 kj(426 kcal),35,"25,2",0,0,"27,7",2,"0,8",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas']",35 g,en quantité élevée,25.2 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,,+15%,+15%,+15%,+22%,-100%,-100%,+15%,+6%,+6%,18,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,500 g,['Beemster'],,['AOP'],,,,,,,,,,,,,
903,Pépites de chocolat,3700699905309,['France'],[],[],?,508,2125 kj(508 kcal),29,18,49,46,"6,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Emmental -,2860001022504,['France'],[],[],?,378,1582 kj(378 kcal),30,21,"0,5","0,5",27,"0,64","0,256",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,0.64 g,en quantité modérée,,+1%,+1%,+3%,+7%,-25%,+21%,-2%,-2%,-2%,11,-4%,D,-4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,
905,Latte Parzialmente Scremato Uht,8005023004389,['France'],[],[],?,47,197 kj(47 kcal),"1,6","1,1","4,9","4,9","3,2",,,D,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",1.6 g,en faible quantité,1.1 g,en faible quantité,4.9 g,en faible quantité,,,,0%,+1%,+2%,+9%,+2%,+2%,-2%,,,,,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,,,,,
906,Kashkaval,3800113701033,['France'],[],[],?,1092,4569 kj(1092 kcal),21,14,2,2,16,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Knoblauch Oliven Trocken Eingelegt,4002239414906,['France'],[],[],?,172,720 kj(172 kcal),"16,2","2,2","2,9","0,5","1,6","3,83","1,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Crème de citron à tartiner,12311781,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Raclette gourmande,3324440440347,['France'],[],[],?,367,1536 kj(367 kcal),"29,6",16,0,0,24,"1,09","0,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Biscuit au chocolat et aux noisettes,3178530004120,['France'],[],[],?,517,2163 kj(517 kcal),27,13,60,36,"7,4","0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Velamints Spearmint Gum,4014600397299,['France'],[],[],?,136,569 kj(136 kcal),0,0,"56,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Cod liver oil 1000mg,5056049510333,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Myrtilles,8717521104651,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Saucisson sec de Savoie aux cèpes,3760234980703,['France'],[],[],?,339,1418 kj(339 kcal),24,10,1,"0,4",24,"3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Puree,4006381401074,['France'],[],[],?,19.4,81 kj(19 kcal),81,"40,18","4,49","4,48",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Crostini dorati,8003130602276,['France'],[],[],?,556,2326 kj(556 kcal),35,16,51,"1,8",8,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Oeuf chocolat lait - Thorntons,5016346511914,['France'],[],[],?,545,2280 kj(545 kcal),32,20,55,54,7,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thorntons'],,,,,,,,,,,,,,,
918,Madi Ventura Arachidi Tostate Buste,8028618002300,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Ravioles - Irina - 300g,3760328640001,['France'],"['Jambon de Bayonne', 'fromage de brebis Ossau-Iraty', 'semoule de blé dur', 'lait', 'farine de blé', 'beurre', 'curcuma', ' Contient: gluten', 'lait', "" Peut contenir: fruits à coque Mode d'emploi: plonger dans de l'eau bouillante salée pendant 2 minutes"", ' Produit']",['Non végétalien'],?,318,1331 kj(318 kcal),"12,5","6,7","35,6","1,4","15,8","1,1","0,44",D,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Pates farcies à la viande']",12.5 g,en quantité modérée,6.7 g,en quantité élevée,1.4 g,en faible quantité,1.1 g,en quantité modérée,,+108%,+109%,+219%,+379%,+68%,-44%,+148%,+20%,+20%,13,+392%,D,+392%,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,300g,['Irina'],['plastique et carton'],,['3760328640001'],,3,,['France'],['Arbonne'],http://irina.eus,"['Gluten', 'Lait']",,,,,
920,Bio Geflügel Lyoner,4001956315862,['France'],[],[],?,196,820 kj(196 kcal),14,4,1,1,16,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Biscotti,8032755324126,['France'],[],[],?,450,1883 kj(450 kcal),15,"1,9",72,37,"5,6","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Andechser Doppelbock Dunkel,4013024000419,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Tomates Cajou & Basilic - L'atelier Bernard Marot,3760280490621,['France'],[],[],?,234,979 kj(234 kcal),"20,3","2,4","6,9","4,8","4,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""L'atelier Bernard Marot""]",,,"['FR 44.089.001 CE', 'Malville (Loire-Atlantique, France)']",,,,,,,,,,,,
924,Vin rouge,3423290197040,['France'],[],[],?,?,,?,,?,,?,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,,,,,
925,Jus de fruit,9038899135443,['France'],[],[],?,44,184 kj(44 kcal),0,0,11,"9,9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Velouté de petits pois,3760168117053,['France'],[],[],?,49,205 kj(49 kcal),2,1,2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,3468080007819,3468080007819,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Darnes de saumon sauvage du Pacifique,3426430001481,['France'],[],[],?,116,485 kj(116 kcal),"3,7","1,7",0,0,"20,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 59.271.001 CE', 'Grande-Synthe (Nord, France)']",,,,,,,,,,,,
929,Tajine de legumes et saumon au citron confit - Seazon,3701456306742,['France'],[],[],?,84,351 kj(84 kcal),5,1,2,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Seazon'],,,,,,,,,,,,,,,
930,Huile piquante,8002210131491,['France'],"['extra virgin olive oil ', '98%', 'dry chilli ', '2%', 'chilli flavouring nutrition declaration: ', 'typical values per 100ml', ' energy 3378kj-']",[],?,822,3439 kj(822 kcal),"91,3",14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Puree de courgette brocoli et petit pois,3256228197771,['France'],[],[],?,37,155 kj(37 kcal),"0,5","0,1","4,3","1,9","2,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,Bisfrolline con limone,8009890013024,['France'],[],[],?,420,1757 kj(420 kcal),"14,2","8,6","66,4","36,7",6,"0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Pom'Chips,3760014919008,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Thomy,42394945,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thomy'],,,,,,,,,,,,,,,
935,biscolata,8691707097039,['France'],[],[],?,553,2314 kj(553 kcal),"32,7",15,"57,5","45,4",6,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Bio Dinkel Spaghetti,4013200253790,['France'],[],[],?,344,1439 kj(344 kcal),"2,4","0,4",62,"3,3",13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,Blackened saumon ASC - Seazon,3701456308074,['France'],[],[],?,122,510 kj(122 kcal),7,1,7,1,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Seazon'],,,,,,,,,,,,,,,
938,Sangria rouge,3021891000358,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Ananas entier,3760269714052,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,MACHE,3760308500134,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 44198D', 'Sorinières (Loire-Atlantique, France)']",,,,,,,,,,,,
941,Comte aop,2286470003897,['France'],[],[],?,418,1749 kj(418 kcal),"34,6","22,5",0,0,"26,7","0,82","0,328",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",34.6 g,en quantité élevée,22.5 g,en quantité élevée,0 g,en faible quantité,0.82 g,en quantité modérée,,-0%,-0%,-0%,-1%,-100%,-100%,-1%,-2%,-2%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,
942,Frites spécial four,3560071270377,['France'],[],[],?,142,594 kj(142 kcal),"4,1","0,5",23,"0,5","2,1","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Bâton Crème confiseur,3665833000008,['France'],[],[],?,390,1632 kj(390 kcal),9,5,76,66,"1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Marshmallows Mini White Jet Puffed 250G (24) 526099,0600699060790,['France'],[],[],?,104,435 kj(104 kcal),0,0,25,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,Boisson à la pêche,2006050026869,['France'],[],[],?,23,96 kj(23 kcal),0,0,"5,6","5,5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Kirsch Banane Tee,4009300007838,['France'],[],[],?,2,8 kj(2 kcal),"0,1","0,1","0,3","0,2","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,fin alarm,4000177019276,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Tomate pelado,5605458160129,['France'],[],[],?,18.7,78 kj(18 kcal),"0,5","0,1",3,"2,7","0,9","0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,"Pez Brausebonbon Nachfüller / 43094 6X 8,5 G",9044400820210,['France'],[],[],?,400,1674 kj(400 kcal),"1,6","1,6",95,95,0,"0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,Frischland Akazienhonig,4002918150507,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Bière brune l'abominable,3760027050781,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,Farine de blé T45 - Mon fournil,3760130561754,['France'],[],[],?,328,1372 kj(328 kcal),"1,1","0,1",69,"0,4","10,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mon fournil'],,,,,,,,,,,,,,,
953,Mochi,3770014397072,['France'],[],[],?,237.05999755859,992 kj(237 kcal),0,0,"57,18","28,9","1,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Smoking Brown King Size,8414775015787,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,Anti casse,3781301401808,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Danette Noisette - danone - 4×125g,3033491428746,['France'],[],[],?,134,561 kj(134 kcal),"4,2","2,8","20,3","18,2","3,3","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4×125g,['Danone'],['pot en plastique'],['France'],,,,,['France'],['France'],,,,,,,
957,Pomme,3701201300445,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,Meat Curry Powder 250G,9556065022774,['France'],[],[],?,368,1540 kj(368 kcal),18,0,"53,9",0,"15,8","0,449","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,Vollkorn-Kekse Dinkel,4008391440913,['France'],[],[],?,503,2105 kj(503 kcal),27,11,52,24,10,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,MONT BLANC Crème Dessert Caramel 3x4x125g Lot Familial - 1500g,3700279307035,['France'],"['LAIT* entier concentré et poudre de LAIT* écrémé ', '79%', ' ', 'LAIT* origine France', ' ', ' 10 % de caramel ', 'sucre', 'eau', ' ', ' sirop de glucose ', ' amidon de maïs ', ' amidon transformé de maïs', ' sucre', ' épaississants : alginate de sodium', 'gomme guar ', ' arôme', 'Contient du LAIT', 'Peut contenir des traces de FRUITS A COQUES ', 'NOISETTES et AMANDES']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",549,130,549 kj(130 kcal),"3,5","2,1",22,15,"2,9","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 g,['Mont blanc'],['Boite'],"['Aquaculture responsable', 'Aquaculture responsable ASC', 'Nutriscore', 'Pêche durable', 'Pêche durable MSC', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT']",,"['E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E412 - Gomme de guar']",4,"Crème dessert au caramel, saveur caramel",,,,['Lait'],,,,,
961,MONT BLANC Crème Dessert Praliné 3x4x125g Lot Familial - 1500g,3700279307028,['France'],"['LAIT* entier concentré et poudre de LAIT* écrémé ', '82 %', ' ', '*LAIT origine France', ' ', ' sucre ', ' sirop de glucose ', ' 2 % de praliné ', 'sucre', 'NOISETTES', 'AMANDES', ' amidon transformé de maïs', ' maltodextrine ', ' amidon de maïs', ' épaississants : alginate de sodium', 'carraghénanes ', ' arôme ', ' sel', 'Contient du LAIT', 'des FRUITS A COQUES ', 'NOISETTES et AMANDES']","['Sans huile de palme', 'Non végétalien']",538,128,538 kj(128 kcal),4,2,20,14,3,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 g,['Mont blanc'],['Boite'],"['Aquaculture responsable', 'Aquaculture responsable ASC', 'Pêche durable', 'Pêche durable MSC', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT']",,"['E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,"Crème dessert au praliné, saveur praliné",,,,"['Lait', 'Fruits à coque']",,,,,
962,MONT BLANC Crème Dessert Chocolat 3x4x125g Lot Familial - 1500g,3700279307004,['France'],"['LAIT* entier concentré et poudre de LAIT* écrémé ', '79 %', ' ', '*LAIT origine France', ' ', ' sucre ', ' cacao maigre en poudre ', ' 1 % de chocolat ', 'cacao en poudre', 'cacao maigre en poudre', 'pâte de cacao', 'sucre', ' amidon transformé de maïs', ' épaississant : gomme guar', ' Contient du LAIT', 'Peut contenir des traces de FRUITS A COQUES ', 'NOISETTES et AMANDES']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",528,125,528 kj(125 kcal),"3,6","2,2",19,17,"3,5","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 g,['Mont blanc'],['Boite'],"['Aquaculture responsable', 'Aquaculture responsable ASC', 'Nutriscore', 'Pêche durable', 'Pêche durable MSC', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT']",,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar']",4,Crème dessert au chocolat,,,,['Lait'],,,,,
963,MONT BLANC Crème Dessert Saveur Vanille 4x570g 3+1 Offerte - 2280g,3700279306908,['France'],"['LAIT* entier concentré et poudre de LAIT* écrémé ', '83 %', ' ', '*LAIT origine France', ' ', ' sucre ', ' maltodextrine ', ' amidon transformé de maïs', ' sirop de glucose ', ' amidon de maïs', ' arôme naturel ', ' épaississants : alginate de sodium', 'carraghénanes ', ' sel ', ' colorant : riboflavine', 'Contient du LAIT', 'Peut contenir des traces de FRUITS A COQUES ', 'NOISETTES et AMANDES']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",518,123,518 kj(123 kcal),"3,5","2,1",20,13,"2,9","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280 g,['Mont blanc'],['Boite'],"['Aquaculture responsable', 'Aquaculture responsable ASC', 'Nutriscore', 'Pêche durable', 'Pêche durable MSC', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT']",,"['E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E101i - Riboflavine']",4,Crème dessert saveur vanille,,,,['Lait'],,,,,
964,MONT BLANC Crème Dessert Saveur Vanille 3x570g Lot Familial - 1710g,3700279306885,['France'],"['LAIT* entier concentré et poudre de LAIT* écrémé ', '83 %', ' ', '*LAIT origine France', ' ', ' sucre ', ' maltodextrine ', ' amidon transformé de maïs', ' sirop de glucose ', ' amidon de maïs', ' arôme naturel ', ' épaississants : alginate de sodium', 'carraghénanes ', ' sel ', ' colorant : riboflavine', 'Contient du LAIT', 'Peut contenir des traces de FRUITS A COQUES ', 'NOISETTES et AMANDES']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",518,123,518 kj(123 kcal),"3,5","2,1",20,13,"2,9","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710 g,['Mont blanc'],['Boite'],"['Aquaculture responsable', 'Aquaculture responsable ASC', 'Sans colorants', 'Pêche durable', 'Pêche durable MSC', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT']",,"['E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E101i - Riboflavine']",4,Crème dessert saveur vanille,,,,['Lait'],,,,,
965,MONT BLANC Crème Dessert Chocolat 4x570g Lot Familial - 2280g,3700279306915,['France'],"['LAIT* entier concentré et poudre de LAIT* écrémé ', '79 %', ' ', '*LAIT origine France', ' ', ' sucre ', ' cacao maigre en poudre ', ' 2 % de chocolat ', 'cacao en poudre', 'cacao maigre en poudre', 'pâte de cacao', 'sucre', ' ', ' amidon de maïs ', ' amidon transformé de maïs', ' épaississant : gomme xanthane', ' Contient du LAIT', 'Peut contenir des traces de FRUITS A COQUES ', 'NOISETTES et AMANDES']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",541,129,541 kj(129 kcal),"3,8","2,3",20,17,"3,5","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280 g,['Mont blanc'],['Boite'],"['Aquaculture responsable', 'Aquaculture responsable ASC', 'Pêche durable', 'Pêche durable MSC', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT']",,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",4,Crème dessert au chocolat,,,,['Lait'],,,,,
966,Rumsteak,3273230069766,['France'],[],[],?,170,711 kj(170 kcal),10,"3,9","0,5","0,5",20,"0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']","['FR 29.233.001 CE', 'Quimperlé (Finistère, France)']",,,,,,,,,,,,
967,Pépites de chocolat noir,5425008346243,['France'],[],[],?,571,2389 kj(571 kcal),44,"26,2",30,27,"7,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Mirabelles de lorraine - Thiriet,3292590890513,['France'],[],[],?,78,326 kj(78 kcal),0,0,17,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thiriet'],,,,,,,,,,,,['Thiriet'],,,
969,4014500509327,4014500509327,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Miel,3770002015292,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,biosens,3456300011142,['France'],[],[],?,756,3163 kj(756 kcal),84,"7,7",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,4337185647871,4337185647871,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Wok legumes,3760288130987,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,La Cremeria pistacchio e gianduia,8051369000516,['France'],[],[],?,180,753 kj(180 kcal),"6,9","4,9",26,23,3,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
